7.,BOHINJ,2.365.820,1.701.473,1.453.405,797.826,797.826,251.531,198.777,0,3.217,49.537,404.048,182.845,0,0,221.203,0,0,248.068,66.796,0,2.045,1.661,63.090,9.514,9.514,21.440,21.440,125.542,125.542,24.775,24.775,67.760,28.898,28.898,0,0,0,0,0,0,38.862,0,38.862,0,16.375,11.350,11.350,0,5.024,5.024,0,580.212,580.212,563.879,0,16.333,0
8.,BOROVNICA ,1.320.877,1.057.841,1.001.077,737.147,737.147,85.666,58.563,0,4.507,22.596,178.263,0,0,0,178.263,0,0,56.764,33.797,0,0,6.272,27.525,4.144,4.144,0,0,0,0,18.824,18.824,18.645,18.645,18.645,0,0,0,0,0,0,0,0,0,0,3.797,3.797,3.797,0,0,0,0,240.594,240.594,190.519,50.075,0,0
9.,BOVEC,2.945.510,1.148.243,1.045.485,549.829,549.829,121.570,72.112,0,7.540,41.917,374.086,305.504,0,4,68.578,0,0,102.758,48.018,0,0,2.562,45.456,7.011,7.011,0,0,0,0,47.730,47.730,31.397,27.604,27.604,0,0,0,0,0,0,3.793,0,3.793,0,150.480,150.480,146.224,4.256,0,0,0,1.615.390,1.615.390,1.584.406,0,30.984,0
10.,BRASLOVČE,1.871.874,937.122,819.225,734.877,734.877,60.941,29.402,0,6.543,24.996,23.406,534,0,0,22.872,0,0,117.898,29.836,0,0,1.807,28.030,6.051,6.051,200,200,29.544,29.544,52.266,52.266,35.457,34.130,34.130,0,0,0,0,0,0,1.327,0,1.327,0,0,0,0,0,0,0,0,899.295,899.295,899.295,0,0,0
11.,BRDA,2.269.659,1.749.975,1.235.599,1.045.063,1.045.063,175.734,158.204,0,9.368,8.162,14.801,593,0,0,14.209,0,0,514.376,423.076,1.882,0,434,420.760,8.421,8.421,584,584,43.620,43.620,38.675,38.675,21.841,3.338,0,3.338,0,0,0,0,0,18.503,0,18.503,0,4.757,4.327,2.374,1.953,430,0,430,493.085,493.085,282.119,195.280,0,15.686
12.,BREZOVICA,2.764.438,2.270.176,2.172.655,1.853.493,1.853.493,275.981,176.206,0,3.272,96.503,43.181,4.181,0,0,39.000,0,0,97.521,26.899,0,0,2.224,24.675,8.630,8.630,67,67,9.072,9.072,52.854,52.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.262,494.262,256.923,0,0,237.339
13.,BREŽICE,9.043.540,4.752.020,4.045.940,3.412.736,3.412.736,422.467,184.431,0,23.268,214.768,210.737,39.301,0,0,171.436,0,0,706.080,201.152,0,6.777,11.021,183.354,264.092,264.092,1.260,1.260,49.708,49.708,189.868,189.868,129.077,113.487,113.487,0,0,0,0,0,0,15.590,10.436,5.154,0,0,0,0,0,0,0,0,4.162.444,4.162.444,4.162.444,0,0,0
14.,CANKOVA,868.878,291.074,195.810,174.424,174.424,11.697,33,0,79,11.584,9.690,3.931,0,0,5.759,0,0,95.264,9.856,0,0,6.564,3.292,3.163,3.163,179,179,167,167,81.898,81.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577.804,577.804,537.252,25.768,0,14.785
15.,CELJE (M),24.816.229,18.286.647,13.721.766,9.902.249,9.902.249,3.373.873,2.520.189,342,85.850,767.493,445.643,175.981,0,509,269.154,0,0,4.564.881,371.140,0,13.512,34.886,322.742,87.193,87.193,29.236,29.236,87.673,87.673,3.989.639,3.989.639,4.595.906,866.946,866.863,83,0,0,0,0,0,3.728.960,0,3.728.960,0,0,0,0,0,0,0,0,1.933.676,1.933.676,1.687.531,1.181,135.658,109.306
16.,CERKLJE NA GORENJSKEM,3.365.744,1.723.656,1.305.225,1.047.329,1.047.329,178.797,125.868,0,11.380,41.550,79.098,3.426,0,0,75.672,0,0,418.432,222.359,1.536,1.160,201.281,18.382,6.681,6.681,1.331,1.331,13.817,13.817,174.245,174.245,715.507,242.831,241.007,1.824,0,0,0,0,0,472.676,12.026,460.649,0,9.806,9.806,0,9.806,0,0,0,916.775,916.775,767.614,149.161,0,0
17.,CERKNICA,3.880.713,2.192.764,1.988.011,1.440.553,1.440.553,404.899,361.538,0,2.420,40.941,142.560,13.237,0,0,129.323,0,0,204.753,48.736,0,0,484,48.252,17.259,17.259,217,217,0,0,138.541,138.541,5.078,0,0,0,0,0,0,0,0,5.078,0,5.078,0,0,0,0,0,0,0,0,1.682.870,1.682.870,1.659.377,0,0,23.494
18.,CERKNO,2.278.655,1.569.880,1.391.654,949.883,949.883,102.913,93.816,0,6.309,2.788,338.858,306.735,0,0,32.123,0,0,178.226,15.373,0,25,801,14.547,6.956,6.956,58,58,14.405,14.405,141.433,141.433,16.971,10.900,10.900,0,0,0,0,0,0,6.072,0,6.072,0,0,0,0,0,0,0,0,691.804,691.804,691.804,0,0,0
19.,CERKVENJAK,903.455,287.944,128.376,105.788,105.788,10.098,5.996,0,0,4.102,12.490,0,0,0,12.490,0,0,159.569,14.839,0,0,12.861,1.978,1.185,1.185,21,21,43.444,43.444,100.079,100.079,18.035,18.035,18.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.475,597.475,597.475,0,0,0
20.,ČRENŠOVCI,1.980.529,675.718,453.898,347.722,347.722,16.825,11.768,0,522,4.536,89.351,14.104,0,0,75.246,0,0,221.820,21.119,0,0,13.658,7.461,5.028,5.028,175,175,3.063,3.063,192.434,192.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.304.811,1.304.811,1.079.624,225.188,0,0
21.,ČRNA NA KOROŠKEM,1.901.323,961.400,678.551,527.078,527.078,114.330,108.367,0,1.448,4.515,37.143,1.598,0,0,35.545,0,0,282.849,72.062,0,0,951,71.111,6.368,6.368,63,63,189.251,189.251,15.106,15.106,13.387,6.447,6.447,0,0,0,0,0,0,6.940,0,6.940,0,5.008,5.008,0,5.008,0,0,0,921.528,921.528,921.528,0,0,0
22.,ČRNOMELJ,6.503.075,2.743.816,2.631.643,2.068.499,2.068.499,226.148,123.168,0,15.227,87.752,336.997,15.340,0,0,321.657,0,0,112.172,44.767,0,0,1.623,43.144,23.932,23.932,171,171,3.697,3.697,39.605,39.605,72.525,72.187,72.187,0,0,0,0,0,0,338,338,0,0,38.533,38.533,11.989,26.544,0,0,0,3.648.201,3.648.201,3.648.201,0,0,0
23.,DESTRNIK,1.379.515,462.727,223.185,193.778,193.778,2.299,346,0,171,1.782,27.107,526,0,880,25.701,0,0,239.543,4.094,0,0,1.995,2.099,5.016,5.016,0,0,48.827,48.827,181.606,181.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916.788,916.788,880.116,0,0,36.672
24.,DIVAČA,1.449.524,1.212.828,1.090.123,759.143,759.143,134.473,104.945,0,6.919,22.609,196.507,173.740,0,0,22.767,0,0,122.705,36.555,3.622,0,1.369,31.564,5.980,5.980,83,83,154,154,79.932,79.932,19.988,19.988,19.988,0,0,0,0,0,0,0,0,0,0,4.415,1.156,1.156,0,3.259,0,3.259,212.293,212.293,212.293,0,0,0
25.,DOBJE,394.504,133.504,75.776,72.805,72.805,1.206,171,0,580,455,1.765,0,0,29,1.736,0,0,57.728,676,0,0,576,100,638,638,0,0,14.246,14.246,42.167,42.167,626,626,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.374,260.374,246.678,0,0,13.696
26.,DOBREPOLJE,1.662.786,940.945,499.215,449.725,449.725,22.555,11.622,0,1.148,9.786,26.936,3.105,0,0,23.832,0,0,441.729,83.425,0,0,65.356,18.069,7.098,7.098,1.002,1.002,17.030,17.030,333.175,333.175,5.567,0,0,0,0,0,0,0,0,5.567,0,5.567,0,0,0,0,0,0,0,0,716.274,716.274,716.274,0,0,0
27.,DOBRNA,778.163,414.685,332.574,257.849,257.849,18.453,14.668,0,1.018,2.767,56.272,104,0,0,56.168,0,0,82.111,3.630,0,0,2.587,1.043,2.303,2.303,0,0,21.132,21.132,55.045,55.045,1.202,0,0,0,0,0,0,0,0,1.202,0,1.202,0,1.210,1.210,1.210,0,0,0,0,361.067,361.067,343.002,7.636,0,10.428
28.,DOBROVA - POLHOV GRADEC,2.455.938,1.368.440,1.257.286,1.097.375,1.097.375,135.804,71.695,0,12.594,51.515,24.107,1.181,0,0,22.926,0,0,111.154,26.106,0,0,16.074,10.032,5.729,5.729,42,42,618,618,78.660,78.660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.087.498,1.087.498,784.606,295.456,0,7.436
29.,DOBROVNIK,698.293,238.307,164.781,138.904,138.904,11.521,4.027,0,238,7.257,14.355,0,0,0,14.355,0,0,73.527,6.965,0,0,1.899,5.066,1.365,1.365,38,38,0,0,65.160,65.160,1.294,1.294,1.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.692,458.692,414.876,14.605,0,29.210
30.,DOL PRI LJUBLJANI,2.254.649,1.943.453,1.726.615,860.770,860.770,854.519,822.534,0,380,31.606,11.325,901,0,0,10.424,0,0,216.838,58.972,0,0,31.827,27.145,6.193,6.193,142,142,0,0,151.531,151.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.196,311.196,133.075,178.121,0,0
31.,DOLENJSKE TOPLICE,1.334.844,933.154,695.226,578.651,578.651,43.453,30.517,0,1.319,11.617,73.122,5.921,0,0,67.201,0,0,237.928,6.735,0,0,6.668,67,2.925,2.925,342,342,0,0,227.925,227.925,956,0,0,0,0,0,0,0,0,956,0,956,0,54.327,54.327,4.252,50.075,0,0,0,346.407,346.407,346.407,0,0,0
32.,DOMŽALE,11.262.101,10.991.888,9.070.038,6.797.801,6.797.801,1.753.084,1.237.527,38,99.007,416.512,519.154,122.813,0,0,396.340,0,0,1.921.849,597.663,0,28.322,204.532,364.810,42.994,42.994,31.372,31.372,39.643,39.643,1.210.178,1.210.178,42.518,292,0,292,0,0,0,0,0,42.226,0,42.226,0,0,0,0,0,0,0,0,227.696,227.696,206.472,0,0,21.224
33.,DORNAVA,1.506.147,409.543,244.095,236.238,236.238,1.590,184,0,538,868,6.268,1.123,0,2.354,2.792,0,0,165.448,16.329,0,0,1.081,15.248,3.647,3.647,0,0,0,0,145.472,145.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.096.603,1.096.603,1.096.603,0,0,0
34.,DRAVOGRAD,4.010.457,2.530.579,1.964.079,1.265.373,1.265.373,485.783,410.482,0,3.952,71.349,212.924,23.548,0,0,189.376,0,0,566.500,235.528,0,2.366,23.590,209.573,16.746,16.746,21,21,0,0,314.205,314.205,110.583,0,0,0,0,0,0,0,0,110.583,0,110.583,0,0,0,0,0,0,0,0,1.369.296,1.369.296,1.319.221,0,0,50.075
35.,DUPLEK,2.430.404,954.795,829.674,662.828,662.828,51.402,36.818,0,5.074,9.510,115.444,12.711,0,0,102.733,0,0,125.121,73.389,5.988,8,55.266,12.127,8.075,8.075,259,259,171,171,43.227,43.227,835,0,0,0,0,0,0,0,0,835,0,835,0,32.006,32.006,0,32.006,0,0,0,1.442.768,1.442.768,1.384.347,0,0,58.421
36.,GORENJA VAS - POLJANE,3.138.896,1.238.929,1.039.826,789.860,789.860,225.376,201.582,0,1.815,21.979,24.591,880,0,0,23.711,0,0,199.103,61.334,0,2.495,35.349,23.489,8.463,8.463,655,655,127.199,127.199,1.452,1.452,250,250,0,0,250,0,0,0,0,0,0,0,0,43.649,43.649,0,43.649,0,0,0,1.856.067,1.856.067,1.856.067,0,0,0
37.,GORIŠNICA,2.764.213,1.339.050,862.302,498.260,498.260,357.465,350.063,0,626,6.777,6.577,701,0,4.899,976,0,0,476.748,69.671,0,0,27.658,42.013,12.673,12.673,100,100,0,0,394.304,394.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.425.163,1.425.163,1.425.163,0,0,0
38.,GORNJA RADGONA,5.641.350,2.803.726,1.698.698,1.424.629,1.424.629,172.254,108.943,0,2.328,60.983,101.815,14.664,0,0,87.152,0,0,1.105.028,478.489,0,0,69.876,408.613,15.532,15.532,1.264,1.264,44.058,44.058,565.686,565.686,218.561,0,0,0,0,0,0,0,0,218.561,0,0,218.561,835,835,835,0,0,0,0,2.618.227,2.618.227,2.586.546,31.681,0,0
39.,GORNJI GRAD,1.264.564,361.868,317.969,252.921,252.921,38.537,32.674,0,547,5.316,26.511,906,0,0,25.605,0,0,43.899,21.052,0,0,438,20.614,3.138,3.138,0,0,0,0,19.709,19.709,12.310,4.891,4.891,0,0,0,0,0,0,7.419,0,7.419,0,0,0,0,0,0,0,0,890.386,890.386,890.386,0,0,0
40.,GORNJI PETROVCI,1.271.499,260.036,177.854,164.947,164.947,4.715,4.302,0,409,4,8.191,413,0,0,7.778,0,0,82.182,15.916,0,0,342,15.573,5.266,5.266,0,0,0,0,61.000,61.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.011.463,1.011.463,978.263,4.173,0,29.027
41.,GRAD,1.280.675,382.883,118.282,112.206,112.206,1.736,1.256,0,480,0,4.340,968,0,0,3.372,0,0,264.601,28.714,0,0,10.641,18.073,4.131,4.131,0,0,40.941,40.941,190.815,190.815,18.778,18.778,18.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879.014,879.014,791.099,0,0,87.915
42.,GROSUPLJE,7.311.546,5.367.526,4.114.309,3.258.025,3.258.025,758.121,471.365,0,32.273,254.482,98.164,11.438,0,0,86.726,0,0,1.253.217,121.795,0,0,5.116,116.679,30.041,30.041,1.473,1.473,76.561,76.561,1.023.348,1.023.348,437.890,33.296,33.296,0,0,0,0,0,0,404.594,0,404.594,0,14.392,14.392,0,14.392,0,0,0,1.491.738,1.491.738,1.491.738,0,0,0
43.,HAJDINA,1.602.174,1.219.350,1.151.081,503.568,503.568,607.891,600.588,0,96,7.207,39.622,2.358,0,2.203,35.061,0,0,68.269,15.448,0,0,12.586,2.863,6.743,6.743,0,0,1.953,1.953,44.125,44.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.824,382.824,382.824,0,0,0
44.,HOČE - SLIVNICA,3.483.580,2.299.458,1.856.101,1.533.834,1.533.834,194.116,139.192,0,4.557,50.367,128.151,5.300,0,0,122.851,0,0,443.357,137.227,0,0,45.568,91.658,11.254,11.254,810,810,85.411,85.411,208.655,208.655,357.257,0,0,0,0,0,0,0,0,357.257,0,357.257,0,0,0,0,0,0,0,0,826.865,826.865,826.865,0,0,0
45.,HODOŠ,324.979,119.575,16.629,14.409,14.409,330,330,0,0,0,1.890,0,0,0,1.890,0,0,102.946,6.414,0,0,5.308,1.106,997,997,0,0,0,0,95.535,95.535,2.358,2.358,2.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.046,203.046,179.014,15.711,0,8.321
46.,HORJUL,1.471.562,625.931,530.037,460.341,460.341,65.482,57.795,0,5.379,2.308,4.215,196,0,0,4.019,0,0,95.894,55.817,0,0,31.001,24.816,2.554,2.554,0,0,0,0,37.523,37.523,1.573,0,0,0,0,0,0,0,0,1.573,0,1.573,0,0,0,0,0,0,0,0,844.058,844.058,600.217,243.841,0,0
47.,HRASTNIK,4.243.774,2.777.925,2.275.922,1.683.997,1.683.997,550.718,481.355,0,5.955,63.408,41.208,29.131,0,0,12.076,0,0,502.003,331.022,0,15.210,3.785,312.026,20.502,20.502,92,92,5.316,5.316,145.072,145.072,122.722,61.851,61.851,0,0,0,0,0,0,60.870,0,60.870,0,434.493,434.493,0,434.493,0,0,0,908.634,908.634,908.634,0,0,0
48.,HRPELJE - KOZINA,2.114.209,1.523.690,1.361.651,785.800,785.800,295.852,251.035,0,7.240,37.577,279.999,200.768,0,0,79.231,0,0,162.039,49.303,0,3.818,13.666,31.819,6.101,6.101,0,0,0,0,106.635,106.635,262.999,10.679,10.679,0,0,0,0,0,0,252.320,0,252.320,0,12.565,2.191,2.191,0,10.374,0,10.374,314.956,314.956,310.449,4.507,0,0
49.,IDRIJA,4.656.577,4.015.127,3.697.621,2.834.464,2.834.464,480.650,358.275,0,13.683,108.692,382.507,322.400,0,0,60.107,0,0,317.505,216.120,0,29,16.896,199.195,24.745,24.745,13.958,13.958,11.346,11.346,51.335,51.335,63.691,27.103,27.103,0,0,0,0,0,0,36.588,0,36.588,0,21,21,21,0,0,0,0,577.737,577.737,415.148,92.885,0,69.705
50.,IG,1.850.259,1.544.579,1.152.245,992.735,992.735,137.957,75.876,0,2.733,59.347,21.553,2.137,0,0,19.417,0,0,392.334,50.593,0,0,27.070,23.523,7.453,7.453,776,776,99.299,99.299,234.214,234.214,3.430,818,818,0,0,0,0,0,0,2.612,0,2.612,0,5.137,5.137,2.011,3.126,0,0,0,297.112,297.112,297.112,0,0,0
51.,ILIRSKA BISTRICA,6.091.212,3.733.108,2.709.498,2.191.354,2.191.354,318.161,219.350,0,59.765,39.046,199.983,75.421,0,0,124.562,0,0,1.023.610,514.676,0,2.562,216.967,295.147,31.998,31.998,317,317,4.891,4.891,471.728,471.728,97.283,66.955,64.034,2.921,0,0,0,0,0,30.329,1.252,29.077,0,43.615,43.615,12.318,31.297,0,0,0,2.217.205,2.217.205,2.217.205,0,0,0
52.,IVANČNA GORICA,4.860.524,2.937.619,2.354.014,2.020.343,2.020.343,241.016,127.191,0,4.632,109.193,92.656,3.906,0,0,88.750,0,0,583.605,178.793,0,0,157.269,21.524,22.680,22.680,2.020,2.020,27.700,27.700,352.412,352.412,5.450,0,0,0,0,0,0,0,0,5.450,5.450,0,0,0,0,0,0,0,0,0,1.917.455,1.917.455,1.833.196,0,0,84.260
53.,IZOLA,7.898.289,6.191.145,4.400.192,3.159.815,3.159.815,703.610,439.426,634,13.433,250.117,536.559,236.876,0,0,299.683,209,209,1.790.953,766.717,242,0,319.070,447.404,30.283,30.283,69.759,69.759,176.828,176.828,747.367,747.367,1.160.558,409.439,405.170,4.269,0,0,0,0,0,751.118,0,751.118,0,14.814,14.814,14.814,0,0,0,0,531.773,531.773,300.142,12.402,0,219.229
