72.,KUNGOTA,2.131.485 ,992.464 ,837.552 ,602.475 ,602.475 ,92.472 ,74.115 ,0 ,739 ,17.618 ,142.606 ,722 ,0 ,0 ,141.884 ,0 ,0 ,154.912 ,66.930 ,1.928 ,0 ,9.794 ,55.208 ,10.858 ,10.858 ,284 ,284 ,0 ,0 ,76.840 ,76.840 ,160.937 ,15.415 ,15.415 ,0 ,0 ,0 ,0 ,145.522 ,0 ,145.522 ,0 ,146.157 ,146.157 ,16.604 ,129.553 ,0 ,0 ,0 ,831.927 ,831.927 ,831.927 ,0 ,0 ,0 
73.,KUZMA,943.870 ,313.867 ,156.284 ,100.492 ,100.492 ,49.871 ,48.565 ,0 ,396 ,910 ,5.921 ,559 ,0 ,0 ,5.362 ,0 ,0 ,157.582 ,25.121 ,0 ,0 ,1.239 ,23.882 ,15.231 ,15.231 ,0 ,0 ,0 ,0 ,117.230 ,117.230 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28.643 ,28.643 ,28.643 ,0 ,0 ,0 ,0 ,601.360 ,601.360 ,601.360 ,0 ,0 ,0 
74.,LAŠKO,7.040.427 ,4.141.112 ,3.533.676 ,2.691.500 ,2.691.500 ,363.408 ,251.227 ,129 ,14.301 ,97.751 ,353.701 ,4.544 ,0 ,0 ,349.157 ,125.067 ,125.067 ,607.436 ,99.374 ,0 ,413 ,9.489 ,89.472 ,35.311 ,35.311 ,10.111 ,10.111 ,334.531 ,334.531 ,128.109 ,128.109 ,132.607 ,0 ,0 ,0 ,0 ,0 ,0 ,132.607 ,2.170 ,130.437 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.766.708 ,2.766.708 ,2.766.708 ,0 ,0 ,0 
75.,LENART,5.368.444 ,3.178.025 ,2.657.732 ,1.754.227 ,1.754.227 ,429.227 ,332.991 ,0 ,1.911 ,94.325 ,474.278 ,19.437 ,0 ,0 ,454.841 ,0 ,0 ,520.293 ,162.527 ,14.922 ,0 ,2.429 ,145.176 ,29.486 ,29.486 ,438 ,438 ,0 ,0 ,327.842 ,327.842 ,288.161 ,217.827 ,217.827 ,0 ,0 ,0 ,0 ,70.335 ,0 ,70.335 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.902.258 ,1.902.258 ,1.902.258 ,0 ,0 ,0 
76.,LENDAVA,6.511.673 ,4.339.578 ,3.749.011 ,1.895.982 ,1.895.982 ,691.725 ,415.701 ,179 ,4.988 ,270.857 ,1.161.304 ,20.454 ,0 ,0 ,1.140.850 ,0 ,0 ,590.567 ,181.501 ,0 ,3.081 ,94.209 ,84.211 ,30.237 ,30.237 ,14.177 ,14.177 ,15.545 ,15.545 ,349.107 ,349.107 ,214.362 ,110.995 ,0 ,0 ,110.995 ,0 ,0 ,103.367 ,4.924 ,98.443 ,0 ,155.183 ,10.474 ,0 ,10.474 ,144.709 ,0 ,144.709 ,1.802.550 ,1.802.550 ,1.802.550 ,0 ,0 ,0 
77.,LITIJA,8.383.751 ,4.636.993 ,4.392.802 ,3.487.010 ,3.487.010 ,508.784 ,375.513 ,0 ,12.035 ,121.236 ,397.008 ,7.666 ,0 ,0 ,389.342 ,0 ,0 ,244.191 ,69.654 ,0 ,13.988 ,8.538 ,47.129 ,49.996 ,49.996 ,935 ,935 ,2.149 ,2.149 ,121.457 ,121.457 ,167.151 ,162.619 ,162.619 ,0 ,0 ,0 ,0 ,4.532 ,0 ,4.532 ,0 ,177.562 ,177.562 ,0 ,177.562 ,0 ,0 ,0 ,3.402.045 ,3.402.045 ,3.257.065 ,10.432 ,0 ,134.548 
78.,MESTNA OBČINA LJUBLJANA,176.648.310 ,171.472.450 ,153.929.928 ,106.626.035 ,106.626.035 ,33.616.037 ,22.358.112 ,5.821 ,751.644 ,10.500.459 ,13.687.857 ,1.023.752 ,0 ,0 ,12.664.104 ,0 ,0 ,17.542.522 ,6.739.701 ,0 ,207.599 ,348.268 ,6.183.834 ,1.571.762 ,1.571.762 ,1.015.436 ,1.015.436 ,851.264 ,851.264 ,7.364.359 ,7.364.359 ,4.526.310 ,419.976 ,407.966 ,11.334 ,0 ,676 ,0 ,4.106.335 ,0 ,4.106.335 ,0 ,239.822 ,49.900 ,49.900 ,0 ,189.922 ,145.865 ,44.058 ,409.727 ,409.727 ,409.727 ,0 ,0 ,0 
79.,LJUBNO,1.775.476 ,533.463 ,445.552 ,332.006 ,332.006 ,45.272 ,29.031 ,0 ,4.941 ,11.300 ,68.273 ,993 ,0 ,0 ,67.280 ,0 ,0 ,87.911 ,31.326 ,0 ,0 ,3.484 ,27.842 ,10.332 ,10.332 ,0 ,0 ,3.772 ,3.772 ,42.480 ,42.480 ,4.678 ,4.678 ,4.678 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.237.335 ,1.237.335 ,1.237.335 ,0 ,0 ,0 
80.,LJUTOMER,6.552.684 ,3.409.528 ,2.750.431 ,1.815.313 ,1.815.313 ,570.238 ,462.155 ,0 ,13.076 ,95.006 ,364.880 ,20.956 ,0 ,0 ,343.924 ,0 ,0 ,659.097 ,253.834 ,0 ,0 ,17.231 ,236.603 ,34.349 ,34.349 ,184 ,184 ,65.466 ,65.466 ,305.264 ,305.264 ,254.933 ,36.097 ,36.097 ,0 ,0 ,0 ,0 ,218.836 ,0 ,218.836 ,0 ,4.173 ,4.173 ,0 ,4.173 ,0 ,0 ,0 ,2.884.050 ,2.884.050 ,2.507.544 ,78.555 ,79.965 ,217.986 
81.,LOGATEC,6.111.517 ,4.103.126 ,3.198.652 ,2.247.580 ,2.247.580 ,603.363 ,407.720 ,0 ,22.563 ,173.080 ,347.709 ,4.453 ,0 ,0 ,343.257 ,0 ,0 ,904.473 ,499.620 ,0 ,7.140 ,2.833 ,489.647 ,35.057 ,35.057 ,1.582 ,1.582 ,29.749 ,29.749 ,338.466 ,338.466 ,586.943 ,35.549 ,30.875 ,0 ,4.674 ,0 ,0 ,551.394 ,0 ,551.394 ,0 ,2.086 ,2.086 ,0 ,2.086 ,0 ,0 ,0 ,1.419.362 ,1.419.362 ,1.419.362 ,0 ,0 ,0 
82.,LOŠKA DOLINA,1.921.666 ,1.360.194 ,1.284.531 ,947.513 ,947.513 ,218.486 ,205.295 ,0 ,4.281 ,8.909 ,118.532 ,334 ,0 ,0 ,118.198 ,0 ,0 ,75.664 ,43.711 ,0 ,0 ,1.665 ,42.046 ,10.733 ,10.733 ,25 ,25 ,1.435 ,1.435 ,19.759 ,19.759 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,104.323 ,104.323 ,0 ,104.323 ,0 ,0 ,0 ,457.148 ,457.148 ,457.148 ,0 ,0 ,0 
83.,LOŠKI POTOK,1.625.271 ,298.719 ,280.258 ,200.050 ,200.050 ,35.645 ,27.700 ,0 ,1.369 ,6.577 ,44.563 ,0 ,0 ,0 ,44.563 ,0 ,0 ,18.461 ,4.594 ,0 ,0 ,1.473 ,3.121 ,7.106 ,7.106 ,0 ,0 ,2.258 ,2.258 ,4.503 ,4.503 ,74.962 ,74.962 ,74.962 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.251.590 ,1.251.590 ,1.239.372 ,12.218 ,0 ,0 
84.,LOVRENC NA POHORJU,1.732.445 ,1.112.940 ,784.827 ,480.295 ,480.295 ,211.417 ,201.940 ,0 ,2.107 ,7.369 ,93.115 ,513 ,0 ,0 ,92.601 ,0 ,0 ,328.113 ,33.713 ,2.875 ,0 ,5.183 ,25.655 ,8.100 ,8.100 ,0 ,0 ,49.278 ,49.278 ,237.022 ,237.022 ,47.838 ,24.328 ,24.328 ,0 ,0 ,0 ,0 ,23.510 ,0 ,23.510 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,571.666 ,571.666 ,571.061 ,388 ,0 ,217 
85.,LUČE,864.505 ,216.859 ,183.300 ,152.950 ,152.950 ,9.589 ,6.038 ,0 ,1.365 ,2.187 ,20.760 ,121 ,0 ,0 ,20.639 ,0 ,0 ,33.559 ,19.291 ,0 ,0 ,459 ,18.832 ,5.508 ,5.508 ,50 ,50 ,0 ,0 ,8.709 ,8.709 ,4.649 ,4.649 ,4.649 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,642.998 ,642.998 ,642.998 ,0 ,0 ,0 
86.,LUKOVICA,3.346.190 ,1.950.259 ,1.319.070 ,863.124 ,863.124 ,104.419 ,82.011 ,0 ,1.899 ,20.510 ,351.527 ,1.314 ,0 ,0 ,350.213 ,0 ,0 ,631.188 ,149.266 ,7.678 ,0 ,61.609 ,79.978 ,14.806 ,14.806 ,409 ,409 ,13.883 ,13.883 ,452.825 ,452.825 ,4.720 ,3.326 ,3.326 ,0 ,0 ,0 ,0 ,1.394 ,0 ,1.394 ,0 ,187.732 ,187.732 ,146.052 ,41.679 ,0 ,0 ,0 ,1.203.480 ,1.203.480 ,987.223 ,216.258 ,0 ,0 
87.,MAJŠPERK,2.258.237 ,1.185.912 ,857.106 ,529.711 ,529.711 ,266.625 ,253.952 ,0 ,1.244 ,11.430 ,60.770 ,472 ,0 ,0 ,60.299 ,0 ,0 ,328.806 ,150.981 ,0 ,0 ,99.850 ,51.131 ,11.559 ,11.559 ,171 ,171 ,17.777 ,17.777 ,148.318 ,148.318 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.072.325 ,1.072.325 ,1.071.157 ,0 ,0 ,1.168 
88.,MESTNA OBČINA MARIBOR,66.100.768 ,59.696.157 ,47.954.281 ,28.378.681 ,28.378.681 ,13.482.261 ,10.262.235 ,192 ,96.987 ,3.122.847 ,6.093.340 ,403.822 ,0 ,0 ,5.689.518 ,0 ,0 ,11.741.875 ,7.069.596 ,882.278 ,145.514 ,863.570 ,5.178.234 ,329.236 ,329.236 ,170.739 ,170.739 ,73.327 ,73.327 ,4.098.978 ,4.098.978 ,5.493.736 ,1.898.097 ,1.896.933 ,1.164 ,0 ,0 ,0 ,3.595.639 ,0 ,3.595.639 ,0 ,63.520 ,56.393 ,56.393 ,0 ,7.127 ,7.127 ,0 ,847.354 ,847.354 ,688.821 ,158.534 ,0 ,0 
89.,MARKOVCI,3.044.066 ,2.838.804 ,2.725.159 ,520.856 ,520.856 ,2.121.186 ,2.099.654 ,0 ,1.189 ,20.343 ,83.116 ,4.578 ,0 ,0 ,78.539 ,0 ,0 ,113.645 ,71.491 ,0 ,0 ,23.752 ,47.738 ,13.704 ,13.704 ,221 ,221 ,726 ,726 ,27.504 ,27.504 ,39.801 ,0 ,0 ,0 ,0 ,0 ,0 ,39.801 ,0 ,39.801 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,165.461 ,165.461 ,110.453 ,45.527 ,9.481 ,0 
90.,MEDVODE,7.202.016 ,6.661.284 ,6.012.627 ,4.263.871 ,4.263.871 ,1.218.761 ,886.542 ,0 ,4.932 ,327.287 ,529.995 ,71.086 ,0 ,0 ,458.909 ,0 ,0 ,648.656 ,131.551 ,0 ,0 ,90.674 ,40.878 ,34.268 ,34.268 ,810 ,810 ,0 ,0 ,482.027 ,482.027 ,168.774 ,0 ,0 ,0 ,0 ,0 ,0 ,168.774 ,0 ,168.774 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,371.958 ,371.958 ,4.002 ,367.956 ,0 ,0 
91.,MENGEŠ,3.141.696 ,2.946.378 ,2.335.215 ,1.783.609 ,1.783.609 ,443.928 ,335.466 ,0 ,4.599 ,103.864 ,107.678 ,5.771 ,0 ,0 ,101.907 ,0 ,0 ,611.163 ,211.121 ,0 ,7.332 ,54.540 ,149.249 ,13.141 ,13.141 ,647 ,647 ,9.176 ,9.176 ,377.078 ,377.078 ,195.105 ,191.466 ,101.027 ,0 ,0 ,90.440 ,0 ,3.639 ,0 ,3.639 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,213 ,213 ,213 ,0 ,0 ,0 
92.,METLIKA,4.838.921 ,2.721.912 ,1.876.965 ,1.334.944 ,1.334.944 ,200.985 ,157.540 ,0 ,2.971 ,40.473 ,341.037 ,1.519 ,0 ,0 ,339.518 ,0 ,0 ,844.947 ,203.902 ,0 ,513 ,73.210 ,130.179 ,28.914 ,28.914 ,179 ,179 ,0 ,0 ,611.951 ,611.951 ,19.133 ,17.614 ,17.614 ,0 ,0 ,0 ,0 ,1.519 ,0 ,1.519 ,0 ,164.927 ,164.927 ,0 ,164.927 ,0 ,0 ,0 ,1.932.949 ,1.932.949 ,1.856.647 ,76.302 ,0 ,0 
93.,MEŽICA,1.957.816 ,1.552.871 ,950.951 ,783.388 ,783.388 ,76.890 ,48.811 ,0 ,797 ,27.283 ,90.674 ,1.890 ,0 ,0 ,88.783 ,0 ,0 ,601.920 ,578.151 ,0 ,1.056 ,3.468 ,573.627 ,8.692 ,8.692 ,0 ,0 ,689 ,689 ,14.388 ,14.388 ,28.167 ,13.700 ,13.700 ,0 ,0 ,0 ,0 ,14.468 ,0 ,14.468 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,376.778 ,376.778 ,376.778 ,0 ,0 ,0 
94.,MIKLAVŽ NA DRAVSKEM POLJU,2.629.302 ,2.148.439 ,1.783.517 ,1.101.878 ,1.101.878 ,510.591 ,461.693 ,0 ,6.314 ,42.585 ,171.048 ,1.940 ,0 ,0 ,169.108 ,0 ,0 ,364.922 ,113.925 ,8.141 ,9.915 ,79.290 ,16.579 ,11.976 ,11.976 ,75 ,75 ,4.336 ,4.336 ,234.610 ,234.610 ,4.261 ,0 ,0 ,0 ,0 ,0 ,0 ,4.261 ,0 ,4.261 ,0 ,271 ,271 ,271 ,0 ,0 ,0 ,0 ,476.331 ,476.331 ,385.691 ,90.640 ,0 ,0 
95.,MIREN - KOSTANJEVICA,1.973.978 ,1.906.243 ,1.430.800 ,1.163.892 ,1.163.892 ,117.472 ,73.151 ,0 ,10.745 ,33.575 ,149.437 ,1.561 ,0 ,0 ,147.876 ,0 ,0 ,475.442 ,413.249 ,2.541 ,0 ,1.218 ,409.489 ,11.104 ,11.104 ,250 ,250 ,0 ,0 ,50.839 ,50.839 ,4.048 ,0 ,0 ,0 ,0 ,0 ,0 ,4.048 ,0 ,4.048 ,0 ,31.297 ,31.297 ,0 ,31.297 ,0 ,0 ,0 ,32.390 ,32.390 ,32.390 ,0 ,0 ,0 
96.,MIRNA PEČ,1.183.204 ,598.944 ,502.879 ,425.267 ,425.267 ,26.235 ,11.530 ,0 ,4.148 ,10.558 ,51.377 ,305 ,0 ,0 ,51.072 ,0 ,0 ,96.065 ,38.195 ,0 ,0 ,27.287 ,10.908 ,6.660 ,6.660 ,1.803 ,1.803 ,25.922 ,25.922 ,23.485 ,23.485 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,584.260 ,584.260 ,520.351 ,63.908 ,0 ,0 
97.,MISLINJA,2.172.008 ,1.358.550 ,1.109.898 ,889.701 ,889.701 ,72.162 ,58.504 ,0 ,1.698 ,11.960 ,148.035 ,10.378 ,0 ,0 ,137.656 ,0 ,0 ,248.652 ,182.803 ,0 ,0 ,49.675 ,133.129 ,12.865 ,12.865 ,163 ,163 ,1.402 ,1.402 ,51.419 ,51.419 ,61.092 ,9.431 ,9.431 ,0 ,0 ,0 ,0 ,51.661 ,0 ,51.661 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,752.366 ,752.366 ,743.440 ,8.926 ,0 ,0 
98.,MORAVČE,2.043.223 ,1.128.735 ,975.697 ,743.294 ,743.294 ,91.809 ,69.513 ,0 ,2.203 ,20.093 ,140.594 ,517 ,0 ,0 ,140.077 ,0 ,0 ,153.038 ,94.554 ,0 ,6.284 ,28.455 ,59.815 ,12.707 ,12.707 ,121 ,121 ,10.825 ,10.825 ,34.831 ,34.831 ,11.726 ,11.726 ,10.328 ,0 ,1.398 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,902.762 ,902.762 ,753.272 ,149.491 ,0 ,0 
99.,MORAVSKE TOPLICE,3.581.439 ,1.554.523 ,1.204.795 ,775.463 ,775.463 ,133.008 ,91.575 ,0 ,2.383 ,39.050 ,296.324 ,2.483 ,0 ,0 ,293.841 ,0 ,0 ,349.729 ,61.617 ,0 ,25 ,18.181 ,43.411 ,20.139 ,20.139 ,8 ,8 ,17.084 ,17.084 ,250.880 ,250.880 ,3.013 ,0 ,0 ,0 ,0 ,0 ,0 ,3.013 ,3.013 ,0 ,0 ,35.833 ,35.833 ,11.079 ,24.754 ,0 ,0 ,0 ,1.988.070 ,1.988.070 ,1.943.849 ,43.741 ,0 ,480 
100.,MOZIRJE,2.855.387 ,1.629.390 ,1.399.215 ,1.121.920 ,1.121.920 ,119.955 ,94.650 ,0 ,4.795 ,20.510 ,157.340 ,18.853 ,0 ,0 ,138.487 ,0 ,0 ,230.174 ,97.801 ,0 ,0 ,1.694 ,96.107 ,18.515 ,18.515 ,484 ,484 ,4 ,4 ,113.370 ,113.370 ,18.403 ,16.654 ,16.654 ,0 ,0 ,0 ,0 ,1.748 ,367 ,1.381 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.207.595 ,1.207.595 ,998.690 ,208.905 ,0 ,0 
101.,MESTNA OBČINA MURSKA SOBOTA,11.634.059 ,10.366.037 ,7.277.792 ,5.161.964 ,5.161.964 ,1.033.897 ,789.710 ,0 ,10.683 ,233.504 ,1.081.931 ,216.475 ,0 ,0 ,865.457 ,0 ,0 ,3.088.245 ,1.851.598 ,0 ,0 ,27.679 ,1.823.919 ,63.128 ,63.128 ,25.309 ,25.309 ,49.324 ,49.324 ,1.098.886 ,1.098.886 ,689.338 ,1.273 ,0 ,125 ,0 ,1.148 ,0 ,688.065 ,0 ,688.065 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,578.685 ,578.685 ,274.545 ,0 ,0 ,304.140 
102.,MUTA,1.618.444 ,1.030.129 ,841.462 ,557.240 ,557.240 ,199.979 ,180.921 ,0 ,818 ,18.240 ,84.243 ,5.270 ,0 ,104 ,78.868 ,0 ,0 ,188.666 ,132.140 ,0 ,918 ,2.258 ,128.964 ,9.844 ,9.844 ,309 ,309 ,7.419 ,7.419 ,38.954 ,38.954 ,2.596 ,2.003 ,2.003 ,0 ,0 ,0 ,0 ,593 ,0 ,593 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,585.720 ,585.720 ,585.720 ,0 ,0 ,0 
103.,NAKLO,2.376.135 ,2.245.865 ,1.707.303 ,1.267.873 ,1.267.873 ,257.845 ,221.136 ,0 ,2.128 ,34.581 ,181.585 ,810 ,0 ,0 ,180.775 ,0 ,0 ,538.562 ,119.145 ,0 ,1.907 ,49.825 ,67.414 ,9.881 ,9.881 ,384 ,384 ,37.540 ,37.540 ,371.612 ,371.612 ,76.723 ,346 ,0 ,0 ,346 ,0 ,0 ,76.377 ,0 ,76.377 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,53.547 ,53.547 ,53.547 ,0 ,0 ,0 
104.,NAZARJE,1.193.344 ,670.364 ,609.151 ,401.027 ,401.027 ,151.799 ,136.004 ,0 ,200 ,15.594 ,56.326 ,0 ,0 ,0 ,56.326 ,0 ,0 ,61.213 ,27.116 ,0 ,0 ,680 ,26.435 ,16.487 ,16.487 ,142 ,142 ,0 ,0 ,17.468 ,17.468 ,11.183 ,5.671 ,5.671 ,0 ,0 ,0 ,0 ,5.512 ,0 ,5.512 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,511.797 ,511.797 ,503.589 ,8.208 ,0 ,0 
105.,MESTNA OBČINA NOVA GORICA,24.783.676 ,23.515.452 ,16.828.238 ,11.501.344 ,11.501.344 ,2.688.211 ,2.191.930 ,0 ,66.546 ,429.736 ,2.638.683 ,865.256 ,0 ,0 ,1.773.427 ,0 ,0 ,6.687.214 ,6.054.498 ,1.694 ,143.123 ,168.924 ,5.740.757 ,131.589 ,131.589 ,21.161 ,21.161 ,15.982 ,15.982 ,463.983 ,463.983 ,1.035.357 ,127.516 ,123.953 ,3.564 ,0 ,0 ,0 ,907.841 ,14.593 ,893.248 ,0 ,1.669 ,1.669 ,0 ,1.669 ,0 ,0 ,0 ,231.197 ,231.197 ,100.338 ,130.859 ,0 ,0 
106.,MESTNA OBČINA NOVO MESTO,26.234.539 ,24.150.442 ,16.601.327 ,11.816.562 ,11.816.562 ,3.130.270 ,2.618.599 ,0 ,35.854 ,475.818 ,1.654.494 ,96.766 ,0 ,0 ,1.557.728 ,0 ,0 ,7.549.115 ,5.364.417 ,0 ,0 ,68.494 ,5.295.923 ,102.967 ,102.967 ,59.543 ,59.543 ,138.454 ,138.454 ,1.883.734 ,1.883.734 ,1.990.048 ,652.095 ,652.095 ,0 ,0 ,0 ,0 ,1.337.953 ,0 ,1.337.953 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,94.049 ,94.049 ,94.049 ,0 ,0 ,0 
107.,ODRANCI,757.121 ,288.564 ,167.943 ,131.506 ,131.506 ,13.442 ,5.751 ,0 ,916 ,6.775 ,22.994 ,297 ,0 ,0 ,22.698 ,0 ,0 ,120.622 ,3.677 ,444 ,0 ,3.135 ,98 ,4.177 ,4.177 ,85 ,85 ,0 ,0 ,112.683 ,112.683 ,935 ,935 ,935 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,467.622 ,467.622 ,467.622 ,0 ,0 ,0 
108.,OPLOTNICA,1.438.441 ,702.470 ,631.848 ,518.056 ,518.056 ,58.676 ,49.462 ,0 ,-275 ,9.489 ,55.116 ,313 ,0 ,0 ,54.803 ,0 ,0 ,70.623 ,40.799 ,0 ,109 ,655 ,40.035 ,10.716 ,10.716 ,17 ,17 ,555 ,555 ,18.536 ,18.536 ,8.726 ,8.726 ,8.726 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.338 ,3.338 ,3.338 ,0 ,0 ,0 ,0 ,723.907 ,723.907 ,709.840 ,0 ,0 ,14.067 
109.,ORMOŽ,9.206.314 ,5.157.699 ,4.477.829 ,2.270.418 ,2.270.418 ,968.027 ,908.070 ,0 ,7.728 ,52.228 ,1.239.384 ,28.626 ,0 ,0 ,1.210.758 ,0 ,0 ,679.870 ,192.309 ,12.615 ,0 ,29.286 ,150.409 ,56.055 ,56.055 ,10.169 ,10.169 ,77.591 ,77.591 ,343.745 ,343.745 ,267.021 ,175.714 ,175.714 ,0 ,0 ,0 ,0 ,91.308 ,142 ,91.166 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.781.593 ,3.781.593 ,3.681.518 ,28.985 ,0 ,71.090 
110.,OSILNICA,306.535 ,79.548 ,64.109 ,56.451 ,56.451 ,4.624 ,4.402 ,0 ,154 ,67 ,3.034 ,0 ,0 ,0 ,3.034 ,0 ,0 ,15.440 ,13.049 ,0 ,0 ,267 ,12.782 ,2.112 ,2.112 ,250 ,250 ,29 ,29 ,0 ,0 ,789 ,0 ,0 ,0 ,0 ,0 ,0 ,789 ,789 ,0 ,0 ,668 ,668 ,668 ,0 ,0 ,0 ,0 ,225.530 ,225.530 ,225.530 ,0 ,0 ,0 
111.,PESNICA,3.606.960 ,1.656.163 ,1.321.474 ,964.321 ,964.321 ,182.958 ,111.175 ,334 ,13.988 ,57.461 ,174.195 ,2.003 ,0 ,0 ,172.192 ,0 ,0 ,334.690 ,66.483 ,0 ,2.458 ,31.476 ,32.549 ,22.509 ,22.509 ,697 ,697 ,0 ,0 ,245.001 ,245.001 ,507.169 ,50.559 ,50.559 ,0 ,0 ,0 ,0 ,456.610 ,0 ,456.610 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.443.628 ,1.443.628 ,1.443.628 ,0 ,0 ,0 
112.,PIRAN,13.330.220 ,11.116.767 ,8.306.376 ,5.243.148 ,5.243.148 ,1.539.000 ,830.492 ,1.248 ,38.203 ,669.058 ,1.524.228 ,57.328 ,0 ,0 ,1.466.900 ,0 ,0 ,2.810.391 ,1.021.524 ,0 ,47.851 ,137.152 ,836.521 ,68.102 ,68.102 ,49.466 ,49.466 ,34.289 ,34.289 ,1.637.010 ,1.637.010 ,1.986.880 ,235.073 ,235.073 ,0 ,0 ,0 ,0 ,1.751.807 ,5.537 ,1.746.269 ,0 ,2.086 ,2.086 ,2.086 ,0 ,0 ,0 ,0 ,224.487 ,224.487 ,224.487 ,0 ,0 ,0 
113.,PIVKA,2.812.227 ,1.851.669 ,1.649.791 ,1.174.157 ,1.174.157 ,182.315 ,130.967 ,21 ,10.854 ,40.473 ,293.319 ,1.828 ,0 ,0 ,291.491 ,0 ,0 ,201.878 ,70.806 ,0 ,0 ,4.515 ,66.291 ,16.012 ,16.012 ,125 ,125 ,27.813 ,27.813 ,87.122 ,87.122 ,75.651 ,0 ,0 ,0 ,0 ,0 ,0 ,75.651 ,25.242 ,50.409 ,0 ,480 ,480 ,480 ,0 ,0 ,0 ,0 ,884.427 ,884.427 ,856.426 ,0 ,0 ,28.000 
114.,PODČETRTEK,1.980.888 ,861.688 ,744.271 ,354.394 ,354.394 ,130.049 ,97.334 ,0 ,3.192 ,29.523 ,259.827 ,1.072 ,0 ,0 ,258.755 ,0 ,0 ,117.418 ,27.938 ,0 ,0 ,1.148 ,26.790 ,12.915 ,12.915 ,1.794 ,1.794 ,0 ,0 ,74.770 ,74.770 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.119.200 ,1.119.200 ,1.099.570 ,0 ,0 ,19.629 
115.,PODLEHNIK,1.768.958 ,454.323 ,275.296 ,176.256 ,176.256 ,10.954 ,6.122 ,0 ,1.148 ,3.685 ,88.086 ,188 ,0 ,0 ,87.899 ,0 ,0 ,179.027 ,33.575 ,0 ,0 ,2.575 ,31.001 ,7.052 ,7.052 ,0 ,0 ,0 ,0 ,138.399 ,138.399 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.314.634 ,1.314.634 ,1.176.623 ,138.011 ,0 ,0 
116.,PODVELKA,1.575.209 ,833.918 ,759.585 ,297.041 ,297.041 ,410.349 ,401.544 ,0 ,2.587 ,6.218 ,52.195 ,1.995 ,0 ,0 ,50.200 ,0 ,0 ,74.332 ,51.932 ,0 ,964 ,14.856 ,36.113 ,10.416 ,10.416 ,88 ,88 ,0 ,0 ,11.897 ,11.897 ,505 ,0 ,0 ,0 ,0 ,0 ,0 ,505 ,159 ,346 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,740.786 ,740.786 ,687.127 ,53.660 ,0 ,0 
117.,POLZELA,2.050.568 ,1.355.583 ,1.203.338 ,919.542 ,919.542 ,125.138 ,92.455 ,121 ,2.591 ,29.970 ,158.659 ,1.131 ,0 ,0 ,157.528 ,0 ,0 ,152.245 ,49.691 ,0 ,2.533 ,6.264 ,40.895 ,11.617 ,11.617 ,163 ,163 ,7.411 ,7.411 ,83.363 ,83.363 ,51.703 ,0 ,0 ,0 ,0 ,0 ,0 ,51.703 ,0 ,51.703 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,643.282 ,643.282 ,603.301 ,25.743 ,0 ,14.238 
