16.,CERKLJE NA GORENJSKEM,3.534.581 ,2.266.241 ,1.904.536 ,1.298.644 ,1.298.644 ,247.066 ,164.814 ,0 ,13.470 ,68.782 ,358.826 ,780 ,0 ,0 ,358.045 ,0 ,0 ,361.705 ,193.611 ,0 ,2.404 ,69.342 ,121.866 ,20.510 ,20.510 ,1.102 ,1.102 ,22.016 ,22.016 ,124.466 ,124.466 ,180.738 ,114.146 ,113.416 ,0 ,0 ,730 ,0 ,66.592 ,35.399 ,31.193 ,0 ,44.646 ,44.646 ,41.729 ,2.917 ,0 ,0 ,0 ,1.042.956 ,1.042.956 ,700.914 ,342.042 ,0 ,0 
17.,CERKNICA,5.162.076 ,3.291.153 ,3.015.961 ,2.178.105 ,2.178.105 ,515.144 ,382.394 ,0 ,20.956 ,111.793 ,322.713 ,19.567 ,0 ,0 ,303.146 ,0 ,0 ,275.192 ,144.104 ,0 ,0 ,830 ,143.273 ,27.879 ,27.879 ,1.673 ,1.673 ,0 ,0 ,101.536 ,101.536 ,673.773 ,140.694 ,140.694 ,0 ,0 ,0 ,0 ,533.079 ,0 ,533.079 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.197.150 ,1.197.150 ,1.190.986 ,0 ,0 ,6.163 
18.,CERKNO,2.503.009 ,1.886.526 ,1.418.999 ,1.241.763 ,1.241.763 ,115.027 ,108.655 ,0 ,513 ,5.859 ,62.210 ,1.982 ,0 ,0 ,60.228 ,0 ,0 ,467.526 ,388.282 ,2.266 ,6.618 ,0 ,379.398 ,13.896 ,13.896 ,459 ,459 ,3.351 ,3.351 ,61.538 ,61.538 ,17.409 ,14.597 ,14.597 ,0 ,0 ,0 ,0 ,2.813 ,2.333 ,480 ,0 ,3.009 ,3.009 ,3.009 ,0 ,0 ,0 ,0 ,596.065 ,596.065 ,596.065 ,0 ,0 ,0 
19.,CERKVENJAK,1.087.177 ,409.051 ,250.150 ,167.868 ,167.868 ,33.517 ,28.597 ,0 ,300 ,4.619 ,48.765 ,2.541 ,0 ,0 ,46.224 ,0 ,0 ,158.901 ,15.561 ,0 ,0 ,9.543 ,6.017 ,5.504 ,5.504 ,171 ,171 ,23.815 ,23.815 ,113.850 ,113.850 ,16.066 ,3.547 ,3.547 ,0 ,0 ,0 ,0 ,12.519 ,12.519 ,0 ,0 ,12.364 ,12.364 ,12.364 ,0 ,0 ,0 ,0 ,649.695 ,649.695 ,642.142 ,7.553 ,0 ,0 
20.,ČRENŠOVCI,2.966.534 ,728.398 ,518.788 ,440.184 ,440.184 ,14.820 ,11.693 ,34 ,551 ,2.541 ,63.785 ,17.394 ,0 ,0 ,46.390 ,0 ,0 ,209.610 ,21.530 ,0 ,0 ,14.576 ,6.954 ,12.067 ,12.067 ,142 ,142 ,34.552 ,34.552 ,141.319 ,141.319 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.238.136 ,2.238.136 ,1.860.620 ,377.516 ,0 ,0 
21.,ČRNA NA KOROŠKEM,1.944.984 ,1.116.600 ,811.834 ,589.872 ,589.872 ,134.510 ,125.267 ,0 ,488 ,8.755 ,87.452 ,5.300 ,0 ,0 ,82.152 ,0 ,0 ,304.765 ,98.222 ,0 ,743 ,5.596 ,91.884 ,11.839 ,11.839 ,0 ,0 ,189.438 ,189.438 ,5.266 ,5.266 ,23.410 ,21.453 ,21.453 ,0 ,0 ,0 ,0 ,1.957 ,0 ,1.957 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,804.974 ,804.974 ,716.717 ,0 ,0 ,88.257 
22.,ČRNOMELJ,6.527.450 ,3.333.004 ,3.078.768 ,2.420.114 ,2.420.114 ,220.556 ,148.928 ,0 ,10.779 ,60.850 ,438.099 ,11.008 ,0 ,0 ,427.091 ,0 ,0 ,254.236 ,90.331 ,0 ,0 ,1.114 ,89.217 ,44.216 ,44.216 ,805 ,805 ,2.011 ,2.011 ,116.871 ,116.871 ,63.967 ,56.038 ,56.038 ,0 ,0 ,0 ,0 ,7.929 ,1.444 ,6.485 ,0 ,626 ,626 ,626 ,0 ,0 ,0 ,0 ,3.129.853 ,3.129.853 ,3.129.853 ,0 ,0 ,0 
23.,DESTRNIK,1.280.241 ,497.455 ,361.526 ,265.331 ,265.331 ,54.156 ,47.872 ,21 ,643 ,5.621 ,38.721 ,71 ,0 ,0 ,38.650 ,3.317 ,3.317 ,135.929 ,5.517 ,0 ,0 ,2.696 ,2.821 ,8.525 ,8.525 ,209 ,209 ,0 ,0 ,121.678 ,121.678 ,200 ,200 ,0 ,0 ,0 ,200 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,782.586 ,782.586 ,782.586 ,0 ,0 ,0 
24.,DIVAČA,1.708.471 ,1.490.536 ,1.199.524 ,912.548 ,912.548 ,184.802 ,162.494 ,0 ,6.564 ,15.744 ,102.174 ,2.796 ,0 ,0 ,99.378 ,0 ,0 ,291.012 ,261.680 ,3.142 ,0 ,41.249 ,217.288 ,9.126 ,9.126 ,92 ,92 ,976 ,976 ,19.137 ,19.137 ,86.676 ,54.340 ,54.340 ,0 ,0 ,0 ,0 ,32.336 ,0 ,32.336 ,0 ,5.387 ,5.387 ,5.387 ,0 ,0 ,0 ,0 ,125.872 ,125.872 ,125.872 ,0 ,0 ,0 
25.,DOBJE,427.316 ,162.519 ,119.024 ,107.716 ,107.716 ,1.064 ,363 ,0 ,96 ,605 ,10.245 ,7.616 ,0 ,0 ,2.629 ,0 ,0 ,43.494 ,21.249 ,0 ,0 ,1.294 ,19.955 ,2.629 ,2.629 ,0 ,0 ,0 ,0 ,19.617 ,19.617 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,264.797 ,264.797 ,264.797 ,0 ,0 ,0 
