15.,MESTNA OBČINA CELJE,38.514.847 ,8.405.312 ,2.331.047 ,335.858 ,5.615.849 ,255.237 ,235.366 ,621.332 ,33.433 ,14.184 ,2.396.315 ,455.058 ,119.008 ,124.858 ,1.361.058 ,65.160 ,65.160 ,0 ,0 ,0 ,57.399 ,36.534 ,20.865 ,0 ,11.351.072 ,313.958 ,256.510 ,57.449 ,1.639.004 ,0 ,0 ,274.499 ,0 ,0 ,1.364.505 ,342.414 ,342.414 ,9.055.696 ,280.070 ,539.484 ,188.633 ,8.047.509 ,0 ,11.960.837 ,11.960.837 ,563.111 ,0 ,180.834 ,1.127 ,9.413.929 ,914.246 ,722.004 ,0 ,165.586 ,6.797.626 ,6.797.626 ,73.827 ,0 ,0 ,1.551.189 ,0 ,0 ,0 ,5.172.609 ,0 ,654.415 
16.,CERKLJE NA GORENJSKEM,3.590.361 ,720.990 ,110.257 ,15.244 ,566.053 ,67.485 ,12.531 ,81.981 ,5.563 ,1.264 ,291.308 ,555 ,2.733 ,4.402 ,98.231 ,0 ,0 ,0 ,0 ,0 ,29.436 ,22.133 ,7.303 ,0 ,841.199 ,56.935 ,0 ,56.935 ,609.185 ,2.379 ,7.762 ,417 ,0 ,334 ,598.293 ,85.232 ,85.232 ,89.847 ,0 ,15.594 ,989 ,73.264 ,0 ,1.567.188 ,1.567.188 ,0 ,0 ,296.007 ,11.805 ,1.135.207 ,4.286 ,12.715 ,0 ,107.169 ,460.983 ,460.983 ,0 ,0 ,71.708 ,368.411 ,0 ,0 ,0 ,20.865 ,0 ,-176.102 
17.,CERKNICA,6.144.880 ,1.644.738 ,341.185 ,49.880 ,1.224.429 ,114.488 ,31.905 ,102.808 ,15.050 ,1.485 ,821.433 ,6.271 ,3.968 ,16.279 ,110.741 ,29.243 ,23.661 ,0 ,5.582 ,0 ,0 ,0 ,0 ,0 ,2.192.996 ,23.096 ,0 ,23.096 ,419.770 ,300 ,0 ,1.987 ,0 ,0 ,417.483 ,254.366 ,254.366 ,1.495.764 ,0 ,44.811 ,6.241 ,1.444.713 ,0 ,2.131.735 ,2.131.735 ,138.050 ,0 ,170.005 ,0 ,1.517.897 ,96.501 ,22.510 ,0 ,186.773 ,175.410 ,175.410 ,0 ,0 ,76.811 ,0 ,0 ,0 ,0 ,98.599 ,0 ,-122.262 
18.,CERKNO,2.769.125 ,728.543 ,166.491 ,25.033 ,518.436 ,48.798 ,51.469 ,9.706 ,1.844 ,129.832 ,3.343 ,0 ,10.194 ,263.249 ,0 ,3.242 ,0 ,0 ,3.242 ,0 ,15.340 ,15.340 ,0 ,0 ,1.185.236 ,39.292 ,0 ,39.292 ,421.420 ,0 ,0 ,0 ,0 ,1.602 ,419.817 ,139.117 ,139.117 ,585.407 ,55.926 ,21.841 ,0 ,507.641 ,0 ,695.806 ,695.806 ,25.142 ,0 ,20.844 ,634 ,558.738 ,0 ,2.675 ,0 ,87.773 ,159.539 ,159.539 ,4.407 ,4.373 ,14.188 ,0 ,0 ,30.901 ,4.173 ,101.498 ,0 ,-5.154 
19.,CERKVENJAK,924.532 ,266.036 ,87.939 ,12.646 ,158.571 ,16.621 ,0 ,40.927 ,3.946 ,3.957 ,62.675 ,0 ,0 ,3.781 ,26.665 ,6.743 ,0 ,6.743 ,0 ,0 ,138 ,138 ,0 ,0 ,320.064 ,9.456 ,0 ,9.456 ,180.688 ,0 ,0 ,0 ,0 ,0 ,180.688 ,29.651 ,29.651 ,100.268 ,0 ,17.793 ,0 ,82.475 ,0 ,321.921 ,321.921 ,0 ,4.373 ,18.138 ,0 ,273.585 ,4.104 ,6.197 ,0 ,15.523 ,16.512 ,16.512 ,0 ,0 ,1.678 ,4.607 ,0 ,0 ,1.466 ,8.761 ,0 ,190.096 
20.,ČRENŠOVCI,2.105.953 ,298.310 ,104.796 ,18.263 ,168.645 ,54.729 ,5.137 ,45.270 ,152 ,7.698 ,24.541 ,0 ,0 ,0 ,31.118 ,0 ,0 ,0 ,0 ,0 ,6.606 ,6.606 ,0 ,0 ,736.937 ,30.842 ,0 ,30.842 ,68.172 ,0 ,0 ,3.422 ,0 ,0 ,64.750 ,45.999 ,45.999 ,591.924 ,29.210 ,57.134 ,0 ,505.579 ,0 ,884.531 ,884.531 ,55.266 ,7.568 ,13.745 ,0 ,673.605 ,48.332 ,5.722 ,3.222 ,77.072 ,186.176 ,186.176 ,0 ,0 ,147.011 ,39.166 ,0 ,0 ,0 ,0 ,0 ,-8.357 
21.,ČRNA NA KOROŠKEM,2.345.314 ,1.014.547 ,178.075 ,25.697 ,786.889 ,76.765 ,7.069 ,197.041 ,6.335 ,2.078 ,334.527 ,11.960 ,1.043 ,7.799 ,142.272 ,9.677 ,9.677 ,0 ,0 ,0 ,14.209 ,5.863 ,8.346 ,0 ,800.263 ,4.532 ,0 ,4.532 ,368.482 ,0 ,0 ,3.038 ,0 ,0 ,365.444 ,155.850 ,155.850 ,271.399 ,5.842 ,24.428 ,1.815 ,239.313 ,0 ,250.926 ,250.926 ,15.185 ,0 ,31.622 ,0 ,168.544 ,9.865 ,9.619 ,0 ,16.091 ,279.578 ,279.578 ,0 ,17.710 ,12.519 ,96.069 ,0 ,0 ,0 ,153.280 ,0 ,-136.647 
22.,ČRNOMELJ,7.790.248 ,1.420.623 ,387.218 ,59.176 ,894.083 ,92.334 ,0 ,50.204 ,4.565 ,7.382 ,459.660 ,8.054 ,64.593 ,19.375 ,187.915 ,43.795 ,0 ,9.915 ,33.855 ,25 ,36.350 ,2.833 ,33.517 ,0 ,2.706.910 ,91.116 ,0 ,91.116 ,1.425.042 ,0 ,0 ,0 ,0 ,3.092 ,1.421.950 ,229.110 ,229.110 ,961.642 ,92.080 ,76.982 ,10.562 ,782.019 ,0 ,3.309.715 ,3.309.715 ,32.799 ,16.220 ,148.039 ,0 ,2.904.674 ,29.807 ,5.366 ,0 ,172.809 ,353.000 ,353.000 ,43.770 ,0 ,39.184 ,0 ,0 ,0 ,0 ,270.047 ,0 ,226.456 
23.,DESTRNIK,1.401.252 ,443.344 ,173.281 ,22.325 ,242.105 ,41.324 ,4.198 ,42.293 ,12.456 ,785 ,73.489 ,0 ,772 ,4.978 ,61.809 ,5.633 ,5.633 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,453.935 ,10.954 ,0 ,10.954 ,301.961 ,2.328 ,2.145 ,0 ,0 ,0 ,297.488 ,23.590 ,23.590 ,117.430 ,0 ,31.577 ,0 ,85.854 ,0 ,493.912 ,493.912 ,0 ,0 ,40.390 ,53.589 ,227.120 ,108.446 ,35.695 ,1.173 ,27.500 ,10.061 ,10.061 ,5.742 ,0 ,0 ,0 ,0 ,0 ,0 ,4.319 ,0 ,140.857 
24.,DIVAČA,2.012.911 ,360.503 ,147.834 ,21.224 ,188.174 ,46.253 ,0 ,23.665 ,0 ,2.207 ,6.610 ,0 ,0 ,9.635 ,99.804 ,0 ,0 ,0 ,0 ,0 ,3.272 ,0 ,3.272 ,0 ,1.066.375 ,49.604 ,0 ,49.604 ,314.017 ,0 ,388 ,0 ,0 ,9.114 ,304.515 ,76.990 ,76.990 ,625.764 ,52.316 ,19.125 ,3.046 ,551.277 ,0 ,374.733 ,374.733 ,0 ,0 ,14.451 ,0 ,314.776 ,14.476 ,0 ,0 ,31.030 ,211.300 ,211.300 ,122.500 ,0 ,16.366 ,0 ,0 ,0 ,0 ,72.434 ,0 ,-655 
25.,DOBJE,377.946 ,135.407 ,44.049 ,6.088 ,85.061 ,20.335 ,4.411 ,10.136 ,5.095 ,175 ,30.713 ,0 ,0 ,1.143 ,13.053 ,0 ,0 ,0 ,0 ,0 ,209 ,209 ,0 ,0 ,161.380 ,3.939 ,384 ,3.555 ,84.815 ,0 ,376 ,3.547 ,0 ,0 ,80.892 ,17.347 ,17.347 ,55.279 ,0 ,9.301 ,376 ,45.602 ,0 ,63.099 ,63.099 ,0 ,0 ,3.660 ,0 ,0 ,48.640 ,3.055 ,0 ,7.745 ,18.060 ,18.060 ,0 ,0 ,835 ,1.089 ,0 ,0 ,0 ,16.137 ,0 ,50.634 
26.,DOBREPOLJE,2.090.227 ,361.158 ,105.400 ,15.265 ,237.469 ,31.234 ,9.644 ,40.916 ,1.661 ,2.596 ,119.834 ,0 ,0 ,4.469 ,27.116 ,8 ,0 ,0 ,8 ,0 ,3.017 ,0 ,3.017 ,0 ,729.031 ,11.876 ,0 ,11.876 ,509.752 ,751 ,0 ,0 ,0 ,0 ,509.001 ,94.187 ,94.187 ,113.216 ,2.733 ,13.595 ,3.626 ,93.261 ,0 ,791.128 ,791.128 ,14.605 ,0 ,14.760 ,0 ,570.860 ,44.579 ,86.087 ,0 ,60.236 ,208.909 ,208.909 ,0 ,0 ,14.397 ,161.329 ,0 ,0 ,0 ,33.183 ,0 ,-101.527 
27.,DOBRNA,1.448.615 ,576.164 ,125.730 ,17.318 ,428.317 ,93.323 ,6.940 ,44.266 ,34.844 ,7.503 ,129.887 ,13.925 ,25.033 ,4.273 ,68.323 ,0 ,0 ,0 ,0 ,0 ,4.799 ,626 ,4.173 ,0 ,441.683 ,14.063 ,0 ,14.063 ,243.190 ,0 ,0 ,0 ,0 ,0 ,243.190 ,46.641 ,46.641 ,137.790 ,6.076 ,17.226 ,0 ,114.488 ,0 ,412.235 ,412.235 ,109.264 ,0 ,13.975 ,0 ,136.171 ,5.951 ,3.063 ,922 ,142.889 ,18.532 ,18.532 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18.532 ,0 ,-154.240 
