65.,MESTNA OBČINA KOPER,34.192.401 ,5.599.437 ,2.246.591 ,319.471 ,2.822.747 ,408.442 ,24.207 ,187.840 ,63.808 ,21.787 ,799.808 ,42.130 ,0 ,111.288 ,1.163.437 ,65.181 ,24.929 ,0 ,40.252 ,0 ,145.447 ,103.718 ,41.729 ,0 ,17.078.393 ,1.079.256 ,0 ,1.079.256 ,6.549.570 ,0 ,0 ,0 ,0 ,0 ,6.549.570 ,1.822.225 ,1.822.225 ,7.627.341 ,481.618 ,385.491 ,604.106 ,6.156.126 ,0 ,8.353.714 ,8.353.714 ,144.525 ,45.990 ,597.534 ,40.285 ,4.601.740 ,1.240.231 ,906.823 ,96.411 ,680.174 ,3.160.858 ,3.160.858 ,232.678 ,437.727 ,179.749 ,1.928.226 ,0 ,70.911 ,0 ,311.567 ,0 ,979.686 
66.,KOSTEL,550.568 ,235.708 ,94.133 ,8.625 ,132.741 ,38.504 ,764 ,30.942 ,0 ,8.680 ,41.049 ,1.844 ,0 ,0 ,10.958 ,209 ,0 ,0 ,209 ,0 ,0 ,0 ,0 ,0 ,171.119 ,722 ,0 ,722 ,111.922 ,0 ,0 ,18.261 ,0 ,0 ,93.661 ,16.525 ,16.525 ,41.950 ,12.423 ,0 ,2.116 ,27.412 ,0 ,143.741 ,143.741 ,0 ,0 ,0 ,501 ,31.468 ,94.421 ,618 ,0 ,16.733 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.140 
67.,KOZJE,1.783.930 ,435.908 ,110.482 ,16.541 ,304.115 ,40.277 ,1.490 ,14.847 ,0 ,8.580 ,181.522 ,38 ,0 ,7.006 ,50.355 ,3.935 ,3.935 ,0 ,0 ,0 ,835 ,0 ,835 ,0 ,876.928 ,44.838 ,0 ,44.838 ,277.616 ,0 ,0 ,0 ,0 ,0 ,277.616 ,65.565 ,65.565 ,488.908 ,64.167 ,49.574 ,3.706 ,371.461 ,0 ,440.724 ,440.724 ,2.504 ,0 ,13.524 ,3.384 ,383.680 ,13.024 ,0 ,0 ,24.608 ,30.371 ,30.371 ,0 ,0 ,0 ,2.504 ,0 ,0 ,3.459 ,24.407 ,0 ,12.698 
68.,MESTNA OBČINA KRANJ,28.857.645 ,7.021.574 ,1.449.992 ,207.966 ,3.787.373 ,445.790 ,73.623 ,469.554 ,30.062 ,6.364 ,1.990.928 ,8.488 ,182.995 ,75.743 ,503.827 ,0 ,0 ,0 ,0 ,0 ,1.576.244 ,0 ,41.729 ,1.534.514 ,12.075.972 ,690.252 ,0 ,690.252 ,2.106.794 ,0 ,0 ,21.887 ,0 ,0 ,2.084.907 ,809.310 ,809.310 ,8.469.617 ,320.802 ,329.912 ,0 ,7.818.903 ,0 ,4.373.085 ,4.373.085 ,0 ,0 ,439.718 ,29 ,1.684.026 ,1.349.658 ,393.553 ,0 ,506.101 ,5.387.014 ,5.387.014 ,572.054 ,0 ,372.538 ,2.295.694 ,0 ,0 ,0 ,2.146.728 ,0 ,601.778 
69.,KRANJSKA GORA,5.685.754 ,2.293.194 ,360.399 ,52.867 ,1.866.537 ,80.905 ,1.026.527 ,56.130 ,5.467 ,4.478 ,525.075 ,34.130 ,14.597 ,21.265 ,97.964 ,0 ,0 ,0 ,0 ,0 ,13.391 ,10.432 ,2.959 ,0 ,1.505.521 ,42.288 ,0 ,42.288 ,461.609 ,0 ,274.044 ,0 ,0 ,0 ,187.565 ,297.717 ,297.717 ,703.906 ,17.055 ,43.144 ,0 ,643.707 ,0 ,1.236.738 ,1.236.738 ,259.185 ,11.601 ,31.702 ,0 ,762.214 ,3.226 ,33.333 ,0 ,135.478 ,650.300 ,650.300 ,0 ,0 ,136.200 ,392.147 ,0 ,0 ,0 ,121.954 ,0 ,139.117 
70.,KRIŽEVCI,1.471.788 ,225.721 ,87.716 ,12.711 ,119.846 ,16.158 ,1.129 ,43.519 ,1.922 ,1.175 ,17.447 ,0 ,417 ,3.793 ,34.285 ,1.657 ,0 ,0 ,1.657 ,0 ,3.791 ,1.794 ,1.997 ,0 ,680.890 ,53.099 ,0 ,53.099 ,240.312 ,0 ,0 ,0 ,0 ,2.213 ,238.099 ,44.492 ,44.492 ,342.987 ,0 ,24.566 ,485 ,317.937 ,0 ,181.653 ,181.653 ,5.158 ,14.142 ,8.888 ,15.156 ,90.536 ,2.549 ,11.533 ,0 ,33.691 ,383.524 ,383.524 ,0 ,0 ,16.929 ,292.488 ,0 ,0 ,0 ,74.107 ,0 ,108.625 
71.,KRŠKO,19.266.521 ,4.594.821 ,1.035.215 ,150.225 ,3.100.238 ,263.645 ,45.610 ,377.495 ,35.057 ,11.517 ,1.770.656 ,17.518 ,0 ,50.739 ,528.000 ,216.875 ,216.817 ,0 ,58 ,0 ,92.268 ,0 ,92.268 ,0 ,7.026.123 ,457.011 ,5.346 ,451.665 ,3.368.002 ,0 ,0 ,12.423 ,0 ,3.751 ,3.351.828 ,807.361 ,807.361 ,2.393.749 ,355.295 ,260.307 ,48.961 ,1.729.185 ,0 ,3.850.747 ,3.850.747 ,11.684 ,15.857 ,86.259 ,10.966 ,2.439.943 ,353.230 ,456.835 ,7.102 ,468.870 ,3.794.830 ,3.794.830 ,352.078 ,0 ,86.922 ,969.746 ,0 ,2.959 ,106.664 ,2.270.890 ,5.571 ,-773.068 
72.,KUNGOTA,2.436.476 ,290.310 ,114.459 ,15.749 ,134.214 ,36.801 ,1.440 ,10.645 ,0 ,2.099 ,0 ,0 ,0 ,5.212 ,78.017 ,11.530 ,0 ,0 ,11.530 ,0 ,14.359 ,14.359 ,0 ,0 ,1.077.078 ,0 ,0 ,0 ,299.616 ,120.447 ,5.145 ,3.572 ,0 ,0 ,170.452 ,82.507 ,82.507 ,694.955 ,123.514 ,68.761 ,62.327 ,440.352 ,0 ,248.356 ,248.356 ,0 ,9.765 ,7.549 ,20.389 ,0 ,158.087 ,0 ,0 ,52.566 ,820.731 ,820.731 ,820.731 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-14.647 
73.,KUZMA,1.011.626 ,407.645 ,87.611 ,28.630 ,206.823 ,28.973 ,4.757 ,29.461 ,7.282 ,4.945 ,97.517 ,4.148 ,0 ,0 ,29.740 ,0 ,0 ,0 ,0 ,0 ,84.581 ,0 ,26.160 ,58.421 ,284.856 ,3.914 ,0 ,3.914 ,139.564 ,0 ,0 ,25.367 ,0 ,0 ,114.196 ,77.316 ,77.316 ,64.063 ,0 ,0 ,1.373 ,62.690 ,0 ,311.926 ,311.926 ,0 ,0 ,11.839 ,3.338 ,199.153 ,86.158 ,1.156 ,0 ,10.282 ,7.198 ,7.198 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.198 ,0 ,36.910 
74.,LAŠKO,6.961.642 ,1.315.740 ,527.174 ,74.595 ,589.651 ,85.069 ,0 ,91.867 ,24.579 ,4.832 ,39.835 ,79.962 ,0 ,23.973 ,239.534 ,62.803 ,62.803 ,0 ,0 ,0 ,61.517 ,11.309 ,50.209 ,0 ,3.330.166 ,0 ,0 ,0 ,1.495.272 ,0 ,0 ,0 ,0 ,0 ,1.495.272 ,210.837 ,210.837 ,1.624.057 ,197.242 ,110.624 ,48.381 ,1.267.810 ,0 ,1.821.733 ,1.821.733 ,8.563 ,0 ,88.971 ,1.790 ,1.387.185 ,72.642 ,55.734 ,0 ,206.848 ,494.004 ,494.004 ,24.128 ,19.700 ,75.292 ,255.742 ,0 ,0 ,0 ,119.141 ,0 ,-47.066 
75.,LENART,6.540.198 ,1.529.427 ,356.335 ,50.175 ,1.059.185 ,67.948 ,14.993 ,335.946 ,12.836 ,5.016 ,472.121 ,1.010 ,0 ,16.057 ,133.258 ,24.249 ,0 ,0 ,24.249 ,0 ,39.484 ,13.896 ,25.588 ,0 ,2.189.639 ,115.390 ,0 ,115.390 ,1.412.093 ,59.473 ,0 ,0 ,0 ,0 ,1.352.621 ,237.465 ,237.465 ,424.691 ,55.863 ,58.196 ,0 ,310.633 ,0 ,458.801 ,458.801 ,194.634 ,0 ,23.485 ,0 ,90.160 ,50.029 ,100.492 ,0 ,0 ,2.362.331 ,2.362.331 ,0 ,0 ,0 ,0 ,0 ,0 ,6.869 ,2.355.462 ,0 ,-326.928 
76.,LENDAVA,7.315.365 ,1.448.345 ,572.133 ,83.056 ,776.405 ,107.963 ,44.193 ,126.980 ,20.128 ,10.386 ,275.965 ,15.931 ,0 ,28.350 ,146.508 ,12.578 ,0 ,0 ,12.578 ,0 ,4.173 ,0 ,4.173 ,0 ,2.574.718 ,82.390 ,0 ,82.390 ,355.374 ,0 ,0 ,31.088 ,0 ,12.678 ,311.607 ,237.816 ,237.816 ,1.899.137 ,282.581 ,162.307 ,86.797 ,1.367.452 ,0 ,2.912.457 ,2.912.457 ,40.803 ,29.888 ,27.694 ,0 ,2.429.162 ,248.098 ,39.315 ,0 ,97.497 ,379.846 ,379.846 ,158.711 ,0 ,99.163 ,0 ,0 ,96.935 ,0 ,25.038 ,0 ,1.268.630 
77.,LITIJA,6.390.435 ,1.424.972 ,334.324 ,49.806 ,995.852 ,96.730 ,71.273 ,103.113 ,5.610 ,2.418 ,501.048 ,6.962 ,2.993 ,17.491 ,188.214 ,19.951 ,13.054 ,0 ,6.897 ,0 ,25.038 ,0 ,25.038 ,0 ,2.972.347 ,77.710 ,0 ,77.710 ,1.691.919 ,0 ,29.606 ,0 ,0 ,0 ,1.662.313 ,305.287 ,305.287 ,897.431 ,116.810 ,137.309 ,38.263 ,605.048 ,0 ,1.205.423 ,1.205.423 ,0 ,0 ,18.833 ,0 ,1.103.222 ,0 ,0 ,0 ,83.368 ,787.693 ,787.693 ,127.766 ,0 ,76.156 ,177.140 ,0 ,0 ,19.980 ,386.651 ,0 ,376.000 
78.,MESTNA OBČINA LJUBLJANA,203.177.946 ,47.726.419 ,9.581.789 ,1.382.649 ,35.201.807 ,2.861.559 ,821.390 ,2.710.912 ,178.380 ,167.101 ,22.488.024 ,464.438 ,1.688.804 ,520.552 ,3.300.647 ,726.627 ,726.627 ,0 ,0 ,0 ,833.546 ,833.546 ,0 ,0 ,85.485.516 ,5.140.177 ,4.110.332 ,1.029.845 ,35.804.945 ,0 ,0 ,49.307 ,10.432 ,266.834 ,35.478.372 ,9.873.193 ,9.873.193 ,34.667.201 ,4.860.921 ,2.573.857 ,2.427.308 ,24.805.116 ,0 ,44.053.259 ,44.053.259 ,956.209 ,10.132 ,1.533.534 ,42.460 ,18.218.603 ,11.349.508 ,8.169.997 ,0 ,3.772.818 ,25.912.752 ,25.912.752 ,0 ,2.395.664 ,833.517 ,10.885.687 ,0 ,0 ,0 ,11.797.884 ,0 ,-11.960.061 
79.,LJUBNO,1.536.129 ,395.543 ,82.290 ,11.776 ,297.304 ,24.658 ,442 ,44.992 ,1.189 ,1.632 ,157.311 ,246 ,0 ,3.493 ,63.341 ,0 ,0 ,0 ,0 ,0 ,4.173 ,2.086 ,2.086 ,0 ,518.812 ,41.237 ,2.929 ,38.307 ,131.998 ,0 ,2.078 ,4.824 ,0 ,0 ,125.096 ,88.979 ,88.979 ,256.597 ,0 ,16.458 ,985 ,239.155 ,0 ,586.530 ,586.530 ,17.564 ,0 ,8.884 ,0 ,524.082 ,0 ,8.346 ,0 ,27.654 ,35.245 ,35.245 ,0 ,0 ,35.245 ,0 ,0 ,0 ,0 ,0 ,0 ,-62.419 
80.,LJUTOMER,6.467.982 ,1.505.240 ,576.909 ,79.091 ,807.756 ,83.200 ,11.361 ,84.926 ,7.638 ,8.094 ,405.540 ,19.605 ,4.397 ,20.521 ,162.474 ,6.432 ,6.432 ,0 ,0 ,0 ,35.053 ,0 ,35.053 ,0 ,2.718.578 ,95.886 ,50 ,95.836 ,452.902 ,0 ,0 ,7.130 ,0 ,13.110 ,432.663 ,207.962 ,207.962 ,1.961.827 ,211.985 ,112.664 ,0 ,1.637.178 ,0 ,1.814.855 ,1.814.855 ,0 ,0 ,15.288 ,555 ,1.523.355 ,0 ,46.732 ,0 ,228.924 ,429.310 ,429.310 ,55.081 ,67.360 ,28.278 ,224.789 ,0 ,14.659 ,0 ,39.142 ,0 ,233.973 
81.,LOGATEC,5.971.904 ,747.722 ,323.782 ,48.164 ,358.642 ,96.445 ,0 ,89.059 ,15.310 ,2.128 ,29.031 ,12.010 ,0 ,18.741 ,95.919 ,17.134 ,0 ,0 ,17.134 ,0 ,0 ,0 ,0 ,0 ,2.735.295 ,60.445 ,0 ,60.445 ,596.712 ,0 ,0 ,0 ,0 ,2.337 ,594.375 ,267.138 ,267.138 ,1.811.000 ,143.761 ,51.794 ,29.340 ,1.586.104 ,0 ,1.930.529 ,1.930.529 ,0 ,8.847 ,18.891 ,0 ,1.348.894 ,338.266 ,168.327 ,0 ,47.304 ,558.358 ,558.358 ,0 ,0 ,0 ,437.782 ,0 ,0 ,0 ,120.577 ,0 ,6.710 
82.,LOŠKA DOLINA,2.227.639 ,627.968 ,133.347 ,19.415 ,472.827 ,40.820 ,1.136 ,49.234 ,4.043 ,1.385 ,275.265 ,0 ,0 ,7.875 ,93.070 ,2.378 ,0 ,0 ,2.378 ,0 ,0 ,0 ,0 ,0 ,639.619 ,11.907 ,0 ,11.907 ,140.408 ,0 ,0 ,0 ,0 ,0 ,140.408 ,81.821 ,81.821 ,405.483 ,0 ,11.321 ,1.306 ,392.856 ,0 ,954.418 ,954.418 ,0 ,0 ,85.340 ,0 ,800.150 ,46.665 ,0 ,0 ,22.263 ,5.633 ,5.633 ,0 ,0 ,5.633 ,0 ,0 ,0 ,0 ,0 ,0 ,5.472 
83.,LOŠKI POTOK,2.135.136 ,304.181 ,76.849 ,11.405 ,206.113 ,21.173 ,0 ,31.794 ,2.788 ,1.285 ,118.895 ,0 ,0 ,3.572 ,26.607 ,7.728 ,0 ,0 ,7.728 ,0 ,2.086 ,0 ,2.086 ,0 ,303.188 ,4.640 ,0 ,4.640 ,80.880 ,0 ,0 ,0 ,0 ,0 ,80.880 ,23.811 ,23.811 ,193.857 ,355 ,8.496 ,1.794 ,183.212 ,0 ,1.491.078 ,1.491.078 ,0 ,0 ,0 ,0 ,1.214.413 ,124.140 ,0 ,0 ,152.525 ,36.688 ,36.688 ,0 ,0 ,12.519 ,17.510 ,0 ,0 ,0 ,6.660 ,0 ,218.361 
84.,LOVRENC NA POHORJU,1.885.724 ,624.078 ,185.136 ,26.669 ,403.259 ,87.223 ,0 ,37.139 ,6.656 ,7.177 ,219.909 ,280 ,0 ,8.196 ,36.680 ,1.920 ,0 ,0 ,1.920 ,0 ,7.094 ,0 ,7.094 ,0 ,587.302 ,13.316 ,0 ,13.316 ,138.474 ,0 ,0 ,0 ,0 ,0 ,138.474 ,74.236 ,74.236 ,361.275 ,0 ,28.393 ,989 ,331.894 ,0 ,584.143 ,584.143 ,9.564 ,0 ,18.257 ,0 ,401.456 ,93.791 ,19.300 ,0 ,41.775 ,90.202 ,90.202 ,0 ,0 ,0 ,46.966 ,0 ,0 ,0 ,43.236 ,0 ,-63.939 
85.,LUČE,758.688 ,283.671 ,49.787 ,7.874 ,222.876 ,13.533 ,1.390 ,38.366 ,13.441 ,321 ,129.340 ,234 ,330 ,1.786 ,24.136 ,1.047 ,0 ,0 ,1.047 ,0 ,2.086 ,2.086 ,0 ,0 ,281.280 ,53.347 ,1.732 ,51.615 ,120.531 ,0 ,0 ,0 ,0 ,0 ,120.531 ,40.586 ,40.586 ,66.817 ,0 ,8.450 ,1.427 ,56.940 ,0 ,163.116 ,163.116 ,5.767 ,0 ,5.809 ,1.486 ,136.221 ,0 ,3.960 ,0 ,9.873 ,30.621 ,30.621 ,0 ,0 ,3.338 ,4.578 ,0 ,626 ,6.439 ,15.640 ,0 ,159.439 
86.,LUKOVICA,2.863.278 ,957.920 ,286.208 ,42.276 ,628.247 ,85.620 ,63.708 ,78.046 ,68.465 ,4.382 ,219.425 ,0 ,0 ,15.744 ,92.856 ,0 ,0 ,0 ,0 ,0 ,1.189 ,1.189 ,0 ,0 ,1.094.604 ,12.761 ,0 ,12.761 ,561.329 ,0 ,13.103 ,8.296 ,0 ,11.279 ,528.651 ,91.224 ,91.224 ,429.290 ,114.029 ,36.304 ,3.017 ,275.939 ,0 ,647.922 ,647.922 ,0 ,22.500 ,124.787 ,0 ,465.411 ,22.488 ,0 ,0 ,12.736 ,162.832 ,162.832 ,20.865 ,0 ,20.865 ,0 ,0 ,0 ,0 ,121.102 ,0 ,-291.037 
87.,MAJŠPERK,1.980.233 ,492.276 ,108.283 ,14.718 ,353.251 ,28.952 ,10.787 ,34.039 ,4.928 ,3.964 ,189.501 ,0 ,0 ,4.699 ,76.381 ,0 ,0 ,0 ,0 ,0 ,16.024 ,8.020 ,8.004 ,0 ,625.684 ,9.143 ,0 ,9.143 ,204.574 ,0 ,4.340 ,0 ,0 ,0 ,200.234 ,43.006 ,43.006 ,368.962 ,0 ,44.834 ,651 ,323.477 ,0 ,732.678 ,732.678 ,0 ,0 ,7.549 ,5.842 ,365.344 ,85.996 ,122.037 ,0 ,145.911 ,129.594 ,129.594 ,12.031 ,0 ,88.178 ,0 ,0 ,0 ,8.058 ,21.328 ,0 ,264.134 
88.,MESTNA OBČINA MARIBOR,73.686.058 ,13.509.180 ,4.312.231 ,622.596 ,8.197.492 ,1.938.725 ,46.495 ,1.402.591 ,75.939 ,35.587 ,368.069 ,179.957 ,695.664 ,200.100 ,3.254.365 ,1.298 ,13 ,0 ,1.285 ,0 ,375.563 ,0 ,375.563 ,0 ,40.236.546 ,2.427.103 ,0 ,2.427.103 ,2.081.009 ,0 ,0 ,204 ,0 ,58.204 ,2.022.601 ,3.044.116 ,3.044.116 ,32.683.442 ,439.059 ,800.121 ,565.865 ,30.878.397 ,876 ,2.436.413 ,2.436.413 ,0 ,213.383 ,754.402 ,12.452 ,465.336 ,350.847 ,341.700 ,58.221 ,240.073 ,17.503.918 ,17.503.918 ,4.173 ,1.331.038 ,199.641 ,10.800.597 ,0 ,184.781 ,28.610 ,4.955.078 ,0 ,-820.088 
89.,MARKOVCI,2.097.225 ,461.221 ,98.385 ,41.592 ,317.176 ,43.415 ,630 ,50.463 ,0 ,6.915 ,40.427 ,1.957 ,0 ,0 ,173.368 ,0 ,0 ,0 ,0 ,0 ,4.069 ,0 ,4.069 ,0 ,621.720 ,18.219 ,0 ,18.219 ,260.946 ,3.322 ,0 ,0 ,0 ,0 ,257.624 ,147.955 ,147.955 ,194.600 ,376 ,36.050 ,0 ,158.175 ,0 ,744.955 ,744.955 ,0 ,9.873 ,36.663 ,305 ,511.375 ,24.049 ,113.633 ,0 ,49.057 ,269.329 ,269.329 ,15.540 ,0 ,202.737 ,36.780 ,0 ,0 ,0 ,14.271 ,0 ,882.732 
90.,MEDVODE,8.109.510 ,1.962.331 ,357.503 ,51.573 ,1.510.457 ,94.387 ,40.423 ,151.890 ,11.067 ,15.427 ,735.274 ,88 ,9.919 ,17.409 ,434.573 ,0 ,0 ,0 ,0 ,0 ,42.798 ,20.264 ,22.534 ,0 ,2.606.201 ,92.418 ,35.124 ,57.294 ,501.298 ,0 ,0 ,0 ,0 ,0 ,501.298 ,350.893 ,350.893 ,1.660.754 ,149.337 ,93.953 ,0 ,1.417.464 ,839 ,2.361.096 ,2.361.096 ,146.712 ,23.473 ,54.674 ,651 ,1.352.157 ,34.460 ,321.119 ,0 ,427.850 ,1.179.882 ,1.179.882 ,0 ,0 ,1.456 ,0 ,0 ,0 ,0 ,1.178.426 ,0 ,-1.343.361 
91.,MENGEŠ,3.335.737 ,901.794 ,226.435 ,36.092 ,639.267 ,110.019 ,2.792 ,104.298 ,2.057 ,3.322 ,224.220 ,7.282 ,13.045 ,0 ,172.233 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.279.227 ,5.429 ,0 ,5.429 ,815.569 ,3.084 ,7.177 ,0 ,0 ,5.512 ,799.796 ,155.028 ,155.028 ,303.201 ,0 ,38.362 ,4.561 ,260.278 ,0 ,1.133.033 ,1.133.033 ,0 ,0 ,40.615 ,230 ,902.600 ,95.502 ,4.227 ,0 ,89.860 ,21.683 ,21.683 ,0 ,0 ,12.519 ,0 ,0 ,0 ,0 ,9.164 ,0 ,-26.327 
92.,METLIKA,4.970.894 ,1.028.063 ,236.751 ,35.032 ,709.143 ,96.708 ,2.028 ,301.010 ,5.421 ,10.207 ,169.604 ,1.990 ,0 ,9.669 ,112.506 ,18.699 ,14.447 ,4.252 ,0 ,0 ,28.438 ,0 ,28.438 ,0 ,1.583.271 ,68.590 ,0 ,68.590 ,318.344 ,0 ,0 ,150.129 ,0 ,0 ,168.215 ,213.491 ,213.491 ,982.845 ,92.376 ,50.013 ,1.002 ,839.455 ,0 ,2.172.313 ,2.172.313 ,835 ,10.937 ,16.863 ,0 ,1.529.953 ,158.312 ,32.653 ,0 ,422.759 ,187.248 ,187.248 ,105.208 ,0 ,32.198 ,0 ,0 ,0 ,0 ,49.841 ,0 ,-391.299 
93.,MEŽICA,2.231.531 ,580.658 ,113.888 ,16.854 ,445.535 ,39.910 ,23.807 ,34.977 ,2.804 ,1.385 ,173.030 ,6.668 ,8.346 ,5.738 ,148.869 ,0 ,0 ,0 ,0 ,0 ,4.382 ,209 ,4.173 ,0 ,788.195 ,43.148 ,12.686 ,30.462 ,281.622 ,0 ,0 ,3.576 ,1.895 ,0 ,276.152 ,167.530 ,167.530 ,295.894 ,0 ,26.740 ,1.582 ,267.572 ,0 ,178.301 ,178.301 ,16.229 ,14.188 ,20.931 ,246 ,2.170 ,0 ,86.688 ,0 ,37.848 ,684.377 ,684.377 ,6.076 ,0 ,0 ,536.346 ,0 ,0 ,0 ,141.955 ,0 ,169.680 
94.,MIKLAVŽ NA DRAVSKEM POLJU,2.542.601 ,754.277 ,245.961 ,35.299 ,473.018 ,94.483 ,3.793 ,90.123 ,3.130 ,4.085 ,123.072 ,5.225 ,0 ,13.070 ,136.037 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,852.512 ,53.768 ,0 ,53.768 ,216.850 ,0 ,901 ,4.064 ,0 ,501 ,211.384 ,98.577 ,98.577 ,483.317 ,0 ,26.323 ,3.534 ,453.459 ,0 ,832.995 ,832.995 ,0 ,0 ,16.387 ,26.494 ,598.694 ,51.590 ,275 ,0 ,139.555 ,102.817 ,102.817 ,0 ,0 ,39.851 ,0 ,0 ,0 ,0 ,62.965 ,0 ,359.831 
95.,MIREN - KOSTANJEVICA,2.755.517 ,481.159 ,159.748 ,22.563 ,285.207 ,25.075 ,0 ,57.566 ,8.262 ,2.041 ,76.594 ,2.625 ,0 ,5.650 ,107.394 ,0 ,0 ,0 ,0 ,0 ,13.641 ,0 ,13.641 ,0 ,973.318 ,18.248 ,0 ,18.248 ,324.249 ,0 ,576 ,17.276 ,0 ,0 ,306.397 ,106.051 ,106.051 ,524.770 ,39.121 ,28.701 ,43.511 ,413.437 ,0 ,1.084.468 ,1.084.468 ,7.778 ,0 ,15.636 ,0 ,1.007.086 ,0 ,2.838 ,0 ,51.131 ,216.571 ,216.571 ,97.471 ,0 ,23.786 ,46.491 ,0 ,0 ,0 ,48.823 ,0 ,-392 
96.,MIRNA PEČ,1.230.515 ,316.607 ,70.090 ,9.005 ,232.922 ,17.035 ,0 ,28.664 ,2.348 ,1.313 ,107.716 ,8.517 ,0 ,2.332 ,64.996 ,0 ,0 ,0 ,0 ,0 ,4.590 ,0 ,4.590 ,0 ,630.283 ,40.090 ,0 ,40.090 ,348.537 ,0 ,0 ,0 ,0 ,0 ,348.537 ,55.753 ,55.753 ,185.903 ,0 ,8.860 ,0 ,177.043 ,0 ,226.039 ,226.039 ,0 ,0 ,9.159 ,0 ,96.719 ,34.401 ,13.058 ,0 ,72.702 ,57.587 ,57.587 ,12.347 ,0 ,4.173 ,33.290 ,0 ,0 ,0 ,7.777 ,0 ,61.335 
97.,MISLINJA,2.525.860 ,527.470 ,99.962 ,14.543 ,406.426 ,55.830 ,0 ,34.139 ,8.642 ,1.210 ,233.721 ,2.792 ,0 ,4.244 ,65.849 ,300 ,0 ,0 ,300 ,0 ,6.239 ,0 ,6.239 ,0 ,707.127 ,22.012 ,0 ,22.012 ,293.853 ,0 ,0 ,2.725 ,0 ,0 ,291.128 ,100.225 ,100.225 ,291.037 ,0 ,20.585 ,13.291 ,257.161 ,0 ,1.187.076 ,1.187.076 ,0 ,0 ,94.508 ,0 ,846.820 ,120.598 ,0 ,3.455 ,121.695 ,104.185 ,104.185 ,3.785 ,0 ,100.401 ,0 ,0 ,0 ,0 ,0 ,0 ,206.076 
98.,MORAVČE,2.056.673 ,609.460 ,186.196 ,26.945 ,387.974 ,69.563 ,5.863 ,51.974 ,9.523 ,1.381 ,169.095 ,4.540 ,21 ,8.196 ,67.818 ,0 ,0 ,0 ,0 ,0 ,8.346 ,0 ,8.346 ,0 ,752.971 ,68.440 ,7.970 ,60.470 ,424.917 ,0 ,0 ,10.149 ,0 ,0 ,414.768 ,67.201 ,67.201 ,192.414 ,0 ,22.112 ,0 ,170.301 ,0 ,436.405 ,436.405 ,0 ,0 ,23.218 ,0 ,320.097 ,36.446 ,0 ,0 ,56.643 ,257.837 ,257.837 ,0 ,0 ,35.053 ,117.668 ,0 ,30.583 ,0 ,74.533 ,0 ,406.393 
99.,MORAVSKE TOPLICE,4.151.932 ,916.003 ,179.494 ,25.689 ,645.994 ,136.471 ,8.663 ,99.199 ,7.524 ,4.498 ,302.207 ,1.198 ,0 ,9.552 ,76.682 ,44.884 ,19.037 ,0 ,25.847 ,0 ,19.942 ,7.403 ,12.540 ,0 ,1.263.266 ,38.145 ,7.136 ,31.009 ,407.286 ,0 ,0 ,9.844 ,0 ,801 ,396.641 ,163.683 ,163.683 ,654.152 ,27.975 ,55.300 ,5.621 ,565.256 ,0 ,1.844.054 ,1.844.054 ,87.485 ,0 ,17.606 ,3.272 ,1.278.484 ,0 ,188.867 ,0 ,268.340 ,128.610 ,128.610 ,0 ,52.487 ,70.694 ,0 ,0 ,0 ,0 ,5.429 ,0 ,103.322 
100.,MOZIRJE,3.531.689 ,786.726 ,191.341 ,28.092 ,496.779 ,58.788 ,15.231 ,51.314 ,1.644 ,814 ,247.930 ,12.256 ,2.508 ,11.029 ,95.264 ,50.976 ,10.207 ,38.833 ,1.936 ,0 ,19.538 ,19.538 ,0 ,0 ,1.267.610 ,102.917 ,421 ,102.495 ,197.634 ,0 ,2.504 ,0 ,0 ,0 ,195.130 ,141.779 ,141.779 ,825.280 ,73.026 ,35.962 ,9.285 ,707.006 ,0 ,1.338.358 ,1.338.358 ,0 ,0 ,2.737 ,0 ,1.126.899 ,124.708 ,78.927 ,0 ,5.087 ,138.996 ,138.996 ,0 ,0 ,25.300 ,0 ,0 ,17.610 ,5.550 ,90.536 ,0 ,-3.505 
101.,MESTNA OBČINA MURSKA SOBOTA,11.372.521 ,2.845.034 ,864.806 ,125.154 ,1.712.448 ,173.122 ,7.048 ,314.843 ,33.555 ,12.277 ,848.627 ,25.755 ,0 ,41.170 ,256.051 ,112.602 ,102.462 ,0 ,10.140 ,0 ,30.024 ,30.024 ,0 ,0 ,4.926.185 ,60.378 ,0 ,60.378 ,1.735.950 ,0 ,0 ,0 ,0 ,40.974 ,1.694.976 ,877.287 ,877.287 ,2.252.571 ,0 ,307.699 ,394.584 ,1.550.288 ,0 ,2.733.304 ,2.733.304 ,0 ,0 ,95.773 ,0 ,1.779.649 ,408.984 ,308.492 ,0 ,140.406 ,867.998 ,867.998 ,2.212 ,0 ,34.560 ,575.718 ,0 ,0 ,0 ,255.508 ,0 ,-213.921 
