,,VIII.  50,500,5001,5002,5003,5004,IX.  55,550,5501,5502,5503,5504,X.,XI.,ST.,FI.
44.,HOČE - SLIVNICA,19.108 ,19.108 ,19.108 ,0 ,0 ,0 ,5.521 ,5.521 ,5.521 ,0 ,0 ,0 ,13.587 ,-519.304 ,539.497 ,0 
45.,HODOŠ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,123.865 ,0 ,0 
46.,HORJUL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,264.810 ,153.735 ,0 
47.,HRASTNIK,70.940 ,70.940 ,0 ,0 ,70.940 ,0 ,39.405 ,39.405 ,0 ,0 ,39.405 ,0 ,31.535 ,63.228 ,146.503 ,0 
48.,HRPELJE - KOZINA,0 ,0 ,0 ,0 ,0 ,0 ,104.323 ,104.323 ,41.729 ,0 ,62.594 ,0 ,-104.323 ,208.029 ,39.530 ,0 
49.,IDRIJA,0 ,0 ,0 ,0 ,0 ,0 ,14.263 ,14.263 ,14.263 ,0 ,0 ,0 ,-14.263 ,393.678 ,4.640 ,0 
50.,IG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,396.616 ,0 ,36.763 
51.,ILIRSKA BISTRICA,0 ,0 ,0 ,0 ,0 ,0 ,60.566 ,60.566 ,52.817 ,0 ,7.749 ,0 ,-60.566 ,-207.081 ,1.920.134 ,0 
52.,IVANČNA GORICA,0 ,0 ,0 ,0 ,0 ,0 ,16.792 ,16.792 ,0 ,0 ,16.792 ,0 ,-16.792 ,-482.161 ,781.001 ,0 
53.,IZOLA,0 ,0 ,0 ,0 ,0 ,0 ,41.733 ,41.733 ,4.444 ,37.289 ,0 ,0 ,-41.733 ,-116.975 ,2.885.332 ,0 
54.,JESENICE,0 ,0 ,0 ,0 ,0 ,0 ,21.958 ,21.958 ,0 ,0 ,21.958 ,0 ,-21.958 ,217.151 ,-32.457 ,132.620 
55.,JEZERSKO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38.963 ,0 ,0 
56.,JURŠINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,6.627 ,0 
57.,KAMNIK,0 ,0 ,0 ,0 ,0 ,0 ,8.275 ,8.275 ,8.275 ,0 ,0 ,0 ,-8.275 ,664.367 ,440.486 ,0 
58.,KANAL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,220.159 ,115.477 ,0 
59.,KIDRIČEVO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,502.245 ,374.620 ,0 
60.,KOBARID,62.594 ,62.594 ,62.594 ,0 ,0 ,0 ,62.594 ,62.594 ,0 ,62.594 ,0 ,0 ,0 ,4.795 ,7.223 ,0 
61.,KOBILJE,0 ,0 ,0 ,0 ,0 ,0 ,7.645 ,7.645 ,7.645 ,0 ,0 ,0 ,-7.645 ,27.771 ,0 ,0 
62.,KOČEVJE,187.782 ,187.782 ,187.782 ,0 ,0 ,0 ,3.989 ,3.989 ,3.989 ,0 ,0 ,0 ,183.792 ,369.500 ,0 ,0 
63.,KOMEN,83.459 ,83.459 ,83.459 ,0 ,0 ,0 ,163.917 ,163.917 ,83.459 ,0 ,80.458 ,0 ,-80.458 ,-70.627 ,77.929 ,0 
64.,KOMENDA,133.534 ,133.534 ,133.534 ,0 ,0 ,0 ,10.432 ,10.432 ,10.432 ,0 ,0 ,0 ,123.101 ,-30.980 ,45.080 ,0 
65.,KOPER (M),0 ,0 ,0 ,0 ,0 ,0 ,389.180 ,389.180 ,85.679 ,0 ,303.501 ,0 ,-389.180 ,-101.652 ,2.548.035 ,0 
66.,KOSTEL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
67.,KOZJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-16.721 ,29.115 ,0 
68.,KRANJ (M),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,613.074 ,42.230 ,0 
69.,KRANJSKA GORA,0 ,0 ,0 ,0 ,0 ,0 ,68.423 ,68.423 ,0 ,0 ,68.423 ,0 ,-68.423 ,317.564 ,77.020 ,0 
70.,KRIŽEVCI,0 ,0 ,0 ,0 ,0 ,0 ,13.908 ,13.908 ,13.908 ,0 ,0 ,0 ,-13.908 ,132.682 ,0 ,0 
71.,KRŠKO,333.834 ,333.834 ,333.834 ,0 ,0 ,0 ,197.492 ,197.492 ,194.141 ,0 ,3.351 ,0 ,136.342 ,133.784 ,62.089 ,0 
72.,KUNGOTA,85.795 ,85.795 ,0 ,0 ,85.795 ,0 ,1.765 ,1.765 ,0 ,0 ,1.765 ,0 ,84.030 ,85.528 ,0 ,0 
73.,KUZMA,0 ,0 ,0 ,0 ,0 ,0 ,3.476 ,3.476 ,3.476 ,0 ,0 ,0 ,-3.476 ,41.379 ,72.496 ,0 
74.,LAŠKO,0 ,0 ,0 ,0 ,0 ,0 ,376.970 ,376.970 ,0 ,0 ,0 ,376.970 ,-376.970 ,19.584 ,137.882 ,0 
75.,LENART,208.646 ,208.646 ,208.646 ,0 ,0 ,0 ,14.200 ,14.200 ,0 ,0 ,14.200 ,0 ,194.446 ,-69.988 ,76.878 ,0 
76.,LENDAVA,0 ,0 ,0 ,0 ,0 ,0 ,35.570 ,35.570 ,19.667 ,0 ,15.903 ,0 ,-35.570 ,63.408 ,33.863 ,0 
77.,LITIJA,179.436 ,179.436 ,0 ,0 ,179.436 ,0 ,166.788 ,166.788 ,166.788 ,0 ,0 ,0 ,12.648 ,-22.258 ,6.927 ,0 
78.,LJUBLJANA (M),0 ,0 ,0 ,0 ,0 ,0 ,368.916 ,368.916 ,0 ,0 ,0 ,368.916 ,-368.916 ,-4.255.250 ,21.280.058 ,0 
79.,LJUBNO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,208.913 ,0 ,20.155 
80.,LJUTOMER,0 ,0 ,0 ,0 ,0 ,0 ,30.291 ,30.291 ,30.291 ,0 ,0 ,0 ,-30.291 ,-214.434 ,0 ,0 
81.,LOGATEC,0 ,0 ,0 ,0 ,0 ,0 ,7.678 ,7.678 ,0 ,0 ,7.678 ,0 ,-7.678 ,131.456 ,69.333 ,0 
82.,LOŠKA DOLINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-154.377 ,229.624 ,0 
83.,LOŠKI POTOK,0 ,0 ,0 ,0 ,0 ,0 ,23.473 ,23.473 ,0 ,0 ,23.473 ,0 ,-23.473 ,2.658 ,0 ,0 
84.,LOVRENC NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.390 ,68.202 ,48.769 
85.,LUČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4.586 ,10.253 ,0 
86.,LUKOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-246.224 ,925.847 ,0 
87.,MAJŠPERK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.074 ,0 ,0 
88.,MARIBOR (M),0 ,0 ,0 ,0 ,0 ,0 ,43.440 ,43.440 ,43.440 ,0 ,0 ,0 ,-43.440 ,-4.990.861 ,11.716.024 ,0 
89.,MARKOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-57.044 ,0 ,0 
90.,MEDVODE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,531.118 ,109.197 ,0 
91.,MENGEŠ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,90.260 ,564.509 ,0 
92.,METLIKA,208.646 ,208.646 ,0 ,208.646 ,0 ,0 ,6.768 ,6.768 ,6.768 ,0 ,0 ,0 ,201.878 ,-30.212 ,98.043 ,0 
93.,MEŽICA,0 ,0 ,0 ,0 ,0 ,0 ,4.210 ,4.210 ,0 ,0 ,4.210 ,0 ,-4.210 ,8.867 ,25.897 ,0 
94.,MIKLAVŽ NA DRAVSKEM POLJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6.226 ,558.016 ,0 
95.,MIREN - KOSTANJEVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,81.026 ,0 ,0 
96.,MIRNA PEČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,68.836 ,116.692 ,0 
97.,MISLINJA,0 ,0 ,0 ,0 ,0 ,0 ,1.435 ,1.435 ,0 ,0 ,1.435 ,0 ,-1.435 ,-15.077 ,102.128 ,0 
98.,MORAVČE,0 ,0 ,0 ,0 ,0 ,0 ,676 ,676 ,676 ,0 ,0 ,0 ,-676 ,-68.774 ,96.574 ,0 
99.,MORAVSKE TOPLICE,261.225 ,261.225 ,0 ,0 ,261.225 ,0 ,56.985 ,56.985 ,0 ,0 ,56.985 ,0 ,204.240 ,179.348 ,90.578 ,0 
100.,MOZIRJE,0 ,0 ,0 ,0 ,0 ,0 ,31.297 ,31.297 ,31.297 ,0 ,0 ,0 ,-31.297 ,6.372 ,3.539 ,0 
101.,MURSKA SOBOTA (M),356.785 ,356.785 ,0 ,0 ,356.785 ,0 ,113.333 ,113.333 ,91.262 ,0 ,22.071 ,0 ,243.453 ,-1.224.583 ,848.940 ,0 
102.,MUTA,0 ,0 ,0 ,0 ,0 ,0 ,11.488 ,11.488 ,5.258 ,0 ,6.230 ,0 ,-11.488 ,-50.517 ,46.599 ,0 
103.,NAKLO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,74.499 ,51.348 ,0 
104.,NAZARJE,0 ,0 ,0 ,0 ,0 ,0 ,54.248 ,54.248 ,54.248 ,0 ,0 ,0 ,-54.248 ,-2.412 ,4.106 ,0 
105.,NOVA GORICA (M),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-764.013 ,1.071.925 ,0 
106.,NOVO MESTO (M),0 ,0 ,0 ,0 ,0 ,0 ,194.229 ,194.229 ,133.721 ,0 ,60.507 ,0 ,-194.229 ,92.739 ,150 ,0 
107.,ODRANCI,41.729 ,41.729 ,41.729 ,0 ,0 ,0 ,5.658 ,5.658 ,5.658 ,0 ,0 ,0 ,36.071 ,32.904 ,47.939 ,-7.244 
108.,OPLOTNICA,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,20.865 ,20.865 ,0 ,0 ,0 ,-20.865 ,-73.473 ,170.627 ,0 
109.,ORMOŽ,0 ,0 ,0 ,0 ,0 ,0 ,90.185 ,90.185 ,3.330 ,0 ,0 ,86.855 ,-90.185 ,60.069 ,0 ,0 
110.,OSILNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-24.203 ,34.493 ,0 
111.,PESNICA,0 ,0 ,0 ,0 ,0 ,0 ,27.729 ,27.729 ,27.729 ,0 ,0 ,0 ,-27.729 ,273.673 ,0 ,0 
112.,PIRAN,0 ,0 ,0 ,0 ,0 ,0 ,14.493 ,14.493 ,0 ,0 ,14.493 ,0 ,-14.493 ,731.864 ,1.058.287 ,0 
113.,PIVKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-41.462 ,47.229 ,0 
114.,PODČETRTEK,70.105 ,70.105 ,0 ,0 ,70.105 ,0 ,73.026 ,73.026 ,0 ,0 ,73.026 ,0 ,-2.921 ,67.355 ,0 ,0 
115.,PODLEHNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-42.981 ,0 ,0 
116.,PODVELKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.472 ,0 ,0 
117.,POLZELA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-29.945 ,0 ,0 
118.,POSTOJNA,0 ,0 ,0 ,0 ,0 ,0 ,843.870 ,843.870 ,0 ,0 ,843.870 ,0 ,-843.870 ,39.171 ,159 ,0 
119.,PREBOLD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,230.362 ,0 ,0 
120.,PREDDVOR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.652 ,16.612 ,0 
121.,PREVALJE,0 ,0 ,0 ,0 ,0 ,0 ,33.383 ,33.383 ,33.383 ,0 ,0 ,0 ,-33.383 ,23.877 ,24.503 ,2.758 
122.,PTUJ (M),0 ,0 ,0 ,0 ,0 ,0 ,37.302 ,37.302 ,37.302 ,0 ,0 ,0 ,-37.302 ,698.005 ,1.003.201 ,0 
123.,PUCONCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-276.548 ,326.970 ,0 
124.,RAČE - FRAM,0 ,0 ,0 ,0 ,0 ,0 ,3.213 ,3.213 ,3.213 ,0 ,0 ,0 ,-3.213 ,-34.865 ,39.601 ,23.890 
125.,RADEČE,0 ,0 ,0 ,0 ,0 ,0 ,50.029 ,50.029 ,0 ,0 ,0 ,50.029 ,-50.029 ,-41.471 ,0 ,0 
126.,RADENCI,63.846 ,63.846 ,63.846 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,63.846 ,-34.502 ,45.122 ,0 
127.,RADLJE OB DRAVI,125.188 ,125.188 ,125.188 ,0 ,0 ,0 ,11.238 ,11.238 ,6.259 ,4.978 ,0 ,0 ,113.950 ,5.412 ,8.559 ,0 
128.,RADOVLJICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,195.326 ,465.148 ,0 
129.,RAVNE NA KOROŠKEM,0 ,0 ,0 ,0 ,0 ,0 ,52.712 ,52.712 ,52.712 ,0 ,0 ,0 ,-52.712 ,40.202 ,82.974 ,0 
130.,RAZKRIŽJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.922 ,0 ,0 
131.,RIBNICA,95.977 ,95.977 ,95.977 ,0 ,0 ,0 ,20.226 ,20.226 ,20.226 ,0 ,0 ,0 ,75.751 ,3.434 ,44.070 ,0 
132.,RIBNICA NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.535 ,0 ,0 
133.,ROGAŠKA SLATINA,0 ,0 ,0 ,0 ,0 ,0 ,9.752 ,9.752 ,0 ,0 ,9.752 ,0 ,-9.752 ,227.429 ,144.542 ,0 
134.,ROGAŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,17.434 ,17.434 ,17.434 ,0 ,0 ,0 ,-17.434 ,-1.769 ,8.955 ,0 
135.,ROGATEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,90.916 ,85.023 ,0 
136.,RUŠE,128.176 ,128.176 ,0 ,0 ,128.176 ,0 ,4.423 ,4.423 ,4.423 ,0 ,0 ,0 ,123.752 ,-79.031 ,397.776 ,0 
137.,SELNICA OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,2.821 ,2.821 ,2.821 ,0 ,0 ,0 ,-2.821 ,-22.621 ,42.476 ,0 
138.,SEMIČ,0 ,0 ,0 ,0 ,0 ,0 ,31.835 ,31.835 ,0 ,0 ,4.173 ,27.662 ,-31.835 ,5.759 ,6.677 ,0 
139.,SEVNICA,258.721 ,258.721 ,258.721 ,0 ,0 ,0 ,52.579 ,52.579 ,52.579 ,0 ,0 ,0 ,206.143 ,106.213 ,54.853 ,0 
140.,SEŽANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,137.665 ,363.958 ,0 
141.,SLOVENJ GRADEC (M),0 ,0 ,0 ,0 ,0 ,0 ,15.377 ,15.377 ,5.796 ,0 ,9.581 ,0 ,-15.377 ,625.179 ,346.148 ,0 
142.,SLOVENSKA BISTRICA,0 ,0 ,0 ,0 ,0 ,0 ,154.398 ,154.398 ,154.398 ,0 ,0 ,0 ,-154.398 ,508.621 ,41.800 ,0 
143.,SLOVENSKE KONJICE,29.373 ,29.373 ,0 ,0 ,29.373 ,0 ,52.475 ,52.475 ,52.475 ,0 ,0 ,0 ,-23.101 ,28.489 ,0 ,0 
144.,SODRAŽICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31.781 ,7.061 ,0 
145.,SOLČAVA,28.292 ,28.292 ,0 ,0 ,28.292 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28.292 ,23.368 ,0 ,0 
146.,STARŠE,0 ,0 ,0 ,0 ,0 ,0 ,4.774 ,4.774 ,4.774 ,0 ,0 ,0 ,-4.774 ,336.718 ,0 ,0 
147.,SVETA ANA,0 ,0 ,0 ,0 ,0 ,0 ,2.366 ,2.366 ,0 ,0 ,2.366 ,0 ,-2.366 ,-11.521 ,26.002 ,0 
148.,SVETI ANDRAŽ V SLOV. GORICAH,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38.929 ,49.165 ,0 
149.,SVETI JURIJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,94.496 ,80.137 ,0 
150.,ŠALOVCI,100.150 ,100.150 ,0 ,0 ,100.150 ,0 ,18.194 ,18.194 ,18.194 ,0 ,0 ,0 ,81.956 ,2.191 ,5.279 ,0 
151.,ŠEMPETER - VRTOJBA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,556.732 ,1.046.519 ,0 
