6,BLOKE,584.886 ,68.098 ,26.072 ,3.847 ,35.416 ,9.210 ,0 ,4.319 ,0 ,1.707 ,6.072 ,0 ,0 ,14.109 ,234 ,0 ,0 ,234 ,0 ,2.529 ,351.502 ,9.068 ,8.951 ,117 ,114.084 ,0 ,0 ,9.856 ,0 ,0 ,104.227 ,17.931 ,17.931 ,210.420 ,0 ,5.525 ,0 ,204.895 ,158.488 ,158.488 ,0 ,0 ,9.927 ,0 ,143.962 ,2.312 ,0 ,0 ,2.287 ,6.798 ,6.798 ,0 ,0 ,3.756 ,1.790 ,0 ,0 ,0 ,1.252 ,0 ,-10.745 
7,BOHINJ,2.250.509 ,823.097 ,154.173 ,18.928 ,614.263 ,63.537 ,264.968 ,50.926 ,81.902 ,5.237 ,42.359 ,13.220 ,209 ,91.905 ,4.286 ,0 ,0 ,4.286 ,0 ,31.447 ,604.227 ,35.470 ,0 ,35.470 ,70.276 ,3.443 ,8.446 ,0 ,0 ,3.676 ,54.711 ,122.455 ,122.455 ,376.027 ,25.129 ,5.124 ,6.080 ,339.693 ,633.392 ,633.392 ,45.076 ,0 ,22.117 ,14.267 ,296.090 ,202.266 ,29.244 ,0 ,24.332 ,189.793 ,189.793 ,95.130 ,0 ,51.690 ,0 ,0 ,7.607 ,2.045 ,33.321 ,0 ,-88.241 
8,BOROVNICA ,988.508 ,138.228 ,82.161 ,8.037 ,41.525 ,18.282 ,0 ,5.350 ,2.107 ,0 ,1.502 ,0 ,0 ,14.284 ,426 ,0 ,0 ,426 ,0 ,6.080 ,678.142 ,36.329 ,5.103 ,31.226 ,54.536 ,0 ,0 ,0 ,0 ,772 ,53.764 ,78.247 ,78.247 ,509.030 ,0 ,6.969 ,3.760 ,498.302 ,146.637 ,146.637 ,14.693 ,13.575 ,15.294 ,2.408 ,77.742 ,8.813 ,2.270 ,0 ,11.843 ,25.501 ,25.501 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25.501 ,0 ,140.169 
9,BOVEC,2.544.684 ,698.418 ,190.189 ,26.590 ,475.138 ,80.066 ,0 ,113.270 ,2.608 ,14.171 ,15.515 ,204.953 ,0 ,44.554 ,0 ,0 ,0 ,0 ,0 ,6.501 ,641.884 ,12.832 ,0 ,12.832 ,120.860 ,0 ,1.060 ,6.689 ,0 ,0 ,113.111 ,95.689 ,95.689 ,412.502 ,9.114 ,11.317 ,1.644 ,390.427 ,1.152.813 ,1.152.813 ,62.189 ,0 ,23.635 ,7.561 ,520.639 ,479.924 ,0 ,0 ,58.863 ,51.569 ,51.569 ,0 ,0 ,4.286 ,0 ,0 ,0 ,0 ,47.283 ,0 ,40.928 
10,BRASLOVČE,1.081.272 ,232.428 ,59.685 ,5.771 ,166.971 ,26.652 ,40.532 ,14.284 ,1.552 ,134 ,42.906 ,1.615 ,0 ,39.296 ,0 ,0 ,0 ,0 ,0 ,0 ,731.176 ,29.795 ,0 ,29.795 ,288.766 ,0 ,0 ,1.648 ,0 ,0 ,287.118 ,136.809 ,136.809 ,275.805 ,233.062 ,15.323 ,0 ,27.420 ,110.115 ,110.115 ,40.774 ,13.145 ,19.058 ,0 ,1.986 ,35.007 ,146 ,0 ,0 ,7.553 ,7.553 ,0 ,0 ,0 ,0 ,0 ,7.553 ,0 ,0 ,0 ,233.688 
11,BRDA,2.070.527 ,343.832 ,120.239 ,16.800 ,184.122 ,68.073 ,4.440 ,21.440 ,4.882 ,2.779 ,16.662 ,6.297 ,0 ,59.548 ,13.111 ,8.513 ,0 ,4.599 ,0 ,9.560 ,843.190 ,9.581 ,0 ,9.581 ,257.561 ,0 ,0 ,0 ,0 ,0 ,257.561 ,126.832 ,126.832 ,449.215 ,2.925 ,0 ,0 ,446.290 ,661.676 ,661.676 ,7.403 ,0 ,15.336 ,92 ,408.421 ,207.340 ,0 ,1.874 ,21.211 ,221.829 ,221.829 ,2.650 ,9.180 ,6.268 ,36.292 ,0 ,0 ,0 ,167.439 ,0 ,-96.478 
12,BREZOVICA,2.317.238 ,853.889 ,93.774 ,19.588 ,697.667 ,201.619 ,117 ,71.002 ,1.390 ,534 ,356.476 ,0 ,0 ,66.529 ,35.436 ,34.940 ,0 ,497 ,0 ,7.424 ,1.050.004 ,46.862 ,0 ,46.862 ,142.330 ,0 ,0 ,23.281 ,0 ,0 ,119.049 ,73.782 ,73.782 ,787.031 ,0 ,21.215 ,0 ,765.815 ,285.466 ,285.466 ,27.370 ,0 ,7.770 ,0 ,240.636 ,0 ,9.690 ,0 ,0 ,127.879 ,127.879 ,0 ,0 ,0 ,16.930 ,0 ,0 ,0 ,110.950 ,0 ,307.645 
13,BREŽICE,8.582.570 ,1.753.597 ,448.097 ,64.046 ,1.179.791 ,258.947 ,4.273 ,205.158 ,17.013 ,8.955 ,395.485 ,16.888 ,36.313 ,236.759 ,7.770 ,0 ,0 ,7.770 ,0 ,53.893 ,3.575.355 ,157.453 ,48.068 ,109.385 ,1.845.422 ,6.318 ,0 ,5.946 ,0 ,0 ,1.833.158 ,442.485 ,442.485 ,1.129.995 ,224.266 ,0 ,2.575 ,903.155 ,1.603.948 ,1.603.948 ,100.167 ,0 ,68.378 ,5.316 ,1.107.874 ,27.625 ,26.836 ,0 ,267.752 ,1.649.670 ,1.649.670 ,561.859 ,0 ,31.589 ,981.547 ,0 ,52.888 ,192 ,21.595 ,0 ,-127.838 
14,CANKOVA,542.213 ,92.472 ,21.315 ,2.258 ,52.917 ,14.046 ,196 ,3.130 ,405 ,2.462 ,5.784 ,0 ,0 ,26.895 ,5.550 ,5.550 ,0 ,0 ,0 ,10.432 ,413.257 ,20.627 ,0 ,20.627 ,98.460 ,8.308 ,0 ,622 ,0 ,0 ,89.530 ,63.257 ,63.257 ,230.913 ,1.085 ,17.606 ,9.110 ,203.113 ,36.042 ,36.042 ,0 ,0 ,15.386 ,0 ,16.617 ,4.039 ,0 ,0 ,0 ,442 ,442 ,0 ,442 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,160.754 
15,CELJE (M),20.261.188 ,2.873.268 ,1.442.606 ,201.836 ,1.097.271 ,169.892 ,95.047 ,153.075 ,22.271 ,9.973 ,132.716 ,9.623 ,92 ,504.582 ,78.059 ,33.947 ,0 ,44.112 ,0 ,53.497 ,12.514.021 ,288.153 ,166.145 ,122.008 ,917.130 ,0 ,0 ,161.534 ,0 ,121 ,755.475 ,153.196 ,153.196 ,11.155.542 ,90.031 ,239.526 ,354.578 ,10.471.407 ,3.672.876 ,3.672.876 ,113.086 ,0 ,178.230 ,497 ,2.825.534 ,0 ,171.562 ,0 ,383.968 ,1.201.022 ,1.201.022 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.201.022 ,0 ,597.901 
16,CERKLJE NA GORENJSKEM,1.735.399 ,348.644 ,52.783 ,7.211 ,274.149 ,30.208 ,7.628 ,29.861 ,2.354 ,509 ,137.435 ,0 ,0 ,66.153 ,0 ,0 ,0 ,0 ,0 ,14.501 ,530.963 ,29.686 ,0 ,29.686 ,377.041 ,0 ,10.516 ,8.872 ,0 ,1.502 ,356.151 ,61.129 ,61.129 ,63.107 ,0 ,0 ,1.577 ,61.530 ,763.554 ,763.554 ,1.486 ,0 ,18.327 ,53.230 ,390.035 ,229.678 ,59.907 ,0 ,10.891 ,92.238 ,92.238 ,0 ,0 ,32.211 ,59.706 ,0 ,0 ,321 ,0 ,0 ,900.338 
17,CERKNICA,4.051.586 ,447.196 ,241.375 ,33.780 ,144.463 ,42.702 ,0 ,22.196 ,3.856 ,4.323 ,2.742 ,722 ,0 ,67.923 ,7.649 ,0 ,0 ,7.649 ,0 ,19.930 ,2.036.805 ,37.544 ,0 ,37.544 ,10.653 ,0 ,0 ,1.252 ,0 ,0 ,9.402 ,465.790 ,465.790 ,1.522.818 ,0 ,27.562 ,8.404 ,1.486.851 ,1.567.585 ,1.567.585 ,11.476 ,0 ,18.357 ,0 ,1.387.310 ,81.314 ,12.798 ,0 ,56.330 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-89.739 
18,CERKNO,2.257.369 ,625.146 ,92.802 ,14.259 ,488.266 ,40.769 ,0 ,22.075 ,2.850 ,1.740 ,113.746 ,1.202 ,1.707 ,304.177 ,2.070 ,0 ,0 ,2.070 ,0 ,27.750 ,813.787 ,27.808 ,0 ,27.808 ,219.917 ,0 ,0 ,0 ,0 ,2.086 ,217.831 ,84.957 ,84.957 ,481.105 ,67.485 ,11.183 ,7.065 ,395.372 ,780.045 ,780.045 ,68.903 ,0 ,61.530 ,1.844 ,417.026 ,189.159 ,0 ,0 ,41.583 ,38.391 ,38.391 ,10.432 ,0 ,7.094 ,0 ,0 ,0 ,0 ,20.865 ,0 ,-41.178 
19,CERKVENJAK,513.178 ,103.847 ,54.010 ,6.318 ,36.138 ,12.439 ,0 ,6.497 ,1.557 ,1.761 ,2.099 ,88 ,0 ,11.697 ,46 ,46 ,0 ,0 ,0 ,7.336 ,287.427 ,5.721 ,0 ,5.721 ,60.457 ,0 ,0 ,0 ,0 ,0 ,60.457 ,15.769 ,15.769 ,205.479 ,14.672 ,11.617 ,0 ,179.190 ,119.500 ,119.500 ,0 ,5.304 ,10.069 ,0 ,90.703 ,0 ,0 ,0 ,13.424 ,2.404 ,2.404 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.404 ,0 ,200.901 
20,ČRENŠOVCI,1.791.817 ,325.083 ,89.814 ,13.687 ,213.558 ,28.105 ,9.001 ,13.771 ,576 ,6.506 ,50.926 ,334 ,0 ,104.340 ,0 ,0 ,0 ,0 ,0 ,8.025 ,499.053 ,17.464 ,0 ,17.464 ,5.408 ,0 ,0 ,0 ,0 ,0 ,5.408 ,31.915 ,31.915 ,444.266 ,64.079 ,29.611 ,0 ,350.576 ,856.481 ,856.481 ,0 ,0 ,9.034 ,0 ,845.222 ,0 ,0 ,0 ,2.224 ,111.200 ,111.200 ,0 ,0 ,0 ,1.903 ,0 ,29.941 ,0 ,79.357 ,0 ,215.148 
21,ČRNA NA KOROŠKEM,1.712.682 ,560.282 ,123.047 ,17.251 ,407.862 ,37.369 ,693 ,5.245 ,3.756 ,2.028 ,307.457 ,10.603 ,0 ,40.711 ,3.898 ,3.898 ,0 ,0 ,0 ,8.225 ,569.191 ,9.201 ,7.002 ,2.199 ,167.889 ,1.189 ,0 ,0 ,0 ,0 ,166.700 ,99.374 ,99.374 ,292.727 ,7.031 ,0 ,0 ,285.695 ,583.208 ,583.208 ,6.673 ,0 ,5.191 ,0 ,507.190 ,54.565 ,0 ,0 ,9.589 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36.384 
22,ČRNOMELJ,5.441.688 ,584.218 ,227.846 ,32.240 ,210.015 ,61.567 ,0 ,26.786 ,2.328 ,4.223 ,19.404 ,388 ,638 ,94.680 ,73.936 ,0 ,0 ,50.421 ,23.514 ,40.181 ,2.290.519 ,119.279 ,0 ,119.279 ,385.862 ,0 ,0 ,0 ,0 ,26.957 ,358.905 ,72.308 ,72.308 ,1.713.070 ,53.050 ,43.958 ,14.639 ,1.601.423 ,454.102 ,454.102 ,0 ,0 ,11.751 ,0 ,289.693 ,38.741 ,3.747 ,0 ,110.169 ,2.112.848 ,2.112.848 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.112.848 ,0 ,200.438 
23,DESTRNIK,1.244.417 ,262.531 ,69.692 ,9.372 ,117.576 ,11.546 ,9.856 ,20.840 ,2.241 ,1.878 ,34.047 ,0 ,0 ,37.168 ,65.891 ,58.746 ,0 ,7.144 ,0 ,0 ,312.414 ,22.651 ,0 ,22.651 ,119.913 ,1.427 ,2.116 ,0 ,0 ,313 ,116.057 ,23.523 ,23.523 ,146.328 ,12.398 ,23.577 ,0 ,110.353 ,659.456 ,659.456 ,0 ,12.022 ,222.400 ,0 ,383.980 ,30.379 ,0 ,0 ,10.674 ,10.015 ,10.015 ,0 ,0 ,10.015 ,0 ,0 ,0 ,0 ,0 ,0 ,244.942 
24,DIVAČA,1.430.725 ,251.444 ,97.071 ,13.913 ,128.726 ,28.497 ,3.818 ,10.545 ,0 ,5.696 ,7.019 ,4.807 ,371 ,67.973 ,4.640 ,4.640 ,0 ,0 ,0 ,7.094 ,735.286 ,12.014 ,0 ,12.014 ,121.983 ,0 ,0 ,0 ,0 ,0 ,121.983 ,49.583 ,49.583 ,551.707 ,124.524 ,9.352 ,3.263 ,414.568 ,402.800 ,402.800 ,0 ,0 ,6.572 ,0 ,324.145 ,1.448 ,38.307 ,0 ,32.328 ,41.195 ,41.195 ,0 ,0 ,8.146 ,0 ,0 ,0 ,0 ,33.050 ,0 ,-143.636 
25,DOBJE,281.819 ,96.720 ,12.444 ,1.711 ,79.227 ,10.220 ,755 ,1.256 ,2.913 ,0 ,57.616 ,0 ,0 ,6.468 ,0 ,0 ,0 ,0 ,0 ,3.338 ,90.377 ,2.646 ,0 ,2.646 ,30.533 ,0 ,0 ,13.888 ,0 ,0 ,16.646 ,9.577 ,9.577 ,47.621 ,0 ,4.594 ,0 ,43.027 ,88.549 ,88.549 ,0 ,0 ,401 ,0 ,77.667 ,359 ,0 ,0 ,10.124 ,6.172 ,6.172 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.172 ,0 ,64.689 
26,DOBREPOLJE,1.466.191 ,269.195 ,66.708 ,9.293 ,188.867 ,28.726 ,12.857 ,21.812 ,27.424 ,1.586 ,80.062 ,1.252 ,0 ,15.148 ,25 ,0 ,0 ,25 ,0 ,4.302 ,454.803 ,10.382 ,0 ,10.382 ,95.981 ,447 ,0 ,0 ,0 ,0 ,95.535 ,85.332 ,85.332 ,263.107 ,7.945 ,7.002 ,1.273 ,246.887 ,647.893 ,647.893 ,0 ,0 ,6.898 ,280 ,364.977 ,220.573 ,16.354 ,0 ,38.812 ,94.300 ,94.300 ,0 ,0 ,56.752 ,0 ,0 ,0 ,0 ,37.548 ,0 ,381.693 
27,DOBRNA,579.044 ,252.303 ,29.273 ,4.127 ,215.761 ,31.965 ,2.237 ,3.388 ,989 ,2.082 ,140.753 ,238 ,0 ,34.110 ,13 ,0 ,0 ,13 ,0 ,3.130 ,274.353 ,34.915 ,0 ,34.915 ,137.694 ,0 ,0 ,1.068 ,0 ,0 ,136.626 ,13.817 ,13.817 ,87.928 ,32.482 ,7.440 ,0 ,48.005 ,35.616 ,35.616 ,6.351 ,0 ,18.716 ,0 ,4.415 ,46 ,0 ,0 ,6.088 ,16.771 ,16.771 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.771 ,0 ,41.512 
28,DOBROVA - POLHOV GRADEC,1.772.129 ,442.063 ,123.790 ,12.515 ,290.482 ,20.790 ,20.760 ,35.620 ,463 ,2.733 ,137.848 ,36.876 ,0 ,35.391 ,0 ,0 ,0 ,0 ,0 ,15.277 ,918.778 ,48.156 ,0 ,48.156 ,503.722 ,0 ,0 ,96.353 ,0 ,0 ,407.369 ,97.300 ,97.300 ,269.600 ,47.233 ,15.578 ,0 ,206.789 ,380.834 ,380.834 ,0 ,9.431 ,4.081 ,0 ,304.628 ,59.251 ,3.443 ,0 ,0 ,30.454 ,30.454 ,0 ,0 ,8.792 ,0 ,0 ,0 ,0 ,21.662 ,0 ,-18.899 
29,DOBROVNIK,394.922 ,116.984 ,22.563 ,2.833 ,91.587 ,17.071 ,5.650 ,21.536 ,3.447 ,5.220 ,19.246 ,2.612 ,25 ,16.779 ,0 ,0 ,0 ,0 ,0 ,0 ,154.244 ,113 ,0 ,113 ,20.481 ,0 ,0 ,0 ,0 ,0 ,20.481 ,19.029 ,19.029 ,114.622 ,0 ,11.121 ,275 ,103.226 ,119.316 ,119.316 ,0 ,0 ,10.870 ,989 ,66.224 ,7.766 ,0 ,0 ,33.467 ,4.377 ,4.377 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.377 ,0 ,75.609 
30,DOL PRI LJUBLJANI,1.250.334 ,528.126 ,83.634 ,9.427 ,405.754 ,48.811 ,3.418 ,35.232 ,2.458 ,1.561 ,222.505 ,8.404 ,0 ,83.367 ,0 ,0 ,0 ,0 ,0 ,29.311 ,476.423 ,19.492 ,0 ,19.492 ,158.325 ,0 ,0 ,0 ,0 ,1.678 ,156.647 ,71.349 ,71.349 ,227.258 ,0 ,8.705 ,0 ,218.553 ,177.320 ,177.320 ,0 ,0 ,18.958 ,0 ,98.214 ,15.252 ,4.323 ,0 ,40.573 ,68.465 ,68.465 ,0 ,0 ,28.810 ,0 ,0 ,0 ,0 ,39.655 ,0 ,61.743 
31,DOLENJSKE TOPLICE,870.994 ,249.633 ,21.107 ,2.157 ,218.398 ,50.088 ,0 ,21.691 ,1.027 ,121 ,90.849 ,5.984 ,6.577 ,42.063 ,1.502 ,0 ,0 ,1.502 ,0 ,6.468 ,392.914 ,69.588 ,0 ,69.588 ,52.466 ,0 ,0 ,0 ,0 ,0 ,52.466 ,46.545 ,46.545 ,224.316 ,0 ,8.045 ,0 ,216.270 ,228.447 ,228.447 ,43.478 ,7.974 ,20.936 ,330 ,106.969 ,34.656 ,6.731 ,0 ,7.374 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83.513 
