,,,,,,,,,,,- V EUR,,,,,- V EUR
,,,50,500,5001,5002,5003,55,550,5501,5502,5503,IX.,X.,XI.,XII.
,,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,SPREMEMBA STANJA SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,STANJE SREDSTEV NA RAČUNIH DNE 31. 12. PRETEKLEGA LETA
,,,,,,,,,,,,,,,,
,,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+X.-IX.=-III),
,,,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,,,,
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,
31.,156 ,OBČINA DOBROVNIK,"123.867,90 ","123.867,90 ","123.867,90 ","0,00 ","0,00 ","57.718,44 ","57.718,44 ","0,00 ","0,00 ","57.718,44 ","26.717,45 ","66.149,46 ","39.432,01 ","55.033,97 "
32.,22 ,OBČINA DOL PRI LJUBLJANI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","90.636,05 ","90.636,05 ","90.636,05 ","0,00 ","0,00 ","84.483,43 ","-90.636,05 ","-175.119,48 ","-256.994,25 "
33.,157 ,OBČINA DOLENJSKE TOPLICE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-83.699,06 ","0,00 ","83.699,06 ","308.536,00 "
34.,23 ,OBČINA DOMŽALE,"9.788.635,00 ","9.788.635,00 ","9.788.635,00 ","0,00 ","0,00 ","284.192,33 ","284.192,33 ","157.213,28 ","0,00 ","126.979,05 ","360.177,09 ","9.504.442,67 ","9.144.265,58 ","7.123.762,00 "
35.,24 ,OBČINA DORNAVA,"740.000,00 ","740.000,00 ","740.000,00 ","0,00 ","0,00 ","381.856,80 ","381.856,80 ","350.029,32 ","0,00 ","31.827,48 ","-22.341,34 ","358.143,20 ","380.484,54 ","-12.746,00 "
36.,25 ,OBČINA DRAVOGRAD,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","260.000,04 ","260.000,04 ","260.000,04 ","0,00 ","0,00 ","-343.055,59 ","-260.000,04 ","79.455,55 ","209.775,00 "
37.,26 ,OBČINA DUPLEK,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","243.564,89 ","243.564,89 ","243.564,89 ","0,00 ","0,00 ","692.223,56 ","-243.564,89 ","-944.288,45 ","147.100,49 "
38.,27 ,OBČINA GORENJA VAS-POLJANE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","112.668,84 ","112.668,84 ","112.668,84 ","0,00 ","0,00 ","84.669,83 ","-112.668,84 ","-224.495,12 ","619.412,00 "
39.,28 ,OBČINA GORIŠNICA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-509.004,49 ","0,00 ","509.004,49 ","776.920,00 "
40.,207 ,OBČINA GORJE,"624.000,00 ","624.000,00 ","624.000,00 ","0,00 ","0,00 ","20.483,36 ","20.483,36 ","20.483,36 ","0,00 ","0,00 ","458.488,36 ","603.516,64 ","145.028,28 ","21.947,42 "
41.,29 ,OBČINA GORNJA RADGONA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","915.581,50 ","915.581,50 ","915.581,50 ","0,00 ","0,00 ","48.500,72 ","-915.581,50 ","-965.628,92 ","12.557,00 "
42.,30 ,OBČINA GORNJI GRAD,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","129.000,00 ","129.000,00 ","129.000,00 ","0,00 ","0,00 ","98.637,36 ","-129.000,00 ","-227.637,36 ","147.373,64 "
43.,31 ,OBČINA GORNJI PETROVCI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.728,00 ","5.728,00 ","5.728,00 ","0,00 ","0,00 ","229.775,32 ","-5.728,00 ","-235.503,32 ","4.494,81 "
44.,158 ,OBČINA GRAD,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","93.750,00 ","93.750,00 ","93.750,00 ","0,00 ","0,00 ","49.388,06 ","-93.750,00 ","-142.407,02 ","5.900,50 "
