,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,XII.,9009
,,,,,,,,,,,,,,,,,"STANJE SREDSTEV NA RAČUNIH
DNE 31. 12. PRETEKLEGA LETA",
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+VII.-VIII.-IX.=-III),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,,Splošni sklad za drugo
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,
33.,DORNAVA,0 ,0 ,0 ,0 ,0 ,0 ,31.827 ,31.827 ,0 ,0 ,31.827 ,0 ,-352.566 ,-31.827 ,320.739 ,286.501 ,286.501 
34.,DRAVOGRAD,728.935 ,728.935 ,728.935 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,65.188 ,728.935 ,663.747 ,78.693 ,78.693 
35.,DUPLEK,0 ,0 ,0 ,0 ,0 ,0 ,30.880 ,30.880 ,30.880 ,0 ,0 ,0 ,-317.505 ,-30.880 ,286.626 ,381.105 ,381.105 
36.,GORENJA VAS - POLJANE,0 ,0 ,0 ,0 ,0 ,0 ,52.473 ,52.473 ,52.473 ,0 ,0 ,0 ,589.478 ,-52.473 ,-775.902 ,1.276.824 ,1.276.824 
37.,GORIŠNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-41.806 ,0 ,41.806 ,36.442 ,36.442 
38.,GORNJA RADGONA,709.397 ,709.397 ,709.397 ,0 ,0 ,0 ,53.651 ,53.651 ,53.651 ,0 ,0 ,0 ,-581.839 ,655.746 ,1.254.728 ,229.490 ,229.490 
39.,GORNJI GRAD,0 ,0 ,0 ,0 ,0 ,0 ,11.004 ,11.004 ,11.004 ,0 ,0 ,0 ,4.503 ,-11.004 ,-15.507 ,4.369 ,4.369 
40.,GORNJI PETROVCI,0 ,0 ,0 ,0 ,0 ,0 ,38.558 ,38.558 ,38.558 ,0 ,0 ,0 ,-7.081 ,-38.558 ,-31.476 ,15.373 ,15.373 
41.,GRAD,0 ,0 ,0 ,0 ,0 ,0 ,18.499 ,18.499 ,18.499 ,0 ,0 ,0 ,-104.344 ,-18.499 ,87.408 ,26.469 ,26.469 
42.,GROSUPLJE,1.510.599 ,1.510.599 ,1.510.599 ,0 ,0 ,0 ,62.423 ,62.423 ,43.211 ,0 ,19.212 ,0 ,-1.128.693 ,1.448.176 ,2.721.415 ,1.427.875 ,1.427.875 
43.,HAJDINA,314.968 ,314.968 ,314.968 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32.912 ,314.968 ,282.057 ,-12.022 ,-12.022 
44.,HOČE - SLIVNICA,0 ,0 ,0 ,0 ,0 ,0 ,229.511 ,229.511 ,229.511 ,0 ,0 ,0 ,858.304 ,-229.511 ,-1.087.815 ,335.503 ,335.503 
45.,HODOŠ,37.444 ,37.444 ,37.444 ,0 ,0 ,0 ,47.651 ,47.651 ,47.651 ,0 ,0 ,0 ,1.758 ,-10.207 ,-11.965 ,5.717 ,5.717 
46.,HORJUL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.524.756 ,0 ,1.524.756 ,1.928.124 ,1.928.124 
47.,HRASTNIK,0 ,0 ,0 ,0 ,0 ,0 ,63.829 ,63.829 ,0 ,0 ,63.829 ,0 ,-86.822 ,-63.829 ,33.375 ,826.093 ,826.093 
48.,HRPELJE - KOZINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-94.362 ,0 ,94.362 ,0 ,0 
49.,IDRIJA,678.872 ,678.872 ,678.872 ,0 ,0 ,0 ,176.310 ,176.310 ,176.310 ,0 ,0 ,0 ,-148.201 ,502.562 ,719.333 ,971.278 ,971.278 
50.,IG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,296.629 ,0 ,-296.629 ,1.297.646 ,1.297.646 
51.,ILIRSKA BISTRICA,377.458 ,377.458 ,377.458 ,0 ,0 ,0 ,31.960 ,31.960 ,16.308 ,0 ,15.653 ,0 ,157.081 ,345.497 ,188.671 ,1.620.426 ,1.620.426 
