,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,- V EUR,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR
41.,29 ,OBČINA GORNJA RADGONA,"19.398,89 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","17.258,11 ","0,00 ","17.258,11 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.140,78 ","2.140,78 ","29.658,00 ","29.658,00 ","29.658,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.561.476,75 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","901.884,52 ","901.884,52 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.449.543,29 ","1.449.543,29 ","210.048,94 ","210.048,94 ","219.619,91 ","0,00 ","0,00 ","219.619,91 ","219.619,91 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","506.644,90 ","138.165,29 ","138.165,29 ","341.959,61 ","341.959,61 ","26.520,00 ","26.520,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","23.495,38 ","0,00 ","0,00 ","23.495,38 ","23.495,38 ","0,00 ","0,00 ","0,00 ","0,00 ","1.182.524,21 ","1.182.524,21 ","1.134.039,33 ","48.484,88 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.542.818,04 "
42.,30 ,OBČINA GORNJI GRAD,"7.348,68 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","7.348,68 ","0,00 ","7.348,68 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","142.189,58 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","127.582,15 ","127.582,15 ","0,00 ","0,00 ","0,00 ","3.604,80 ","3.604,80 ","0,00 ","0,00 ","11.002,63 ","11.002,63 ","260.386,98 ","9.647,92 ","9.647,92 ","53.879,94 ","53.879,94 ","196.859,12 ","196.859,12 ","0,00 ","0,00 ","0,00 ","0,00 ","62.773,16 ","0,00 ","0,00 ","32.882,51 ","32.882,51 ","28.274,85 ","28.274,85 ","1.615,80 ","1.615,80 ","15.969,94 ","0,00 ","0,00 ","15.969,94 ","15.969,94 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","65.202,00 ","65.202,00 ","0,00 ","65.202,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","553.870,34 "
43.,31 ,OBČINA GORNJI PETROVCI,"42.294,26 ","42.294,26 ","42.294,26 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","54.881,22 ","0,00 ","0,00 ","54.881,22 ","54.881,22 ","851.506,65 ","0,00 ","0,00 ","0,00 ","1.239,46 ","0,00 ","1.239,46 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","836.428,57 ","836.428,57 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","10.560,36 ","10.560,36 ","3.278,26 ","3.278,26 ","31.264,82 ","0,00 ","0,00 ","14.549,94 ","14.549,94 ","0,00 ","0,00 ","16.714,88 ","16.714,88 ","0,00 ","0,00 ","132.686,79 ","57.293,30 ","57.293,30 ","7.568,35 ","7.568,35 ","67.825,14 ","67.825,14 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","89.795,48 ","37.982,91 ","37.982,91 ","51.812,57 ","51.812,57 ","0,00 ","0,00 ","0,00 ","0,00 ","238.541,08 ","238.541,08 ","178.357,88 ","60.183,20 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.440.970,30 "
44.,158 ,OBČINA GRAD,"46.721,40 ","1.727,43 ","1.727,43 ","0,00 ","0,00 ","0,00 ","0,00 ","44.770,59 ","0,00 ","44.770,59 ","0,00 ","0,00 ","223,38 ","223,38 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","282.310,62 ","113.920,81 ","113.920,81 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","97.912,77 ","97.912,77 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","48.399,69 ","48.399,69 ","22.077,35 ","22.077,35 ","1.730,74 ","0,00 ","0,00 ","1.730,74 ","1.730,74 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","572.694,38 ","0,00 ","0,00 ","0,00 ","0,00 ","572.694,38 ","572.694,38 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","27.992,64 ","27.992,64 ","27.992,64 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","71.722,01 ","71.722,01 ","1.888,32 ","69.833,69 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.003.171,79 "
45.,32 ,OBČINA GROSUPLJE,"726.775,37 ","7.982,37 ","7.982,37 ","0,00 ","0,00 ","0,00 ","0,00 ","718.793,00 ","0,00 ","718.793,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","9.126,29 ","9.126,29 ","9.126,29 ","23.054,48 ","0,00 ","0,00 ","23.054,48 ","23.054,48 ","1.251.728,61 ","0,00 ","0,00 ","0,00 ","51.135,03 ","21.215,62 ","29.919,41 ","0,00 ","73.215,99 ","0,00 ","70.335,99 ","2.880,00 ","980.691,68 ","980.691,68 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","8.076,00 ","8.076,00 ","138.609,91 ","138.609,91 ","12.143,48 ","0,00 ","0,00 ","12.143,48 ","12.143,48 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","862.182,41 ","43.774,08 ","43.774,08 ","155.914,44 ","155.914,44 ","513.979,29 ","513.979,29 ","148.514,60 ","148.514,60 ","2.639,72 ","0,00 ","0,00 ","2.639,72 ","2.639,72 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","260.005,78 ","73.235,21 ","73.235,21 ","186.770,57 ","186.770,57 ","0,00 ","0,00 ","0,00 ","0,00 ","1.659.238,15 ","1.659.238,15 ","9.879,90 ","1.649.358,25 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.806.894,29 "
46.,159 ,OBČINA HAJDINA,"449.341,94 ","557,48 ","557,48 ","0,00 ","0,00 ","0,00 ","0,00 ","448.784,46 ","0,00 ","448.784,46 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.137,00 ","2.137,00 ","2.137,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","502.861,22 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","461.426,53 ","461.426,53 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","41.434,69 ","41.434,69 ","444.047,55 ","9.124,06 ","9.124,06 ","434.923,49 ","434.923,49 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","80.055,99 ","0,00 ","0,00 ","0,00 ","0,00 ","9.400,10 ","9.400,10 ","70.655,89 ","70.655,89 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","21.853,11 ","0,00 ","0,00 ","21.853,11 ","21.853,11 ","0,00 ","0,00 ","0,00 ","0,00 ","32.556,12 ","32.556,12 ","28.404,12 ","4.152,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.532.852,93 "
47.,160 ,OBČINA HOČE-SLIVNICA,"965.125,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","965.125,00 ","0,00 ","965.125,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.072.602,00 ","59.421,00 ","59.421,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","943.270,00 ","943.270,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","43.977,00 ","43.977,00 ","25.934,00 ","25.934,00 ","201.093,00 ","2.733,00 ","2.733,00 ","180.289,00 ","180.289,00 ","18.071,00 ","18.071,00 ","0,00 ","0,00 ","0,00 ","0,00 ","187.154,00 ","0,00 ","0,00 ","0,00 ","0,00 ","112.748,00 ","112.748,00 ","74.406,00 ","74.406,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","352.620,00 ","3.240,00 ","3.240,00 ","349.380,00 ","349.380,00 ","0,00 ","0,00 ","0,00 ","0,00 ","614.772,00 ","614.772,00 ","614.772,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.393.366,00 "
48.,161 ,OBČINA HODOŠ,"14.069,65 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","14.069,65 ","0,00 ","14.069,65 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","38.646,19 ","0,00 ","0,00 ","38.646,19 ","38.646,19 ","328.780,65 ","0,00 ","0,00 ","0,00 ","7.500,79 ","2.014,80 ","5.485,99 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","308.795,76 ","308.795,76 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.484,10 ","12.484,10 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.109,40 ","0,00 ","0,00 ","2.100,00 ","2.100,00 ","10.009,40 ","10.009,40 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","195,12 ","0,00 ","0,00 ","195,12 ","195,12 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","393.801,01 "
49.,162 ,OBČINA HORJUL,"4.368,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.368,00 ","0,00 ","4.368,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.307,34 ","2.800,80 ","2.800,80 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","506,54 ","506,54 ","37.841,09 ","0,00 ","0,00 ","37.841,09 ","37.841,09 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","29.000,00 ","0,00 ","0,00 ","29.000,00 ","29.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.366,02 ","1.866,24 ","1.866,24 ","499,78 ","499,78 ","0,00 ","0,00 ","0,00 ","0,00 ","223.963,28 ","223.963,28 ","4.909,12 ","219.054,16 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","300.845,73 "
50.,34 ,OBČINA HRASTNIK,"55.586,13 ","3.300,00 ","3.300,00 ","0,00 ","0,00 ","0,00 ","0,00 ","43.580,85 ","0,00 ","43.580,85 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","8.705,28 ","8.705,28 ","0,00 ","0,00 ","0,00 ","2.280,81 ","0,00 ","0,00 ","2.280,81 ","2.280,81 ","1.884.650,92 ","4.018,00 ","4.018,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.920,00 ","0,00 ","4.920,00 ","0,00 ","1.799.825,38 ","1.799.825,38 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","75.887,54 ","75.887,54 ","495.898,54 ","0,00 ","0,00 ","495.898,54 ","495.898,54 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","540.691,77 ","18.879,48 ","18.879,48 ","158.288,20 ","158.288,20 ","358.614,29 ","358.614,29 ","4.909,80 ","4.909,80 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","7.080,00 ","0,00 ","0,00 ","7.080,00 ","7.080,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.986.188,17 "
51.,35 ,OBČINA HRPELJE-KOZINA,"567.074,48 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","567.074,48 ","0,00 ","567.074,48 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.000,00 ","4.000,00 ","4.000,00 ","0,00 ","0,00 ","1.091.873,73 ","3.492,00 ","3.492,00 ","0,00 ","15.083,13 ","0,00 ","15.083,13 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","650.174,15 ","650.174,15 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","423.124,45 ","423.124,45 ","388.350,93 ","20.414,71 ","20.414,71 ","367.936,22 ","367.936,22 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","723.907,24 ","126.095,79 ","126.095,79 ","32.991,62 ","32.991,62 ","564.819,83 ","564.819,83 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","88.779,18 ","44.551,85 ","44.551,85 ","44.227,33 ","44.227,33 ","0,00 ","0,00 ","0,00 ","0,00 ","208.703,98 ","208.703,98 ","0,00 ","208.703,98 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","107.936,27 ","0,00 ","0,00 ","7.419,60 ","7.419,60 ","0,00 ","0,00 ","100.516,67 ","100.516,67 ","3.180.625,81 "
52.,36 ,OBČINA IDRIJA,"636.237,69 ","5.453,29 ","5.453,29 ","0,00 ","0,00 ","0,00 ","0,00 ","628.033,21 ","0,00 ","628.033,21 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.751,19 ","2.751,19 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.280.048,56 ","0,00 ","0,00 ","0,00 ","3.831,21 ","3.831,21 ","0,00 ","0,00 ","43.377,26 ","0,00 ","6.990,48 ","36.386,78 ","1.930.717,06 ","1.930.717,06 ","0,00 ","0,00 ","0,00 ","11.616,00 ","11.616,00 ","0,00 ","0,00 ","290.507,03 ","290.507,03 ","55.130,21 ","5.248,01 ","5.248,01 ","41.530,20 ","41.530,20 ","8.352,00 ","8.352,00 ","0,00 ","0,00 ","0,00 ","0,00 ","204.641,01 ","83.417,50 ","83.417,50 ","57.854,99 ","57.854,99 ","35.491,17 ","35.491,17 ","27.877,35 ","27.877,35 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","51.583,90 ","1.486,73 ","1.486,73 ","50.097,17 ","50.097,17 ","0,00 ","0,00 ","0,00 ","0,00 ","1.930.591,36 ","1.930.591,36 ","1.561.173,00 ","369.418,36 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.158.232,73 "
53.,37 ,OBČINA IG,"636.708,86 ","809,50 ","809,50 ","0,00 ","0,00 ","0,00 ","0,00 ","632.058,11 ","0,00 ","632.058,11 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.841,25 ","3.841,25 ","3.818,12 ","3.818,12 ","3.818,12 ","204.500,00 ","0,00 ","0,00 ","204.500,00 ","204.500,00 ","452.234,84 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","400.096,49 ","400.096,49 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","7.752,17 ","7.752,17 ","44.386,18 ","44.386,18 ","415.743,86 ","0,00 ","0,00 ","415.743,86 ","415.743,86 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","456.030,14 ","0,00 ","0,00 ","14.507,83 ","14.507,83 ","336.777,06 ","336.777,06 ","104.745,25 ","104.745,25 ","624.358,00 ","0,00 ","0,00 ","624.358,00 ","624.358,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","748.762,17 ","0,00 ","0,00 ","748.762,17 ","748.762,17 ","0,00 ","0,00 ","0,00 ","0,00 ","930.434,33 ","930.434,33 ","2.726,02 ","927.708,31 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.472.590,32 "
54.,38 ,OBČINA ILIRSKA BISTRICA,"433.141,62 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","429.139,73 ","0,00 ","429.139,73 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.001,89 ","4.001,89 ","0,00 ","0,00 ","0,00 ","14.116,79 ","0,00 ","0,00 ","14.116,79 ","14.116,79 ","1.543.133,30 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.288.295,39 ","1.288.295,39 ","0,00 ","0,00 ","0,00 ","13.080,00 ","13.080,00 ","209.432,54 ","209.432,54 ","32.325,37 ","32.325,37 ","303.938,95 ","17.179,00 ","17.179,00 ","286.759,95 ","286.759,95 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.054.606,79 ","179.800,00 ","179.800,00 ","46.800,00 ","46.800,00 ","828.006,79 ","828.006,79 ","0,00 ","0,00 ","332.450,95 ","29.376,00 ","29.376,00 ","303.074,95 ","303.074,95 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","127.479,13 ","4.567,44 ","4.567,44 ","119.037,62 ","119.037,62 ","3.874,07 ","3.874,07 ","0,00 ","0,00 ","927.368,05 ","913.363,71 ","78.247,23 ","835.116,48 ","14.004,34 ","14.004,34 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.736.235,58 "
55.,39 ,OBČINA IVANČNA GORICA,"276.628,55 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","267.848,09 ","0,00 ","267.848,09 ","0,00 ","0,00 ","8.780,46 ","8.780,46 ","0,00 ","0,00 ","0,00 ","0,00 ","1.028,16 ","1.028,16 ","1.028,16 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.974.188,10 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.872.497,25 ","1.860.078,45 ","0,00 ","12.418,80 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","101.690,85 ","101.690,85 ","99.470,98 ","129,32 ","129,32 ","83.212,16 ","83.212,16 ","0,00 ","0,00 ","16.129,50 ","16.129,50 ","0,00 ","0,00 ","1.183.836,96 ","927.290,98 ","927.290,98 ","0,00 ","0,00 ","197.197,83 ","197.197,83 ","59.348,15 ","59.348,15 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","68.301,61 ","55.628,16 ","55.628,16 ","12.673,45 ","12.673,45 ","0,00 ","0,00 ","0,00 ","0,00 ","633.780,72 ","633.780,72 ","332.113,22 ","301.667,50 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.237.235,08 "
56.,40 ,OBČINA IZOLA,"412.673,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","412.673,00 ","0,00 ","412.673,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.311.870,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","33.461,00 ","33.461,00 ","0,00 ","0,00 ","1.268.965,00 ","1.268.965,00 ","0,00 ","0,00 ","0,00 ","9.444,00 ","9.444,00 ","0,00 ","0,00 ","0,00 ","0,00 ","544.925,00 ","0,00 ","0,00 ","544.925,00 ","544.925,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","557.181,00 ","40.263,00 ","40.263,00 ","0,00 ","0,00 ","194.789,00 ","194.789,00 ","322.129,00 ","322.129,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","17.808,00 ","0,00 ","0,00 ","17.808,00 ","17.808,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.844.457,00 "
57.,41 ,OBČINA JESENICE,"308.318,58 ","7.709,75 ","7.709,75 ","0,00 ","0,00 ","0,00 ","0,00 ","300.608,83 ","0,00 ","300.608,83 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.800.335,74 ","1.512.109,91 ","1.512.109,91 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","245.345,44 ","245.345,44 ","0,00 ","0,00 ","0,00 ","20.396,71 ","20.396,71 ","0,00 ","0,00 ","22.483,68 ","22.483,68 ","602.347,70 ","0,00 ","0,00 ","602.347,70 ","602.347,70 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","680.315,66 ","656.857,67 ","656.857,67 ","0,00 ","0,00 ","0,00 ","0,00 ","23.457,99 ","23.457,99 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","391.971,81 ","0,00 ","0,00 ","361.859,73 ","361.859,73 ","0,00 ","0,00 ","30.112,08 ","30.112,08 ","2.322.328,94 ","35.843,50 ","0,00 ","35.843,50 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.286.485,44 ","2.286.485,44 ","0,00 ","0,00 ","0,00 ","0,00 ","3.593,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.593,00 ","3.593,00 ","0,00 ","0,00 ","6.109.211,43 "
