19.,CERKVENJAK,1.114.263 ,122.212 ,63.307 ,7.015 ,46.069 ,17.589 ,0 ,5.775 ,2.959 ,1.064 ,4.811 ,0 ,0 ,13.871 ,785 ,0 ,0 ,785 ,0 ,5.037 ,347.258 ,5.396 ,0 ,5.396 ,63.867 ,0 ,0 ,0 ,0 ,0 ,63.867 ,17.839 ,17.839 ,260.157 ,9.915 ,11.505 ,0 ,238.737 ,590.327 ,590.327 ,0 ,5.033 ,1.657 ,0 ,505.834 ,40.098 ,19.763 ,0 ,17.944 ,54.465 ,54.465 ,0 ,0 ,1.698 ,0 ,0 ,0 ,47.826 ,4.941 ,0 ,-210.808 
20.,ČRENŠOVCI,1.699.049 ,165.373 ,78.814 ,12.965 ,61.075 ,27.328 ,3.405 ,10.232 ,0 ,5.996 ,1.936 ,472 ,0 ,11.705 ,0 ,0 ,0 ,0 ,0 ,12.519 ,690.014 ,153.146 ,0 ,153.146 ,53.426 ,0 ,0 ,0 ,0 ,0 ,53.426 ,38.575 ,38.575 ,444.867 ,69.004 ,30.149 ,0 ,345.714 ,679.857 ,679.857 ,0 ,0 ,5.008 ,0 ,631.047 ,19.437 ,17.706 ,0 ,6.660 ,163.804 ,163.804 ,112.936 ,0 ,13.754 ,0 ,0 ,0 ,0 ,37.114 ,0 ,281.481 
21.,ČRNA NA KOROŠKEM,1.987.352 ,708.525 ,144.696 ,20.643 ,531.806 ,53.142 ,26.456 ,92.852 ,5.049 ,2.362 ,247.367 ,14.701 ,117 ,89.760 ,3.034 ,3.034 ,0 ,0 ,0 ,8.346 ,658.684 ,27.596 ,15.077 ,12.519 ,150.563 ,1.419 ,0 ,33 ,0 ,0 ,149.111 ,183.847 ,183.847 ,296.678 ,3.059 ,0 ,0 ,293.620 ,611.238 ,611.238 ,14.605 ,0 ,46.432 ,526 ,517.668 ,6.030 ,4.252 ,0 ,21.724 ,8.905 ,8.905 ,0 ,0 ,263 ,0 ,0 ,8.642 ,0 ,0 ,0 ,-86.029 
22.,ČRNOMELJ,6.434.460 ,633.367 ,254.336 ,36.563 ,256.284 ,65.106 ,0 ,32.086 ,3.935 ,4.503 ,15.878 ,213 ,0 ,134.564 ,53.067 ,0 ,0 ,40.123 ,12.944 ,33.116 ,2.668.611 ,243.169 ,0 ,243.169 ,1.102.938 ,0 ,0 ,0 ,0 ,18.978 ,1.083.959 ,75.951 ,75.951 ,1.246.553 ,50.931 ,50.280 ,16.158 ,1.129.185 ,223.498 ,223.498 ,0 ,0 ,7.144 ,0 ,105.575 ,16.850 ,55.813 ,0 ,38.116 ,2.908.984 ,2.908.984 ,0 ,0 ,8.346 ,0 ,0 ,0 ,0 ,2.900.638 ,0 ,68.615 
23.,DESTRNIK,1.337.206 ,289.831 ,106.297 ,13.754 ,127.262 ,23.364 ,3.993 ,27.283 ,2.992 ,726 ,30.563 ,0 ,0 ,38.341 ,36.955 ,36.955 ,0 ,0 ,0 ,5.563 ,413.186 ,108.951 ,0 ,108.951 ,100.325 ,1.415 ,576 ,0 ,0 ,1.252 ,97.083 ,25.943 ,25.943 ,177.967 ,19.329 ,25.050 ,0 ,133.588 ,634.189 ,634.189 ,0 ,0 ,28.514 ,0 ,581.819 ,13.833 ,0 ,1.473 ,8.550 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42.309 
24.,DIVAČA,1.407.073 ,286.300 ,112.602 ,16.262 ,151.786 ,47.354 ,901 ,11.918 ,0 ,3.459 ,5.116 ,5.888 ,0 ,77.149 ,1.477 ,1.477 ,0 ,0 ,0 ,4.173 ,788.812 ,29.023 ,0 ,29.023 ,139.968 ,768 ,200 ,0 ,0 ,3.789 ,135.211 ,56.047 ,56.047 ,563.775 ,45.873 ,10.733 ,5.667 ,501.502 ,293.803 ,293.803 ,33.383 ,0 ,21.178 ,0 ,172.972 ,0 ,37.156 ,0 ,29.115 ,38.157 ,38.157 ,0 ,0 ,19.604 ,0 ,0 ,0 ,0 ,18.553 ,0 ,42.451 
25.,DOBJE,380.529 ,84.243 ,31.506 ,3.418 ,49.111 ,13.783 ,1.002 ,11.346 ,4.540 ,88 ,15.502 ,0 ,0 ,2.850 ,0 ,0 ,0 ,0 ,0 ,209 ,138.166 ,7.086 ,0 ,7.086 ,65.523 ,0 ,0 ,0 ,0 ,0 ,65.523 ,18.636 ,18.636 ,46.920 ,0 ,5.671 ,0 ,41.249 ,149.775 ,149.775 ,0 ,8.571 ,3.409 ,0 ,3.146 ,132.186 ,0 ,1.248 ,1.214 ,8.346 ,8.346 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.346 ,0 ,13.975 
26.,DOBREPOLJE,1.692.606 ,298.652 ,76.022 ,10.762 ,210.082 ,27.016 ,16.917 ,22.505 ,36.455 ,1.582 ,82.862 ,0 ,0 ,22.747 ,25 ,0 ,0 ,25 ,0 ,1.761 ,538.449 ,9.806 ,0 ,9.806 ,107.374 ,5.191 ,0 ,0 ,0 ,0 ,102.182 ,82.845 ,82.845 ,338.424 ,2.387 ,6.564 ,4.373 ,325.100 ,721.182 ,721.182 ,0 ,0 ,7.549 ,0 ,438.428 ,170.076 ,32.870 ,0 ,72.258 ,134.322 ,134.322 ,0 ,0 ,16.692 ,92.034 ,0 ,0 ,0 ,25.597 ,0 ,-29.820 
27.,DOBRNA,864.968 ,336.605 ,63.817 ,8.751 ,263.829 ,36.121 ,7.995 ,31.451 ,25.434 ,5.062 ,102.771 ,15.152 ,601 ,39.242 ,0 ,0 ,0 ,0 ,0 ,209 ,279.089 ,20.873 ,0 ,20.873 ,171.553 ,1.139 ,0 ,209 ,0 ,0 ,170.205 ,37.953 ,37.953 ,48.711 ,2.667 ,7.753 ,0 ,38.291 ,238.996 ,238.996 ,0 ,86.234 ,16.308 ,0 ,124.295 ,0 ,1.557 ,843 ,9.760 ,10.278 ,10.278 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.278 ,0 ,-86.805 
28.,DOBROVA - POLHOV GRADEC,2.428.201 ,741.258 ,106.764 ,10.245 ,622.450 ,62.344 ,19.809 ,36.713 ,2.132 ,2.975 ,427.637 ,8.671 ,0 ,62.168 ,1.799 ,0 ,0 ,1.799 ,0 ,0 ,891.091 ,59.886 ,0 ,59.886 ,518.248 ,0 ,0 ,9.869 ,0 ,0 ,508.379 ,134.080 ,134.080 ,178.877 ,26.398 ,17.134 ,0 ,135.345 ,681.168 ,681.168 ,0 ,6.481 ,3.781 ,0 ,12.519 ,639.927 ,12.598 ,0 ,5.863 ,114.685 ,114.685 ,0 ,0 ,46.253 ,0 ,0 ,0 ,0 ,68.432 ,0 ,27.737 
29.,DOBROVNIK,682.198 ,205.621 ,61.605 ,5.976 ,135.954 ,31.748 ,1.444 ,23.435 ,1.615 ,6.781 ,40.039 ,2.779 ,0 ,28.113 ,0 ,0 ,0 ,0 ,0 ,2.086 ,292.664 ,99.549 ,0 ,99.549 ,13.090 ,0 ,0 ,0 ,0 ,0 ,13.090 ,30.487 ,30.487 ,149.537 ,30.855 ,12.690 ,317 ,105.675 ,174.770 ,174.770 ,0 ,12.076 ,6.985 ,3.764 ,21.357 ,70.986 ,0 ,0 ,59.602 ,9.143 ,9.143 ,0 ,0 ,2.295 ,0 ,0 ,0 ,0 ,6.848 ,0 ,16.095 
