71.,KRŠKO,14.429.632 ,4.112.293 ,787.606 ,109.289 ,2.962.815 ,193.073 ,38.913 ,228.443 ,37.798 ,12.803 ,1.741.124 ,26.544 ,110.883 ,573.235 ,187.243 ,187.043 ,0 ,200 ,0 ,65.340 ,6.160.048 ,954.440 ,68.782 ,885.658 ,2.576.899 ,0 ,0 ,0 ,0 ,22.438 ,2.554.461 ,664.559 ,664.559 ,1.964.150 ,434.168 ,159.602 ,74.896 ,1.295.485 ,3.315.678 ,3.315.678 ,26.289 ,40.886 ,74.537 ,2.458 ,2.199.328 ,473.594 ,219.984 ,0 ,278.601 ,841.612 ,841.612 ,105.341 ,0 ,61.526 ,0 ,0 ,4.991 ,4.173 ,665.582 ,0 ,24.015 
72.,KUNGOTA,1.739.155 ,190.039 ,76.302 ,13.491 ,100.109 ,37.811 ,0 ,9.135 ,0 ,1.907 ,1.056 ,0 ,0 ,50.200 ,138 ,0 ,138 ,0 ,0 ,0 ,791.370 ,1.014 ,0 ,1.014 ,234.844 ,72.296 ,0 ,3.639 ,0 ,0 ,158.909 ,40.377 ,40.377 ,515.135 ,127.717 ,56.297 ,57.649 ,273.473 ,80.671 ,80.671 ,0 ,0 ,2.450 ,5.688 ,0 ,67.255 ,0 ,0 ,5.279 ,677.074 ,677.074 ,677.074 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.498 
73.,KUZMA,895.218 ,257.670 ,66.533 ,19.563 ,158.454 ,29.127 ,5.258 ,24.124 ,2.984 ,3.134 ,69.926 ,0 ,0 ,23.903 ,50 ,50 ,0 ,0 ,0 ,13.070 ,222.672 ,1.110 ,0 ,1.110 ,115.098 ,0 ,0 ,15.169 ,0 ,0 ,99.929 ,63.474 ,63.474 ,42.989 ,6.113 ,0 ,1.398 ,35.478 ,407.365 ,407.365 ,0 ,0 ,2.483 ,142 ,274.220 ,72.434 ,34.485 ,0 ,23.602 ,7.511 ,7.511 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.511 ,0 ,39.630 
74.,LAŠKO,5.351.227 ,964.050 ,353.046 ,49.024 ,428.267 ,73.706 ,0 ,31.326 ,14.710 ,8.233 ,27.775 ,551 ,0 ,271.966 ,75.459 ,0 ,0 ,0 ,75.459 ,58.254 ,2.561.146 ,5.049 ,0 ,5.049 ,1.197.304 ,0 ,0 ,0 ,0 ,0 ,1.197.304 ,155.963 ,155.963 ,1.202.829 ,198.615 ,65.665 ,74.286 ,864.263 ,1.691.504 ,1.691.504 ,0 ,0 ,54.728 ,768 ,1.044.141 ,396.954 ,140.986 ,0 ,53.927 ,134.527 ,134.527 ,0 ,0 ,20.877 ,82.086 ,0 ,0 ,1.882 ,29.682 ,0 ,353.368 
75.,LENART,5.104.031 ,979.252 ,255.462 ,35.512 ,637.344 ,70.785 ,4.824 ,174.107 ,10.395 ,5.521 ,274.378 ,0 ,0 ,97.334 ,7.336 ,0 ,0 ,7.336 ,0 ,43.599 ,1.717.109 ,129.649 ,0 ,129.649 ,883.258 ,0 ,0 ,0 ,0 ,0 ,883.258 ,214.292 ,214.292 ,489.910 ,156.464 ,50.071 ,95.301 ,188.074 ,255.788 ,255.788 ,0 ,9.322 ,36.947 ,0 ,123.748 ,22.793 ,57.870 ,0 ,5.108 ,2.151.882 ,2.151.882 ,18.474 ,0 ,292 ,0 ,0 ,0 ,276.239 ,1.856.877 ,0 ,-264.434 
76.,LENDAVA,4.875.321 ,1.173.640 ,400.830 ,51.728 ,688.504 ,82.528 ,91.775 ,81.885 ,126.181 ,17.631 ,211.471 ,7.874 ,0 ,69.158 ,12.210 ,12.210 ,0 ,0 ,0 ,20.368 ,1.908.450 ,0 ,0 ,0 ,394.759 ,0 ,0 ,0 ,0 ,23.348 ,371.411 ,212.957 ,212.957 ,1.300.734 ,85.545 ,101.235 ,73.018 ,1.040.936 ,1.350.876 ,1.350.876 ,0 ,0 ,110.804 ,0 ,940.957 ,223.706 ,36.334 ,0 ,39.075 ,442.355 ,442.355 ,216.679 ,0 ,85.441 ,0 ,0 ,12.519 ,0 ,127.717 ,0 ,87.143 
77.,LITIJA,6.750.643 ,984.911 ,286.855 ,39.305 ,610.850 ,108.500 ,29.799 ,113.750 ,6.485 ,5.212 ,37.360 ,83.221 ,17.656 ,208.867 ,18.691 ,18.691 ,0 ,0 ,0 ,29.210 ,3.466.320 ,200.451 ,0 ,200.451 ,815.991 ,0 ,33.383 ,0 ,0 ,1.753 ,780.855 ,268.891 ,268.891 ,2.180.988 ,136.601 ,91.020 ,49.049 ,1.904.319 ,1.490.966 ,1.490.966 ,0 ,0 ,17.372 ,0 ,1.185.733 ,48.293 ,55.103 ,0 ,184.464 ,808.446 ,808.446 ,21.799 ,0 ,52.579 ,41.729 ,0 ,8.346 ,31.990 ,652.003 ,0 ,-24.549 
78.,LJUBLJANA (M),152.521.428 ,34.920.205 ,7.007.549 ,965.623 ,25.821.749 ,2.352.074 ,830.926 ,1.269.930 ,148.936 ,156.017 ,15.058.588 ,336.580 ,2.465.327 ,3.203.372 ,36.893 ,0 ,0 ,0 ,36.893 ,1.088.391 ,62.237.152 ,4.223.514 ,3.472.642 ,750.872 ,25.180.199 ,0 ,0 ,28.630 ,5.846 ,173.322 ,24.972.400 ,7.286.559 ,7.286.559 ,25.546.879 ,50.033 ,1.324.282 ,6.244.029 ,17.928.534 ,43.762.999 ,43.762.999 ,1.260.436 ,118.415 ,1.848.014 ,101.527 ,24.026.106 ,11.732.474 ,1.752.237 ,0 ,2.923.790 ,11.601.072 ,11.601.072 ,0 ,4.585.979 ,349.295 ,32.052 ,0 ,0 ,0 ,6.633.746 ,0 ,-4.262.540 
79.,LJUBNO,1.339.226 ,307.607 ,64.167 ,8.930 ,221.991 ,13.821 ,4.123 ,27.237 ,0 ,1.682 ,138.020 ,0 ,0 ,37.110 ,0 ,0 ,0 ,0 ,0 ,12.519 ,367.009 ,43.732 ,3.030 ,40.703 ,92.122 ,0 ,3.731 ,0 ,0 ,0 ,88.391 ,67.163 ,67.163 ,163.992 ,0 ,9.352 ,0 ,154.640 ,664.609 ,664.609 ,2.249 ,0 ,1.515 ,0 ,631.351 ,0 ,7.315 ,0 ,22.179 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,208.913 
80.,LJUTOMER,5.060.007 ,644.876 ,321.966 ,45.452 ,235.879 ,34.498 ,1.515 ,35.023 ,8.517 ,3.760 ,18.941 ,4.920 ,5.425 ,123.281 ,8.212 ,0 ,0 ,8.212 ,0 ,33.367 ,2.677.045 ,408.108 ,7.499 ,400.609 ,309.982 ,0 ,1.832 ,0 ,0 ,7.628 ,300.522 ,185.716 ,185.716 ,1.773.239 ,379.244 ,70.940 ,64.392 ,1.258.663 ,908.191 ,908.191 ,96 ,1.732 ,24.332 ,1.035 ,763.671 ,21.641 ,2.508 ,0 ,93.177 ,829.895 ,829.895 ,0 ,105.729 ,20.835 ,390.386 ,0 ,14.025 ,0 ,298.919 ,0 ,-184.143 
81.,LOGATEC,4.956.681 ,530.183 ,277.349 ,39.543 ,197.563 ,45.239 ,0 ,34.806 ,11.350 ,1.961 ,33.037 ,8.884 ,0 ,62.285 ,6.610 ,0 ,0 ,6.610 ,0 ,9.118 ,2.027.909 ,47.246 ,0 ,47.246 ,451.632 ,0 ,0 ,0 ,0 ,4.457 ,447.175 ,223.243 ,223.243 ,1.305.788 ,101.077 ,27.975 ,34.635 ,1.142.101 ,2.327.466 ,2.327.466 ,204.056 ,12.982 ,6.092 ,0 ,1.639.705 ,264.576 ,129.507 ,0 ,70.547 ,71.123 ,71.123 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,71.123 ,0 ,145.393 
82.,LOŠKA DOLINA,1.886.375 ,480.208 ,99.195 ,14.793 ,357.620 ,32.720 ,23.126 ,47.863 ,3.526 ,2.420 ,202.333 ,2.746 ,11.413 ,31.472 ,0 ,0 ,0 ,0 ,0 ,8.600 ,541.462 ,4.753 ,0 ,4.753 ,82.086 ,0 ,0 ,0 ,0 ,0 ,82.086 ,90.628 ,90.628 ,363.996 ,0 ,8.726 ,54.561 ,300.709 ,856.360 ,856.360 ,31.668 ,0 ,11.592 ,0 ,638.424 ,132.349 ,8.446 ,0 ,33.880 ,8.346 ,8.346 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.346 ,0 ,-168.841 
83.,LOŠKI POTOK,1.041.554 ,149.942 ,47.492 ,6.869 ,77.533 ,25.734 ,0 ,21.745 ,2.228 ,3.096 ,5.600 ,0 ,0 ,19.129 ,6.802 ,0 ,0 ,6.802 ,0 ,11.246 ,337.723 ,3.777 ,0 ,3.777 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27.783 ,27.783 ,306.163 ,17.172 ,4.599 ,11.392 ,273.001 ,514.063 ,514.063 ,0 ,12.702 ,21.995 ,13.383 ,99.257 ,276.298 ,19.571 ,0 ,70.856 ,39.826 ,39.826 ,0 ,0 ,22.409 ,0 ,0 ,0 ,0 ,17.418 ,0 ,26.131 
84.,LOVRENC NA POHORJU,1.330.583 ,521.040 ,140.440 ,20.105 ,354.236 ,58.392 ,0 ,42.768 ,5.091 ,7.478 ,204.261 ,238 ,0 ,36.008 ,0 ,0 ,0 ,0 ,0 ,6.259 ,430.316 ,15.820 ,0 ,15.820 ,98.815 ,0 ,0 ,0 ,0 ,0 ,98.815 ,60.420 ,60.420 ,255.262 ,0 ,21.507 ,23.381 ,210.374 ,296.557 ,296.557 ,0 ,0 ,13.428 ,0 ,139.714 ,91.400 ,41.796 ,0 ,10.220 ,82.670 ,82.670 ,0 ,34.352 ,29.039 ,0 ,0 ,0 ,0 ,19.279 ,0 ,-1.390 
85.,LUČE,840.657 ,270.155 ,42.727 ,5.225 ,215.945 ,12.944 ,10.520 ,18.524 ,9.886 ,138 ,122.713 ,1.786 ,4.548 ,34.886 ,0 ,0 ,0 ,0 ,0 ,6.259 ,231.481 ,49.587 ,10.140 ,39.447 ,73.406 ,0 ,1.206 ,292 ,0 ,0 ,71.908 ,29.670 ,29.670 ,78.818 ,0 ,5.162 ,1.252 ,72.404 ,285.729 ,285.729 ,16.692 ,0 ,34.623 ,342 ,195.990 ,17.359 ,4.624 ,0 ,16.099 ,53.292 ,53.292 ,0 ,28.530 ,330 ,0 ,0 ,0 ,0 ,24.432 ,0 ,-1.865 
86.,LUKOVICA,2.704.219 ,869.212 ,182.540 ,27.354 ,639.422 ,129.895 ,3.096 ,42.468 ,27.020 ,2.662 ,377.675 ,0 ,0 ,56.606 ,0 ,0 ,0 ,0 ,0 ,19.897 ,942.238 ,58.901 ,0 ,58.901 ,382.211 ,0 ,68.060 ,12.744 ,0 ,8.984 ,292.422 ,73.060 ,73.060 ,428.067 ,188.316 ,11.546 ,956 ,227.249 ,861.805 ,861.805 ,25.275 ,22.091 ,62.732 ,0 ,693.920 ,0 ,40.932 ,0 ,16.854 ,30.963 ,30.963 ,12.519 ,0 ,4.173 ,0 ,0 ,0 ,0 ,14.271 ,0 ,-273.731 
87.,MAJŠPERK,1.784.239 ,627.704 ,83.075 ,13.913 ,530.717 ,23.327 ,63 ,23.936 ,63.979 ,1.707 ,120.339 ,0 ,0 ,297.367 ,0 ,0 ,0 ,0 ,0 ,0 ,322.212 ,14.998 ,0 ,14.998 ,76.231 ,0 ,0 ,0 ,0 ,0 ,76.231 ,42.426 ,42.426 ,188.558 ,0 ,31.685 ,0 ,156.873 ,834.322 ,834.322 ,44.859 ,0 ,8.459 ,0 ,779.165 ,0 ,0 ,0 ,1.840 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,112.673 
88.,MARIBOR (M),57.381.768 ,8.198.456 ,3.079.582 ,437.448 ,4.567.443 ,1.218.991 ,14.697 ,1.094.016 ,62.690 ,58.446 ,368.177 ,284.289 ,591.078 ,875.058 ,3.739 ,734 ,0 ,3.005 ,0 ,110.245 ,29.144.137 ,366.220 ,0 ,366.220 ,1.469.029 ,0 ,0 ,0 ,0 ,0 ,1.469.029 ,2.249.958 ,2.249.958 ,25.058.930 ,131.656 ,540.603 ,1.589.163 ,22.797.509 ,4.080.124 ,4.080.124 ,0 ,755.066 ,449.190 ,2.833 ,1.278.401 ,625.780 ,212.097 ,62.135 ,694.621 ,15.959.051 ,15.959.051 ,0 ,2.256.401 ,487.248 ,9.558.822 ,0 ,946.916 ,25.789 ,2.683.876 ,0 ,-4.884.293 
89.,MARKOVCI,2.206.593 ,245.835 ,60.754 ,12.085 ,172.997 ,10.766 ,572 ,9.297 ,2.483 ,3.923 ,5.270 ,0 ,0 ,140.686 ,0 ,0 ,0 ,0 ,0 ,0 ,637.122 ,58.421 ,0 ,58.421 ,141.446 ,0 ,0 ,0 ,0 ,5.563 ,135.883 ,142.981 ,142.981 ,294.275 ,0 ,26.986 ,0 ,267.288 ,1.264.781 ,1.264.781 ,0 ,0 ,41.721 ,0 ,1.057.820 ,165.240 ,0 ,0 ,0 ,58.855 ,58.855 ,0 ,0 ,40.561 ,0 ,0 ,0 ,0 ,18.294 ,0 ,-57.044 
90.,MEDVODE,4.600.734 ,1.402.358 ,181.531 ,26.068 ,1.150.405 ,75.259 ,38.120 ,101.223 ,5.483 ,2.078 ,476.486 ,0 ,0 ,451.757 ,0 ,0 ,0 ,0 ,0 ,44.354 ,1.843.056 ,268.882 ,31.297 ,237.586 ,75.355 ,0 ,0 ,0 ,0 ,0 ,75.355 ,264.263 ,264.263 ,1.234.556 ,125.038 ,48.435 ,0 ,1.061.083 ,1.098.573 ,1.098.573 ,54.144 ,0 ,67.948 ,100 ,751.498 ,21.520 ,90.699 ,0 ,112.665 ,256.748 ,256.748 ,0 ,0 ,175 ,0 ,0 ,0 ,0 ,256.572 ,0 ,1.013.320 
91.,MENGEŠ,2.100.317 ,660.962 ,161.467 ,23.072 ,465.640 ,73.852 ,11.083 ,99.257 ,1.410 ,2.641 ,132.361 ,5.859 ,0 ,139.175 ,0 ,0 ,0 ,0 ,0 ,10.783 ,811.467 ,19.659 ,0 ,19.659 ,437.823 ,0 ,0 ,0 ,0 ,7.186 ,430.638 ,142.764 ,142.764 ,211.221 ,0 ,20.034 ,8.596 ,182.591 ,555.554 ,555.554 ,0 ,0 ,73.272 ,3.580 ,307.269 ,125.513 ,3.839 ,0 ,42.080 ,72.334 ,72.334 ,0 ,0 ,20.865 ,0 ,0 ,0 ,0 ,51.469 ,0 ,56.255 
92.,METLIKA,4.013.153 ,802.612 ,137.823 ,20.314 ,617.084 ,322.667 ,0 ,152.495 ,4.870 ,2.929 ,34.118 ,113 ,0 ,99.892 ,2.166 ,2.166 ,0 ,0 ,0 ,25.225 ,1.178.998 ,30.855 ,0 ,30.855 ,197.630 ,0 ,0 ,96.386 ,0 ,2.391 ,98.852 ,96.753 ,96.753 ,853.760 ,99.508 ,28.226 ,20.865 ,705.162 ,1.978.330 ,1.978.330 ,0 ,0 ,17.927 ,0 ,1.108.726 ,672.229 ,78.522 ,0 ,100.926 ,53.213 ,53.213 ,34.218 ,0 ,0 ,0 ,0 ,0 ,0 ,18.995 ,0 ,-232.090 
93.,MEŽICA,1.402.458 ,557.595 ,112.189 ,15.795 ,427.929 ,48.218 ,49.683 ,50.693 ,8.842 ,2.633 ,177.792 ,4.599 ,259 ,85.211 ,0 ,0 ,0 ,0 ,0 ,1.682 ,556.172 ,45.948 ,5.195 ,40.753 ,97.267 ,0 ,0 ,13.771 ,1.519 ,0 ,81.977 ,128.405 ,128.405 ,284.552 ,0 ,14.580 ,1.440 ,268.532 ,230.671 ,230.671 ,14.543 ,13.299 ,21.424 ,355 ,131.230 ,7.678 ,13.111 ,0 ,29.031 ,58.020 ,58.020 ,0 ,0 ,0 ,20.464 ,0 ,0 ,0 ,37.556 ,0 ,24.374 
94.,MIKLAVŽ NA DRAVSKEM POLJU,1.971.052 ,576.106 ,163.862 ,23.944 ,352.470 ,94.024 ,1.861 ,55.124 ,317 ,4.498 ,110.103 ,4.098 ,0 ,82.445 ,54 ,0 ,0 ,54 ,0 ,35.775 ,716.946 ,35.345 ,0 ,35.345 ,218.803 ,0 ,0 ,8.867 ,0 ,0 ,209.936 ,66.512 ,66.512 ,396.286 ,0 ,15.348 ,2.754 ,378.184 ,635.361 ,635.361 ,0 ,0 ,1.615 ,4.453 ,402.783 ,143.390 ,2.725 ,0 ,80.396 ,42.639 ,42.639 ,0 ,0 ,25.547 ,0 ,0 ,0 ,0 ,17.092 ,0 ,-6.226 
95.,MIREN - KOSTANJEVICA,1.740.444 ,401.256 ,91.345 ,13.040 ,292.151 ,24.337 ,0 ,62.848 ,6.919 ,1.632 ,108.584 ,2.278 ,0 ,85.553 ,13 ,13 ,0 ,0 ,0 ,4.707 ,623.690 ,21.804 ,0 ,21.804 ,155.216 ,0 ,906 ,14.680 ,0 ,0 ,139.630 ,70.414 ,70.414 ,376.256 ,28.297 ,15.411 ,30.763 ,301.786 ,548.907 ,548.907 ,44.354 ,8.137 ,11.684 ,0 ,434.627 ,0 ,3.626 ,0 ,46.478 ,166.592 ,166.592 ,62.594 ,0 ,22.626 ,16.395 ,0 ,0 ,0 ,64.977 ,0 ,82.061 
96.,MIRNA PEČ,1.024.132 ,193.636 ,50.650 ,6.340 ,130.386 ,11.301 ,0 ,15.627 ,0 ,844 ,59.155 ,68 ,0 ,43.392 ,0 ,0 ,0 ,0 ,0 ,6.259 ,489.749 ,131.773 ,0 ,131.773 ,91.854 ,0 ,0 ,0 ,0 ,0 ,91.854 ,31.652 ,31.652 ,234.470 ,0 ,6.009 ,0 ,228.462 ,313.016 ,313.016 ,0 ,0 ,11.198 ,0 ,113.761 ,82.759 ,21.301 ,0 ,83.998 ,27.731 ,27.731 ,0 ,0 ,15.023 ,0 ,0 ,0 ,0 ,12.708 ,0 ,68.836 
97.,MISLINJA,1.865.849 ,446.983 ,69.262 ,10.699 ,357.532 ,33.751 ,1.060 ,24.933 ,5.738 ,1.202 ,246.708 ,4.603 ,2.379 ,37.160 ,309 ,0 ,0 ,309 ,0 ,9.180 ,590.732 ,15.369 ,0 ,15.369 ,287.410 ,0 ,0 ,0 ,0 ,0 ,287.410 ,74.967 ,74.967 ,212.986 ,11.855 ,0 ,8.634 ,192.497 ,812.298 ,812.298 ,4.878 ,12.869 ,36.200 ,0 ,611.217 ,1.177 ,114.263 ,0 ,31.693 ,15.836 ,15.836 ,15.836 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-13.216 
98.,MORAVČE,2.181.760 ,479.185 ,154.302 ,21.612 ,303.272 ,59.635 ,11.722 ,47.834 ,11.246 ,3.601 ,127.571 ,3.251 ,0 ,38.412 ,0 ,0 ,0 ,0 ,0 ,0 ,565.365 ,123.539 ,1.607 ,121.933 ,262.656 ,0 ,0 ,10.386 ,0 ,0 ,252.270 ,67.973 ,67.973 ,111.196 ,0 ,10.962 ,0 ,100.234 ,455.383 ,455.383 ,0 ,10.941 ,24.495 ,0 ,379.432 ,8.513 ,0 ,0 ,32.002 ,681.827 ,681.827 ,0 ,0 ,17.735 ,0 ,0 ,19.901 ,0 ,644.191 ,0 ,-96.683 
99.,MORAVSKE TOPLICE,3.359.397 ,853.121 ,153.576 ,21.670 ,635.136 ,90.043 ,41.504 ,72.329 ,9.735 ,6.443 ,340.861 ,142 ,6.435 ,67.643 ,23.452 ,0 ,0 ,23.452 ,0 ,19.287 ,1.334.548 ,480.992 ,7.378 ,473.615 ,231.347 ,0 ,0 ,0 ,0 ,9.735 ,221.612 ,135.491 ,135.491 ,486.718 ,11.713 ,38.846 ,6.743 ,429.415 ,1.017.889 ,1.017.889 ,0 ,0 ,108.459 ,1.214 ,703.130 ,20.547 ,35.299 ,0 ,149.241 ,153.839 ,153.839 ,0 ,0 ,119.947 ,0 ,0 ,0 ,0 ,33.893 ,0 ,-54.436 
100.,MOZIRJE,3.048.652 ,514.326 ,144.492 ,20.368 ,301.928 ,46.616 ,11.509 ,46.937 ,1.753 ,1.306 ,119.262 ,10.929 ,0 ,63.616 ,31.243 ,31.243 ,0 ,0 ,0 ,16.295 ,917.409 ,77.667 ,1.198 ,76.469 ,145.038 ,0 ,0 ,0 ,0 ,0 ,145.038 ,118.332 ,118.332 ,576.373 ,64.347 ,16.087 ,12.419 ,483.521 ,1.513.403 ,1.513.403 ,25.872 ,5.529 ,5.859 ,0 ,1.329.386 ,108.004 ,20.443 ,0 ,18.311 ,103.514 ,103.514 ,0 ,0 ,21.816 ,0 ,0 ,10.053 ,901 ,70.744 ,0 ,-10.094 
101.,MURSKA SOBOTA (M),11.840.093 ,1.997.196 ,563.562 ,75.467 ,1.192.380 ,135.900 ,4.799 ,220.931 ,16.337 ,15.874 ,594.926 ,33.267 ,0 ,170.347 ,72.655 ,67.939 ,0 ,4.715 ,0 ,93.131 ,5.767.919 ,397.271 ,0 ,397.271 ,181.088 ,0 ,0 ,0 ,0 ,20.184 ,160.904 ,788.499 ,788.499 ,4.401.060 ,630.208 ,155.400 ,1.235.286 ,2.380.166 ,3.019.342 ,3.019.342 ,124.503 ,0 ,158.625 ,0 ,2.178.756 ,324.754 ,64.213 ,0 ,168.490 ,1.055.638 ,1.055.638 ,0 ,208.646 ,185.416 ,79.703 ,0 ,0 ,0 ,581.873 ,0 ,-1.482.636 
102.,MUTA,1.566.679 ,188.232 ,43.269 ,6.097 ,127.925 ,62.552 ,1.515 ,12.707 ,33 ,2.500 ,9.448 ,121 ,0 ,39.050 ,2.162 ,664 ,0 ,1.498 ,0 ,8.780 ,623.652 ,16.487 ,0 ,16.487 ,299.796 ,0 ,0 ,0 ,0 ,2.604 ,297.192 ,54.920 ,54.920 ,252.450 ,0 ,0 ,71.453 ,180.996 ,728.626 ,728.626 ,11.943 ,0 ,9.706 ,0 ,569.074 ,10.270 ,81.414 ,0 ,46.219 ,26.168 ,26.168 ,0 ,0 ,438 ,0 ,0 ,0 ,1.177 ,24.554 ,0 ,-61.955 
103.,NAKLO,1.561.192 ,404.720 ,81.422 ,11.375 ,296.432 ,51.995 ,15.056 ,27.662 ,2.007 ,2.900 ,134.435 ,18.486 ,1.018 ,42.873 ,0 ,0 ,0 ,0 ,0 ,15.490 ,490.482 ,19.913 ,0 ,19.913 ,296.783 ,0 ,4.006 ,9.435 ,0 ,0 ,283.342 ,111.651 ,111.651 ,62.135 ,0 ,0 ,0 ,62.135 ,596.357 ,596.357 ,46.937 ,13.378 ,13.616 ,9.652 ,251.586 ,165.169 ,92.493 ,0 ,3.526 ,69.634 ,69.634 ,0 ,0 ,3.238 ,35.432 ,0 ,0 ,0 ,30.963 ,0 ,60.378 
104.,NAZARJE,2.044.091 ,524.896 ,56.844 ,9.080 ,381.898 ,22.980 ,0 ,22.655 ,993 ,321 ,274.633 ,26.214 ,4.415 ,29.686 ,61.133 ,61.133 ,0 ,0 ,0 ,15.941 ,347.601 ,15.440 ,2.934 ,12.506 ,69.980 ,0 ,0 ,67.818 ,0 ,0 ,2.162 ,39.722 ,39.722 ,222.459 ,13.466 ,7.390 ,2.124 ,199.478 ,1.159.055 ,1.159.055 ,0 ,0 ,197.759 ,221 ,865.878 ,86.776 ,8.421 ,0 ,0 ,12.540 ,12.540 ,0 ,0 ,0 ,0 ,0 ,5.325 ,835 ,6.380 ,0 ,572.525 
105.,NOVA GORICA (M),22.141.708 ,5.676.861 ,1.122.392 ,160.870 ,4.300.868 ,490.269 ,92.530 ,1.370.331 ,48.105 ,17.843 ,1.283.809 ,164.292 ,11.017 ,822.672 ,1.089 ,0 ,0 ,1.089 ,0 ,91.642 ,7.205.003 ,538.428 ,281.710 ,256.718 ,672.137 ,0 ,0 ,0 ,0 ,12.535 ,659.602 ,1.413.015 ,1.413.015 ,4.581.422 ,712.899 ,93.353 ,332.962 ,3.442.209 ,3.447.066 ,3.447.066 ,369.650 ,3.372 ,129.957 ,13.424 ,1.805.416 ,166.583 ,637.719 ,0 ,320.944 ,5.812.778 ,5.812.778 ,637.878 ,476.657 ,225.810 ,1.033.884 ,0 ,0 ,0 ,3.438.549 ,0 ,-746.962 
106.,NOVO MESTO (M),16.885.403 ,3.155.984 ,1.001.623 ,144.663 ,1.715.160 ,230.604 ,6.622 ,657.716 ,13.211 ,15.102 ,144.004 ,16.320 ,48.010 ,583.571 ,210.040 ,210.040 ,0 ,0 ,0 ,84.498 ,8.684.781 ,1.272.722 ,291.395 ,981.326 ,1.041.600 ,29.169 ,0 ,245.251 ,0 ,32.052 ,735.128 ,110.520 ,110.520 ,6.259.940 ,895.168 ,0 ,441.187 ,4.923.585 ,4.965.452 ,4.965.452 ,0 ,0 ,330.195 ,20.865 ,2.651.127 ,1.049.887 ,197.434 ,0 ,715.945 ,79.185 ,79.185 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,79.185 ,0 ,13.933 
107.,ODRANCI,697.813 ,149.044 ,53.451 ,6.514 ,84.498 ,15.398 ,3.105 ,27.708 ,1.072 ,2.049 ,14.409 ,634 ,417 ,19.705 ,4.582 ,346 ,4.236 ,0 ,0 ,0 ,256.443 ,107.127 ,0 ,107.127 ,7.687 ,209 ,0 ,2.692 ,0 ,0 ,4.786 ,29.578 ,29.578 ,112.051 ,0 ,12.331 ,2.808 ,96.912 ,285.683 ,285.683 ,0 ,88.746 ,7.119 ,0 ,184.982 ,0 ,0 ,0 ,4.836 ,6.643 ,6.643 ,0 ,0 ,0 ,4.035 ,0 ,0 ,0 ,2.608 ,0 ,-11.834 
108.,OPLOTNICA,1.759.606 ,450.689 ,107.323 ,12.064 ,313.228 ,63.983 ,3.914 ,53.968 ,0 ,3.100 ,134.139 ,8.020 ,588 ,45.514 ,12.944 ,12.944 ,0 ,0 ,0 ,5.129 ,573.001 ,74.195 ,0 ,74.195 ,283.479 ,0 ,0 ,709 ,0 ,5.759 ,277.011 ,102.762 ,102.762 ,112.565 ,3.280 ,16.420 ,17.067 ,75.797 ,701.828 ,701.828 ,0 ,0 ,6.067 ,0 ,628.030 ,24.708 ,0 ,0 ,43.023 ,34.089 ,34.089 ,0 ,0 ,0 ,179 ,0 ,0 ,0 ,33.909 ,0 ,-52.608 
109.,ORMOŽ,8.460.808 ,1.898.456 ,430.283 ,60.048 ,1.252.800 ,181.597 ,743 ,153.075 ,10.854 ,6.476 ,577.692 ,48.089 ,2.086 ,272.187 ,64.509 ,179 ,4 ,54.774 ,9.552 ,90.815 ,3.687.460 ,1.227.779 ,514.522 ,713.257 ,1.379.023 ,0 ,0 ,0 ,0 ,60.971 ,1.318.052 ,361.613 ,361.613 ,719.045 ,123.686 ,97.621 ,0 ,497.738 ,2.583.963 ,2.583.963 ,68.415 ,0 ,121.299 ,20.406 ,1.659.518 ,342.944 ,109.093 ,0 ,262.289 ,290.928 ,290.928 ,32.207 ,0 ,27.934 ,0 ,0 ,0 ,2.107 ,228.681 ,0 ,300.480 
110.,OSILNICA,368.799 ,126.790 ,80.863 ,10.144 ,34.844 ,17.418 ,0 ,2.871 ,2.036 ,6.022 ,1.557 ,0 ,0 ,4.941 ,0 ,0 ,0 ,0 ,0 ,939 ,43.590 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,822 ,822 ,42.768 ,0 ,1.782 ,0 ,40.986 ,198.418 ,198.418 ,0 ,0 ,4.044 ,0 ,147.225 ,2.070 ,2.596 ,0 ,42.485 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-24.203 
