,, 50, 500, 5001, 5002, 5003, 5004, 55, 550, 5501, 5502, 5503, 5504, IX., X., XI., FI
148.,SVETI ANDRAŽ V SLOVENSKIH GORICAH,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,100.776 ,-100.776 ,142.359 ,0 
149.,SVETI JURIJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-112.723 ,112.723 ,154.974 ,0 
150.,ŠALOVCI,0 ,0 ,0 ,0 ,0 ,0 ,6.677 ,6.677 ,6.677 ,0 ,0 ,0 ,2.829 ,-6.961 ,5.926 ,0 
151.,ŠEMPETER - VRTOJBA,0 ,0 ,0 ,0 ,0 ,0 ,767 ,767 ,0 ,0 ,767 ,0 ,-562.449 ,584.125 ,0 ,0 
152.,ŠENČUR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-292.434 ,268.958 ,1.855.458 ,0 
153.,ŠENTILJ,83.459 ,83.459 ,83.459 ,0 ,0 ,0 ,40.127 ,40.127 ,40.127 ,0 ,0 ,0 ,-124.729 ,225.818 ,0 ,0 
154.,ŠENTJERNEJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,483.642 ,-472.893 ,119.613 ,22.409 
155.,ŠENTJUR,0 ,0 ,0 ,0 ,0 ,0 ,91.554 ,91.554 ,0 ,0 ,91.554 ,0 ,5.041 ,230.642 ,0 ,0 
156.,ŠKOCJAN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,700.338 ,-699.161 ,372.342 ,0 
157.,ŠKOFJA LOKA,0 ,0 ,0 ,0 ,0 ,0 ,57.591 ,57.591 ,0 ,0 ,57.591 ,0 ,-371.570 ,282.027 ,380.062 ,115.803 
158.,ŠKOFLJICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.355.454 ,-1.355.454 ,1.916.975 ,0 
159.,ŠMARJE PRI JELŠAH,271.240 ,271.240 ,0 ,0 ,271.240 ,0 ,22.813 ,22.813 ,10.203 ,0 ,12.611 ,0 ,-470.059 ,778.459 ,496.061 ,0 
160.,ŠMARTNO OB PAKI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,130.754 ,-130.754 ,12.535 ,0 
161.,ŠOŠTANJ,303.977 ,303.977 ,146.052 ,0 ,157.924 ,0 ,194.112 ,194.112 ,174.645 ,0 ,19.467 ,0 ,146.123 ,-23.740 ,0 ,0 
162.,ŠTORE,694.959 ,694.959 ,638.625 ,0 ,56.335 ,0 ,542.626 ,542.626 ,487.961 ,0 ,54.665 ,0 ,6.998 ,145.051 ,0 ,0 
163.,TABOR,131.468 ,131.468 ,79.286 ,52.182 ,0 ,0 ,2.833 ,2.833 ,2.833 ,0 ,0 ,0 ,19.826 ,108.809 ,0 ,0 
164.,TIŠINA,364.943 ,364.943 ,0 ,0 ,364.943 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-20.976 ,394.132 ,6.001 ,0 
165.,TOLMIN,0 ,0 ,0 ,0 ,0 ,0 ,114.363 ,114.363 ,107.357 ,0 ,7.006 ,0 ,-142.389 ,67.476 ,190.064 ,133.216 
166.,TRBOVLJE,0 ,0 ,0 ,0 ,0 ,0 ,4.365 ,4.365 ,0 ,0 ,4.365 ,0 ,-57.924 ,75.163 ,205.775 ,111.000 
167.,TREBNJE,0 ,0 ,0 ,0 ,0 ,0 ,1.177 ,1.177 ,0 ,0 ,1.177 ,0 ,828.309 ,-829.486 ,0 ,0 
168.,TRNOVSKA VAS,25.038 ,25.038 ,25.038 ,0 ,0 ,0 ,25.038 ,25.038 ,25.038 ,0 ,0 ,0 ,-26.786 ,26.786 ,50.263 ,2.696 
169.,TRZIN,0 ,0 ,0 ,0 ,0 ,0 ,10.806 ,10.806 ,10.806 ,0 ,0 ,0 ,1.775.257 ,-1.786.064 ,0 ,0 
170.,TRŽIČ,507.011 ,507.011 ,507.011 ,0 ,0 ,0 ,507.011 ,507.011 ,507.011 ,0 ,0 ,0 ,-148.506 ,135.749 ,443.887 ,0 
171.,TURNIŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,136.664 ,-136.664 ,0 ,0 
172.,MESTNA OBČINA VELENJE,341.763 ,341.763 ,0 ,0 ,341.763 ,0 ,60.749 ,60.749 ,0 ,0 ,60.749 ,0 ,-1.247.955 ,1.572.455 ,0 ,0 
173.,VELIKA POLANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-15.870 ,15.870 ,0 ,0 
174.,VELIKE LAŠČE,64.451 ,64.451 ,0 ,0 ,64.451 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,515.578 ,-451.127 ,0 ,0 
175.,VERŽEJ,58.421 ,58.421 ,0 ,0 ,58.421 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.368 ,60.370 ,0 ,0 
176.,VIDEM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.669 ,-9.669 ,0 ,0 
177.,VIPAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-144.183 ,148.736 ,224.362 ,86.630 
178.,VITANJE,0 ,0 ,0 ,0 ,0 ,0 ,12.732 ,12.732 ,12.732 ,0 ,0 ,0 ,-14.939 ,6.923 ,0 ,0 
179.,VODICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-933.567 ,933.567 ,3.824.808 ,0 
180.,VOJNIK,410.199 ,410.199 ,410.199 ,0 ,0 ,0 ,345.568 ,345.568 ,343.432 ,2.137 ,0 ,0 ,20.643 ,51.999 ,3.906 ,0 
181.,VRANSKO,0 ,0 ,0 ,0 ,0 ,0 ,17.514 ,17.514 ,17.514 ,0 ,0 ,0 ,-29.511 ,11.997 ,0 ,0 
182.,VRHNIKA,125.188 ,125.188 ,125.188 ,0 ,0 ,0 ,231.213 ,231.213 ,215.557 ,15.657 ,0 ,0 ,-27.379 ,-78.647 ,13.900 ,97.851 
183.,VUZENICA,83.459 ,83.459 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.671 ,72.680 ,60.854 ,7.649 
184.,ZAGORJE OB SAVI,0 ,0 ,0 ,0 ,0 ,0 ,258.221 ,258.221 ,251.882 ,0 ,6.339 ,0 ,30.225 ,-250.609 ,39.993 ,65.732 
185.,ZAVRČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-159 ,159 ,0 ,0 
186.,ZREČE,41.729 ,41.729 ,0 ,0 ,41.729 ,0 ,62.523 ,62.523 ,58.801 ,0 ,3.722 ,0 ,10.925 ,11.346 ,17.297 ,0 
187.,ŽALEC,0 ,0 ,0 ,0 ,0 ,0 ,235.628 ,235.628 ,212.540 ,0 ,23.089 ,0 ,-454.866 ,655.437 ,470.159 ,117.931 
188.,ŽELEZNIKI,271.240 ,271.240 ,271.240 ,0 ,0 ,0 ,2.566 ,2.566 ,2.566 ,0 ,0 ,0 ,-78.155 ,297.713 ,257.628 ,20.247 
189.,ŽETALE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6.418 ,6.418 ,14.359 ,0 
190.,ŽIRI,83.459 ,83.459 ,0 ,0 ,83.459 ,0 ,14.376 ,14.376 ,0 ,0 ,14.376 ,0 ,1.896 ,56.337 ,8.529 ,0 
191.,ŽIROVNICA,0 ,0 ,0 ,0 ,0 ,0 ,11.672 ,11.672 ,0 ,0 ,11.672 ,0 ,77.954 ,-101.097 ,94.604 ,0 
192.,ŽUŽEMBERK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,201.189 ,-197.726 ,0 ,0 
,SKUPAJ,32.974.885 ,32.974.885 ,28.342.153 ,595.426 ,4.037.306 ,0 ,9.407.727 ,9.407.727 ,7.145.523 ,573.602 ,1.686.899 ,1.703 ,-6.582.268 ,36.168.876 ,72.386.029 ,3.104.507 
