23.,DESTRNIK,1.711.943 ,549.825 ,196.962 ,29.482 ,15.986 ,10.866 ,100 ,179 ,2.349 ,319.012 ,32.106 ,4.882 ,51.836 ,15.769 ,1.824 ,126.398 ,0 ,0 ,5.195 ,81.001 ,4.369 ,989 ,0 ,3.380 ,0 ,0 ,0 ,0 ,0 ,552.808 ,15.740 ,0 ,15.740 ,369.780 ,0 ,1.961 ,0 ,0 ,0 ,367.818 ,32.482 ,32.482 ,134.806 ,0 ,37.631 ,0 ,97.175 ,0 ,0 ,0 ,587.523 ,587.523 ,0 ,0 ,6.923 ,0 ,556.017 ,0 ,830 ,1.202 ,22.550 ,21.787 ,21.787 ,0 ,21.787 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-95.305 
24.,DIVAČA,2.832.307 ,467.005 ,151.043 ,24.662 ,12.160 ,9.740 ,83 ,138 ,2.541 ,291.299 ,48.043 ,0 ,28.334 ,0 ,5.295 ,7.027 ,0 ,0 ,10.466 ,192.134 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.319.834 ,53.647 ,0 ,53.647 ,393.286 ,0 ,584 ,0 ,0 ,5.921 ,386.780 ,141.212 ,141.212 ,731.689 ,86.288 ,26.924 ,1.748 ,325.864 ,290.865 ,0 ,0 ,795.485 ,795.485 ,7.728 ,0 ,71.758 ,1.982 ,448.627 ,27.387 ,161.292 ,0 ,76.711 ,249.983 ,129.382 ,10.683 ,2.909 ,0 ,0 ,0 ,115.790 ,0 ,120.602 ,102.729 ,0 ,0 ,17.873 ,182.908 
25.,DOBJE,374.111 ,134.043 ,42.714 ,7.282 ,3.764 ,2.495 ,21 ,42 ,960 ,80.291 ,17.418 ,1.940 ,11.263 ,2.533 ,288 ,36.113 ,0 ,0 ,972 ,9.765 ,0 ,0 ,0 ,0 ,0 ,3.756 ,3.756 ,0 ,0 ,185.249 ,7.036 ,184 ,6.852 ,90.494 ,0 ,626 ,2.633 ,0 ,0 ,87.235 ,21.123 ,21.123 ,66.596 ,0 ,12.823 ,0 ,52.182 ,0 ,1.590 ,0 ,41.688 ,41.688 ,0 ,0 ,22.713 ,0 ,179 ,0 ,13.554 ,0 ,5.241 ,13.132 ,613 ,0 ,613 ,0 ,0 ,0 ,0 ,0 ,12.519 ,0 ,0 ,0 ,12.519 ,128.927 
26.,DOBREPOLJE,2.207.966 ,404.081 ,122.079 ,20.043 ,9.627 ,7.712 ,67 ,109 ,2.529 ,258.621 ,29.073 ,9.347 ,48.201 ,1.799 ,2.925 ,106.497 ,835 ,0 ,5.266 ,54.678 ,0 ,0 ,0 ,0 ,0 ,3.338 ,0 ,3.338 ,0 ,878.701 ,467 ,0 ,467 ,593.757 ,1.586 ,0 ,0 ,0 ,0 ,592.172 ,107.849 ,107.849 ,176.627 ,2.813 ,19.037 ,5.391 ,149.387 ,0 ,0 ,0 ,633.742 ,633.742 ,14.876 ,0 ,21.820 ,914 ,390.970 ,62.064 ,78.668 ,0 ,64.430 ,291.441 ,274.186 ,13.771 ,260.416 ,0 ,0 ,0 ,0 ,0 ,17.255 ,0 ,0 ,0 ,17.255 ,29.586 
27.,DOBRNA,1.331.577 ,582.257 ,159.527 ,27.458 ,14.860 ,9.552 ,88 ,209 ,2.750 ,380.667 ,72.455 ,3.151 ,54.478 ,785 ,5.946 ,124.887 ,26.753 ,29.878 ,4.874 ,57.461 ,0 ,0 ,0 ,0 ,0 ,14.605 ,12.936 ,1.669 ,0 ,528.259 ,20.506 ,0 ,20.506 ,264.067 ,0 ,0 ,0 ,0 ,0 ,264.067 ,77.825 ,77.825 ,165.861 ,7.190 ,18.590 ,24.962 ,115.119 ,0 ,0 ,0 ,178.743 ,178.743 ,0 ,0 ,7.728 ,0 ,89.480 ,19.004 ,0 ,0 ,62.531 ,42.318 ,29.536 ,0 ,29.536 ,0 ,0 ,0 ,0 ,0 ,12.782 ,0 ,0 ,0 ,12.782 ,73.894 
28.,DOBROVA - POLHOV GRADEC,3.754.202 ,1.166.591 ,202.516 ,31.572 ,15.584 ,12.485 ,106 ,176 ,3.222 ,928.161 ,164.891 ,29.146 ,63.650 ,12.248 ,1.965 ,529.078 ,9.938 ,0 ,9.418 ,107.827 ,4.342 ,0 ,0 ,1.423 ,2.919 ,0 ,0 ,0 ,0 ,1.329.472 ,14.969 ,0 ,14.969 ,851.504 ,0 ,26.790 ,12.894 ,0 ,3.927 ,807.893 ,148.211 ,148.211 ,314.788 ,19.115 ,43.324 ,0 ,252.349 ,0 ,0 ,0 ,1.057.896 ,1.057.896 ,0 ,37.644 ,27.872 ,0 ,92.402 ,807.953 ,3.338 ,0 ,88.687 ,200.242 ,51.679 ,0 ,51.679 ,0 ,0 ,0 ,0 ,0 ,148.563 ,0 ,0 ,0 ,148.563 ,374.266 
29.,DOBROVNIK,2.667.672 ,436.764 ,132.217 ,20.707 ,10.700 ,7.669 ,610 ,69 ,1.660 ,257.013 ,52.928 ,16.267 ,61.123 ,5.535 ,5.342 ,48.539 ,1.614 ,0 ,5.285 ,60.381 ,26.572 ,95 ,0 ,26.477 ,0 ,255 ,0 ,255 ,0 ,415.496 ,6.322 ,0 ,6.322 ,105.626 ,1.768 ,0 ,0 ,0 ,0 ,103.858 ,98.518 ,98.518 ,205.030 ,0 ,23.316 ,5.806 ,175.907 ,0 ,0 ,0 ,1.815.412 ,1.815.412 ,118.140 ,0 ,12.375 ,17.745 ,1.483.314 ,28.022 ,1.890 ,54.482 ,99.446 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-264.288 
30.,DOL PRI LJUBLJANI,2.964.722 ,839.655 ,123.310 ,19.671 ,9.823 ,7.870 ,67 ,113 ,1.799 ,636.818 ,100.951 ,4.031 ,62.185 ,2.992 ,989 ,294.049 ,2.479 ,43.002 ,6.581 ,119.559 ,0 ,0 ,0 ,0 ,0 ,59.856 ,12.519 ,47.338 ,0 ,1.048.356 ,19.029 ,0 ,19.029 ,587.840 ,0 ,0 ,6.293 ,0 ,4.002 ,577.545 ,115.936 ,115.936 ,325.551 ,0 ,36.505 ,0 ,289.046 ,0 ,0 ,0 ,800.417 ,800.417 ,0 ,0 ,18.440 ,0 ,19.200 ,502.124 ,152.270 ,0 ,108.383 ,276.294 ,183.463 ,60.136 ,0 ,0 ,0 ,0 ,123.327 ,0 ,92.831 ,0 ,0 ,0 ,92.831 ,-173.928 
31.,DOLENJSKE TOPLICE,2.029.019 ,585.487 ,148.381 ,23.356 ,11.647 ,9.331 ,79 ,134 ,2.166 ,413.750 ,97.959 ,2.883 ,38.136 ,9.998 ,1.899 ,156.163 ,11.647 ,0 ,7.641 ,87.423 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,729.786 ,43.540 ,0 ,43.540 ,467.581 ,0 ,5.008 ,1.961 ,0 ,213 ,460.399 ,101.861 ,101.861 ,116.804 ,0 ,17.205 ,835 ,93.536 ,5.229 ,0 ,0 ,440.006 ,440.006 ,90.064 ,0 ,42.643 ,0 ,47.646 ,119.947 ,55.709 ,0 ,83.997 ,273.740 ,240.669 ,15.653 ,225.017 ,0 ,0 ,0 ,0 ,0 ,33.070 ,0 ,0 ,0 ,33.070 ,-52.020 
32.,DOMŽALE,15.551.956 ,4.312.226 ,1.141.736 ,206.628 ,91.410 ,71.029 ,620 ,1.033 ,42.537 ,2.917.450 ,264.388 ,14.329 ,116.151 ,5.368 ,5.109 ,1.773.171 ,4.939 ,57.169 ,62.126 ,614.699 ,41.196 ,23.964 ,0 ,17.231 ,0 ,5.216 ,1.043 ,4.173 ,0 ,6.715.441 ,174.478 ,0 ,174.478 ,3.391.240 ,0 ,0 ,106.832 ,0 ,78.000 ,3.206.409 ,819.399 ,819.399 ,2.330.324 ,240.778 ,0 ,21.597 ,2.067.949 ,0 ,0 ,0 ,3.321.992 ,3.321.992 ,575.322 ,0 ,53.751 ,0 ,1.956.119 ,148.867 ,174.346 ,0 ,413.587 ,1.202.296 ,337.637 ,285.661 ,51.976 ,0 ,0 ,0 ,0 ,0 ,864.658 ,0 ,0 ,0 ,864.658 ,2.535.412 
33.,DORNAVA,1.551.991 ,349.563 ,60.615 ,10.850 ,4.852 ,3.887 ,33 ,55 ,2.022 ,275.873 ,10.713 ,0 ,42.310 ,1.565 ,1.246 ,142.157 ,0 ,894 ,1.741 ,75.247 ,2.225 ,0 ,0 ,2.225 ,0 ,0 ,0 ,0 ,0 ,491.159 ,14.312 ,0 ,14.312 ,188.610 ,0 ,0 ,0 ,0 ,0 ,188.610 ,63.857 ,63.857 ,224.379 ,46.183 ,36.964 ,0 ,141.233 ,0 ,0 ,0 ,699.939 ,699.939 ,0 ,0 ,23.764 ,0 ,583.857 ,0 ,12.769 ,0 ,79.550 ,11.330 ,11.330 ,0 ,819 ,0 ,0 ,0 ,10.511 ,0 ,0 ,0 ,0 ,0 ,0 ,-15.858 
34.,DRAVOGRAD,5.594.468 ,1.439.788 ,291.295 ,46.230 ,22.326 ,17.886 ,160 ,244 ,5.615 ,1.089.744 ,114.845 ,2.458 ,100.176 ,7.973 ,2.450 ,660.344 ,9.452 ,0 ,12.211 ,179.835 ,0 ,0 ,0 ,0 ,0 ,12.519 ,0 ,12.519 ,0 ,1.989.284 ,41.405 ,0 ,41.405 ,553.290 ,0 ,0 ,0 ,0 ,0 ,553.290 ,264.651 ,264.651 ,1.129.938 ,62.634 ,65.075 ,4.113 ,998.116 ,0 ,0 ,0 ,1.626.695 ,1.626.695 ,0 ,0 ,33.281 ,2.337 ,908.501 ,401.681 ,88.409 ,0 ,192.487 ,538.700 ,506.690 ,0 ,314.613 ,0 ,0 ,5.897 ,186.180 ,0 ,32.010 ,13.122 ,0 ,0 ,18.888 ,-191.196 
35.,DUPLEK,3.092.964 ,1.068.724 ,240.290 ,39.806 ,19.166 ,15.348 ,134 ,213 ,4.945 ,775.029 ,81.622 ,70.719 ,128.393 ,14.004 ,3.368 ,401.999 ,793 ,826 ,11.768 ,61.538 ,13.600 ,13.600 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.172.884 ,34.702 ,0 ,34.702 ,515.724 ,0 ,5.120 ,28.292 ,0 ,0 ,482.311 ,99.520 ,99.520 ,522.939 ,0 ,66.600 ,4.177 ,452.162 ,0 ,0 ,0 ,651.039 ,651.039 ,0 ,0 ,7.983 ,0 ,609.360 ,5.921 ,17.518 ,0 ,10.257 ,200.317 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,200.317 ,65.586 ,0 ,0 ,134.731 ,284.715 
36.,GORENJA VAS - POLJANE,5.189.446 ,779.072 ,187.367 ,31.484 ,15.729 ,11.600 ,98 ,169 ,3.888 ,520.033 ,53.705 ,21.747 ,192.416 ,1.936 ,3.484 ,71.619 ,15.704 ,296 ,7.405 ,151.723 ,14.046 ,14.046 ,0 ,0 ,0 ,26.141 ,0 ,26.141 ,0 ,1.500.160 ,70.546 ,0 ,70.546 ,869.328 ,0 ,0 ,9.926 ,0 ,0 ,859.402 ,105.474 ,105.474 ,454.811 ,216.810 ,28.865 ,0 ,209.135 ,0 ,0 ,0 ,2.423.227 ,2.423.227 ,4.165 ,0 ,51.427 ,0 ,1.768.405 ,326.369 ,141.321 ,0 ,131.540 ,486.988 ,72.306 ,46.548 ,0 ,0 ,0 ,25.758 ,0 ,0 ,414.682 ,404.168 ,0 ,0 ,10.514 ,370.243 
37.,GORIŠNICA,3.656.655 ,678.875 ,130.647 ,20.659 ,8.983 ,8.711 ,67 ,111 ,2.787 ,525.692 ,123.051 ,0 ,62.378 ,0 ,3.158 ,625 ,0 ,0 ,7.064 ,329.416 ,0 ,0 ,0 ,0 ,0 ,1.878 ,1.878 ,0 ,0 ,1.196.925 ,113.845 ,0 ,113.845 ,463.926 ,0 ,0 ,0 ,0 ,0 ,463.926 ,231.125 ,231.125 ,388.029 ,12.108 ,82.960 ,0 ,292.961 ,0 ,0 ,0 ,1.767.180 ,1.767.180 ,8.636 ,0 ,36.908 ,0 ,1.549.939 ,90.699 ,55.115 ,0 ,25.883 ,13.675 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.675 ,13.675 ,0 ,0 ,0 ,-200.096 
38.,GORNJA RADGONA,8.338.307 ,2.343.699 ,748.907 ,101.694 ,60.236 ,40.436 ,384 ,638 ,0 ,1.445.310 ,43.248 ,260.107 ,691.938 ,17.798 ,2.825 ,257.215 ,0 ,0 ,25.810 ,146.370 ,14.405 ,14.405 ,0 ,0 ,0 ,33.383 ,0 ,33.383 ,0 ,3.142.610 ,68.820 ,68.820 ,0 ,1.117.589 ,0 ,0 ,0 ,0 ,0 ,1.117.589 ,393.353 ,393.353 ,1.562.848 ,552.224 ,128.292 ,47.091 ,835.240 ,0 ,0 ,0 ,2.417.785 ,2.417.785 ,0 ,0 ,41.408 ,0 ,1.978.272 ,0 ,184.648 ,0 ,213.458 ,434.214 ,50.075 ,12.519 ,37.556 ,0 ,0 ,0 ,0 ,0 ,384.139 ,0 ,0 ,0 ,384.139 ,-50.179 
39.,GORNJI GRAD,1.663.245 ,715.899 ,112.410 ,15.365 ,7.169 ,5.738 ,50 ,75 ,2.333 ,571.795 ,36.584 ,492 ,70.669 ,3.251 ,2.470 ,360.891 ,6.134 ,0 ,3.430 ,87.873 ,7.198 ,3.777 ,0 ,3.422 ,0 ,9.130 ,4.674 ,0 ,4.457 ,516.141 ,38.662 ,693 ,37.969 ,272.567 ,0 ,2.191 ,1.193 ,0 ,0 ,269.183 ,66.963 ,66.963 ,137.949 ,121 ,13.437 ,1.344 ,123.047 ,0 ,0 ,0 ,234.523 ,234.523 ,0 ,2.792 ,14.618 ,25.021 ,117.343 ,835 ,44.316 ,0 ,29.599 ,196.683 ,165.365 ,86.768 ,78.597 ,0 ,0 ,0 ,0 ,0 ,31.318 ,0 ,0 ,0 ,31.318 ,15.373 
40.,GORNJI PETROVCI,1.770.139 ,360.503 ,97.171 ,17.626 ,7.386 ,5.917 ,50 ,83 ,4.190 ,186.304 ,33.763 ,0 ,56.472 ,25.743 ,926 ,39.267 ,0 ,0 ,3.822 ,26.310 ,59.402 ,59.402 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,414.367 ,15.260 ,0 ,15.260 ,156.172 ,60.178 ,0 ,31.009 ,0 ,0 ,64.985 ,56.781 ,56.781 ,186.154 ,5.780 ,0 ,50 ,157.682 ,22.642 ,0 ,0 ,807.774 ,807.774 ,13.504 ,14.013 ,2.871 ,538 ,455.554 ,272.167 ,0 ,0 ,49.128 ,187.494 ,167.230 ,167.230 ,0 ,0 ,0 ,0 ,0 ,0 ,20.264 ,20.264 ,0 ,0 ,0 ,-185.971 
41.,GRAD,1.506.489 ,605.832 ,158.419 ,19.389 ,9.431 ,7.546 ,64 ,107 ,2.241 ,411.332 ,30.620 ,24.746 ,69.574 ,14.486 ,0 ,186.442 ,12.155 ,0 ,1.421 ,71.886 ,0 ,0 ,0 ,0 ,0 ,16.692 ,16.692 ,0 ,0 ,476.851 ,27.568 ,0 ,27.568 ,213.751 ,0 ,0 ,0 ,0 ,0 ,213.751 ,52.966 ,52.966 ,182.567 ,0 ,70.494 ,506 ,111.567 ,0 ,0 ,0 ,412.476 ,412.476 ,26.248 ,0 ,24.553 ,1.138 ,269.701 ,15.825 ,0 ,0 ,75.011 ,11.329 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.329 ,11.329 ,0 ,0 ,0 ,-56.236 
42.,GROSUPLJE,10.665.653 ,2.177.237 ,549.132 ,87.561 ,42.781 ,34.272 ,292 ,484 ,9.731 ,1.504.870 ,181.397 ,91.992 ,202.366 ,13.128 ,513 ,613.762 ,68.169 ,0 ,26.853 ,306.689 ,27.328 ,8.221 ,113 ,18.995 ,0 ,8.346 ,0 ,8.346 ,0 ,3.836.410 ,77.099 ,52.558 ,24.541 ,2.214.126 ,0 ,14.893 ,8.404 ,0 ,23.969 ,2.166.859 ,634.523 ,634.523 ,910.662 ,8.771 ,125.154 ,2.604 ,774.132 ,0 ,0 ,0 ,2.755.078 ,2.755.078 ,87.631 ,20.030 ,94.855 ,2.846 ,1.256.539 ,282.461 ,664.317 ,0 ,346.399 ,1.896.929 ,1.569.838 ,185.082 ,1.360.040 ,0 ,0 ,24.716 ,0 ,0 ,327.091 ,0 ,2.683 ,0 ,324.407 ,-361.526 
43.,HAJDINA,1.875.396 ,661.392 ,140.986 ,23.652 ,11.922 ,8.893 ,121 ,134 ,2.583 ,492.581 ,36.580 ,538 ,77.746 ,4.711 ,2.838 ,216.754 ,3.201 ,634 ,6.593 ,142.985 ,0 ,0 ,0 ,0 ,0 ,4.173 ,0 ,4.173 ,0 ,727.746 ,33.542 ,0 ,33.542 ,385.265 ,0 ,4.173 ,2.086 ,0 ,0 ,379.006 ,153.313 ,153.313 ,155.625 ,580 ,41.333 ,593 ,113.120 ,0 ,0 ,0 ,360.436 ,360.436 ,79.286 ,0 ,4.085 ,8.212 ,178.597 ,56.923 ,2.116 ,0 ,31.218 ,125.822 ,93.031 ,36.304 ,56.727 ,0 ,0 ,0 ,0 ,0 ,32.791 ,17.739 ,0 ,0 ,15.052 ,12.982 
44.,HOČE - SLIVNICA,5.513.061 ,1.549.841 ,328.923 ,56.251 ,28.856 ,20.059 ,167 ,300 ,6.869 ,1.147.304 ,111.855 ,3.706 ,260.098 ,7.236 ,8.354 ,667.430 ,7.315 ,0 ,11.551 ,69.759 ,17.364 ,17.364 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.074.758 ,60.082 ,0 ,60.082 ,433.550 ,0 ,0 ,0 ,0 ,15.486 ,418.065 ,234.422 ,234.422 ,1.346.703 ,0 ,70.514 ,0 ,1.276.189 ,0 ,0 ,0 ,964.050 ,964.050 ,0 ,0 ,44.584 ,7.115 ,182.991 ,473.936 ,122.313 ,0 ,133.112 ,924.412 ,219.329 ,20.990 ,198.339 ,0 ,0 ,0 ,0 ,0 ,705.083 ,0 ,0 ,0 ,705.083 ,388.282 
45.,HODOŠ,422.225 ,116.604 ,43.832 ,7.424 ,3.380 ,2.708 ,25 ,38 ,1.273 ,61.617 ,31.935 ,6.668 ,6.101 ,6.510 ,555 ,4.486 ,0 ,0 ,889 ,4.473 ,3.731 ,3.731 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,74.416 ,1.995 ,0 ,1.995 ,48.698 ,24.065 ,0 ,142 ,0 ,0 ,24.491 ,15.206 ,15.206 ,8.517 ,5.846 ,1.999 ,125 ,547 ,0 ,0 ,0 ,208.200 ,208.200 ,0 ,0 ,1.461 ,855 ,0 ,203.317 ,0 ,0 ,2.566 ,23.005 ,20.865 ,20.865 ,0 ,0 ,0 ,0 ,0 ,0 ,2.141 ,2.141 ,0 ,0 ,0 ,-32.628 
46.,HORJUL,2.106.640 ,352.887 ,80.210 ,12.869 ,6.434 ,5.154 ,44 ,73 ,1.165 ,252.713 ,43.943 ,172 ,48.407 ,760 ,2.467 ,114.564 ,0 ,0 ,4.675 ,37.725 ,0 ,0 ,0 ,0 ,0 ,7.094 ,0 ,7.094 ,0 ,505.243 ,7.614 ,0 ,7.614 ,328.427 ,0 ,8.346 ,9.025 ,0 ,0 ,311.056 ,58.277 ,58.277 ,110.925 ,0 ,10.041 ,0 ,100.884 ,0 ,0 ,0 ,1.141.651 ,1.141.651 ,45.902 ,0 ,43.633 ,33.403 ,668.698 ,107.007 ,111.875 ,0 ,131.133 ,106.859 ,101.639 ,65.172 ,36.467 ,0 ,0 ,0 ,0 ,0 ,5.219 ,0 ,0 ,0 ,5.219 ,409.254 
47.,HRASTNIK,9.139.918 ,1.929.753 ,431.176 ,71.328 ,34.005 ,27.241 ,230 ,384 ,9.468 ,1.289.518 ,356.756 ,1.577 ,121.328 ,4.536 ,1.185 ,642.889 ,11.459 ,0 ,19.258 ,130.529 ,25.697 ,0 ,0 ,25.697 ,0 ,112.035 ,0 ,112.035 ,0 ,2.354.344 ,53.534 ,0 ,53.534 ,1.039.342 ,0 ,0 ,10.478 ,0 ,37.223 ,991.642 ,222.429 ,222.429 ,1.039.038 ,0 ,139.643 ,3.042 ,896.353 ,0 ,0 ,0 ,4.367.439 ,4.367.439 ,222.463 ,0 ,180.838 ,4.757 ,3.484.823 ,80.041 ,168.031 ,0 ,226.486 ,488.383 ,278.747 ,11.042 ,0 ,0 ,0 ,0 ,267.706 ,0 ,209.635 ,0 ,0 ,0 ,209.635 ,156.885 
48.,HRPELJE - KOZINA,4.220.585 ,870.735 ,179.244 ,28.973 ,13.833 ,11.083 ,92 ,154 ,3.810 ,654.069 ,47.455 ,1.469 ,84.748 ,0 ,8.346 ,50.768 ,267 ,0 ,7.945 ,453.071 ,0 ,0 ,0 ,0 ,0 ,8.450 ,8.450 ,0 ,0 ,1.103.643 ,22.580 ,6.940 ,15.640 ,453.685 ,1.552 ,3.589 ,0 ,0 ,0 ,448.544 ,102.141 ,102.141 ,525.238 ,9.335 ,32.169 ,1.782 ,474.341 ,0 ,7.611 ,0 ,1.615.824 ,1.615.824 ,0 ,0 ,70.873 ,0 ,960.649 ,0 ,424.078 ,0 ,160.224 ,630.383 ,171.370 ,71.190 ,100.179 ,0 ,0 ,0 ,0 ,0 ,459.014 ,331.739 ,0 ,0 ,127.274 ,296.261 
49.,IDRIJA,8.683.755 ,1.963.771 ,446.374 ,72.321 ,35.958 ,28.806 ,242 ,405 ,6.910 ,1.364.835 ,536.396 ,1.227 ,90.386 ,19.400 ,3.718 ,553.864 ,9.477 ,1.857 ,27.742 ,120.769 ,30.287 ,27.429 ,0 ,2.858 ,0 ,49.954 ,11.797 ,6.622 ,31.535 ,3.219.901 ,45.326 ,0 ,45.326 ,1.319.216 ,0 ,0 ,0 ,0 ,0 ,1.319.216 ,468.586 ,468.586 ,1.386.772 ,550.096 ,46.186 ,13.716 ,776.773 ,0 ,0 ,0 ,2.763.741 ,2.763.741 ,261.905 ,0 ,26.323 ,722 ,1.586.321 ,741.387 ,50.138 ,0 ,96.945 ,736.342 ,338.504 ,79.281 ,252.045 ,0 ,7.177 ,0 ,0 ,0 ,397.838 ,177.571 ,0 ,0 ,220.268 ,-571.044 
50.,IG,4.128.907 ,915.546 ,163.584 ,25.186 ,12.446 ,9.971 ,84 ,141 ,2.543 ,711.132 ,219.004 ,7.453 ,65.074 ,34.648 ,4.247 ,259.804 ,2.225 ,3.881 ,7.437 ,107.359 ,0 ,0 ,0 ,0 ,0 ,15.644 ,1.014 ,14.630 ,0 ,1.243.884 ,31.885 ,0 ,31.885 ,620.290 ,0 ,1.255 ,68.449 ,0 ,0 ,550.586 ,142.267 ,142.267 ,449.442 ,0 ,56.853 ,0 ,392.589 ,0 ,0 ,0 ,844.732 ,844.732 ,0 ,0 ,40.332 ,0 ,423.755 ,5.650 ,237.546 ,0 ,137.450 ,1.124.744 ,1.016.597 ,13.509 ,945.204 ,0 ,0 ,0 ,57.884 ,0 ,108.148 ,0 ,0 ,0 ,108.148 ,-398.195 
51.,ILIRSKA BISTRICA,8.310.416 ,1.927.278 ,417.685 ,69.070 ,24.483 ,35.007 ,225 ,371 ,8.984 ,1.427.562 ,156.718 ,7.678 ,268.361 ,8.867 ,1.627 ,801.202 ,14.547 ,2.500 ,17.848 ,148.214 ,6.084 ,1.377 ,0 ,4.707 ,0 ,6.877 ,0 ,0 ,6.877 ,2.949.925 ,27.959 ,0 ,27.959 ,1.425.968 ,0 ,31.810 ,0 ,0 ,75.768 ,1.318.390 ,441.775 ,441.775 ,1.054.223 ,150.100 ,104.532 ,12.298 ,690.690 ,96.603 ,0 ,0 ,2.737.848 ,2.737.848 ,0 ,34.848 ,162.957 ,2.950 ,2.236.843 ,7.011 ,131.097 ,4.665 ,157.478 ,695.364 ,410.983 ,7.954 ,403.030 ,0 ,0 ,0 ,0 ,0 ,284.381 ,266.804 ,0 ,0 ,17.576 ,-408.125 
52.,IVANČNA GORICA,6.787.736 ,1.543.373 ,314.188 ,52.116 ,24.766 ,19.926 ,192 ,259 ,6.973 ,1.176.815 ,133.580 ,171 ,40.398 ,12.252 ,530 ,612.648 ,17.038 ,0 ,15.365 ,344.834 ,255 ,0 ,0 ,255 ,0 ,0 ,0 ,0 ,0 ,2.909.932 ,0 ,0 ,0 ,1.661.605 ,0 ,0 ,8.045 ,0 ,0 ,1.653.560 ,464.046 ,464.046 ,784.281 ,187.569 ,94.029 ,0 ,502.683 ,0 ,0 ,0 ,1.868.282 ,1.868.282 ,0 ,18.787 ,36.021 ,0 ,1.640.740 ,64.330 ,2.045 ,0 ,106.360 ,466.149 ,323.986 ,98.072 ,225.914 ,0 ,0 ,0 ,0 ,0 ,142.163 ,43.282 ,0 ,0 ,98.882 ,843.202 
53.,IZOLA,17.526.861 ,4.376.586 ,1.182.307 ,194.104 ,95.159 ,76.235 ,647 ,1.077 ,20.986 ,2.903.914 ,441.946 ,5.078 ,1.305.567 ,27.850 ,7.586 ,356.405 ,72.534 ,16.775 ,61.438 ,608.734 ,54.532 ,3.238 ,33.717 ,17.576 ,0 ,41.729 ,0 ,41.729 ,0 ,3.951.431 ,55.083 ,0 ,55.083 ,1.352.963 ,0 ,8.621 ,47.208 ,0 ,29.740 ,1.267.393 ,570.222 ,570.222 ,1.973.164 ,33.037 ,188.871 ,34.214 ,1.717.042 ,0 ,0 ,0 ,7.503.151 ,7.503.151 ,83.459 ,12.423 ,123.373 ,14.455 ,4.113.320 ,931.456 ,1.875.392 ,0 ,349.274 ,1.695.694 ,1.078.480 ,206.017 ,835.470 ,0 ,19.884 ,17.109 ,0 ,0 ,617.213 ,124.478 ,0 ,0 ,492.735 ,-2.478.555 
54.,JESENICE,12.457.194 ,3.904.315 ,959.289 ,155.033 ,75.142 ,60.094 ,509 ,847 ,18.440 ,2.691.241 ,355.621 ,20.986 ,230.208 ,13.070 ,8.375 ,1.445.531 ,32.741 ,0 ,47.150 ,537.561 ,15.294 ,2.441 ,0 ,12.853 ,0 ,83.459 ,0 ,83.459 ,0 ,5.135.745 ,120.393 ,0 ,120.393 ,2.072.037 ,16.942 ,0 ,132.499 ,0 ,11.617 ,1.910.979 ,533.312 ,533.312 ,2.410.003 ,56.998 ,150.576 ,19.433 ,2.146.173 ,36.822 ,0 ,0 ,1.135.558 ,1.135.558 ,160.624 ,0 ,117.364 ,13.241 ,28.438 ,411.204 ,283.534 ,0 ,121.153 ,2.281.577 ,1.702.450 ,1.769 ,1.697.496 ,0 ,0 ,3.184 ,0 ,0 ,579.127 ,2.654 ,0 ,0 ,576.473 ,1.317.689 
55.,JEZERSKO,474.854 ,202.207 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,199.612 ,23.477 ,2.328 ,18.853 ,45.205 ,0 ,45.877 ,0 ,0 ,0 ,63.871 ,0 ,0 ,0 ,0 ,0 ,2.596 ,2.596 ,0 ,0 ,121.912 ,6.551 ,0 ,6.551 ,53.818 ,0 ,1.002 ,0 ,0 ,0 ,52.817 ,19.208 ,19.208 ,42.334 ,0 ,3.013 ,0 ,39.321 ,0 ,0 ,0 ,146.904 ,146.904 ,0 ,0 ,29.269 ,4.407 ,91.412 ,0 ,0 ,0 ,21.816 ,3.831 ,3.021 ,1.669 ,1.352 ,0 ,0 ,0 ,0 ,0 ,810 ,0 ,0 ,0 ,810 ,57.812 
