22.,ČRNOMELJ,9.964.029 ,1.885.270 ,531.464 ,86.567 ,42.217 ,33.822 ,288 ,476 ,9.765 ,1.097.484 ,111.655 ,0 ,133.667 ,4.302 ,6.948 ,552.437 ,2.170 ,4.795 ,21.111 ,260.399 ,31.143 ,0 ,0 ,31.143 ,0 ,138.612 ,455 ,138.157 ,0 ,3.562.473 ,122.258 ,0 ,122.258 ,1.845.890 ,0 ,0 ,0 ,0 ,4.644 ,1.841.245 ,442.464 ,442.464 ,1.151.861 ,124.249 ,111.129 ,4.469 ,912.014 ,0 ,0 ,0 ,4.143.528 ,4.143.528 ,19.671 ,19.458 ,69.275 ,0 ,3.347.784 ,22.000 ,111.263 ,0 ,554.077 ,372.759 ,131.030 ,14.188 ,116.842 ,0 ,0 ,0 ,0 ,0 ,241.729 ,54.240 ,0 ,0 ,187.490 ,-981.902 
23.,DESTRNIK,1.928.495 ,557.897 ,194.431 ,32.176 ,15.970 ,11.103 ,94 ,178 ,4.831 ,327.758 ,64.017 ,1.130 ,45.207 ,23.968 ,2.526 ,77.787 ,54 ,0 ,6.572 ,106.498 ,3.531 ,458 ,0 ,3.073 ,0 ,0 ,0 ,0 ,0 ,579.094 ,14.319 ,0 ,14.319 ,325.819 ,0 ,2.170 ,0 ,0 ,0 ,323.649 ,33.841 ,33.841 ,205.114 ,0 ,34.858 ,0 ,170.256 ,0 ,0 ,0 ,745.324 ,745.324 ,17.894 ,41.334 ,31.813 ,0 ,640.884 ,58 ,522 ,917 ,11.902 ,46.181 ,8.399 ,5.350 ,0 ,0 ,0 ,0 ,3.050 ,0 ,37.782 ,7.637 ,0 ,30.145 ,0 ,-178.422 
24.,DIVAČA,3.770.869 ,811.017 ,166.320 ,26.936 ,13.211 ,10.587 ,88 ,150 ,2.900 ,616.070 ,66.892 ,0 ,31.806 ,0 ,4.031 ,8.943 ,772 ,0 ,8.054 ,495.573 ,1.690 ,1.690 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.580.266 ,62.531 ,0 ,62.531 ,500.901 ,0 ,6.493 ,0 ,0 ,6.960 ,487.448 ,133.292 ,133.292 ,883.542 ,98.189 ,29.064 ,764 ,395.201 ,360.324 ,0 ,0 ,1.041.446 ,1.041.446 ,7.440 ,0 ,58.237 ,0 ,468.115 ,13.662 ,450.083 ,0 ,43.908 ,338.141 ,177.341 ,106.109 ,12.640 ,0 ,0 ,0 ,58.592 ,0 ,160.800 ,44.321 ,0 ,0 ,116.479 ,-7.862 
25.,DOBJE,525.259 ,190.715 ,64.831 ,10.674 ,5.525 ,4.052 ,33 ,63 ,1.002 ,107.520 ,22.951 ,16.475 ,12.227 ,3.226 ,668 ,33.913 ,83 ,0 ,2.249 ,15.728 ,0 ,0 ,0 ,0 ,0 ,7.691 ,242 ,7.449 ,0 ,211.012 ,9.135 ,0 ,9.135 ,104.323 ,0 ,814 ,943 ,0 ,0 ,102.566 ,16.842 ,16.842 ,80.713 ,563 ,10.420 ,1.536 ,66.283 ,0 ,1.911 ,0 ,86.267 ,86.267 ,0 ,0 ,9.531 ,0 ,42.551 ,6.522 ,16.621 ,0 ,11.042 ,37.264 ,27.783 ,27.424 ,359 ,0 ,0 ,0 ,0 ,0 ,9.481 ,1.390 ,0 ,0 ,8.091 ,28.530 
26.,DOBREPOLJE,2.618.816 ,473.356 ,132.474 ,21.674 ,10.562 ,8.463 ,71 ,121 ,2.458 ,315.035 ,42.359 ,10.507 ,52.934 ,2.074 ,2.729 ,143.044 ,835 ,0 ,5.162 ,55.391 ,0 ,0 ,0 ,0 ,0 ,4.173 ,0 ,4.173 ,0 ,955.375 ,3.368 ,0 ,3.368 ,655.721 ,2.103 ,0 ,0 ,0 ,0 ,653.618 ,113.124 ,113.124 ,183.162 ,2.813 ,20.084 ,3.601 ,156.664 ,0 ,0 ,0 ,935.996 ,935.996 ,0 ,0 ,24.028 ,0 ,656.810 ,69.221 ,67.026 ,0 ,118.912 ,254.089 ,239.221 ,71.858 ,167.364 ,0 ,0 ,0 ,0 ,0 ,14.868 ,0 ,0 ,0 ,14.868 ,234.389 
27.,DOBRNA,1.615.740 ,652.850 ,149.007 ,23.686 ,11.709 ,9.026 ,75 ,134 ,2.742 ,467.639 ,71.011 ,3.067 ,53.121 ,2.842 ,7.382 ,178.247 ,38.725 ,47.496 ,4.373 ,61.375 ,0 ,0 ,0 ,0 ,0 ,12.519 ,12.519 ,0 ,0 ,500.555 ,25.380 ,0 ,25.380 ,248.740 ,0 ,3.334 ,0 ,0 ,0 ,245.406 ,86.179 ,86.179 ,140.256 ,4.152 ,19.116 ,0 ,116.988 ,0 ,0 ,0 ,368.323 ,368.323 ,160.599 ,0 ,7.566 ,13.370 ,101.415 ,0 ,22.880 ,0 ,62.494 ,94.012 ,71.837 ,0 ,66.412 ,0 ,5.425 ,0 ,0 ,0 ,22.175 ,14.927 ,0 ,0 ,7.248 ,-101.932 
28.,DOBROVA - POLHOV GRADEC,6.580.996 ,1.403.688 ,215.487 ,34.557 ,17.340 ,13.613 ,117 ,192 ,3.295 ,1.061.945 ,181.531 ,52.191 ,97.765 ,15.250 ,2.426 ,553.924 ,5.432 ,0 ,7.889 ,145.537 ,675 ,0 ,0 ,675 ,0 ,91.024 ,0 ,91.024 ,0 ,1.560.973 ,42.556 ,0 ,42.556 ,987.250 ,9.264 ,16.900 ,4.131 ,0 ,3.070 ,953.884 ,171.805 ,171.805 ,359.362 ,30.588 ,43.455 ,0 ,278.581 ,0 ,6.739 ,0 ,3.566.662 ,3.566.662 ,0 ,51.855 ,329.236 ,17.877 ,3.033.283 ,3.557 ,61.660 ,0 ,69.193 ,49.673 ,43.965 ,0 ,43.965 ,0 ,0 ,0 ,0 ,0 ,5.708 ,0 ,0 ,0 ,5.708 ,-1.219.399 
29.,DOBROVNIK,1.585.696 ,505.860 ,131.040 ,21.668 ,11.585 ,7.551 ,600 ,68 ,1.864 ,288.303 ,45.387 ,7.674 ,91.008 ,6.773 ,4.315 ,52.945 ,434 ,209 ,2.414 ,77.144 ,63.978 ,7.713 ,0 ,56.264 ,0 ,871 ,0 ,871 ,0 ,448.597 ,2.793 ,0 ,2.793 ,138.881 ,209 ,0 ,0 ,0 ,0 ,138.672 ,176.551 ,176.551 ,130.372 ,6.108 ,18.444 ,1.201 ,104.619 ,0 ,0 ,0 ,631.238 ,631.238 ,19.985 ,0 ,29.257 ,2.594 ,86.921 ,9.747 ,18.938 ,59.684 ,404.113 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,80.043 
30.,DOL PRI LJUBLJANI,3.741.475 ,956.180 ,124.370 ,23.214 ,10.128 ,8.112 ,71 ,113 ,4.791 ,739.551 ,132.023 ,6.343 ,68.878 ,4.223 ,726 ,359.026 ,5.041 ,1.314 ,6.030 ,155.946 ,0 ,0 ,0 ,0 ,0 ,69.045 ,13.708 ,55.337 ,0 ,1.259.527 ,87.974 ,793 ,87.181 ,712.527 ,0 ,7.319 ,3.247 ,0 ,6.556 ,695.406 ,110.278 ,110.278 ,348.748 ,0 ,40.840 ,0 ,307.908 ,0 ,0 ,0 ,961.117 ,961.117 ,0 ,0 ,19.642 ,0 ,131.489 ,586.167 ,35.386 ,0 ,188.433 ,564.651 ,497.859 ,92.835 ,0 ,0 ,0 ,0 ,405.024 ,0 ,66.792 ,593 ,0 ,0 ,66.199 ,-52.324 
31.,DOLENJSKE TOPLICE,2.521.382 ,624.324 ,157.870 ,23.832 ,12.001 ,9.614 ,79 ,134 ,2.003 ,442.622 ,98.030 ,943 ,43.415 ,10.098 ,1.807 ,155.684 ,16.266 ,0 ,6.088 ,110.290 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,840.323 ,36.830 ,0 ,36.830 ,556.318 ,0 ,4.277 ,2.245 ,0 ,0 ,549.796 ,104.728 ,104.728 ,142.447 ,0 ,20.531 ,0 ,120.956 ,960 ,0 ,0 ,724.140 ,724.140 ,208.780 ,0 ,171.082 ,0 ,64.589 ,75.935 ,0 ,0 ,203.756 ,332.595 ,279.528 ,20.752 ,258.776 ,0 ,0 ,0 ,0 ,0 ,53.067 ,0 ,0 ,0 ,53.067 ,82.478 
32.,DOMŽALE,19.708.507 ,5.525.555 ,1.179.168 ,215.743 ,93.820 ,75.161 ,636 ,1.060 ,45.066 ,4.061.167 ,337.994 ,16.098 ,115.507 ,7.491 ,2.817 ,2.905.212 ,13.831 ,1.258 ,52.940 ,608.018 ,30.599 ,14.217 ,0 ,16.382 ,0 ,38.878 ,34.705 ,4.173 ,0 ,7.532.113 ,116.864 ,0 ,116.864 ,3.957.061 ,0 ,0 ,95.103 ,0 ,73.046 ,3.788.912 ,824.542 ,824.542 ,2.633.646 ,291.238 ,0 ,17.702 ,2.324.706 ,0 ,0 ,0 ,5.037.502 ,5.037.502 ,388.422 ,0 ,65.991 ,0 ,3.285.861 ,383.277 ,125.252 ,0 ,788.699 ,1.613.337 ,560.981 ,323.200 ,237.781 ,0 ,0 ,0 ,0 ,0 ,1.052.356 ,0 ,0 ,0 ,1.052.356 ,-207.516 
33.,DORNAVA,2.077.362 ,576.944 ,70.371 ,13.132 ,6.142 ,4.920 ,42 ,69 ,1.959 ,483.038 ,36.184 ,0 ,42.919 ,3.299 ,1.275 ,138.216 ,0 ,650 ,2.016 ,258.479 ,10.403 ,0 ,0 ,10.403 ,0 ,0 ,0 ,0 ,0 ,600.724 ,1.552 ,0 ,1.552 ,239.859 ,0 ,0 ,0 ,0 ,0 ,239.859 ,85.210 ,85.210 ,274.103 ,3.786 ,33.877 ,0 ,236.441 ,0 ,0 ,0 ,887.524 ,887.524 ,0 ,0 ,32.445 ,3.711 ,773.673 ,18.501 ,0 ,0 ,59.194 ,12.169 ,12.169 ,0 ,0 ,0 ,0 ,0 ,12.169 ,0 ,0 ,0 ,0 ,0 ,0 ,-320.739 
34.,DRAVOGRAD,7.762.794 ,1.716.131 ,331.282 ,53.276 ,25.712 ,20.599 ,174 ,291 ,6.500 ,1.273.336 ,92.911 ,12.385 ,110.814 ,7.220 ,2.613 ,800.902 ,7.289 ,12.964 ,11.158 ,215.080 ,7.111 ,7.111 ,0 ,0 ,0 ,51.127 ,0 ,13.570 ,37.556 ,2.100.573 ,50.437 ,0 ,50.437 ,611.365 ,0 ,0 ,0 ,0 ,0 ,611.365 ,335.182 ,335.182 ,1.103.589 ,0 ,75.836 ,3.915 ,1.023.838 ,0 ,0 ,0 ,3.606.165 ,3.606.165 ,47.649 ,0 ,159.963 ,5.359 ,1.903.464 ,1.229.315 ,84.985 ,0 ,175.430 ,339.925 ,276.024 ,5.825 ,95.422 ,0 ,0 ,9.438 ,165.338 ,0 ,63.900 ,0 ,0 ,0 ,63.900 ,-663.747 
35.,DUPLEK,3.949.858 ,1.266.187 ,277.825 ,45.447 ,21.858 ,17.510 ,150 ,246 ,5.684 ,929.995 ,130.058 ,75.359 ,140.214 ,14.622 ,3.422 ,487.344 ,296 ,0 ,10.595 ,68.085 ,12.919 ,12.919 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.210.395 ,46.770 ,0 ,46.770 ,495.218 ,0 ,6.589 ,31.297 ,0 ,0 ,457.332 ,132.787 ,132.787 ,535.620 ,0 ,62.944 ,4.887 ,467.789 ,0 ,0 ,0 ,1.265.386 ,1.265.386 ,14.881 ,0 ,47.071 ,0 ,955.638 ,185.808 ,30.871 ,0 ,31.118 ,207.891 ,26.999 ,26.999 ,0 ,0 ,0 ,0 ,0 ,0 ,180.892 ,17.722 ,0 ,0 ,163.170 ,-286.626 
36.,GORENJA VAS - POLJANE,5.388.456 ,1.293.378 ,263.416 ,43.993 ,22.054 ,16.449 ,139 ,238 ,5.112 ,950.315 ,78.887 ,32.854 ,233.812 ,9.358 ,4.910 ,335.050 ,21.442 ,0 ,9.014 ,224.989 ,13.955 ,13.955 ,0 ,0 ,0 ,21.699 ,0 ,21.699 ,0 ,1.412.910 ,37.958 ,0 ,37.958 ,983.845 ,0 ,0 ,10.779 ,0 ,0 ,973.066 ,127.362 ,127.362 ,263.746 ,0 ,31.433 ,0 ,232.313 ,0 ,0 ,0 ,2.566.114 ,2.566.114 ,301 ,0 ,44.678 ,0 ,911.699 ,1.321.461 ,40.270 ,0 ,247.705 ,116.054 ,84.502 ,29.753 ,0 ,0 ,0 ,54.749 ,0 ,0 ,31.553 ,21.699 ,0 ,0 ,9.854 ,775.902 
37.,GORIŠNICA,4.326.463 ,747.179 ,128.934 ,20.851 ,10.001 ,8.007 ,68 ,113 ,2.661 ,597.394 ,191.530 ,0 ,44.974 ,0 ,5.221 ,3.409 ,0 ,0 ,5.583 ,346.676 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.410.228 ,63.865 ,0 ,63.865 ,543.051 ,0 ,0 ,0 ,0 ,0 ,543.051 ,259.317 ,259.317 ,543.994 ,17.211 ,82.091 ,0 ,444.692 ,0 ,0 ,0 ,1.970.068 ,1.970.068 ,0 ,0 ,10.293 ,104 ,1.707.484 ,178.202 ,58.297 ,0 ,15.689 ,198.988 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,198.988 ,16.613 ,0 ,0 ,182.375 ,-41.806 
38.,GORNJA RADGONA,9.309.752 ,2.235.057 ,554.636 ,90.377 ,44.471 ,33.112 ,280 ,472 ,12.043 ,1.536.513 ,66.020 ,145.873 ,625.747 ,13.950 ,7.641 ,313.825 ,0 ,144.513 ,18.832 ,200.113 ,20.147 ,20.147 ,0 ,0 ,0 ,33.383 ,0 ,33.383 ,0 ,2.814.034 ,104.912 ,0 ,104.912 ,1.276.152 ,0 ,0 ,0 ,0 ,5.934 ,1.270.218 ,411.459 ,411.459 ,1.021.511 ,0 ,117.226 ,26.110 ,878.176 ,0 ,0 ,0 ,3.675.634 ,3.675.634 ,0 ,0 ,37.556 ,0 ,3.099.428 ,1.761 ,192.063 ,0 ,344.826 ,585.028 ,260.003 ,43.820 ,216.183 ,0 ,0 ,0 ,0 ,0 ,325.025 ,177.287 ,0 ,0 ,147.738 ,-1.254.728 
39.,GORNJI GRAD,1.758.859 ,593.090 ,94.012 ,13.579 ,6.489 ,5.058 ,188 ,75 ,1.769 ,466.625 ,43.378 ,1.010 ,46.954 ,2.687 ,3.192 ,250.376 ,7.757 ,0 ,3.630 ,107.641 ,4.845 ,3.196 ,0 ,1.648 ,0 ,14.029 ,6.869 ,2.086 ,5.074 ,591.466 ,32.987 ,0 ,32.987 ,352.829 ,0 ,3.868 ,0 ,0 ,0 ,348.961 ,54.786 ,54.786 ,150.864 ,6.364 ,13.416 ,1.427 ,129.657 ,0 ,0 ,0 ,313.771 ,313.771 ,0 ,3.952 ,5.208 ,0 ,116.804 ,134.285 ,16.859 ,0 ,36.663 ,260.532 ,205.821 ,81.906 ,123.915 ,0 ,0 ,0 ,0 ,0 ,54.711 ,0 ,0 ,0 ,54.711 ,15.507 
40.,GORNJI PETROVCI,2.029.365 ,389.818 ,95.956 ,18.177 ,7.257 ,5.813 ,50 ,83 ,4.974 ,231.414 ,42.176 ,0 ,50.918 ,24.199 ,1.264 ,77.821 ,0 ,1.402 ,2.917 ,30.717 ,44.271 ,44.271 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,457.474 ,22.797 ,0 ,22.797 ,184.798 ,77.875 ,1.878 ,0 ,0 ,0 ,105.045 ,47.580 ,47.580 ,202.299 ,11.113 ,32.858 ,4.277 ,154.052 ,0 ,0 ,0 ,1.037.076 ,1.037.076 ,10.574 ,10.645 ,1.139 ,2.846 ,781.794 ,202.170 ,0 ,0 ,27.909 ,144.997 ,144.997 ,144.997 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31.476 
41.,GRAD,1.608.615 ,566.552 ,167.723 ,21.645 ,10.995 ,8.283 ,117 ,120 ,2.130 ,365.057 ,25.377 ,10.461 ,61.154 ,19.586 ,3.522 ,171.374 ,8.466 ,1.860 ,2.491 ,60.765 ,12.127 ,0 ,12.127 ,0 ,0 ,0 ,0 ,0 ,0 ,415.948 ,14.900 ,0 ,14.900 ,216.452 ,0 ,0 ,0 ,0 ,0 ,216.452 ,47.038 ,47.038 ,137.558 ,0 ,38.343 ,464 ,98.750 ,0 ,0 ,0 ,620.264 ,620.264 ,0 ,0 ,12.936 ,873 ,248.888 ,335.516 ,0 ,0 ,22.051 ,5.852 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.852 ,5.852 ,0 ,0 ,0 ,-87.408 
42.,GROSUPLJE,14.185.679 ,2.608.050 ,566.775 ,90.682 ,44.475 ,35.628 ,300 ,501 ,9.777 ,1.919.116 ,218.540 ,86.718 ,241.066 ,5.316 ,1.198 ,859.539 ,99.357 ,2.650 ,23.736 ,380.996 ,23.131 ,4.319 ,0 ,18.812 ,0 ,8.346 ,0 ,8.346 ,0 ,4.391.441 ,185.119 ,141.667 ,43.453 ,2.481.372 ,0 ,17.276 ,11.651 ,0 ,26.828 ,2.425.618 ,685.854 ,685.854 ,1.039.096 ,8.767 ,124.725 ,2.662 ,896.858 ,6.084 ,0 ,0 ,5.499.094 ,5.499.094 ,152.545 ,0 ,123.398 ,3.626 ,4.139.626 ,279.548 ,467.368 ,0 ,332.983 ,1.687.093 ,1.315.870 ,210.791 ,1.075.159 ,0 ,0 ,29.920 ,0 ,0 ,371.224 ,0 ,2.892 ,0 ,368.332 ,-2.721.415 
43.,HAJDINA,3.119.371 ,703.486 ,149.771 ,24.256 ,12.052 ,9.335 ,79 ,136 ,2.654 ,525.286 ,39.136 ,1.047 ,92.354 ,7.495 ,3.933 ,188.161 ,6.918 ,0 ,5.944 ,180.299 ,0 ,0 ,0 ,0 ,0 ,4.173 ,0 ,4.173 ,0 ,726.326 ,19.528 ,0 ,19.528 ,389.203 ,0 ,5.717 ,459 ,0 ,0 ,383.027 ,134.966 ,134.966 ,182.629 ,22.251 ,43.322 ,1.063 ,114.950 ,0 ,1.043 ,0 ,1.590.943 ,1.590.943 ,614.894 ,0 ,47.855 ,11.319 ,873.936 ,7.719 ,6.163 ,0 ,29.057 ,98.615 ,76.103 ,23.786 ,52.318 ,0 ,0 ,0 ,0 ,0 ,22.512 ,14.201 ,0 ,0 ,8.311 ,-282.057 
44.,HOČE - SLIVNICA,5.011.217 ,1.715.494 ,338.896 ,56.022 ,28.213 ,19.997 ,163 ,296 ,7.353 ,1.310.286 ,168.720 ,3.589 ,317.973 ,8.521 ,11.384 ,673.606 ,7.699 ,0 ,7.778 ,111.017 ,6.118 ,6.118 ,0 ,0 ,0 ,4.173 ,0 ,4.173 ,0 ,2.214.426 ,83.358 ,0 ,83.358 ,493.190 ,0 ,0 ,0 ,0 ,16.270 ,476.920 ,241.658 ,241.658 ,1.396.219 ,0 ,76.602 ,0 ,1.319.617 ,0 ,0 ,0 ,684.168 ,684.168 ,0 ,0 ,6.218 ,0 ,445.756 ,80.663 ,13.374 ,0 ,138.157 ,397.129 ,121.858 ,36.747 ,85.111 ,0 ,0 ,0 ,0 ,0 ,275.271 ,0 ,0 ,0 ,275.271 ,1.087.815 
45.,HODOŠ,669.840 ,144.388 ,45.006 ,7.658 ,3.482 ,2.789 ,24 ,39 ,1.324 ,85.114 ,33.227 ,5.746 ,7.836 ,6.910 ,928 ,3.564 ,0 ,0 ,935 ,25.969 ,5.359 ,5.359 ,0 ,0 ,0 ,1.252 ,0 ,1.252 ,0 ,117.849 ,2.120 ,0 ,2.120 ,59.026 ,35.629 ,417 ,157 ,0 ,0 ,22.823 ,22.074 ,22.074 ,34.630 ,31.506 ,1.894 ,125 ,959 ,0 ,146 ,0 ,403.847 ,403.847 ,0 ,8.346 ,2.439 ,1.933 ,163.258 ,224.750 ,0 ,0 ,3.121 ,3.757 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.757 ,3.757 ,0 ,0 ,0 ,11.965 
46.,HORJUL,4.000.688 ,437.795 ,95.020 ,15.391 ,7.763 ,6.235 ,56 ,84 ,1.252 ,323.211 ,74.491 ,0 ,47.979 ,485 ,2.572 ,141.429 ,245 ,3.338 ,5.194 ,47.478 ,0 ,0 ,0 ,0 ,0 ,4.173 ,0 ,4.173 ,0 ,555.816 ,13.091 ,0 ,13.091 ,364.627 ,0 ,8.408 ,6.369 ,0 ,0 ,349.850 ,62.787 ,62.787 ,115.312 ,0 ,9.519 ,0 ,105.793 ,0 ,0 ,0 ,2.851.448 ,2.851.448 ,0 ,0 ,191.719 ,320 ,2.527.679 ,21.927 ,22.925 ,0 ,86.877 ,155.629 ,145.850 ,127.683 ,18.167 ,0 ,0 ,0 ,0 ,0 ,9.779 ,0 ,0 ,0 ,9.779 ,-1.524.756 
47.,HRASTNIK,7.061.342 ,2.114.146 ,438.253 ,73.285 ,34.986 ,28.025 ,238 ,396 ,9.639 ,1.501.110 ,376.995 ,1.435 ,137.786 ,4.957 ,1.803 ,827.863 ,18.741 ,0 ,16.320 ,115.210 ,24.299 ,0 ,0 ,24.299 ,0 ,77.199 ,2.086 ,75.113 ,0 ,2.495.226 ,39.693 ,0 ,39.693 ,1.114.714 ,0 ,0 ,12.615 ,0 ,40.310 ,1.061.789 ,236.697 ,236.697 ,1.104.123 ,0 ,132.044 ,3.038 ,969.041 ,0 ,0 ,0 ,1.878.580 ,1.878.580 ,57.294 ,0 ,20.285 ,6.835 ,1.393.695 ,137.577 ,13.007 ,0 ,249.887 ,573.389 ,364.768 ,143.749 ,70.314 ,0 ,0 ,0 ,150.705 ,0 ,208.621 ,0 ,0 ,0 ,208.621 ,-33.375 
48.,HRPELJE - KOZINA,4.333.997 ,808.788 ,159.815 ,25.693 ,12.439 ,9.706 ,83 ,142 ,3.322 ,597.158 ,45.114 ,3.681 ,93.474 ,0 ,6.531 ,49.007 ,267 ,0 ,5.145 ,393.941 ,0 ,0 ,0 ,0 ,0 ,26.123 ,21.115 ,5.008 ,0 ,1.280.805 ,22.851 ,5.412 ,17.439 ,536.133 ,3.418 ,2.658 ,0 ,0 ,0 ,530.058 ,98.247 ,98.247 ,623.573 ,9.806 ,29.152 ,1.732 ,573.060 ,0 ,9.823 ,0 ,1.718.453 ,1.718.453 ,0 ,0 ,73.623 ,0 ,1.579.106 ,0 ,0 ,0 ,65.724 ,525.951 ,76.406 ,19.287 ,57.119 ,0 ,0 ,0 ,0 ,0 ,449.545 ,266.195 ,0 ,0 ,183.350 ,-94.362 
49.,IDRIJA,9.609.498 ,3.200.421 ,551.769 ,89.718 ,43.978 ,35.232 ,296 ,497 ,9.715 ,2.484.940 ,531.138 ,421 ,160.708 ,16.266 ,5.700 ,1.468.373 ,6.577 ,12.510 ,27.454 ,255.792 ,54.745 ,54.745 ,0 ,0 ,0 ,19.250 ,4.169 ,15.081 ,0 ,2.878.643 ,33.663 ,0 ,33.663 ,1.502.433 ,2.504 ,0 ,0 ,0 ,0 ,1.499.929 ,502.379 ,502.379 ,840.169 ,16.988 ,50.747 ,5.008 ,767.426 ,0 ,0 ,0 ,2.171.474 ,2.171.474 ,248.907 ,0 ,23.690 ,492 ,1.129.440 ,459.435 ,72.596 ,0 ,236.914 ,1.358.959 ,1.044.938 ,92.151 ,946.128 ,0 ,0 ,6.660 ,0 ,0 ,314.021 ,0 ,0 ,0 ,314.021 ,-719.333 
50.,IG,4.666.025 ,1.207.816 ,207.952 ,34.746 ,16.293 ,13.054 ,109 ,184 ,5.106 ,963.328 ,234.075 ,10.849 ,75.285 ,77.061 ,7.011 ,419.376 ,3.756 ,24.275 ,8.362 ,103.276 ,0 ,0 ,0 ,0 ,0 ,1.790 ,746 ,1.044 ,0 ,1.312.671 ,24.016 ,0 ,24.016 ,676.703 ,0 ,2.240 ,72.826 ,0 ,0 ,601.637 ,170.787 ,170.787 ,441.165 ,13.501 ,54.188 ,0 ,373.476 ,0 ,0 ,0 ,1.612.808 ,1.612.808 ,83.459 ,0 ,48.062 ,0 ,701.467 ,21.273 ,463.119 ,0 ,295.429 ,532.730 ,438.899 ,18.778 ,355.726 ,0 ,0 ,0 ,64.395 ,0 ,93.831 ,0 ,0 ,0 ,93.831 ,296.629 
51.,ILIRSKA BISTRICA,9.028.100 ,1.938.762 ,439.697 ,70.397 ,33.317 ,27.333 ,230 ,384 ,9.135 ,1.419.221 ,220.260 ,100 ,270.189 ,9.786 ,1.744 ,709.894 ,16.583 ,8.951 ,15.294 ,166.420 ,9.448 ,1.928 ,0 ,7.520 ,0 ,0 ,0 ,0 ,0 ,3.219.191 ,44.012 ,0 ,44.012 ,1.534.794 ,0 ,28.000 ,0 ,0 ,101.811 ,1.404.982 ,506.268 ,506.268 ,1.134.118 ,213.879 ,104.820 ,10.136 ,687.594 ,117.689 ,0 ,0 ,2.937.644 ,2.937.644 ,0 ,0 ,301.110 ,8.129 ,1.647.576 ,5.216 ,406.556 ,4.665 ,564.392 ,932.503 ,611.626 ,101.861 ,505.220 ,0 ,2.061 ,2.483 ,0 ,0 ,320.877 ,277.437 ,0 ,0 ,43.440 ,-188.671 
52.,IVANČNA GORICA,9.073.185 ,2.244.312 ,379.160 ,60.332 ,29.657 ,23.761 ,200 ,334 ,6.380 ,1.804.590 ,217.447 ,1.669 ,135.612 ,10.925 ,18.987 ,989.559 ,12.652 ,22.884 ,14.956 ,379.899 ,230 ,113 ,0 ,117 ,0 ,0 ,0 ,0 ,0 ,2.921.420 ,0 ,0 ,0 ,1.824.111 ,0 ,5.633 ,13.620 ,0 ,0 ,1.804.857 ,464.463 ,464.463 ,632.845 ,0 ,91.178 ,0 ,541.667 ,0 ,0 ,0 ,2.749.833 ,2.749.833 ,0 ,0 ,138.896 ,3.601 ,2.151.652 ,231.318 ,115.093 ,1.623 ,107.649 ,1.157.620 ,1.049.165 ,124.846 ,924.320 ,0 ,0 ,0 ,0 ,0 ,108.454 ,9.030 ,0 ,0 ,99.424 ,-283.075 
53.,IZOLA,15.531.664 ,4.639.413 ,1.234.911 ,201.915 ,98.715 ,79.081 ,668 ,1.114 ,22.338 ,3.081.560 ,630.688 ,1.410 ,1.403.835 ,32.520 ,22.421 ,204.165 ,125.463 ,13.737 ,48.018 ,599.303 ,79.298 ,11.864 ,0 ,67.434 ,0 ,41.729 ,0 ,41.729 ,0 ,4.439.175 ,68.048 ,0 ,68.048 ,1.623.030 ,0 ,2.946 ,57.511 ,0 ,40.060 ,1.522.513 ,652.341 ,652.341 ,2.095.756 ,1.223 ,200.789 ,30.041 ,1.863.704 ,0 ,0 ,0 ,4.818.236 ,4.818.236 ,484.435 ,9.059 ,371.620 ,9.168 ,1.918.699 ,1.017.656 ,397.897 ,13.170 ,596.532 ,1.634.840 ,834.656 ,204.461 ,622.780 ,0 ,0 ,7.415 ,0 ,0 ,800.184 ,188.353 ,0 ,0 ,611.830 ,216.587 
54.,JESENICE,14.847.006 ,4.258.192 ,978.977 ,159.713 ,77.545 ,62.097 ,526 ,875 ,18.670 ,3.047.152 ,533.150 ,8.004 ,262.154 ,13.456 ,14.063 ,1.632.620 ,47.421 ,0 ,43.261 ,493.025 ,30.621 ,16.496 ,0 ,14.125 ,0 ,41.729 ,0 ,41.729 ,0 ,5.584.012 ,136.498 ,0 ,136.498 ,2.263.150 ,19.347 ,0 ,184.456 ,0 ,9.126 ,2.050.220 ,524.249 ,524.249 ,2.660.115 ,9.297 ,137.840 ,19.458 ,2.475.305 ,18.215 ,0 ,0 ,3.687.406 ,3.687.406 ,136.801 ,10.503 ,135.745 ,14.835 ,1.479.269 ,1.287.331 ,360.966 ,0 ,261.955 ,1.317.396 ,447.730 ,59.998 ,362.448 ,0 ,0 ,25.284 ,0 ,0 ,869.666 ,9.132 ,0 ,0 ,860.534 ,-794.083 
