,,VIII.  50,500,5001,5002,5003,5004,IX.  55,550,5501,5502,5503,5504,X.,XI.,ST.,FI.
,,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,NETO ZADOLŽEVANJE  ,POVEČANJE (ZMANJŠANJE)  SREDSTEV NA RAČUNIH                                                                  ,STANJE SREDSTEV NA RAČUNIH OB KONCU                   PRETEKLEGA LETA,- OD TEGA PRESEŽEK FINANČNE  IZRAVNAVE IZ PRETEKLEGA LETA
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,(VIII.-IX.),(III.+VI.+X) = (I.+IV.+VIII.) - (II.+V.+IX.),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,Odplačila glavnice vrednostnih papirjev,,,,
Zap. št.,OBČINA,,,,,,,,,,,,,,,,
53,IZOLA,0 ,0 ,0 ,0 ,0 ,0 ,36.162 ,36.162 ,3.981 ,32.182 ,0 ,0 ,-36.162 ,1.262.526 ,0 ,0 
54,JESENICE,0 ,0 ,0 ,0 ,0 ,0 ,20.255 ,20.255 ,0 ,0 ,20.255 ,0 ,-20.255 ,-349.737 ,185.048 ,122.400 
55,JEZERSKO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.966 ,0 ,0 
56,JURŠINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.448 ,2.466 ,0 
57,KAMNIK,0 ,0 ,0 ,0 ,0 ,0 ,8.275 ,8.275 ,8.275 ,0 ,0 ,0 ,-8.275 ,-301.598 ,715.465 ,0 
58,KANAL,0 ,0 ,0 ,0 ,0 ,0 ,543.285 ,543.285 ,0 ,0 ,543.285 ,0 ,-543.285 ,-174.822 ,290.277 ,0 
59,KIDRIČEVO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-232.374 ,576.360 ,0 
60,KOBARID,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-63.199 ,7.908 ,0 
61,KOBILJE,33.730 ,33.730 ,33.730 ,0 ,0 ,0 ,4.690 ,4.690 ,4.690 ,0 ,0 ,0 ,29.039 ,1.448 ,4.306 ,0 
62,KOČEVJE,0 ,0 ,0 ,0 ,0 ,0 ,3.710 ,3.710 ,3.710 ,0 ,0 ,0 ,-3.710 ,-36.267 ,0 ,0 
63,KOMEN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36.405 ,41.525 ,0 
64,KOMENDA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-67.593 ,664 ,0 
65,KOPER (M),0 ,0 ,0 ,0 ,0 ,0 ,380.792 ,380.792 ,81.710 ,0 ,299.082 ,0 ,-380.792 ,1.683.905 ,1.489.259 ,0 
66,KOSTEL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17.848 ,0 ,0 
67,KOZJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,53.564 ,13.141 ,0 
68,KRANJ (M),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.727 ,32.507 ,0 
69,KRANJSKA GORA,0 ,0 ,0 ,0 ,0 ,0 ,5.383 ,5.383 ,0 ,0 ,5.383 ,0 ,-5.383 ,117.505 ,77.020 ,0 
70,KRIŽEVCI,0 ,0 ,0 ,0 ,0 ,0 ,19.246 ,19.246 ,19.246 ,0 ,0 ,0 ,-19.246 ,608.008 ,2.520 ,0 
71,KRŠKO,1.126.690 ,1.126.690 ,1.126.690 ,0 ,0 ,0 ,277.896 ,277.896 ,274.775 ,0 ,3.121 ,0 ,848.794 ,-20.606 ,109.214 ,0 
72,KUNGOTA,45.026 ,45.026 ,0 ,0 ,45.026 ,0 ,10.528 ,10.528 ,0 ,0 ,10.528 ,0 ,34.498 ,79.382 ,92.359 ,23.139 
73,KUZMA,0 ,0 ,0 ,0 ,0 ,0 ,24.370 ,24.370 ,24.370 ,0 ,0 ,0 ,-24.370 ,1.419 ,689 ,0 
74,LAŠKO,0 ,0 ,0 ,0 ,0 ,0 ,355.938 ,355.938 ,0 ,0 ,0 ,355.938 ,-355.938 ,-53.451 ,212.502 ,0 
75,LENART,125.188 ,125.188 ,125.188 ,0 ,0 ,0 ,140.369 ,140.369 ,125.188 ,0 ,15.181 ,0 ,-15.181 ,-45.435 ,143.094 ,92.631 
76,LENDAVA,0 ,0 ,0 ,0 ,0 ,0 ,35.570 ,35.570 ,19.667 ,0 ,15.903 ,0 ,-35.570 ,221 ,31.560 ,0 
77,LITIJA,104.678 ,104.678 ,0 ,0 ,104.678 ,0 ,192.526 ,192.526 ,192.526 ,0 ,0 ,0 ,-87.848 ,1.561 ,5.646 ,0 
78,LJUBLJANA (M),0 ,0 ,0 ,0 ,0 ,0 ,348.131 ,348.131 ,0 ,0 ,0 ,348.131 ,-348.131 ,-4.895.134 ,26.175.192 ,0 
79,LJUBNO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,68.866 ,0 ,19.229 
80,LJUTOMER,0 ,0 ,0 ,0 ,0 ,0 ,28.292 ,28.292 ,0 ,0 ,28.292 ,0 ,-28.292 ,233.671 ,0 ,0 
81,LOGATEC,0 ,0 ,0 ,0 ,0 ,0 ,9.068 ,9.068 ,0 ,0 ,9.068 ,0 ,-9.068 ,-105.425 ,174.758 ,0 
82,LOŠKA DOLINA,0 ,0 ,0 ,0 ,0 ,0 ,12.318 ,12.318 ,0 ,0 ,12.318 ,0 ,-12.318 ,205.354 ,23.565 ,0 
83,LOŠKI POTOK,62.594 ,62.594 ,0 ,0 ,62.594 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,62.594 ,2.445 ,42.222 ,0 
84,LOVRENC NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,12.260 ,12.260 ,12.260 ,0 ,0 ,0 ,-12.260 ,48.164 ,18.111 ,0 
