59.,KIDRIČEVO,30.425 ,30.425 ,0 ,0 ,0 ,30.425 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.831 ,6.831 ,0 ,0 ,0 ,6.831 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23.594 
60.,KOBARID,1.857 ,1.857 ,1.857 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.857 
61.,KOBILJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
62.,KOČEVJE,13.529 ,13.383 ,13.383 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,146 ,0 ,146 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.529 
63.,KOMEN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
64.,KOMENDA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
65.,MESTNA OBČINA KOPER,184.473 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,184.473 ,184.473 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,184.473 
66.,KOSTEL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
67.,KOZJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
68.,MESTNA OBČINA KRANJ,418.436 ,417.651 ,403.568 ,0 ,0 ,0 ,14.084 ,0 ,0 ,0 ,785 ,0 ,0 ,785 ,0 ,0 ,62.594 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,62.594 ,0 ,0 ,62.594 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,355.842 
69.,KRANJSKA GORA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
70.,KRIŽEVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
71.,KRŠKO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
72.,KUNGOTA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
73.,KUZMA,5.314 ,5.314 ,5.314 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.314 
74.,LAŠKO,9.051 ,9.051 ,9.051 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.051 
75.,LENART,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
76.,LENDAVA,307 ,307 ,307 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.943 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.943 ,0 ,0 ,0 ,3.943 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3.636 
77.,LITIJA,62.573 ,24.545 ,0 ,0 ,0 ,24.545 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38.028 ,38.028 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,62.573 
78.,MESTNA OBČINA LJUBLJANA,128.113 ,99.036 ,99.036 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,29.077 ,0 ,13.095 ,15.982 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,128.113 
79.,LJUBNO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,413 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,413 ,0 ,0 ,413 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-413 
80.,LJUTOMER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
81.,LOGATEC,61.204 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,61.204 ,61.204 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,61.204 
82.,LOŠKA DOLINA,2.596 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.596 ,2.596 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.596 
83.,LOŠKI POTOK,3.338 ,3.338 ,0 ,0 ,0 ,0 ,3.338 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.338 
84.,LOVRENC NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
85.,LUČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.463 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.463 ,0 ,0 ,0 ,0 ,0 ,11.463 ,0 ,0 ,0 ,0 ,0 ,0 ,-11.463 
86.,LUKOVICA,19.170 ,19.170 ,19.170 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19.170 
87.,MAJŠPERK,47.859 ,47.859 ,0 ,0 ,0 ,7.303 ,40.557 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40.557 ,40.557 ,0 ,0 ,0 ,0 ,40.557 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.303 
88.,MESTNA OBČINA MARIBOR,775.438 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,714.422 ,0 ,17 ,714.405 ,61.017 ,61.017 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,775.438 
89.,MARKOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
90.,MEDVODE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
91.,MENGEŠ,8.392 ,8.392 ,8.392 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.392 
92.,METLIKA,8.655 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.655 ,8.655 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.655 
93.,MEŽICA,15.231 ,15.231 ,11.968 ,0 ,0 ,3.196 ,67 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.346 ,8.346 ,0 ,0 ,0 ,0 ,0 ,0 ,8.346 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.885 
94.,MIKLAVŽ NA DRAVSKEM POLJU,35.637 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,35.637 ,0 ,0 ,35.637 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,35.637 
95.,MIREN - KOSTANJEVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
96.,MIRNA PEČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.848 ,3.284 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.284 ,5.564 ,0 ,0 ,5.564 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8.848 
97.,MISLINJA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
98.,MORAVČE,6.844 ,6.844 ,6.844 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.844 
99.,MORAVSKE TOPLICE,29.569 ,29.569 ,25.117 ,0 ,1.753 ,0 ,2.700 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.051 ,1.669 ,1.669 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.382 ,0 ,0 ,0 ,0 ,0 ,4.382 ,0 ,0 ,0 ,0 ,0 ,0 ,23.519 
100.,MOZIRJE,4.615 ,4.615 ,0 ,0 ,0 ,4.615 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,190.164 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,190.164 ,0 ,0 ,190.164 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-185.549 
101.,MESTNA OBČINA MURSKA SOBOTA,15.473 ,15.473 ,0 ,0 ,15.473 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,33.312 ,14.117 ,0 ,14.117 ,0 ,0 ,0 ,0 ,0 ,0 ,19.195 ,0 ,0 ,0 ,0 ,0 ,19.195 ,0 ,0 ,0 ,0 ,0 ,0 ,-17.839 
102.,MUTA,6.752 ,4.870 ,4.870 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.882 ,0 ,1.882 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.752 
103.,NAKLO,17.790 ,17.790 ,17.790 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17.790 
104.,NAZARJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.403 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.403 ,0 ,0 ,0 ,13.403 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-13.403 
105.,MESTNA OBČINA NOVA GORICA,326.907 ,64.793 ,0 ,0 ,48.227 ,0 ,16.567 ,0 ,0 ,0 ,159.669 ,0 ,0 ,159.669 ,102.445 ,102.445 ,500.751 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,500.751 ,500.751 ,0 ,-173.844 
106.,MESTNA OBČINA NOVO MESTO,151.569 ,151.569 ,122.296 ,0 ,0 ,0 ,29.273 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,213.700 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,213.700 ,0 ,0 ,213.700 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-62.131 
107.,ODRANCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
108.,OPLOTNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
109.,ORMOŽ,78.259 ,62.594 ,0 ,0 ,0 ,62.594 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15.665 ,15.665 ,83.141 ,77.199 ,0 ,0 ,0 ,77.199 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.942 ,0 ,5.942 ,0 ,0 ,0 ,-4.882 
110.,OSILNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
111.,PESNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
112.,PIRAN,41.729 ,41.729 ,41.729 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41.729 
113.,PIVKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
114.,PODČETRTEK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
115.,PODLEHNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,33.383 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,33.383 ,0 ,33.383 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-33.383 
116.,PODVELKA,20.093 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.166 ,0 ,2.166 ,0 ,17.927 ,17.927 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.093 
117.,POLZELA,2.358 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.358 ,2.358 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.358 
118.,POSTOJNA,22.442 ,22.442 ,0 ,0 ,0 ,22.442 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.493 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.493 ,0 ,0 ,3.493 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18.949 
119.,PREBOLD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
120.,PREDDVOR,13.741 ,13.741 ,13.741 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.741 
121.,PREVALJE,2.041 ,2.041 ,0 ,0 ,0 ,0 ,2.041 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.041 
122.,MESTNA OBČINA PTUJ,252.157 ,252.157 ,0 ,0 ,0 ,195.531 ,56.627 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,95.977 ,70.940 ,0 ,0 ,0 ,70.940 ,0 ,0 ,0 ,0 ,25.038 ,25.038 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,156.180 
123.,PUCONCI,8.281 ,8.281 ,3.589 ,0 ,0 ,0 ,4.692 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.281 
124.,RAČE - FRAM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
125.,RADEČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
126.,RADENCI,315 ,315 ,0 ,0 ,0 ,315 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.573 ,2.573 ,0 ,0 ,0 ,2.573 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2.258 
127.,RADLJE OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.963 ,2.086 ,0 ,2.086 ,0 ,0 ,0 ,0 ,0 ,0 ,876 ,0 ,0 ,876 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2.963 
128.,RADOVLJICA,93.449 ,93.449 ,90.423 ,0 ,0 ,3.025 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,93.449 
129.,RAVNE NA KOROŠKEM,6.819 ,6.819 ,0 ,0 ,0 ,6.819 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.819 
130.,RAZKRIŽJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
131.,RIBNICA,59.977 ,59.977 ,0 ,0 ,0 ,0 ,59.977 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,59.977 
132.,RIBNICA NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
133.,ROGAŠKA SLATINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
134.,ROGAŠOVCI,3.413 ,3.413 ,3.413 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.413 
135.,ROGATEC,3.213 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.213 ,3.213 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.213 
136.,RUŠE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
