30.,DOL PRI LJUBLJANI,2.329.966 ,565.081 ,84.498 ,12.394 ,450.280 ,62.193 ,1.356 ,42.251 ,2.854 ,1.719 ,209.047 ,7.641 ,0 ,4.311 ,118.908 ,0 ,0 ,0 ,0 ,0 ,17.910 ,670.815 ,24.378 ,0 ,24.378 ,226.022 ,0 ,0 ,2.575 ,0 ,3.009 ,220.439 ,89.013 ,89.013 ,331.401 ,0 ,15.210 ,0 ,316.191 ,0 ,1.018.882 ,1.018.882 ,227.591 ,0 ,46.445 ,743 ,552.245 ,84.297 ,12.569 ,0 ,94.992 ,75.188 ,75.188 ,0 ,0 ,16.692 ,0 ,0 ,0 ,0 ,58.496 ,0 ,-358.934 
31.,DOLENJSKE TOPLICE,1.559.251 ,302.963 ,66.437 ,9.823 ,218.707 ,48.373 ,613 ,22.692 ,1.540 ,459 ,85.912 ,6.885 ,0 ,2.554 ,49.679 ,0 ,0 ,0 ,0 ,0 ,7.995 ,502.637 ,73.360 ,3.839 ,69.521 ,96.132 ,0 ,0 ,926 ,0 ,1.285 ,93.920 ,78.372 ,78.372 ,254.774 ,0 ,10.103 ,0 ,244.671 ,0 ,745.305 ,745.305 ,0 ,0 ,6.547 ,225 ,651.114 ,3.530 ,0 ,0 ,83.888 ,8.346 ,8.346 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.346 ,0 ,39.952 
32.,DOMŽALE,11.877.022 ,3.604.835 ,792.898 ,112.673 ,2.587.269 ,299.324 ,5.473 ,105.905 ,2.270 ,6.849 ,781.100 ,6.259 ,4.173 ,0 ,1.375.917 ,62.620 ,40.074 ,0 ,22.546 ,0 ,49.374 ,4.953.443 ,128.443 ,0 ,128.443 ,2.456.463 ,0 ,0 ,58.653 ,0 ,60.914 ,2.336.897 ,619.764 ,619.764 ,1.748.773 ,491.330 ,0 ,30.721 ,1.226.722 ,0 ,2.682.174 ,2.682.174 ,260.730 ,0 ,91.797 ,0 ,1.783.625 ,41.579 ,230.889 ,0 ,273.555 ,636.570 ,636.570 ,51.958 ,0 ,199.782 ,0 ,0 ,0 ,0 ,384.831 ,0 ,612.812 
33.,DORNAVA,1.721.745 ,237.093 ,51.419 ,7.553 ,170.627 ,10.829 ,0 ,20.051 ,501 ,1.398 ,63.771 ,0 ,0 ,1.252 ,72.826 ,7.495 ,0 ,7.495 ,0 ,0 ,0 ,356.314 ,9.118 ,0 ,9.118 ,160.779 ,0 ,0 ,467 ,0 ,0 ,160.311 ,74.562 ,74.562 ,111.855 ,32.586 ,24.403 ,0 ,54.866 ,0 ,1.128.338 ,1.128.338 ,0 ,13.892 ,27.829 ,693 ,1.021.086 ,0 ,4.791 ,0 ,60.048 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40.690 
34.,DRAVOGRAD,4.347.742 ,950.701 ,232.908 ,33.283 ,670.627 ,49.912 ,7.190 ,65.870 ,6.844 ,5.821 ,356.485 ,2.320 ,0 ,9.877 ,166.308 ,13.883 ,13.883 ,0 ,0 ,0 ,0 ,1.370.460 ,44.897 ,0 ,44.897 ,309.452 ,0 ,0 ,0 ,0 ,0 ,309.452 ,171.395 ,171.395 ,844.717 ,50.689 ,27.220 ,16.379 ,750.430 ,0 ,1.762.473 ,1.762.473 ,87.919 ,0 ,181.372 ,0 ,990.210 ,339.263 ,30.800 ,0 ,132.908 ,264.109 ,264.109 ,0 ,0 ,10.432 ,224.466 ,0 ,0 ,0 ,29.210 ,0 ,-224.741 
35.,DUPLEK,2.807.591 ,413.904 ,153.230 ,21.941 ,224.620 ,76.461 ,10.850 ,85.870 ,4.970 ,4.907 ,5.946 ,0 ,0 ,6.773 ,28.843 ,3.388 ,3.388 ,0 ,0 ,0 ,10.724 ,1.105.362 ,140.127 ,0 ,140.127 ,314.488 ,0 ,4.340 ,13.437 ,0 ,0 ,296.712 ,84.589 ,84.589 ,566.158 ,0 ,39.251 ,2.086 ,524.821 ,0 ,1.262.548 ,1.262.548 ,46.945 ,12.515 ,36.367 ,0 ,874.566 ,141.287 ,16.900 ,0 ,133.968 ,25.776 ,25.776 ,0 ,0 ,3.422 ,0 ,0 ,0 ,0 ,22.354 ,0 ,-550.184 
36.,GORENJA VAS - POLJANE,2.688.441 ,492.731 ,122.851 ,17.364 ,336.492 ,53.902 ,13.249 ,120.973 ,1.945 ,5.830 ,27.867 ,13.333 ,597 ,5.095 ,93.703 ,1.323 ,0 ,0 ,1.323 ,0 ,14.701 ,1.164.714 ,101.431 ,0 ,101.431 ,594.817 ,0 ,0 ,11.617 ,0 ,0 ,583.200 ,75.042 ,75.042 ,393.423 ,186.204 ,18.361 ,0 ,188.858 ,0 ,679.924 ,679.924 ,60.182 ,11.204 ,40.381 ,0 ,244.008 ,202.988 ,34.773 ,0 ,86.388 ,351.072 ,351.072 ,285.048 ,0 ,21.699 ,0 ,0 ,8.930 ,25.213 ,10.182 ,0 ,318.745 
37.,GORIŠNICA,2.897.008 ,448.877 ,116.537 ,16.375 ,314.088 ,84.389 ,0 ,14.939 ,0 ,7.106 ,2.750 ,0 ,0 ,5.421 ,199.483 ,0 ,0 ,0 ,0 ,0 ,1.878 ,1.251.878 ,493.799 ,0 ,493.799 ,366.124 ,0 ,0 ,0 ,0 ,0 ,366.124 ,183.404 ,183.404 ,208.550 ,7.916 ,52.520 ,0 ,148.114 ,0 ,1.159.239 ,1.159.239 ,0 ,25.659 ,5.738 ,4.273 ,1.011.701 ,89.568 ,0 ,0 ,22.300 ,37.014 ,37.014 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37.014 ,0 ,132.732 
38.,GORNJA RADGONA,6.836.880 ,1.522.246 ,532.374 ,71.357 ,883.383 ,22.400 ,8.621 ,575.305 ,8.037 ,3.217 ,179.661 ,0 ,0 ,17.831 ,68.311 ,2.354 ,2.354 ,0 ,0 ,0 ,32.778 ,2.132.232 ,346.269 ,0 ,346.269 ,226.965 ,0 ,0 ,0 ,0 ,0 ,226.965 ,414.280 ,414.280 ,1.144.717 ,31.714 ,110.370 ,0 ,1.002.633 ,0 ,3.011.889 ,3.011.889 ,0 ,7.461 ,44.087 ,0 ,2.827.867 ,97.484 ,0 ,0 ,34.990 ,170.514 ,170.514 ,0 ,0 ,0 ,0 ,0 ,31.297 ,0 ,139.217 ,0 ,-782.966 
39.,GORNJI GRAD,1.243.453 ,545.280 ,87.540 ,12.757 ,426.719 ,35.916 ,10.649 ,47.388 ,6.443 ,1.903 ,199.241 ,3.476 ,53.797 ,3.906 ,64.000 ,11.559 ,6.226 ,5.333 ,0 ,0 ,6.706 ,361.676 ,63.124 ,22.592 ,40.532 ,203.660 ,0 ,0 ,4.210 ,0 ,0 ,199.449 ,55.621 ,55.621 ,39.271 ,0 ,5.496 ,2.704 ,31.072 ,0 ,325.242 ,325.242 ,15.135 ,0 ,6.180 ,0 ,219.621 ,51.018 ,467 ,0 ,32.820 ,11.254 ,11.254 ,0 ,0 ,11.254 ,0 ,0 ,0 ,0 ,0 ,0 ,32.778 
40.,GORNJI PETROVCI,2.053.539 ,297.688 ,102.967 ,14.518 ,180.204 ,56.322 ,6.593 ,16.024 ,25.551 ,3.864 ,39.150 ,0 ,563 ,0 ,32.136 ,0 ,0 ,0 ,0 ,0 ,0 ,759.293 ,277.692 ,0 ,277.692 ,188.020 ,54.089 ,0 ,24.967 ,0 ,0 ,108.963 ,112.068 ,112.068 ,181.514 ,54.832 ,0 ,5.204 ,121.478 ,0 ,985.082 ,985.082 ,33.075 ,0 ,80.938 ,835 ,132.983 ,666.692 ,3.731 ,0 ,66.829 ,11.476 ,11.476 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.476 ,0 ,21.207 
41.,GRAD,1.310.011 ,747.705 ,78.898 ,36.434 ,615.682 ,74.750 ,24.311 ,37.289 ,5.170 ,1.231 ,325.351 ,5.241 ,459 ,1.052 ,140.828 ,0 ,0 ,0 ,0 ,0 ,16.692 ,338.199 ,105.675 ,0 ,105.675 ,84.172 ,0 ,0 ,0 ,0 ,0 ,84.172 ,51.715 ,51.715 ,96.637 ,2.429 ,11.325 ,8.262 ,74.620 ,0 ,223.435 ,223.435 ,12.936 ,818 ,76.540 ,3.668 ,41.567 ,33.625 ,11.622 ,0 ,42.660 ,672 ,672 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,672 ,0 ,20.906 
42.,GROSUPLJE,7.873.160 ,1.012.869 ,359.435 ,52.074 ,508.350 ,85.098 ,72.179 ,60.904 ,42.318 ,638 ,27.842 ,48.206 ,0 ,17.581 ,153.585 ,78.176 ,62.978 ,0 ,15.198 ,0 ,14.835 ,2.898.114 ,0 ,0 ,0 ,224.332 ,2.228 ,6.372 ,0 ,0 ,2.086 ,213.645 ,377.746 ,377.746 ,2.296.036 ,243.949 ,67.593 ,6.092 ,1.978.401 ,0 ,2.812.402 ,2.812.402 ,546.824 ,0 ,169.446 ,1.218 ,813.003 ,315.018 ,845.376 ,0 ,121.516 ,1.149.775 ,1.149.775 ,108.509 ,0 ,60.808 ,821.470 ,0 ,2.921 ,24.495 ,131.572 ,0 ,195.539 
43.,HAJDINA,1.572.926 ,484.990 ,77.892 ,10.904 ,396.194 ,31.735 ,547 ,42.268 ,2.141 ,10.816 ,167.468 ,1.627 ,225 ,3.489 ,135.879 ,0 ,0 ,0 ,0 ,0 ,0 ,500.467 ,37.444 ,0 ,37.444 ,214.564 ,0 ,0 ,0 ,0 ,1.669 ,212.894 ,156.259 ,156.259 ,92.201 ,0 ,23.281 ,0 ,68.920 ,0 ,546.036 ,546.036 ,29.210 ,0 ,16.412 ,17.213 ,299.574 ,53.217 ,21.737 ,0 ,108.671 ,41.433 ,41.433 ,0 ,0 ,28.914 ,0 ,0 ,0 ,0 ,12.519 ,0 ,127.316 
44.,HOČE - SLIVNICA,4.002.024 ,685.270 ,257.478 ,35.558 ,371.319 ,75.747 ,0 ,164.384 ,4.281 ,5.596 ,30.062 ,1.531 ,0 ,9.623 ,80.095 ,935 ,935 ,0 ,0 ,0 ,19.980 ,1.867.063 ,184.055 ,0 ,184.055 ,172.016 ,0 ,0 ,0 ,0 ,0 ,172.016 ,173.711 ,173.711 ,1.337.281 ,0 ,38.024 ,0 ,1.299.257 ,0 ,998.172 ,998.172 ,0 ,18.040 ,16.817 ,0 ,71.570 ,617.464 ,44.888 ,0 ,229.394 ,451.519 ,451.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,451.519 ,0 ,-5.813 
45.,HODOŠ,362.177 ,74.245 ,30.892 ,4.231 ,39.121 ,12.819 ,6.506 ,4.094 ,4.127 ,1.907 ,1.557 ,0 ,0 ,0 ,8.112 ,0 ,0 ,0 ,0 ,0 ,0 ,108.713 ,28.681 ,0 ,28.681 ,24.395 ,14.109 ,388 ,2.875 ,0 ,0 ,7.023 ,24.975 ,24.975 ,30.663 ,6.247 ,0 ,447 ,23.969 ,0 ,163.487 ,163.487 ,0 ,0 ,2.600 ,188 ,76.110 ,73.318 ,2.086 ,0 ,9.185 ,15.732 ,15.732 ,0 ,0 ,15.732 ,0 ,0 ,0 ,0 ,0 ,0 ,13.871 
46.,HORJUL,1.471.399 ,224.412 ,44.871 ,6.284 ,164.910 ,25.267 ,584 ,35.603 ,739 ,3.009 ,70.539 ,0 ,0 ,1.536 ,27.633 ,0 ,0 ,0 ,0 ,0 ,8.346 ,374.620 ,19.559 ,0 ,19.559 ,237.498 ,0 ,9.180 ,10.420 ,0 ,0 ,217.898 ,39.927 ,39.927 ,77.637 ,0 ,6.322 ,0 ,71.315 ,0 ,823.544 ,823.544 ,0 ,0 ,492 ,3.793 ,767.948 ,8.417 ,27.608 ,0 ,15.285 ,48.823 ,48.823 ,0 ,0 ,40.073 ,0 ,0 ,0 ,0 ,8.751 ,0 ,-138.696 
47.,HRASTNIK,4.946.449 ,1.315.139 ,330.608 ,46.545 ,894.596 ,263.324 ,542 ,97.200 ,3.230 ,6.702 ,400.935 ,7.628 ,5.884 ,14.906 ,94.246 ,26.698 ,142 ,0 ,26.557 ,0 ,16.692 ,1.699.520 ,26.736 ,0 ,26.736 ,705.976 ,0 ,0 ,3.547 ,0 ,24.011 ,678.418 ,196.332 ,196.332 ,770.477 ,2.149 ,59.961 ,12.527 ,695.840 ,0 ,1.547.384 ,1.547.384 ,352.479 ,0 ,15.402 ,5.216 ,559.602 ,393.732 ,41.441 ,0 ,179.511 ,384.406 ,384.406 ,58.212 ,0 ,0 ,194.291 ,0 ,10.779 ,0 ,121.123 ,0 ,-197.083 
48.,HRPELJE - KOZINA,1.817.201 ,339.226 ,132.069 ,17.914 ,189.242 ,31.839 ,7.616 ,17.585 ,0 ,6.138 ,30.091 ,204 ,0 ,3.797 ,91.971 ,0 ,0 ,0 ,0 ,0 ,0 ,1.057.816 ,101.031 ,43.515 ,57.515 ,243.490 ,1.135 ,0 ,16.141 ,0 ,0 ,226.214 ,98.360 ,98.360 ,614.935 ,88.015 ,17.251 ,6.852 ,502.817 ,0 ,394.183 ,394.183 ,0 ,1.803 ,7.011 ,0 ,341.450 ,0 ,4.494 ,0 ,39.426 ,25.976 ,25.976 ,0 ,0 ,6.259 ,0 ,0 ,0 ,0 ,19.717 ,0 ,101.815 
49.,IDRIJA,5.348.022 ,973.565 ,256.218 ,37.932 ,647.275 ,408.521 ,3.326 ,74.320 ,6.781 ,7.728 ,58.346 ,2.316 ,0 ,11.960 ,73.978 ,6.301 ,6.301 ,0 ,0 ,0 ,25.839 ,3.754.870 ,19.763 ,0 ,19.763 ,74.082 ,0 ,0 ,0 ,0 ,1.911 ,72.171 ,6.877 ,6.877 ,3.654.148 ,834.735 ,27.266 ,0 ,2.792.147 ,0 ,315.690 ,315.690 ,25.038 ,0 ,17.902 ,0 ,0 ,272.751 ,0 ,0 ,0 ,303.898 ,303.898 ,75.113 ,0 ,0 ,0 ,9.748 ,0 ,0 ,219.037 ,0 ,-17.530 
50.,IG,2.413.933 ,520.143 ,72.058 ,52.600 ,382.874 ,70.293 ,5.621 ,57.190 ,2.328 ,2.153 ,178.768 ,0 ,0 ,0 ,66.521 ,0 ,0 ,0 ,0 ,0 ,12.611 ,761.718 ,11.597 ,0 ,11.597 ,395.856 ,0 ,0 ,41.441 ,0 ,0 ,354.415 ,96.854 ,96.854 ,257.411 ,0 ,27.662 ,0 ,229.749 ,0 ,1.074.512 ,1.074.512 ,0 ,17.176 ,34.961 ,0 ,856.076 ,95.477 ,23.857 ,0 ,46.966 ,57.561 ,57.561 ,0 ,0 ,36.868 ,0 ,0 ,0 ,0 ,20.694 ,0 ,1.268.173 
51.,ILIRSKA BISTRICA,6.512.164 ,1.398.915 ,278.088 ,39.509 ,1.066.107 ,86.551 ,3.388 ,235.695 ,5.951 ,538 ,534.552 ,1.490 ,0 ,0 ,197.943 ,13.333 ,7.127 ,0 ,6.205 ,0 ,1.878 ,2.294.316 ,66.654 ,0 ,66.654 ,544.429 ,0 ,0 ,0 ,0 ,14.785 ,529.644 ,119.654 ,119.654 ,1.563.579 ,100.855 ,73.393 ,17.046 ,1.372.283 ,0 ,2.386.905 ,2.386.905 ,0 ,0 ,28.251 ,26.732 ,1.863.070 ,46.207 ,275.221 ,0 ,147.425 ,432.027 ,432.027 ,171.762 ,0 ,39.943 ,142.222 ,0 ,21.804 ,709 ,55.588 ,0 ,-228.368 
52.,IVANČNA GORICA,4.684.443 ,795.093 ,227.274 ,32.762 ,501.110 ,56.439 ,1.072 ,24.983 ,5.158 ,851 ,201.498 ,9.998 ,0 ,9.151 ,191.959 ,534 ,0 ,0 ,534 ,0 ,33.413 ,2.046.833 ,40.482 ,0 ,40.482 ,1.231.777 ,0 ,0 ,6.113 ,0 ,0 ,1.225.664 ,279.728 ,279.728 ,494.846 ,131.092 ,53.017 ,0 ,310.737 ,0 ,1.613.428 ,1.613.428 ,105.613 ,0 ,10.641 ,2.287 ,1.235.445 ,95.852 ,54.511 ,0 ,109.080 ,229.089 ,229.089 ,31.293 ,0 ,100.851 ,0 ,0 ,0 ,0 ,96.945 ,0 ,533.943 
53.,IZOLA,10.965.352 ,2.233.225 ,924.241 ,126.915 ,1.128.401 ,295.936 ,2.078 ,141.141 ,19.367 ,26.828 ,122.233 ,9.406 ,13.036 ,44.650 ,453.726 ,11.939 ,0 ,0 ,11.939 ,0 ,41.729 ,3.141.454 ,248.648 ,0 ,248.648 ,141.779 ,0 ,0 ,0 ,0 ,0 ,141.779 ,441.984 ,441.984 ,2.309.043 ,45.038 ,99.387 ,37.919 ,2.126.698 ,0 ,5.129.949 ,5.129.949 ,352.495 ,11.814 ,146.261 ,2.107 ,3.635.658 ,347.338 ,77.291 ,0 ,556.985 ,460.724 ,460.724 ,20.481 ,0 ,0 ,180.462 ,0 ,20.468 ,104.982 ,134.331 ,0 ,-1.758.087 
54.,JESENICE,9.243.624 ,2.702.913 ,669.141 ,95.343 ,1.840.711 ,290.281 ,1.473 ,160.966 ,10.507 ,10.303 ,1.012.698 ,13.595 ,0 ,31.143 ,309.744 ,14.259 ,0 ,0 ,14.259 ,0 ,83.459 ,3.773.736 ,40.160 ,0 ,40.160 ,1.727.483 ,14.743 ,0 ,129.319 ,0 ,1.118 ,1.582.303 ,83.137 ,83.137 ,1.922.955 ,34.080 ,0 ,56.155 ,1.832.720 ,0 ,2.408.901 ,2.408.901 ,0 ,14.760 ,41.921 ,15.269 ,1.921.161 ,321.674 ,76.999 ,0 ,17.117 ,358.075 ,358.075 ,6.067 ,0 ,0 ,10.653 ,0 ,0 ,17.101 ,324.253 ,0 ,-67.105 
55.,JEZERSKO,493.111 ,141.245 ,14.647 ,2.212 ,115.340 ,26.673 ,46 ,11.355 ,2.283 ,3.630 ,31.497 ,29 ,0 ,559 ,39.267 ,0 ,0 ,0 ,0 ,0 ,9.047 ,112.147 ,4.703 ,0 ,4.703 ,47.525 ,0 ,601 ,0 ,0 ,0 ,46.925 ,15.039 ,15.039 ,44.880 ,0 ,1.273 ,0 ,43.607 ,0 ,235.979 ,235.979 ,104.678 ,0 ,6.059 ,1.477 ,90.899 ,14.196 ,2.182 ,0 ,16.487 ,3.739 ,3.739 ,0 ,0 ,3.706 ,0 ,0 ,0 ,0 ,33 ,0 ,-51.277 
56.,JURŠINCI,1.023.919 ,177.979 ,47.079 ,6.410 ,119.901 ,16.007 ,2.082 ,15.953 ,0 ,2.775 ,50.492 ,0 ,0 ,1.360 ,31.230 ,0 ,0 ,0 ,0 ,0 ,4.590 ,313.817 ,28.509 ,0 ,28.509 ,166.679 ,0 ,0 ,0 ,0 ,0 ,166.679 ,32.937 ,32.937 ,85.691 ,23.356 ,27.967 ,0 ,34.368 ,0 ,523.702 ,523.702 ,0 ,0 ,5.955 ,0 ,463.278 ,33.404 ,0 ,0 ,21.065 ,8.421 ,8.421 ,0 ,0 ,8.421 ,0 ,0 ,0 ,0 ,0 ,0 ,4.323 
57.,KAMNIK,10.357.294 ,1.873.085 ,645.268 ,92.927 ,1.044.496 ,201.895 ,147.567 ,67.556 ,7.515 ,8.100 ,98.402 ,16.550 ,18.745 ,32.828 ,445.339 ,6.009 ,6.009 ,0 ,0 ,0 ,84.385 ,4.919.058 ,115.932 ,0 ,115.932 ,2.058.696 ,0 ,0 ,0 ,0 ,0 ,2.058.696 ,561.008 ,561.008 ,2.183.421 ,159.410 ,134.982 ,37.548 ,1.851.481 ,0 ,2.525.939 ,2.525.939 ,0 ,22.943 ,53.660 ,0 ,1.605.183 ,602.788 ,43.394 ,0 ,197.972 ,1.039.213 ,1.039.213 ,0 ,0 ,44.650 ,0 ,0 ,298.093 ,0 ,696.470 ,0 ,137.548 
58.,KANAL,3.269.918 ,927.850 ,174.890 ,24.273 ,712.913 ,40.229 ,12.467 ,92.433 ,4.045 ,5.112 ,397.979 ,9.046 ,924 ,7.739 ,142.939 ,0 ,0 ,0 ,0 ,0 ,15.774 ,1.096.318 ,37.967 ,0 ,37.967 ,283.477 ,0 ,0 ,0 ,0 ,0 ,283.477 ,201.763 ,201.763 ,573.111 ,27.390 ,31.257 ,6.259 ,508.205 ,0 ,1.157.569 ,1.157.569 ,0 ,0 ,58.924 ,0 ,878.341 ,77.734 ,4.917 ,0 ,137.654 ,88.181 ,88.181 ,1.254 ,0 ,18.570 ,0 ,0 ,0 ,0 ,68.357 ,0 ,-259.332 
59.,KIDRIČEVO,2.176.832 ,678.380 ,146.799 ,20.606 ,498.773 ,48.001 ,2.696 ,141.320 ,3.664 ,4.369 ,158.997 ,876 ,0 ,0 ,138.850 ,0 ,0 ,0 ,0 ,0 ,12.202 ,843.515 ,23.907 ,0 ,23.907 ,458.851 ,0 ,0 ,0 ,0 ,0 ,458.851 ,154.419 ,154.419 ,206.339 ,0 ,43.799 ,0 ,162.540 ,0 ,529.632 ,529.632 ,22.258 ,0 ,51.089 ,0 ,337.924 ,39.246 ,0 ,0 ,79.115 ,125.305 ,125.305 ,12.001 ,0 ,35.053 ,26.544 ,0 ,0 ,4.173 ,47.534 ,0 ,833.809 
60.,KOBARID,3.159.802 ,865.248 ,214.868 ,34.164 ,596.941 ,86.918 ,0 ,154.348 ,1.723 ,7.553 ,175.739 ,98.302 ,0 ,6.806 ,65.553 ,11.905 ,11.905 ,0 ,0 ,0 ,7.369 ,796.132 ,25.588 ,0 ,25.588 ,256.564 ,0 ,334 ,15.006 ,0 ,0 ,241.224 ,80.333 ,80.333 ,433.646 ,30.767 ,13.341 ,0 ,389.538 ,0 ,741.867 ,741.867 ,32.436 ,0 ,8.563 ,18.778 ,279.039 ,350.292 ,41.116 ,0 ,11.642 ,756.556 ,756.556 ,7.632 ,0 ,0 ,605.212 ,0 ,0 ,0 ,143.711 ,0 ,-141.792 
61.,KOBILJE,421.286 ,115.553 ,36.021 ,3.906 ,59.431 ,5.525 ,5.638 ,17.313 ,1.185 ,2.942 ,12.832 ,79 ,0 ,651 ,13.266 ,13.996 ,7.783 ,6.213 ,0 ,0 ,2.199 ,168.745 ,0 ,0 ,0 ,65.494 ,0 ,1.878 ,0 ,0 ,0 ,63.616 ,20.506 ,20.506 ,82.745 ,0 ,1.986 ,572 ,80.187 ,0 ,136.989 ,136.989 ,0 ,0 ,597 ,0 ,112.882 ,23.510 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18.357 
62.,KOČEVJE,7.704.874 ,1.937.356 ,440.035 ,63.278 ,1.410.754 ,149.003 ,65.707 ,138.249 ,14.067 ,4.453 ,575.225 ,497 ,267.639 ,20.723 ,175.192 ,17.030 ,17.030 ,0 ,0 ,0 ,6.259 ,2.799.332 ,173.660 ,0 ,173.660 ,425.501 ,0 ,29.419 ,1.385 ,284 ,12.940 ,381.472 ,270.990 ,270.990 ,1.929.181 ,31.881 ,133.100 ,32.157 ,1.732.044 ,0 ,2.090.757 ,2.090.757 ,0 ,14.814 ,116.809 ,1.586 ,1.481.076 ,248.869 ,21.328 ,0 ,206.276 ,877.429 ,877.429 ,94.362 ,0 ,72.793 ,550.851 ,0 ,4.173 ,0 ,155.250 ,0 ,57.553 
63.,KOMEN,1.930.416 ,511.150 ,96.929 ,14.163 ,303.247 ,33.826 ,175 ,67.802 ,0 ,6.226 ,53.810 ,0 ,0 ,5.258 ,136.150 ,90.553 ,1.469 ,0 ,89.084 ,0 ,6.259 ,809.418 ,5.320 ,3.797 ,1.523 ,382.244 ,0 ,0 ,104 ,0 ,0 ,382.140 ,95.280 ,95.280 ,326.573 ,117.426 ,12.231 ,0 ,196.916 ,0 ,567.593 ,567.593 ,5.909 ,0 ,16.041 ,0 ,157.987 ,364.084 ,0 ,0 ,23.573 ,42.255 ,42.255 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42.255 ,0 ,-36.688 
64.,KOMENDA,1.952.495 ,337.531 ,132.503 ,19.008 ,152.053 ,31.410 ,822 ,18.678 ,4.569 ,3.355 ,10.320 ,0 ,50 ,0 ,82.849 ,17.514 ,17.514 ,0 ,0 ,0 ,16.454 ,778.368 ,36.768 ,0 ,36.768 ,331.831 ,0 ,0 ,0 ,0 ,0 ,331.831 ,106.764 ,106.764 ,303.005 ,0 ,17.209 ,0 ,285.795 ,0 ,790.252 ,790.252 ,0 ,14.605 ,85.971 ,0 ,575.058 ,12.811 ,53.071 ,0 ,48.736 ,46.345 ,46.345 ,0 ,0 ,26.707 ,0 ,0 ,0 ,0 ,19.638 ,0 ,4.690 
65.,MESTNA OBČINA KOPER,30.227.066 ,4.003.534 ,1.622.742 ,226.114 ,1.954.611 ,251.652 ,15.494 ,136.572 ,56.155 ,31.476 ,377.299 ,31.180 ,0 ,71.728 ,983.054 ,116.713 ,49.858 ,0 ,66.854 ,0 ,83.354 ,14.951.189 ,1.290.256 ,2.717 ,1.287.540 ,1.781.656 ,0 ,0 ,0 ,0 ,0 ,1.781.656 ,1.596.282 ,1.596.282 ,10.282.995 ,359.819 ,290.966 ,990.127 ,8.642.084 ,0 ,10.768.165 ,10.768.165 ,465.970 ,16.537 ,590.920 ,38.983 ,6.516.579 ,1.832.386 ,378.572 ,19.337 ,908.880 ,504.177 ,504.177 ,2.475 ,41.717 ,80.988 ,1.669 ,0 ,94.246 ,0 ,283.083 ,0 ,2.389.831 
66.,KOSTEL,377.462 ,199.950 ,90.231 ,4.603 ,104.816 ,36.826 ,3.898 ,19.463 ,0 ,6.998 ,28.534 ,2.758 ,0 ,0 ,6.339 ,300 ,0 ,0 ,300 ,0 ,0 ,112.510 ,0 ,0 ,0 ,70.915 ,0 ,0 ,342 ,0 ,0 ,70.573 ,16.020 ,16.020 ,25.576 ,0 ,0 ,0 ,25.576 ,0 ,65.002 ,65.002 ,0 ,0 ,1.277 ,9.377 ,51.949 ,2.086 ,313 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-146 
67.,KOZJE,1.687.940 ,173.986 ,97.133 ,14.142 ,55.199 ,16.112 ,0 ,11.192 ,0 ,2.224 ,2.383 ,0 ,0 ,3.455 ,19.834 ,0 ,0 ,0 ,0 ,0 ,7.511 ,909.690 ,261.880 ,0 ,261.880 ,190.661 ,42.747 ,0 ,79.565 ,0 ,0 ,68.348 ,63.562 ,63.562 ,393.586 ,33.367 ,17.835 ,0 ,342.384 ,0 ,544.763 ,544.763 ,0 ,0 ,0 ,0 ,377.758 ,148.744 ,0 ,0 ,18.261 ,59.502 ,59.502 ,0 ,0 ,0 ,38.925 ,0 ,0 ,0 ,20.577 ,0 ,16.475 
68.,MESTNA OBČINA KRANJ,24.290.219 ,6.643.223 ,1.189.013 ,169.934 ,5.159.089 ,626.573 ,94.233 ,390.907 ,26.719 ,9.047 ,1.662.410 ,68.507 ,1.853.167 ,58.108 ,369.417 ,0 ,0 ,0 ,0 ,0 ,125.188 ,9.482.319 ,273.802 ,0 ,273.802 ,3.416.955 ,0 ,0 ,10.432 ,0 ,11.705 ,3.394.817 ,494.004 ,494.004 ,5.297.559 ,276.114 ,213.583 ,157.661 ,4.650.200 ,0 ,6.303.188 ,6.303.188 ,78.317 ,20.297 ,249.662 ,4.115 ,1.203.952 ,1.569.266 ,2.581.927 ,0 ,595.652 ,1.861.488 ,1.861.488 ,343.603 ,0 ,160.144 ,431.514 ,0 ,0 ,1.461 ,924.766 ,0 ,1.852.249 
