35.,DUPLEK,2.257.407 ,1.086.217 ,931.994 ,728.376 ,728.376 ,73.877 ,42.969 ,0 ,3.722 ,27.187 ,129.740 ,718 ,0 ,0 ,129.023 ,0 ,0 ,154.223 ,47.367 ,5.696 ,8 ,31.977 ,9.685 ,13.403 ,13.403 ,492 ,492 ,33 ,33 ,92.927 ,92.927 ,10.295 ,0 ,0 ,0 ,0 ,0 ,0 ,10.295 ,0 ,10.295 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.160.896 ,1.160.896 ,1.160.896 ,0 ,0 ,0 
36.,GORENJA VAS - POLJANE,3.007.186 ,1.453.084 ,1.162.035 ,880.383 ,880.383 ,232.791 ,205.663 ,0 ,2.199 ,24.929 ,48.861 ,2.070 ,0 ,0 ,46.791 ,0 ,0 ,291.049 ,97.509 ,0 ,2.174 ,68.332 ,27.003 ,16.583 ,16.583 ,634 ,634 ,142.864 ,142.864 ,33.459 ,33.459 ,16.779 ,0 ,0 ,0 ,0 ,0 ,0 ,16.779 ,16.779 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.537.323 ,1.537.323 ,1.533.087 ,4.236 ,0 ,0 
37.,GORIŠNICA,3.029.740 ,1.489.088 ,1.072.626 ,579.757 ,579.757 ,484.977 ,472.117 ,0 ,492 ,12.369 ,7.891 ,647 ,0 ,4.999 ,2.245 ,0 ,0 ,416.462 ,37.798 ,0 ,0 ,11.183 ,26.615 ,18.106 ,18.106 ,21 ,21 ,0 ,0 ,360.537 ,360.537 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.540.653 ,1.540.653 ,1.540.653 ,0 ,0 ,0 
38.,GORNJA RADGONA,6.053.914 ,3.113.537 ,2.101.582 ,1.565.252 ,1.565.252 ,310.361 ,260.082 ,0 ,3.155 ,47.125 ,225.968 ,15.744 ,0 ,0 ,210.224 ,0 ,0 ,1.011.955 ,432.728 ,0 ,0 ,106.602 ,326.127 ,30.183 ,30.183 ,1.945 ,1.945 ,464.292 ,464.292 ,82.808 ,82.808 ,69.776 ,41.729 ,41.729 ,0 ,0 ,0 ,0 ,28.046 ,0 ,28.046 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.870.602 ,2.870.602 ,2.773.452 ,28.797 ,0 ,68.353 
39.,GORNJI GRAD,1.276.231 ,418.119 ,369.755 ,283.751 ,283.751 ,40.398 ,31.143 ,0 ,3.626 ,5.629 ,45.606 ,267 ,0 ,0 ,45.339 ,0 ,0 ,48.364 ,27.170 ,0 ,17 ,250 ,26.903 ,6.222 ,6.222 ,38 ,38 ,0 ,0 ,14.935 ,14.935 ,5.233 ,5.233 ,5.233 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.173 ,4.173 ,4.173 ,0 ,0 ,0 ,0 ,848.706 ,848.706 ,836.605 ,0 ,0 ,12.101 
40.,GORNJI PETROVCI,2.074.745 ,246.332 ,197.350 ,184.944 ,184.944 ,7.369 ,2.883 ,0 ,4.419 ,67 ,5.037 ,246 ,0 ,0 ,4.791 ,0 ,0 ,48.982 ,19.208 ,0 ,0 ,526 ,18.682 ,7.198 ,7.198 ,267 ,267 ,0 ,0 ,22.308 ,22.308 ,1.415 ,0 ,0 ,0 ,0 ,0 ,0 ,1.415 ,1.415 ,0 ,0 ,2.779 ,2.779 ,0 ,2.779 ,0 ,0 ,0 ,1.824.220 ,1.824.220 ,1.529.498 ,21.708 ,0 ,273.014 
41.,GRAD,1.330.917 ,639.200 ,260.240 ,124.111 ,124.111 ,1.582 ,4 ,0 ,154 ,1.423 ,134.548 ,130.300 ,0 ,0 ,4.248 ,0 ,0 ,378.960 ,92.964 ,0 ,0 ,3.802 ,89.163 ,8.250 ,8.250 ,21 ,21 ,171.086 ,171.086 ,106.639 ,106.639 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,691.717 ,691.717 ,655.404 ,0 ,0 ,36.313 
42.,GROSUPLJE,8.068.699 ,6.880.141 ,4.501.298 ,3.718.307 ,3.718.307 ,684.644 ,446.186 ,0 ,14.472 ,223.986 ,98.348 ,20.030 ,0 ,0 ,78.317 ,0 ,0 ,2.378.843 ,136.183 ,0 ,54 ,11.037 ,125.092 ,47.793 ,47.793 ,54 ,54 ,87.039 ,87.039 ,2.107.774 ,2.107.774 ,759.836 ,211.025 ,211.025 ,0 ,0 ,0 ,0 ,548.811 ,0 ,548.811 ,0 ,10.036 ,10.036 ,0 ,10.036 ,0 ,0 ,0 ,418.686 ,418.686 ,418.102 ,584 ,0 ,0 
43.,HAJDINA,1.700.242 ,1.607.924 ,1.469.888 ,556.097 ,556.097 ,843.599 ,835.299 ,0 ,943 ,7.357 ,70.193 ,2.041 ,0 ,2.345 ,65.807 ,0 ,0 ,138.036 ,22.742 ,0 ,0 ,19.926 ,2.817 ,7.006 ,7.006 ,25 ,25 ,1.765 ,1.765 ,106.497 ,106.497 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,92.318 ,92.318 ,92.318 ,0 ,0 ,0 
44.,HOČE - SLIVNICA,3.996.211 ,2.847.279 ,2.219.579 ,1.667.455 ,1.667.455 ,423.377 ,242.013 ,0 ,1.853 ,179.511 ,128.747 ,8.500 ,0 ,0 ,120.247 ,0 ,0 ,627.700 ,101.736 ,0 ,0 ,1.928 ,99.808 ,16.792 ,16.792 ,826 ,826 ,100.079 ,100.079 ,408.267 ,408.267 ,247.964 ,0 ,0 ,0 ,0 ,0 ,0 ,247.964 ,0 ,247.964 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,900.968 ,900.968 ,900.968 ,0 ,0 ,0 
45.,HODOŠ,376.047 ,102.950 ,35.249 ,16.466 ,16.466 ,10.954 ,10.879 ,0 ,75 ,0 ,7.828 ,63 ,0 ,0 ,7.766 ,0 ,0 ,67.702 ,5.658 ,0 ,0 ,5.600 ,58 ,1.390 ,1.390 ,0 ,0 ,0 ,0 ,60.653 ,60.653 ,1.582 ,1.582 ,1.582 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,45.764 ,45.764 ,3.797 ,41.967 ,0 ,0 ,0 ,225.751 ,225.751 ,202.132 ,0 ,0 ,23.619 
46.,HORJUL,1.332.703 ,673.711 ,561.922 ,498.252 ,498.252 ,51.577 ,37.915 ,0 ,2.625 ,11.037 ,12.093 ,1.218 ,0 ,0 ,10.875 ,0 ,0 ,111.789 ,52.404 ,0 ,0 ,29.978 ,22.425 ,4.757 ,4.757 ,288 ,288 ,0 ,0 ,54.340 ,54.340 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,658.993 ,658.993 ,537.419 ,121.574 ,0 ,0 
47.,HRASTNIK,4.749.366 ,3.431.806 ,3.042.322 ,1.908.559 ,1.908.559 ,750.129 ,701.256 ,0 ,8.045 ,40.828 ,383.634 ,46.345 ,0 ,0 ,337.289 ,0 ,0 ,389.484 ,286.713 ,0 ,4.140 ,13.161 ,269.412 ,29.031 ,29.031 ,0 ,0 ,3.368 ,3.368 ,70.372 ,70.372 ,96.916 ,84.702 ,84.702 ,0 ,0 ,0 ,0 ,12.214 ,0 ,12.214 ,0 ,44.859 ,44.859 ,626 ,44.233 ,0 ,0 ,0 ,1.175.785 ,1.175.785 ,1.173.936 ,1.849 ,0 ,0 
48.,HRPELJE - KOZINA,1.919.016 ,1.653.802 ,1.139.038 ,861.805 ,861.805 ,169.120 ,127.721 ,0 ,12.156 ,29.244 ,108.112 ,26.373 ,0 ,0 ,81.739 ,0 ,0 ,514.764 ,355.083 ,0 ,2.625 ,36.279 ,316.178 ,12.485 ,12.485 ,0 ,0 ,0 ,0 ,147.196 ,147.196 ,149.620 ,11.234 ,11.234 ,0 ,0 ,0 ,0 ,138.387 ,0 ,136.113 ,2.274 ,417 ,417 ,417 ,0 ,0 ,0 ,0 ,115.177 ,115.177 ,111.421 ,3.756 ,0 ,0 
49.,IDRIJA,5.330.492 ,4.477.833 ,3.659.802 ,3.090.452 ,3.090.452 ,393.528 ,306.777 ,0 ,1.761 ,84.990 ,175.822 ,7.958 ,0 ,0 ,167.864 ,0 ,0 ,818.031 ,626.039 ,0 ,4.048 ,50.100 ,571.891 ,32.086 ,32.086 ,8.988 ,8.988 ,9.660 ,9.660 ,141.258 ,141.258 ,29.261 ,27.454 ,27.454 ,0 ,0 ,0 ,0 ,1.807 ,0 ,1.807 ,0 ,3.831 ,3.831 ,3.831 ,0 ,0 ,0 ,0 ,819.567 ,819.567 ,729.841 ,84.318 ,0 ,5.408 
50.,IG,3.682.106 ,2.400.121 ,1.337.202 ,1.147.246 ,1.147.246 ,156.593 ,85.583 ,0 ,7.236 ,63.775 ,33.363 ,1.198 ,0 ,0 ,32.165 ,0 ,0 ,1.062.919 ,132.240 ,0 ,0 ,97.880 ,34.360 ,10.199 ,10.199 ,538 ,538 ,36.592 ,36.592 ,883.350 ,883.350 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.837 ,13.837 ,2.116 ,11.722 ,0 ,0 ,0 ,1.268.148 ,1.268.148 ,1.257.716 ,0 ,0 ,10.432 
51.,ILIRSKA BISTRICA,6.283.797 ,3.832.703 ,3.181.668 ,2.451.669 ,2.451.669 ,376.607 ,284.919 ,0 ,30.512 ,61.175 ,353.393 ,53.885 ,0 ,0 ,299.508 ,0 ,0 ,651.035 ,474.541 ,0 ,2.566 ,166.195 ,305.780 ,46.987 ,46.987 ,3.222 ,3.222 ,5.821 ,5.821 ,120.464 ,120.464 ,101.168 ,73.068 ,71.979 ,1.047 ,42 ,0 ,0 ,28.100 ,3.960 ,24.140 ,0 ,27.913 ,27.913 ,27.913 ,0 ,0 ,0 ,0 ,2.322.012 ,2.322.012 ,2.322.012 ,0 ,0 ,0 
52.,IVANČNA GORICA,5.218.386 ,3.425.743 ,2.708.200 ,2.231.151 ,2.231.151 ,271.804 ,90.982 ,13 ,13.207 ,167.601 ,205.245 ,2.370 ,0 ,0 ,202.875 ,0 ,0 ,717.543 ,361.492 ,0 ,0 ,337.598 ,23.894 ,31.835 ,31.835 ,509 ,509 ,17.017 ,17.017 ,306.689 ,306.689 ,46.107 ,0 ,0 ,0 ,0 ,0 ,0 ,46.107 ,46.107 ,0 ,0 ,46.883 ,46.883 ,0 ,46.883 ,0 ,0 ,0 ,1.699.654 ,1.699.654 ,1.699.654 ,0 ,0 ,0 
53.,IZOLA,9.207.265 ,7.284.740 ,5.533.279 ,3.497.471 ,3.497.471 ,986.451 ,447.004 ,839 ,25.209 ,513.399 ,1.048.944 ,130.729 ,0 ,0 ,918.215 ,413 ,413 ,1.751.461 ,768.895 ,0 ,242 ,136.834 ,631.819 ,49.775 ,49.775 ,79.544 ,79.544 ,188.149 ,188.149 ,665.098 ,665.098 ,1.181.597 ,700.551 ,700.551 ,0 ,0 ,0 ,0 ,481.047 ,0 ,481.047 ,0 ,37.556 ,37.556 ,37.556 ,0 ,0 ,0 ,0 ,703.372 ,703.372 ,676.256 ,15.440 ,0 ,11.676 
54.,JESENICE,9.176.519 ,5.951.056 ,4.149.024 ,2.928.701 ,2.928.701 ,843.186 ,575.851 ,29 ,16.233 ,251.072 ,377.137 ,98.414 ,0 ,0 ,278.722 ,0 ,0 ,1.802.032 ,1.583.605 ,0 ,8.826 ,54.916 ,1.519.863 ,45.798 ,45.798 ,4.728 ,4.728 ,39.459 ,39.459 ,128.443 ,128.443 ,309.372 ,200.576 ,197.513 ,2.979 ,83 ,0 ,0 ,108.797 ,0 ,108.797 ,0 ,55.642 ,55.642 ,0 ,55.642 ,0 ,0 ,0 ,2.860.449 ,2.860.449 ,2.841.220 ,0 ,0 ,19.229 
55.,JEZERSKO,441.834 ,224.374 ,176.456 ,128.785 ,128.785 ,22.930 ,17.626 ,0 ,1.294 ,4.010 ,24.741 ,175 ,0 ,0 ,24.566 ,0 ,0 ,47.918 ,10.190 ,0 ,467 ,1.761 ,7.962 ,1.778 ,1.778 ,0 ,0 ,392 ,392 ,35.558 ,35.558 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,217.460 ,217.460 ,171.720 ,41.567 ,0 ,4.173 
56.,JURŠINCI,1.028.242 ,218.745 ,171.311 ,121.173 ,121.173 ,28.643 ,25.004 ,0 ,325 ,3.313 ,21.495 ,0 ,0 ,2.370 ,19.125 ,0 ,0 ,47.434 ,2.875 ,0 ,0 ,797 ,2.078 ,5.533 ,5.533 ,288 ,288 ,100 ,100 ,38.637 ,38.637 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,484 ,484 ,0 ,484 ,0 ,0 ,0 ,809.014 ,809.014 ,786.275 ,20.952 ,0 ,1.786 
57.,KAMNIK,10.494.842 ,7.492.343 ,6.535.220 ,5.130.166 ,5.130.166 ,646.157 ,385.303 ,0 ,15.469 ,245.385 ,758.897 ,82.657 ,0 ,0 ,676.239 ,0 ,0 ,957.123 ,339.355 ,0 ,10.787 ,157.632 ,170.936 ,63.036 ,63.036 ,36.868 ,36.868 ,73.598 ,73.598 ,444.266 ,444.266 ,266.087 ,126.803 ,124.403 ,2.078 ,321 ,0 ,0 ,139.284 ,8.797 ,130.487 ,0 ,189.835 ,189.835 ,142 ,189.693 ,0 ,0 ,0 ,2.546.578 ,2.546.578 ,2.546.578 ,0 ,0 ,0 
58.,KANAL,3.010.586 ,2.923.724 ,2.307.279 ,1.249.429 ,1.249.429 ,977.796 ,946.221 ,0 ,6.974 ,24.601 ,80.054 ,1.209 ,0 ,0 ,78.846 ,0 ,0 ,616.444 ,541.225 ,3.012 ,0 ,18.731 ,519.481 ,17.051 ,17.051 ,80 ,80 ,49.935 ,49.935 ,8.154 ,8.154 ,10.393 ,10.393 ,6.064 ,4.329 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.204 ,1.204 ,1.204 ,0 ,0 ,0 ,0 ,75.266 ,75.266 ,69.708 ,0 ,0 ,5.557 
59.,KIDRIČEVO,3.010.641 ,1.534.272 ,1.298.715 ,887.131 ,887.131 ,176.235 ,147.233 ,0 ,2.654 ,26.348 ,235.349 ,1.782 ,0 ,7.027 ,226.540 ,0 ,0 ,235.558 ,205.329 ,0 ,0 ,154.557 ,50.772 ,12.193 ,12.193 ,88 ,88 ,175 ,175 ,17.772 ,17.772 ,360.161 ,5.546 ,5.546 ,0 ,0 ,0 ,0 ,354.615 ,0 ,354.615 ,0 ,430 ,430 ,430 ,0 ,0 ,0 ,0 ,1.115.778 ,1.115.778 ,1.040.799 ,56.109 ,0 ,18.870 
60.,KOBARID,3.018.010 ,1.491.208 ,1.261.346 ,775.246 ,775.246 ,71.991 ,44.158 ,0 ,12.006 ,15.828 ,414.109 ,377.032 ,0 ,296 ,36.780 ,0 ,0 ,229.861 ,213.424 ,2.262 ,0 ,321 ,210.841 ,15.256 ,15.256 ,75 ,75 ,0 ,0 ,1.106 ,1.106 ,38.282 ,34.773 ,34.773 ,0 ,0 ,0 ,0 ,3.509 ,0 ,3.509 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.488.520 ,1.488.520 ,1.401.365 ,0 ,0 ,87.156 
61.,KOBILJE,439.643 ,121.153 ,67.881 ,56.581 ,56.581 ,3.368 ,2.625 ,0 ,71 ,672 ,7.933 ,484 ,0 ,0 ,7.449 ,0 ,0 ,53.272 ,2.913 ,0 ,0 ,58 ,2.854 ,2.320 ,2.320 ,33 ,33 ,0 ,0 ,48.005 ,48.005 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.521 ,0 ,0 ,0 ,11.521 ,11.521 ,0 ,306.969 ,306.969 ,296.420 ,0 ,0 ,10.549 
62.,KOČEVJE,7.762.427 ,4.148.648 ,3.411.617 ,2.607.386 ,2.607.386 ,347.847 ,237.565 ,0 ,8.930 ,101.352 ,456.385 ,41.308 ,0 ,0 ,415.077 ,0 ,0 ,737.031 ,433.162 ,0 ,0 ,101.515 ,331.647 ,43.202 ,43.202 ,346 ,346 ,29.152 ,29.152 ,231.168 ,231.168 ,211.017 ,137.360 ,137.360 ,0 ,0 ,0 ,0 ,73.656 ,0 ,73.656 ,0 ,12.627 ,8.993 ,4.820 ,4.173 ,3.635 ,3.635 ,0 ,3.390.135 ,3.390.135 ,3.197.325 ,0 ,0 ,192.810 
63.,KOMEN,1.893.728 ,1.368.035 ,944.275 ,812.823 ,812.823 ,61.129 ,34.965 ,0 ,6.727 ,19.437 ,70.322 ,956 ,0 ,0 ,69.367 ,0 ,0 ,423.761 ,402.095 ,0 ,2.074 ,2.420 ,397.601 ,10.207 ,10.207 ,505 ,505 ,4.523 ,4.523 ,6.430 ,6.430 ,8.842 ,8.842 ,8.842 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,70.030 ,24.825 ,24.825 ,0 ,45.205 ,45.205 ,0 ,446.820 ,446.820 ,446.820 ,0 ,0 ,0 
64.,KOMENDA,1.957.186 ,1.259.802 ,1.138.637 ,926.410 ,926.410 ,92.785 ,42.042 ,0 ,3.576 ,47.167 ,119.442 ,2.729 ,0 ,0 ,116.713 ,0 ,0 ,121.165 ,37.210 ,0 ,1.803 ,325 ,35.082 ,11.872 ,11.872 ,555 ,555 ,2.220 ,2.220 ,69.308 ,69.308 ,457.937 ,126.110 ,123.264 ,2.804 ,42 ,0 ,0 ,331.827 ,0 ,331.827 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,239.447 ,239.447 ,234.635 ,0 ,0 ,4.811 
65.,MESTNA OBČINA KOPER,32.616.896 ,24.913.904 ,19.160.541 ,12.308.922 ,12.308.922 ,5.135.704 ,3.784.706 ,1.398 ,45.114 ,1.304.486 ,1.715.916 ,432.524 ,0 ,0 ,1.283.392 ,0 ,0 ,5.753.363 ,2.167.460 ,0 ,583.375 ,234.510 ,1.349.574 ,155.633 ,155.633 ,59.018 ,59.018 ,0 ,0 ,3.371.253 ,3.371.253 ,6.743.987 ,622.254 ,617.981 ,4.273 ,0 ,0 ,0 ,6.121.733 ,0 ,6.121.733 ,0 ,97.872 ,4.966 ,4.966 ,0 ,92.906 ,92.906 ,0 ,861.133 ,861.133 ,841.717 ,0 ,0 ,19.417 
66.,KOSTEL,377.316 ,178.885 ,118.978 ,97.630 ,97.630 ,5.809 ,4.273 ,0 ,117 ,1.419 ,15.540 ,0 ,0 ,0 ,15.540 ,0 ,0 ,59.907 ,8.784 ,0 ,0 ,88 ,8.696 ,3.030 ,3.030 ,0 ,0 ,2.712 ,2.712 ,45.381 ,45.381 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,198.431 ,198.431 ,198.431 ,0 ,0 ,0 
67.,KOZJE,1.704.415 ,565.319 ,473.085 ,346.073 ,346.073 ,42.096 ,30.838 ,284 ,3.918 ,7.056 ,84.915 ,647 ,0 ,0 ,84.268 ,0 ,0 ,92.234 ,29.999 ,0 ,0 ,1.123 ,28.877 ,10.637 ,10.637 ,814 ,814 ,0 ,0 ,50.785 ,50.785 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.139.096 ,1.139.096 ,1.139.096 ,0 ,0 ,0 
68.,MESTNA OBČINA KRANJ,26.142.468 ,23.278.372 ,17.925.951 ,12.849.812 ,12.849.812 ,3.971.353 ,2.269.250 ,0 ,40.765 ,1.661.338 ,1.104.786 ,189.902 ,0 ,0 ,914.885 ,0 ,0 ,5.352.420 ,1.434.569 ,0 ,20.639 ,467.230 ,946.699 ,111.964 ,111.964 ,109.026 ,109.026 ,220.739 ,220.739 ,3.476.123 ,3.476.123 ,2.647.083 ,1.398.786 ,1.390.820 ,4.348 ,3.618 ,0 ,0 ,1.248.297 ,0 ,1.248.297 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,217.013 ,217.013 ,177.641 ,39.372 ,0 ,0 
69.,KRANJSKA GORA,5.325.743 ,5.161.513 ,2.632.474 ,1.330.078 ,1.330.078 ,567.451 ,412.978 ,0 ,2.954 ,151.519 ,734.944 ,277.829 ,0 ,0 ,457.115 ,0 ,0 ,2.529.039 ,1.453.509 ,5.270 ,0 ,81.405 ,1.366.834 ,20.406 ,20.406 ,426 ,426 ,3.401 ,3.401 ,1.051.298 ,1.051.298 ,115.757 ,52.057 ,52.057 ,0 ,0 ,0 ,0 ,63.700 ,0 ,63.700 ,0 ,13.766 ,13.766 ,0 ,13.766 ,0 ,0 ,0 ,34.706 ,34.706 ,34.706 ,0 ,0 ,0 
70.,KRIŽEVCI,1.821.144 ,845.810 ,606.326 ,426.890 ,426.890 ,26.310 ,18.403 ,0 ,1.715 ,6.193 ,153.126 ,889 ,0 ,0 ,152.237 ,0 ,0 ,239.484 ,77.337 ,0 ,0 ,58.020 ,19.316 ,9.886 ,9.886 ,100 ,100 ,29.248 ,29.248 ,122.914 ,122.914 ,1.381 ,1.381 ,1.381 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,973.953 ,973.953 ,925.058 ,48.894 ,0 ,0 
71.,KRŠKO,15.748.398 ,11.545.068 ,6.918.791 ,4.997.292 ,4.997.292 ,1.340.911 ,1.139.284 ,0 ,38.207 ,163.420 ,580.575 ,42.376 ,0 ,1.878 ,536.321 ,13 ,13 ,4.626.277 ,394.884 ,0 ,0 ,8.112 ,386.772 ,65.169 ,65.169 ,1.828 ,1.828 ,14.931 ,14.931 ,4.149.466 ,4.149.466 ,518.632 ,218.895 ,214.580 ,1.878 ,2.007 ,430 ,0 ,299.737 ,124.829 ,174.908 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.684.698 ,3.684.698 ,3.594.613 ,0 ,0 ,90.085 
72.,KUNGOTA,1.950.409 ,911.058 ,753.551 ,567.923 ,567.923 ,83.459 ,62.502 ,17 ,2.166 ,18.774 ,102.170 ,438 ,0 ,0 ,101.732 ,0 ,0 ,157.507 ,45.810 ,2.095 ,0 ,384 ,43.332 ,10.729 ,10.729 ,25 ,25 ,0 ,0 ,100.943 ,100.943 ,8.513 ,417 ,417 ,0 ,0 ,0 ,0 ,8.095 ,0 ,8.095 ,0 ,103.080 ,103.080 ,64.626 ,38.454 ,0 ,0 ,0 ,927.758 ,927.758 ,927.758 ,0 ,0 ,0 
73.,KUZMA,847.976 ,208.592 ,96.937 ,91.642 ,91.642 ,643 ,0 ,0 ,33 ,609 ,4.653 ,0 ,0 ,0 ,4.653 ,0 ,0 ,111.655 ,23.832 ,0 ,0 ,5.750 ,18.081 ,13.362 ,13.362 ,0 ,0 ,0 ,0 ,74.462 ,74.462 ,18.010 ,0 ,0 ,0 ,0 ,0 ,0 ,18.010 ,0 ,18.010 ,0 ,18.707 ,18.707 ,18.707 ,0 ,0 ,0 ,0 ,602.667 ,602.667 ,602.667 ,0 ,0 ,0 
74.,LAŠKO,5.714.159 ,3.589.401 ,3.076.790 ,2.612.861 ,2.612.861 ,228.693 ,172.150 ,0 ,8.625 ,47.918 ,235.236 ,4.565 ,0 ,0 ,230.671 ,0 ,0 ,512.611 ,94.296 ,317 ,0 ,17.055 ,76.924 ,32.019 ,32.019 ,3.585 ,3.585 ,40.765 ,40.765 ,341.946 ,341.946 ,25.872 ,0 ,0 ,0 ,0 ,0 ,0 ,25.872 ,0 ,25.872 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.098.886 ,2.098.886 ,2.098.886 ,0 ,0 ,0 
75.,LENART,5.304.853 ,2.507.019 ,2.058.972 ,1.462.502 ,1.462.502 ,474.829 ,403.555 ,0 ,2.450 ,68.824 ,121.641 ,16.425 ,0 ,0 ,105.216 ,0 ,0 ,448.047 ,138.103 ,9.205 ,0 ,4.536 ,124.362 ,24.892 ,24.892 ,780 ,780 ,0 ,0 ,284.272 ,284.272 ,104.357 ,0 ,0 ,0 ,0 ,0 ,0 ,104.357 ,0 ,104.357 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.693.478 ,2.693.478 ,2.693.478 ,0 ,0 ,0 
76.,LENDAVA,5.276.198 ,3.316.533 ,2.929.928 ,1.758.671 ,1.758.671 ,94.851 ,30.734 ,593 ,8.575 ,54.949 ,1.076.406 ,15.724 ,0 ,0 ,1.060.683 ,0 ,0 ,386.605 ,94.437 ,0 ,0 ,13.954 ,80.483 ,24.962 ,24.962 ,13.529 ,13.529 ,17.364 ,17.364 ,236.313 ,236.313 ,130.258 ,57.144 ,56.076 ,1.068 ,0 ,0 ,0 ,73.114 ,65.231 ,7.883 ,0 ,10.958 ,10.224 ,0 ,10.224 ,734 ,0 ,734 ,1.818.449 ,1.818.449 ,1.818.449 ,0 ,0 ,0 
77.,LITIJA,7.557.190 ,4.185.583 ,3.995.873 ,3.226.385 ,3.226.385 ,515.269 ,378.155 ,0 ,10.032 ,127.082 ,254.219 ,3.735 ,10.795 ,0 ,239.689 ,0 ,0 ,189.710 ,59.352 ,0 ,12.039 ,9.952 ,37.360 ,44.254 ,44.254 ,1.106 ,1.106 ,3.284 ,3.284 ,81.714 ,81.714 ,114.659 ,108.112 ,107.995 ,0 ,117 ,0 ,0 ,6.547 ,0 ,6.547 ,0 ,125 ,125 ,125 ,0 ,0 ,0 ,0 ,3.256.823 ,3.256.823 ,3.136.463 ,41.729 ,0 ,78.630 
78.,MESTNA OBČINA LJUBLJANA,160.973.598 ,158.996.173 ,136.808.947 ,95.137.986 ,95.137.986 ,31.934.306 ,21.941.633 ,7.102 ,822.421 ,9.163.149 ,9.736.655 ,898.886 ,0 ,0 ,8.837.769 ,0 ,0 ,22.187.227 ,7.351.673 ,0 ,294.876 ,1.422.091 ,5.634.706 ,1.351.561 ,1.351.561 ,613.850 ,613.850 ,930.316 ,930.316 ,11.939.826 ,11.939.826 ,1.184.276 ,178.735 ,170.389 ,8.346 ,0 ,0 ,0 ,1.005.542 ,0 ,1.005.542 ,0 ,146.816 ,100.513 ,100.513 ,0 ,46.303 ,46.303 ,0 ,646.332 ,646.332 ,646.332 ,0 ,0 ,0 
79.,LJUBNO,1.787.732 ,595.155 ,400.910 ,317.109 ,317.109 ,37.815 ,29.582 ,0 ,835 ,7.399 ,45.986 ,860 ,0 ,0 ,45.126 ,0 ,0 ,194.246 ,29.707 ,0 ,0 ,5.225 ,24.483 ,8.634 ,8.634 ,83 ,83 ,9.493 ,9.493 ,146.328 ,146.328 ,8.717 ,8.717 ,8.717 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.973 ,3.973 ,0 ,3.973 ,0 ,0 ,0 ,1.179.887 ,1.179.887 ,1.179.887 ,0 ,0 ,0 
80.,LJUTOMER,5.993.519 ,2.875.509 ,2.118.511 ,1.639.584 ,1.639.584 ,273.510 ,206.430 ,0 ,8.684 ,58.396 ,205.416 ,16.299 ,0 ,0 ,189.117 ,0 ,0 ,756.998 ,206.042 ,0 ,897 ,13.387 ,191.758 ,26.657 ,26.657 ,3.818 ,3.818 ,70.189 ,70.189 ,450.292 ,450.292 ,287.076 ,5.492 ,67 ,5.425 ,0 ,0 ,0 ,281.585 ,0 ,281.585 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.830.934 ,2.830.934 ,2.538.116 ,167.326 ,57.703 ,67.789 
