,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,XII.,9009,FI
,,,,,,,,,,,,,,,,,"STANJE SREDSTEV NA RAČUNIH
DNE 31. 12. PRETEKLEGA LETA",,
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+VII.-VIII.-IX.=-III),,,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,,Splošni sklad za drugo,od tega presežek finančne izravnave iz preteklega leta
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,
33.,DORNAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-317.664 ,0 ,317.664 ,332.628 ,332.628 ,0 
34.,DRAVOGRAD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-34.888 ,0 ,34.888 ,116.137 ,116.137 ,0 
35.,DUPLEK,308.797 ,308.797 ,308.797 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-22.684 ,308.797 ,331.481 ,149.954 ,149.954 ,0 
36.,GORENJA VAS - POLJANE,375.563 ,375.563 ,375.563 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28.998 ,375.563 ,277.712 ,144.675 ,144.675 ,17.756 
37.,GORIŠNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-103.493 ,0 ,103.493 ,340.027 ,340.027 ,4.190 
38.,GORNJA RADGONA,0 ,0 ,0 ,0 ,0 ,0 ,53.651 ,53.651 ,53.651 ,0 ,0 ,0 ,44.788 ,-53.651 ,-14.576 ,628.180 ,628.180 ,24.011 
39.,GORNJI GRAD,0 ,0 ,0 ,0 ,0 ,0 ,11.993 ,11.993 ,11.993 ,0 ,0 ,0 ,-36.263 ,-11.993 ,-1.636 ,37.498 ,37.498 ,0 
40.,GORNJI PETROVCI,1.001.502 ,1.001.502 ,1.001.502 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.352 ,1.001.502 ,992.151 ,11.288 ,11.288 ,0 
41.,GRAD,513.700 ,513.700 ,0 ,0 ,513.700 ,0 ,17.368 ,17.368 ,17.368 ,0 ,0 ,0 ,129.288 ,496.331 ,370.016 ,113.099 ,113.099 ,0 
42.,GROSUPLJE,0 ,0 ,0 ,0 ,0 ,0 ,162.644 ,162.644 ,141.884 ,0 ,20.760 ,0 ,1.015.294 ,-162.644 ,-1.080.550 ,685.003 ,685.003 ,0 
43.,HAJDINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-149.412 ,0 ,151.799 ,152.625 ,152.625 ,0 
44.,HOČE - SLIVNICA,459.022 ,459.022 ,459.022 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,51.498 ,459.022 ,407.524 ,77.579 ,77.579 ,0 
45.,HODOŠ,0 ,0 ,0 ,0 ,0 ,0 ,10.036 ,10.036 ,10.036 ,0 ,0 ,0 ,-2.399 ,-10.036 ,-7.636 ,9.055 ,9.055 ,0 
46.,HORJUL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,849.470 ,0 ,-849.470 ,159.339 ,159.339 ,0 
47.,HRASTNIK,0 ,0 ,0 ,0 ,0 ,0 ,58.997 ,58.997 ,0 ,0 ,58.997 ,0 ,-234.694 ,-58.997 ,185.991 ,916.629 ,916.629 ,36.079 
48.,HRPELJE - KOZINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,124.687 ,0 ,-124.687 ,36.889 ,36.889 ,20.656 
49.,IDRIJA,855.450 ,855.450 ,855.450 ,0 ,0 ,0 ,22.112 ,22.112 ,17.735 ,0 ,4.377 ,0 ,-39.150 ,833.338 ,952.141 ,727.621 ,727.621 ,19.300 
50.,IG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-544.170 ,0 ,544.170 ,2.195.289 ,2.195.289 ,0 
51.,ILIRSKA BISTRICA,0 ,0 ,0 ,0 ,0 ,0 ,50.054 ,50.054 ,38.666 ,0 ,11.388 ,0 ,-562.969 ,-50.054 ,538.245 ,2.602.541 ,2.602.541 ,52.495 
52.,IVANČNA GORICA,0 ,0 ,0 ,0 ,0 ,0 ,4.528 ,4.528 ,0 ,0 ,4.528 ,0 ,915.557 ,-4.528 ,325.655 ,1.364.209 ,1.364.209 ,0 
53.,IZOLA,0 ,0 ,0 ,0 ,0 ,0 ,39.292 ,39.292 ,0 ,0 ,39.292 ,0 ,-841.525 ,-39.292 ,1.056.614 ,1.006.001 ,1.006.001 ,0 
54.,JESENICE,0 ,0 ,0 ,0 ,0 ,0 ,182.182 ,182.182 ,0 ,0 ,182.182 ,0 ,222.959 ,-182.182 ,-403.468 ,1.367.785 ,1.367.785 ,0 
55.,JEZERSKO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-23.686 ,0 ,25.138 ,68.903 ,68.903 ,0 
56.,JURŠINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-65.815 ,0 ,65.815 ,92.877 ,92.877 ,910 
57.,KAMNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,604.498 ,0 ,-600.655 ,1.806.456 ,1.806.456 ,73.456 
58.,KANAL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,198.028 ,0 ,-198.028 ,688.576 ,688.576 ,19.241 
59.,KIDRIČEVO,446.503 ,446.503 ,446.503 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-246.082 ,446.503 ,716.178 ,320.927 ,320.927 ,0 
60.,KOBARID,475.088 ,475.088 ,475.088 ,0 ,0 ,0 ,260.912 ,260.912 ,260.912 ,0 ,0 ,0 ,-1.039 ,214.175 ,217.071 ,2.545 ,2.545 ,0 
61.,KOBILJE,10.717 ,10.717 ,10.717 ,0 ,0 ,0 ,11.252 ,11.252 ,11.252 ,0 ,0 ,0 ,4.283 ,-535 ,-4.818 ,0 ,0 ,0 
