64.,KOMENDA,54.887 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,54.887 ,13.228 ,41.658 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,54.887 
65.,MESTNA OBČINA KOPER,72.893 ,63 ,0 ,0 ,0 ,0 ,63 ,0 ,0 ,72.830 ,0 ,0 ,72.830 ,0 ,0 ,4.056 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.056 ,0 ,0 ,4.056 ,0 ,0 ,0 ,0 ,0 ,0 ,68.837 
66.,KOSTEL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
67.,KOZJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
68.,MESTNA OBČINA KRANJ,857.841 ,470.389 ,419.208 ,0 ,0 ,0 ,51.181 ,0 ,0 ,387.452 ,0 ,0 ,387.452 ,0 ,0 ,50.880 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,50.880 ,0 ,0 ,31.297 ,0 ,0 ,19.584 ,0 ,0 ,0 ,806.960 
69.,KRANJSKA GORA,54 ,54 ,0 ,0 ,0 ,0 ,54 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,146.052 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,146.052 ,0 ,0 ,146.052 ,0 ,0 ,0 ,0 ,0 ,0 ,-145.998 
70.,KRIŽEVCI,1.390 ,1.390 ,1.390 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.390 
71.,KRŠKO,163.387 ,8.354 ,8.354 ,0 ,0 ,0 ,0 ,0 ,0 ,155.033 ,0 ,155.033 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,163.387 
72.,KUNGOTA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
73.,KUZMA,5.429 ,5.429 ,5.429 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.429 
74.,LAŠKO,28.772 ,28.772 ,509 ,0 ,0 ,0 ,28.263 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28.772 
75.,LENART,29.453 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,29.453 ,29.453 ,29.453 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,29.453 ,0 ,29.453 ,0 
76.,LENDAVA,15.824 ,7.015 ,7.015 ,0 ,0 ,0 ,0 ,0 ,0 ,8.809 ,0 ,0 ,8.809 ,0 ,0 ,13.353 ,2.504 ,2.504 ,0 ,0 ,0 ,0 ,0 ,10.850 ,0 ,0 ,10.850 ,0 ,0 ,0 ,0 ,0 ,0 ,2.470 
77.,LITIJA,417 ,417 ,417 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,417 
78.,MESTNA OBČINA LJUBLJANA,10.040.427 ,1.041.809 ,972.388 ,0 ,67.919 ,0 ,1.502 ,0 ,0 ,7.293.035 ,0 ,7.293.035 ,0 ,1.705.583 ,1.705.583 ,193.403 ,7.182 ,0 ,0 ,0 ,7.182 ,0 ,0 ,186.221 ,0 ,0 ,186.221 ,0 ,0 ,0 ,0 ,0 ,0 ,9.847.025 
79.,LJUBNO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.673 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.673 ,1.673 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.673 
80.,LJUTOMER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
81.,LOGATEC,60.161 ,39.643 ,0 ,0 ,33.383 ,0 ,6.259 ,0 ,0 ,20.518 ,0 ,20.518 ,0 ,0 ,0 ,33.383 ,33.383 ,0 ,0 ,33.383 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26.778 
82.,LOŠKA DOLINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
83.,LOŠKI POTOK,8.346 ,8.346 ,0 ,0 ,0 ,8.346 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.346 
84.,LOVRENC NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
85.,LUČE,2.921 ,2.921 ,0 ,0 ,0 ,0 ,2.921 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.921 
86.,LUKOVICA,17.923 ,17.923 ,17.923 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17.923 
87.,MAJŠPERK,870.931 ,870.931 ,0 ,0 ,0 ,870.931 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,884.285 ,884.285 ,0 ,0 ,0 ,884.285 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-13.353 
88.,MESTNA OBČINA MARIBOR,281.673 ,281.673 ,0 ,0 ,0 ,281.673 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.222 ,20.222 ,0 ,0 ,0 ,0 ,20.222 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,261.451 
89.,MARKOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,130.838 ,130.838 ,0 ,0 ,0 ,0 ,130.838 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-130.838 
90.,MEDVODE,429.811 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,429.811 ,0 ,0 ,429.811 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,429.811 
91.,MENGEŠ,10.441 ,10.441 ,10.441 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.441 
92.,METLIKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
93.,MEŽICA,138 ,138 ,0 ,0 ,0 ,0 ,138 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.184 ,12.519 ,0 ,0 ,0 ,0 ,12.519 ,0 ,1.665 ,0 ,1.665 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-14.046 
94.,MIKLAVŽ NA DRAVSKEM POLJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.261 ,3.105 ,0 ,0 ,0 ,0 ,3.105 ,0 ,1.156 ,0 ,0 ,1.156 ,0 ,0 ,0 ,0 ,0 ,0 ,-4.261 
95.,MIREN - KOSTANJEVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
96.,MIRNA PEČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
97.,MISLINJA,701 ,701 ,701 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,701 
98.,MORAVČE,9.389 ,9.389 ,9.389 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.389 
99.,MORAVSKE TOPLICE,42.977 ,42.977 ,38.904 ,0 ,0 ,0 ,4.073 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,51.047 ,9.318 ,9.318 ,0 ,0 ,0 ,0 ,0 ,41.729 ,41.729 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8.070 
100.,MOZIRJE,16.975 ,10.507 ,10.507 ,0 ,0 ,0 ,0 ,0 ,0 ,6.468 ,6.468 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.975 
101.,MESTNA OBČINA MURSKA SOBOTA,37.339 ,32.674 ,17.956 ,0 ,0 ,14.718 ,0 ,0 ,0 ,4.665 ,4.665 ,0 ,0 ,0 ,0 ,6.259 ,6.259 ,0 ,6.259 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31.080 
102.,MUTA,1.832 ,1.832 ,1.832 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,271 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,271 ,271 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.561 
103.,NAKLO,15.390 ,15.390 ,11.743 ,0 ,0 ,3.647 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15.390 
104.,NAZARJE,72.484 ,72.484 ,7.428 ,0 ,0 ,0 ,65.056 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.502 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.502 ,20.493 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,51.982 
105.,MESTNA OBČINA NOVA GORICA,206.998 ,11.459 ,11.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,195.539 ,195.539 ,871.257 ,78.593 ,0 ,0 ,78.593 ,0 ,0 ,0 ,792.664 ,0 ,0 ,710.086 ,0 ,0 ,82.578 ,0 ,0 ,0 ,-664.259 
106.,MESTNA OBČINA NOVO MESTO,293.820 ,293.820 ,181.385 ,0 ,0 ,112.435 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,293.820 
107.,ODRANCI,3.714 ,3.714 ,3.714 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.714 
108.,OPLOTNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
109.,ORMOŽ,153.242 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,108.763 ,108.763 ,0 ,0 ,44.479 ,44.479 ,363.045 ,91.804 ,0 ,0 ,0 ,91.804 ,0 ,0 ,271.240 ,0 ,0 ,271.240 ,0 ,0 ,0 ,0 ,0 ,0 ,-209.802 
110.,OSILNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
111.,PESNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
112.,PIRAN,50.075 ,50.075 ,50.075 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32.549 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32.549 ,0 ,0 ,32.549 ,0 ,0 ,0 ,0 ,0 ,0 ,17.526 
113.,PIVKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.954 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.954 ,10.954 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10.954 
114.,PODČETRTEK,463 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,463 ,463 ,2.178 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.178 ,0 ,0 ,2.178 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.715 
115.,PODLEHNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
116.,PODVELKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
117.,POLZELA,11.029 ,11.029 ,11.029 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.029 
118.,POSTOJNA,150.918 ,42.447 ,6.259 ,0 ,3.301 ,32.887 ,0 ,0 ,0 ,108.471 ,0 ,0 ,108.471 ,0 ,0 ,31.777 ,19.258 ,0 ,0 ,0 ,19.258 ,0 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,12.519 ,0 ,0 ,0 ,119.141 
119.,PREBOLD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
120.,PREDDVOR,48.147 ,22.984 ,22.984 ,0 ,0 ,0 ,0 ,0 ,0 ,25.163 ,0 ,0 ,25.163 ,0 ,0 ,11.476 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.476 ,11.476 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36.672 
121.,PREVALJE,9.347 ,9.347 ,0 ,0 ,0 ,0 ,9.347 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,488 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,488 ,0 ,0 ,488 ,0 ,0 ,0 ,0 ,0 ,0 ,8.859 
122.,MESTNA OBČINA PTUJ,428.113 ,428.113 ,0 ,0 ,0 ,381.293 ,46.820 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,153.605 ,153.605 ,70.147 ,0 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,274.508 
123.,PUCONCI,70.676 ,70.676 ,10.740 ,0 ,0 ,0 ,59.935 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21.073 ,13.353 ,0 ,0 ,835 ,12.519 ,0 ,0 ,7.720 ,0 ,0 ,7.720 ,0 ,0 ,0 ,0 ,0 ,0 ,49.602 
124.,RAČE - FRAM,37.339 ,37.339 ,0 ,0 ,0 ,37.339 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37.339 
125.,RADEČE,3.142 ,3.142 ,0 ,0 ,0 ,3.142 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.142 
126.,RADENCI,8.609 ,8.609 ,8.609 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.173 ,4.173 ,0 ,0 ,0 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.436 
127.,RADLJE OB DRAVI,12.602 ,12.602 ,12.602 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.602 
128.,RADOVLJICA,163.675 ,133.484 ,106.105 ,0 ,0 ,27.379 ,0 ,0 ,0 ,30.191 ,0 ,0 ,30.191 ,0 ,0 ,8.346 ,8.346 ,0 ,0 ,0 ,0 ,0 ,8.346 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,155.329 
129.,RAVNE NA KOROŠKEM,15.273 ,15.273 ,0 ,0 ,0 ,15.273 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15.273 
130.,RAZKRIŽJE,797 ,797 ,797 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,797 
131.,RIBNICA,30.817 ,30.817 ,0 ,0 ,0 ,0 ,30.817 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30.817 
132.,RIBNICA NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
133.,ROGAŠKA SLATINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
134.,ROGAŠOVCI,12.014 ,12.014 ,12.014 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.043 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.043 ,1.043 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.971 
135.,ROGATEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.975 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.975 ,2.975 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2.975 
136.,RUŠE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
137.,SELNICA OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
138.,SEMIČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
139.,SEVNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
140.,SEŽANA,37.727 ,37.727 ,37.727 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37.727 
141.,MESTNA OBČINA SLOVENJ GRADEC,561.133 ,561.133 ,0 ,26.582 ,200.718 ,0 ,333.834 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,529.486 ,529.069 ,0 ,23.410 ,171.824 ,0 ,333.834 ,0 ,417 ,417 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31.647 
142.,SLOVENSKA BISTRICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
143.,SLOVENSKE KONJICE,17.359 ,17.359 ,17.359 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.827 ,7.682 ,6.785 ,0 ,0 ,0 ,897 ,0 ,2.145 ,2.049 ,0 ,0 ,0 ,96 ,0 ,0 ,0 ,0 ,7.532 
144.,SODRAŽICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
145.,SOLČAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
146.,STARŠE,10.432 ,10.432 ,0 ,0 ,0 ,10.432 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.432 
147.,SVETA ANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
148.,SVETI ANDRAŽ V SLOVENSKIH GORICAH,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
149.,SVETI JURIJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
150.,ŠALOVCI,14.605 ,14.605 ,0 ,0 ,0 ,14.605 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,20.865 ,0 ,0 ,7.094 ,13.771 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6.259 
151.,ŠEMPETER - VRTOJBA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
152.,ŠENČUR,146.795 ,87.427 ,62.627 ,0 ,0 ,24.800 ,0 ,0 ,0 ,59.160 ,59.160 ,0 ,0 ,209 ,209 ,73.581 ,56.042 ,56.042 ,0 ,0 ,0 ,0 ,0 ,17.539 ,0 ,0 ,0 ,16.692 ,0 ,847 ,0 ,0 ,0 ,73.214 
