,,,,,,,,,,,- V EUR,,,,,- V EUR,
,,,50,500,5001,5002,5003,55,550,5501,5502,5503,IX.,X.,XI.,XII.,
,,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,SPREMEMBA STANJA SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,STANJE SREDSTEV NA RAČUNIH DNE 31. 12. PRETEKLEGA LETA,
,,,,,,,,,,,,,,,,,
,,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+X.-IX.=-III),,
,,,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,,,,,
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,,
43.,31 ,OBČINA GORNJI PETROVCI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","57.377,76 ","57.377,76 ","57.377,76 ","0,00 ","0,00 ","-3.179,41 ","-57.377,76 ","-55.758,35 ","3.991,76 ",
44.,158 ,OBČINA GRAD,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","66.978,05 ","66.978,05 ","66.978,05 ","0,00 ","0,00 ","79.791,02 ","-66.978,05 ","-145.124,87 ","3.492,70 ",
45.,32 ,OBČINA GROSUPLJE,"1.100.000,00 ","1.100.000,00 ","1.100.000,00 ","0,00 ","0,00 ","322.452,13 ","322.452,13 ","308.691,97 ","0,00 ","13.760,16 ","-680.185,36 ","777.547,87 ","1.574.071,71 ","1.347.026,87 ",
46.,159 ,OBČINA HAJDINA,"859.000,00 ","859.000,00 ","859.000,00 ","0,00 ","0,00 ","52.508,76 ","52.508,76 ","52.508,76 ","0,00 ","0,00 ","-19.683,04 ","806.491,24 ","826.174,28 ","104.784,00 ",
47.,160 ,OBČINA HOČE-SLIVNICA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-1.111.532,00 ","0,00 ","1.111.532,00 ","1.796.242,00 ",
48.,161 ,OBČINA HODOŠ,"243.000,00 ","243.000,00 ","243.000,00 ","0,00 ","0,00 ","258.999,08 ","258.999,08 ","258.999,08 ","0,00 ","0,00 ","-22.125,72 ","-15.999,08 ","6.126,64 ","29.999,70 ",
49.,162 ,OBČINA HORJUL,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","361.986,64 ","0,00 ","-361.986,64 ","223.679,00 ",
50.,34 ,OBČINA HRASTNIK,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","68.482,91 ","68.482,91 ","0,00 ","0,00 ","68.482,91 ","-34.689,63 ","-68.482,91 ","181.215,07 ","993.837,43 ",
51.,35 ,OBČINA HRPELJE-KOZINA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-954.951,55 ","0,00 ","954.951,55 ","6.103,41 ",
52.,36 ,OBČINA IDRIJA,"1.233.626,00 ","1.233.626,00 ","1.233.626,00 ","0,00 ","0,00 ","241.198,59 ","241.198,59 ","241.198,59 ","0,00 ","0,00 ","-131.117,26 ","992.427,41 ","1.195.687,74 ","14.545,97 ",
