št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.,MESTNA OBČINA CELJE,35.084.005 ,28.474.549 ,23.628.263 ,14.766.078 ,14.766.078 ,6.087.711 ,5.176.477 ,234 ,123.222 ,787.778 ,2.774.474 ,188.078 ,0 ,2.586.396 ,0 ,0 ,4.846.286 ,1.402.583 ,167.919 ,25 ,15.265 ,1.219.375 ,80.141 ,80.141 ,108.801 ,108.801 ,45.577 ,45.577 ,3.209.185 ,3.209.185 ,4.914.100 ,2.629.244 ,2.629.244 ,0 ,0 ,0 ,0 ,2.284.856 ,0 ,2.284.856 ,0 ,26.273 ,10.558 ,10.558 ,0 ,15.715 ,15.715 ,0 ,0 ,0 ,1.669.083 ,910.445 ,802.475 ,7.023 ,0 ,0 ,100.947 ,758.638 ,758.638 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
16.,CERKLJE NA GORENJSKEM,4.960.449 ,2.741.800 ,2.209.865 ,1.582.136 ,1.582.136 ,364.321 ,173.936 ,0 ,5.842 ,184.543 ,263.408 ,939 ,0 ,262.469 ,0 ,0 ,531.935 ,211.488 ,0 ,3.025 ,32.553 ,175.910 ,18.219 ,18.219 ,9.493 ,9.493 ,4.786 ,4.786 ,287.949 ,287.949 ,1.352.541 ,137.540 ,135.073 ,2.466 ,0 ,0 ,0 ,1.215.002 ,15.461 ,1.199.541 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,866.107 ,866.107 ,866.107 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
17.,CERKNICA,6.981.919 ,4.166.677 ,3.546.458 ,2.624.050 ,2.624.050 ,587.984 ,499.456 ,192 ,13.980 ,74.356 ,334.424 ,14.410 ,0 ,320.014 ,0 ,0 ,620.219 ,219.667 ,0 ,0 ,5.114 ,214.554 ,20.529 ,20.529 ,118 ,118 ,0 ,0 ,379.904 ,379.904 ,1.077.240 ,174.503 ,174.503 ,0 ,0 ,0 ,0 ,902.737 ,0 ,902.737 ,0 ,709 ,709 ,709 ,0 ,0 ,0 ,0 ,0 ,0 ,1.737.292 ,1.737.292 ,1.696.843 ,40.450 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
18.,CERKNO,2.829.115 ,2.122.409 ,1.639.505 ,1.417.334 ,1.417.334 ,138.829 ,124.407 ,0 ,1.444 ,12.978 ,83.342 ,405 ,0 ,82.937 ,0 ,0 ,482.904 ,414.659 ,275 ,8 ,2.692 ,411.684 ,6.105 ,6.105 ,38 ,38 ,25.079 ,25.079 ,37.022 ,37.022 ,21.261 ,9.377 ,9.377 ,0 ,0 ,0 ,0 ,11.884 ,4.277 ,7.607 ,0 ,88 ,88 ,0 ,88 ,0 ,0 ,0 ,0 ,0 ,685.357 ,685.357 ,685.357 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
19.,CERKVENJAK,1.014.333 ,368.589 ,286.977 ,201.678 ,201.678 ,26.973 ,21.740 ,0 ,269 ,4.964 ,58.326 ,277 ,0 ,58.049 ,0 ,0 ,81.612 ,10.891 ,0 ,0 ,6.384 ,4.507 ,2.653 ,2.653 ,1.577 ,1.577 ,22.680 ,22.680 ,43.811 ,43.811 ,9.873 ,0 ,0 ,0 ,0 ,0 ,0 ,9.873 ,0 ,0 ,9.873 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,635.872 ,635.872 ,635.872 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
20.,ČRENŠOVCI,2.248.035 ,873.080 ,660.032 ,540.786 ,540.786 ,60.770 ,51.260 ,0 ,835 ,8.676 ,58.475 ,16.208 ,0 ,42.268 ,0 ,0 ,213.049 ,19.083 ,0 ,0 ,11.755 ,7.328 ,7.236 ,7.236 ,0 ,0 ,25.179 ,25.179 ,161.551 ,161.551 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.374.954 ,1.321.820 ,1.117.973 ,203.847 ,0 ,0 ,0 ,53.134 ,53.134 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
21.,ČRNA NA KOROŠKEM,2.413.370 ,1.414.789 ,985.115 ,720.677 ,720.677 ,136.183 ,120.013 ,0 ,3.610 ,12.561 ,128.255 ,2.153 ,0 ,126.102 ,0 ,0 ,429.674 ,169.575 ,1.181 ,0 ,772 ,167.622 ,6.138 ,6.138 ,271 ,271 ,233.529 ,233.529 ,20.159 ,20.159 ,118.432 ,77.036 ,77.036 ,0 ,0 ,0 ,0 ,41.395 ,0 ,41.395 ,0 ,30.546 ,30.546 ,30.546 ,0 ,0 ,0 ,0 ,0 ,0 ,849.604 ,849.604 ,802.057 ,0 ,0 ,47.546 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
22.,ČRNOMELJ,8.163.583 ,4.357.699 ,3.984.656 ,3.022.384 ,3.022.384 ,523.898 ,385.324 ,0 ,21.929 ,116.646 ,438.374 ,7.399 ,0 ,430.976 ,0 ,0 ,373.043 ,136.597 ,12.848 ,0 ,2.091 ,121.657 ,22.571 ,22.571 ,9.639 ,9.639 ,4.615 ,4.615 ,199.620 ,199.620 ,86.939 ,21.511 ,21.511 ,0 ,0 ,0 ,0 ,65.427 ,1.177 ,64.251 ,0 ,61.100 ,61.100 ,61.100 ,0 ,0 ,0 ,0 ,0 ,0 ,3.657.845 ,3.657.845 ,3.425.922 ,231.923 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
23.,DESTRNIK,1.586.951 ,646.879 ,462.369 ,349.174 ,349.174 ,63.136 ,41.208 ,0 ,300 ,21.628 ,50.058 ,75 ,0 ,49.983 ,0 ,0 ,184.510 ,24.316 ,438 ,0 ,2.875 ,21.002 ,6.439 ,6.439 ,0 ,0 ,0 ,0 ,153.756 ,153.756 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.141 ,16.141 ,0 ,16.141 ,0 ,0 ,0 ,0 ,0 ,923.932 ,923.932 ,910.729 ,13.203 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
24.,DIVAČA,2.609.347 ,2.110.265 ,1.567.301 ,1.111.183 ,1.111.183 ,351.448 ,275.588 ,8 ,28.468 ,47.384 ,104.670 ,1.953 ,0 ,102.717 ,0 ,0 ,542.964 ,530.575 ,2.942 ,0 ,26.623 ,501.010 ,4.891 ,4.891 ,0 ,0 ,605 ,605 ,6.894 ,6.894 ,45.026 ,45.026 ,45.026 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,454.056 ,454.056 ,410.274 ,36.434 ,0 ,0 ,7.349 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
25.,DOBJE,465.265 ,168.636 ,134.614 ,126.815 ,126.815 ,2.370 ,117 ,0 ,1.168 ,1.085 ,5.429 ,0 ,0 ,5.429 ,0 ,0 ,34.022 ,19.513 ,0 ,0 ,997 ,18.515 ,1.043 ,1.043 ,0 ,0 ,13 ,13 ,13.454 ,13.454 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.882 ,4.882 ,4.882 ,0 ,0 ,0 ,0 ,0 ,0 ,291.746 ,291.746 ,290.911 ,835 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
