69.,KRANJSKA GORA,5.417.201 ,1.904.152 ,318.653 ,46.499 ,1.526.657 ,96.328 ,696.507 ,57.820 ,7.044 ,9.243 ,487.707 ,29.803 ,501 ,16.742 ,124.962 ,0 ,0 ,0 ,0 ,0 ,12.344 ,1.447.955 ,48.948 ,0 ,48.948 ,456.739 ,0 ,287.873 ,0 ,0 ,0 ,168.866 ,287.114 ,287.114 ,655.154 ,12.527 ,33.012 ,0 ,609.614 ,0 ,727.658 ,727.658 ,0 ,15.411 ,18.503 ,0 ,554.782 ,4.853 ,66.479 ,0 ,67.631 ,1.337.435 ,1.337.435 ,0 ,0 ,161.784 ,1.095.418 ,0 ,0 ,0 ,80.233 ,0 ,-149.395 
70.,KRIŽEVCI,1.568.558 ,177.096 ,70.687 ,10.038 ,88.767 ,16.187 ,678 ,21.360 ,227 ,2.488 ,4.959 ,0 ,93 ,3.097 ,39.679 ,553 ,0 ,0 ,553 ,0 ,7.050 ,583.691 ,37.363 ,6.594 ,30.769 ,116.178 ,0 ,0 ,0 ,0 ,2.215 ,113.962 ,54.262 ,54.262 ,375.888 ,3.041 ,19.528 ,492 ,352.826 ,0 ,651.837 ,651.837 ,0 ,0 ,50.329 ,0 ,558.045 ,29.468 ,0 ,0 ,13.995 ,155.933 ,155.933 ,26.726 ,0 ,11.396 ,57.617 ,0 ,0 ,922 ,59.273 ,0 ,-88.806 
71.,KRŠKO,20.413.474 ,4.385.040 ,959.856 ,138.766 ,2.968.415 ,272.146 ,69.246 ,359.377 ,36.768 ,13.299 ,1.556.752 ,22.509 ,11.054 ,45.280 ,581.985 ,219.976 ,219.959 ,0 ,17 ,0 ,98.026 ,6.874.875 ,433.684 ,16.162 ,417.522 ,3.410.011 ,0 ,0 ,0 ,0 ,5.283 ,3.404.728 ,742.973 ,742.973 ,2.288.207 ,445.577 ,221.440 ,38.796 ,1.582.394 ,0 ,3.630.216 ,3.630.216 ,39.251 ,0 ,173.673 ,3.259 ,2.232.624 ,594.187 ,166.254 ,0 ,420.969 ,5.523.343 ,5.523.343 ,165.419 ,0 ,106.272 ,798.302 ,0 ,20.865 ,15.139 ,4.417.347 ,0 ,-787.548 
72.,KUNGOTA,2.107.904 ,235.153 ,96.357 ,13.462 ,124.574 ,32.620 ,2.558 ,11.267 ,0 ,1.682 ,0 ,0 ,0 ,3.701 ,72.747 ,759 ,0 ,0 ,759 ,0 ,0 ,884.377 ,0 ,0 ,0 ,269.692 ,112.419 ,3.910 ,2.479 ,0 ,0 ,150.885 ,65.769 ,65.769 ,548.915 ,61.985 ,64.643 ,56.264 ,366.024 ,0 ,186.108 ,186.108 ,0 ,0 ,22.838 ,10.595 ,0 ,123.665 ,2.934 ,0 ,26.077 ,802.266 ,802.266 ,802.266 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23.581 
73.,KUZMA,922.192 ,341.842 ,72.555 ,23.227 ,183.442 ,35.891 ,3.201 ,29.469 ,6.965 ,4.473 ,77.829 ,5.525 ,0 ,0 ,20.088 ,0 ,0 ,0 ,0 ,0 ,62.619 ,232.749 ,3.130 ,3.130 ,0 ,108.813 ,0 ,0 ,18.482 ,0 ,0 ,90.331 ,61.029 ,61.029 ,59.777 ,0 ,0 ,1.410 ,58.367 ,0 ,334.326 ,334.326 ,0 ,0 ,7.962 ,7.177 ,267.556 ,45.043 ,0 ,0 ,6.589 ,13.274 ,13.274 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.274 ,0 ,21.678 
74.,LAŠKO,7.484.957 ,1.285.587 ,484.982 ,68.365 ,674.445 ,115.064 ,0 ,69.304 ,18.862 ,10.474 ,43.378 ,75.926 ,0 ,21.361 ,320.076 ,30.867 ,30.709 ,0 ,83 ,75 ,26.928 ,3.157.816 ,0 ,0 ,0 ,1.548.055 ,0 ,0 ,0 ,0 ,0 ,1.548.055 ,178.860 ,178.860 ,1.430.901 ,186.847 ,100.960 ,65.448 ,1.077.646 ,0 ,2.823.656 ,2.823.656 ,8.563 ,0 ,66.241 ,43.161 ,2.041.942 ,314.484 ,58.571 ,0 ,290.694 ,217.898 ,217.898 ,1.252 ,0 ,60.003 ,0 ,0 ,0 ,49.044 ,107.599 ,0 ,-444.529 
75.,LENART,5.953.852 ,1.180.312 ,311.217 ,43.924 ,733.129 ,82.273 ,4.498 ,180.554 ,14.551 ,9.089 ,257.545 ,5.279 ,0 ,13.237 ,166.103 ,51.452 ,40.177 ,0 ,11.275 ,0 ,40.590 ,2.088.454 ,107.824 ,0 ,107.824 ,1.147.939 ,52.253 ,0 ,0 ,0 ,0 ,1.095.685 ,284.965 ,284.965 ,547.726 ,121.632 ,51.043 ,71.219 ,303.831 ,0 ,378.213 ,378.213 ,83.216 ,0 ,18.015 ,0 ,46.503 ,44.734 ,185.745 ,0 ,0 ,2.306.873 ,2.306.873 ,37.273 ,0 ,0 ,0 ,0 ,0 ,8.262 ,2.261.338 ,0 ,-585.407 
76.,LENDAVA,6.069.026 ,1.419.431 ,505.399 ,73.248 ,821.734 ,86.945 ,38.475 ,100.719 ,13.953 ,8.628 ,310.770 ,18.544 ,24.065 ,26.981 ,192.654 ,14.877 ,0 ,0 ,14.877 ,0 ,4.173 ,2.382.356 ,63.437 ,0 ,63.437 ,303.251 ,0 ,0 ,27.682 ,0 ,7.800 ,267.769 ,244.550 ,244.550 ,1.771.118 ,202.950 ,142.909 ,69.089 ,1.356.169 ,0 ,1.720.674 ,1.720.674 ,151.663 ,0 ,28.442 ,0 ,467.750 ,540.288 ,183.768 ,0 ,348.763 ,546.566 ,546.566 ,226.522 ,0 ,63.631 ,0 ,0 ,140.073 ,0 ,116.340 ,0 ,442.647 
77.,LITIJA,8.149.641 ,1.732.741 ,413.328 ,56.034 ,1.209.564 ,111.234 ,39.326 ,113.758 ,6.305 ,4.398 ,612.673 ,33.880 ,947 ,20.101 ,266.942 ,16.258 ,2.328 ,0 ,13.929 ,0 ,37.556 ,3.873.923 ,177.858 ,0 ,177.858 ,2.260.687 ,0 ,45.351 ,0 ,0 ,0 ,2.215.336 ,356.660 ,356.660 ,1.078.718 ,167.247 ,153.055 ,83.938 ,674.478 ,0 ,1.477.441 ,1.477.441 ,0 ,0 ,10.724 ,714 ,1.202.608 ,2.212 ,198.331 ,0 ,62.853 ,1.065.536 ,1.065.536 ,20.443 ,0 ,88.867 ,6.652 ,0 ,29.210 ,13.612 ,906.752 ,0 ,234.110 
78.,MESTNA OBČINA LJUBLJANA,197.599.424 ,43.941.955 ,9.597.667 ,1.347.033 ,31.753.176 ,2.888.904 ,1.895.835 ,1.514.847 ,229.882 ,217.355 ,18.434.039 ,445.063 ,1.413.099 ,463.725 ,4.250.426 ,571.649 ,571.649 ,0 ,0 ,0 ,672.429 ,77.838.316 ,1.031.577 ,633.713 ,397.863 ,33.721.299 ,0 ,0 ,37.022 ,7.261 ,209.702 ,33.467.313 ,8.133.822 ,8.133.822 ,34.951.619 ,9.325.547 ,2.266.316 ,1.141.279 ,22.218.478 ,0 ,50.727.621 ,50.727.621 ,2.027.604 ,84.214 ,2.466.479 ,91.800 ,18.646.925 ,15.330.896 ,8.501.302 ,0 ,3.578.401 ,25.091.533 ,25.091.533 ,0 ,6.704.628 ,410.616 ,11.478.280 ,0 ,0 ,0 ,6.498.010 ,0 ,-20.951.114 
79.,LJUBNO,1.756.706 ,381.055 ,71.420 ,10.357 ,299.278 ,15.653 ,2.362 ,40.119 ,0 ,2.571 ,189.330 ,175 ,0 ,2.984 ,46.086 ,0 ,0 ,0 ,0 ,0 ,0 ,533.204 ,80.174 ,4.553 ,75.622 ,113.900 ,0 ,1.494 ,363 ,0 ,0 ,112.043 ,73.777 ,73.777 ,265.352 ,0 ,14.163 ,1.198 ,249.992 ,0 ,805.120 ,805.120 ,13.541 ,0 ,13.195 ,0 ,750.906 ,0 ,7.449 ,0 ,20.030 ,37.327 ,37.327 ,0 ,0 ,28.247 ,0 ,0 ,9.080 ,0 ,0 ,0 ,18.770 
80.,LJUTOMER,6.831.018 ,1.286.847 ,487.821 ,67.542 ,688.308 ,88.906 ,6.436 ,79.568 ,8.420 ,10.450 ,289.924 ,12.284 ,1.252 ,16.037 ,175.032 ,9.793 ,9.793 ,0 ,0 ,0 ,33.383 ,2.607.013 ,100.644 ,1.493 ,99.151 ,351.825 ,0 ,2.167 ,9.749 ,0 ,13.008 ,326.902 ,210.934 ,210.934 ,1.943.610 ,246.453 ,100.148 ,106.534 ,1.490.475 ,0 ,1.921.678 ,1.921.678 ,208.646 ,0 ,14.530 ,5.138 ,1.194.698 ,39.934 ,224.455 ,0 ,234.277 ,1.015.479 ,1.015.479 ,0 ,203.829 ,30.992 ,583.549 ,0 ,118.649 ,0 ,78.460 ,0 ,-278.333 
81.,LOGATEC,6.259.231 ,654.878 ,327.938 ,47.183 ,270.593 ,60.804 ,0 ,53.918 ,12.164 ,1.773 ,13.499 ,15.035 ,0 ,17.042 ,96.357 ,9.164 ,0 ,0 ,9.164 ,0 ,0 ,2.584.310 ,75.359 ,0 ,75.359 ,582.182 ,0 ,0 ,0 ,0 ,4.632 ,577.550 ,254.707 ,254.707 ,1.672.062 ,112.644 ,44.450 ,42.631 ,1.472.338 ,0 ,2.946.683 ,2.946.683 ,0 ,1.068 ,10.482 ,0 ,2.224.474 ,413.683 ,258.909 ,0 ,38.065 ,73.360 ,73.360 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,73.360 ,0 ,-147.713 
82.,LOŠKA DOLINA,2.050.739 ,598.080 ,134.631 ,19.826 ,433.826 ,38.888 ,19.371 ,62.081 ,4.619 ,1.231 ,246.299 ,367 ,4.774 ,5.041 ,51.156 ,200 ,0 ,0 ,200 ,0 ,9.598 ,611.530 ,10.178 ,0 ,10.178 ,102.767 ,0 ,0 ,0 ,0 ,0 ,102.767 ,89.434 ,89.434 ,409.151 ,417 ,11.004 ,1.340 ,396.390 ,0 ,806.314 ,806.314 ,0 ,0 ,3.476 ,0 ,669.767 ,65.023 ,747 ,0 ,67.301 ,34.815 ,34.815 ,0 ,0 ,18.152 ,0 ,0 ,0 ,0 ,16.662 ,0 ,-129.073 
83.,LOŠKI POTOK,1.550.346 ,163.207 ,71.265 ,10.549 ,79.081 ,18.736 ,0 ,25.993 ,2.979 ,2.733 ,2.441 ,380 ,0 ,2.858 ,22.959 ,225 ,0 ,0 ,225 ,0 ,2.086 ,374.065 ,4.791 ,0 ,4.791 ,32.144 ,0 ,0 ,0 ,0 ,0 ,32.144 ,32.666 ,32.666 ,304.465 ,300 ,6.472 ,1.607 ,296.086 ,0 ,974.245 ,974.245 ,0 ,0 ,0 ,0 ,763.203 ,163.716 ,739 ,0 ,46.587 ,38.829 ,38.829 ,0 ,0 ,2.086 ,29.361 ,0 ,0 ,0 ,7.382 ,0 ,74.925 
84.,LOVRENC NA POHORJU,1.505.971 ,517.777 ,165.185 ,24.074 ,319.830 ,92.059 ,221 ,29.494 ,5.020 ,7.883 ,135.516 ,359 ,0 ,7.687 ,41.592 ,2.011 ,0 ,0 ,2.011 ,0 ,6.677 ,543.544 ,13.028 ,0 ,13.028 ,132.440 ,0 ,0 ,0 ,0 ,0 ,132.440 ,67.735 ,67.735 ,330.341 ,0 ,27.274 ,1.081 ,301.986 ,0 ,325.167 ,325.167 ,9.226 ,0 ,6.109 ,0 ,140.724 ,82.136 ,72.505 ,0 ,14.468 ,119.483 ,119.483 ,0 ,0 ,16.692 ,65.181 ,0 ,0 ,0 ,37.611 ,0 ,226.473 
85.,LUČE,857.365 ,280.734 ,48.765 ,7.257 ,217.376 ,14.843 ,6.581 ,28.130 ,8.479 ,117 ,120.164 ,1.068 ,3.626 ,1.452 ,32.916 ,1.077 ,0 ,0 ,1.077 ,0 ,6.259 ,288.583 ,45.710 ,3.330 ,42.380 ,94.488 ,0 ,0 ,0 ,0 ,0 ,94.488 ,39.947 ,39.947 ,108.438 ,0 ,8.037 ,1.402 ,98.999 ,0 ,254.311 ,254.311 ,0 ,0 ,935 ,5.095 ,179.895 ,1.940 ,15.048 ,0 ,51.398 ,33.738 ,33.738 ,0 ,0 ,27.124 ,2.433 ,0 ,0 ,0 ,4.181 ,0 ,7.140 
86.,LUKOVICA,3.871.733 ,854.803 ,226.093 ,33.254 ,586.121 ,23.506 ,125.488 ,55.287 ,39.134 ,2.316 ,211.964 ,42 ,0 ,11.630 ,116.754 ,0 ,0 ,0 ,0 ,0 ,9.335 ,967.284 ,46.194 ,0 ,46.194 ,422.125 ,0 ,35.028 ,12.101 ,0 ,11.780 ,363.216 ,99.178 ,99.178 ,399.787 ,144.425 ,15.039 ,2.808 ,237.515 ,0 ,1.738.324 ,1.738.324 ,42.564 ,23.807 ,29.574 ,0 ,1.498.973 ,0 ,110.583 ,0 ,32.824 ,311.321 ,311.321 ,0 ,0 ,0 ,32.336 ,0 ,0 ,0 ,278.985 ,0 ,-525.542 
87.,MAJŠPERK,1.938.867 ,454.019 ,96.779 ,13.049 ,337.732 ,22.459 ,27.967 ,25.442 ,5.550 ,3.493 ,187.439 ,0 ,0 ,3.968 ,61.413 ,0 ,0 ,0 ,0 ,0 ,6.460 ,544.241 ,24.825 ,0 ,24.825 ,166.391 ,0 ,3.839 ,0 ,0 ,0 ,162.552 ,62.060 ,62.060 ,290.966 ,0 ,42.752 ,772 ,247.442 ,0 ,905.346 ,905.346 ,48.777 ,0 ,2.863 ,0 ,541.575 ,161.317 ,125.267 ,0 ,25.547 ,35.261 ,35.261 ,0 ,0 ,29.699 ,0 ,0 ,0 ,5.563 ,0 ,0 ,319.371 
88.,MESTNA OBČINA MARIBOR,71.299.996 ,12.327.867 ,3.878.785 ,559.577 ,7.429.194 ,2.201.807 ,7.908 ,1.268.286 ,80.362 ,40.290 ,394.538 ,193.407 ,438.520 ,178.593 ,2.625.484 ,2.057 ,217 ,0 ,1.840 ,0 ,458.254 ,35.608.237 ,946.549 ,0 ,946.549 ,1.797.834 ,0 ,0 ,67 ,0 ,10.307 ,1.787.460 ,2.811.889 ,2.811.889 ,30.050.526 ,270.118 ,700.346 ,663.057 ,28.417.005 ,1.440 ,4.438.403 ,4.438.403 ,264.276 ,707.853 ,577.408 ,1.544 ,1.171.937 ,706.092 ,198.260 ,57.695 ,753.338 ,18.925.488 ,18.925.488 ,0 ,1.770.794 ,210.558 ,9.823.606 ,0 ,805.187 ,55.750 ,6.259.594 ,0 ,-5.199.228 
89.,MARKOVCI,2.397.788 ,440.678 ,85.979 ,36.580 ,286.204 ,48.456 ,17 ,40.728 ,0 ,10.820 ,8.650 ,0 ,0 ,0 ,177.533 ,0 ,0 ,0 ,0 ,0 ,31.915 ,694.788 ,31.869 ,0 ,31.869 ,257.040 ,3.747 ,0 ,0 ,0 ,2.086 ,251.206 ,135.320 ,135.320 ,270.560 ,0 ,36.759 ,0 ,233.801 ,0 ,1.020.339 ,1.020.339 ,0 ,0 ,13.437 ,4.273 ,546.073 ,25.538 ,371.390 ,0 ,59.627 ,241.984 ,241.984 ,2.483 ,0 ,190.106 ,0 ,0 ,17.313 ,0 ,32.081 ,0 ,646.278 
90.,MEDVODE,6.681.414 ,1.628.806 ,281.526 ,40.486 ,1.264.342 ,100.163 ,39.104 ,143.553 ,6.301 ,5.078 ,524.791 ,0 ,7.457 ,13.128 ,424.766 ,0 ,0 ,0 ,0 ,0 ,42.451 ,2.408.275 ,91.337 ,33.383 ,57.954 ,220.243 ,0 ,0 ,0 ,0 ,0 ,220.243 ,302.687 ,302.687 ,1.790.002 ,136.384 ,87.631 ,0 ,1.565.986 ,4.006 ,2.318.311 ,2.318.311 ,42.510 ,0 ,45.013 ,0 ,1.799.754 ,23.118 ,111.229 ,0 ,296.687 ,326.022 ,326.022 ,0 ,0 ,5.095 ,0 ,0 ,0 ,0 ,320.927 ,0 ,520.602 
91.,MENGEŠ,3.678.956 ,1.126.515 ,221.920 ,32.515 ,863.295 ,103.564 ,13.967 ,120.756 ,1.344 ,42.985 ,339.972 ,4.010 ,0 ,0 ,236.697 ,0 ,0 ,0 ,0 ,0 ,8.784 ,1.193.232 ,33.154 ,0 ,33.154 ,735.528 ,2.424 ,12.185 ,0 ,0 ,5.316 ,715.603 ,229.770 ,229.770 ,194.780 ,0 ,31.401 ,6.134 ,157.244 ,0 ,1.280.880 ,1.280.880 ,0 ,0 ,90.223 ,3.534 ,855.233 ,173.356 ,37.122 ,0 ,121.411 ,78.330 ,78.330 ,0 ,0 ,61.546 ,0 ,0 ,0 ,0 ,16.784 ,0 ,-537.260 
92.,METLIKA,4.517.852 ,1.042.969 ,193.761 ,28.777 ,779.173 ,423.444 ,630 ,178.376 ,8.855 ,6.414 ,45.410 ,0 ,217 ,8.638 ,107.190 ,22.667 ,22.667 ,0 ,0 ,0 ,18.590 ,1.385.875 ,48.890 ,0 ,48.890 ,214.296 ,0 ,0 ,129.382 ,0 ,0 ,84.915 ,126.014 ,126.014 ,996.674 ,115.023 ,25.889 ,0 ,855.763 ,0 ,2.032.941 ,2.032.941 ,0 ,50.071 ,110.048 ,0 ,1.055.233 ,614.793 ,91.688 ,0 ,111.108 ,56.067 ,56.067 ,0 ,22.100 ,0 ,0 ,0 ,0 ,0 ,33.968 ,0 ,321.069 
93.,MEŽICA,1.509.915 ,406.710 ,92.902 ,13.620 ,295.618 ,35.065 ,25.714 ,43.958 ,3.564 ,1.198 ,125.931 ,4.707 ,0 ,3.998 ,51.486 ,0 ,0 ,0 ,0 ,0 ,4.569 ,737.452 ,27.996 ,2.863 ,25.134 ,109.986 ,0 ,0 ,4.841 ,1.924 ,0 ,103.222 ,158.676 ,158.676 ,440.795 ,0 ,25.726 ,1.598 ,413.470 ,0 ,161.388 ,161.388 ,8.826 ,0 ,4.749 ,0 ,33.408 ,1.586 ,34.982 ,0 ,77.838 ,204.365 ,204.365 ,0 ,0 ,0 ,175.263 ,0 ,0 ,0 ,29.102 ,0 ,447.901 
94.,MIKLAVŽ NA DRAVSKEM POLJU,2.897.296 ,866.696 ,207.361 ,33.771 ,625.555 ,168.570 ,1.594 ,86.651 ,2.303 ,3.217 ,177.391 ,4.874 ,0 ,9.811 ,171.144 ,8 ,0 ,0 ,8 ,0 ,0 ,786.367 ,52.750 ,0 ,52.750 ,198.782 ,0 ,1.239 ,3.338 ,0 ,334 ,193.870 ,79.265 ,79.265 ,455.571 ,0 ,21.424 ,3.572 ,430.575 ,0 ,1.125.526 ,1.125.526 ,0 ,0 ,20.301 ,3.163 ,770.952 ,210.136 ,305 ,0 ,120.669 ,118.707 ,118.707 ,810 ,0 ,25.451 ,0 ,0 ,0 ,0 ,92.447 ,0 ,-267.994 
95.,MIREN - KOSTANJEVICA,2.071.207 ,391.980 ,142.493 ,19.988 ,218.845 ,26.519 ,542 ,50.426 ,7.937 ,1.586 ,54.089 ,2.888 ,0 ,4.874 ,69.984 ,0 ,0 ,0 ,0 ,0 ,10.653 ,846.073 ,14.872 ,0 ,14.872 ,204.699 ,0 ,605 ,20.790 ,0 ,0 ,183.304 ,92.518 ,92.518 ,533.984 ,30.850 ,19.400 ,35.361 ,448.373 ,0 ,739.117 ,739.117 ,66.070 ,0 ,939 ,0 ,598.915 ,0 ,16.391 ,0 ,56.802 ,94.037 ,94.037 ,24.770 ,0 ,20.865 ,2.086 ,0 ,0 ,0 ,46.315 ,0 ,-97.229 
96.,MIRNA PEČ,1.317.919 ,302.591 ,65.728 ,8.504 ,221.683 ,17.772 ,0 ,25.851 ,1.673 ,1.231 ,101.068 ,11.455 ,1.006 ,2.007 ,59.619 ,0 ,0 ,0 ,0 ,0 ,6.677 ,591.742 ,56.731 ,0 ,56.731 ,112.318 ,0 ,0 ,0 ,0 ,0 ,112.318 ,51.310 ,51.310 ,371.382 ,0 ,7.465 ,0 ,363.917 ,0 ,375.204 ,375.204 ,0 ,21.098 ,24.057 ,0 ,163.958 ,75.467 ,250 ,0 ,90.373 ,48.381 ,48.381 ,11.188 ,0 ,34.360 ,0 ,0 ,0 ,0 ,2.833 ,0 ,-134.715 
97.,MISLINJA,2.062.356 ,538.900 ,88.612 ,13.061 ,427.979 ,46.486 ,92 ,32.507 ,5.012 ,901 ,261.451 ,3.610 ,0 ,3.580 ,74.341 ,309 ,0 ,0 ,309 ,0 ,8.938 ,719.588 ,18.015 ,0 ,18.015 ,314.730 ,0 ,0 ,1.602 ,0 ,0 ,313.128 ,83.721 ,83.721 ,303.121 ,6.193 ,16.425 ,11.250 ,269.254 ,0 ,750.684 ,750.684 ,0 ,0 ,18.428 ,0 ,613.403 ,45.627 ,6.380 ,0 ,66.846 ,53.184 ,53.184 ,0 ,0 ,47.133 ,0 ,0 ,0 ,835 ,5.216 ,0 ,109.652 
98.,MORAVČE,1.849.286 ,553.802 ,173.364 ,25.396 ,346.695 ,61.726 ,8.934 ,47.964 ,9.226 ,1.753 ,145.664 ,3.476 ,0 ,7.165 ,60.787 ,0 ,0 ,0 ,0 ,0 ,8.346 ,689.230 ,56.042 ,3.534 ,52.508 ,425.693 ,0 ,0 ,18.119 ,0 ,0 ,407.574 ,62.047 ,62.047 ,145.447 ,0 ,17.793 ,0 ,127.654 ,0 ,364.806 ,364.806 ,0 ,0 ,13.604 ,0 ,300.109 ,32.282 ,0 ,0 ,18.812 ,241.450 ,241.450 ,78.288 ,0 ,35.775 ,28.614 ,0 ,10.754 ,0 ,88.020 ,0 ,193.937 
99.,MORAVSKE TOPLICE,3.750.442 ,947.388 ,173.506 ,24.871 ,711.638 ,148.197 ,4.252 ,116.116 ,5.304 ,9.819 ,324.925 ,29 ,801 ,9.093 ,93.102 ,30.688 ,5.462 ,826 ,24.399 ,0 ,6.685 ,1.092.522 ,44.208 ,8.233 ,35.975 ,252.662 ,263 ,0 ,11.117 ,0 ,1.431 ,239.851 ,127.817 ,127.817 ,667.835 ,13.070 ,48.302 ,7.399 ,599.065 ,0 ,1.579.711 ,1.579.711 ,0 ,7.119 ,15.139 ,1.173 ,1.332.766 ,125.121 ,7.340 ,0 ,91.053 ,130.821 ,130.821 ,5.625 ,0 ,117.543 ,0 ,0 ,0 ,0 ,7.653 ,0 ,-169.004 
100.,MOZIRJE,2.807.340 ,678.630 ,186.108 ,26.202 ,409.243 ,57.090 ,13.270 ,55.525 ,1.344 ,926 ,171.027 ,14.363 ,2.086 ,9.381 ,84.231 ,42.255 ,19.525 ,22.313 ,417 ,0 ,14.822 ,1.135.891 ,55.633 ,234 ,55.400 ,185.086 ,918 ,4.444 ,0 ,0 ,0 ,179.724 ,118.048 ,118.048 ,777.124 ,69.688 ,21.140 ,10.599 ,675.697 ,0 ,816.742 ,816.742 ,0 ,0 ,6.047 ,0 ,704.895 ,69.504 ,3.484 ,0 ,32.812 ,176.077 ,176.077 ,259 ,0 ,75.734 ,0 ,0 ,28.338 ,3.902 ,67.843 ,0 ,48.047 
101.,MESTNA OBČINA MURSKA SOBOTA,10.907.157 ,2.692.313 ,821.941 ,118.657 ,1.559.285 ,173.352 ,4.056 ,290.569 ,30.041 ,13.433 ,754.377 ,14.096 ,14.605 ,36.647 ,228.109 ,128.956 ,118.161 ,0 ,10.795 ,0 ,63.474 ,4.286.588 ,69.947 ,0 ,69.947 ,329.982 ,0 ,0 ,0 ,0 ,23.156 ,306.827 ,821.791 ,821.791 ,3.064.868 ,0 ,223.256 ,301.218 ,2.540.394 ,0 ,2.877.888 ,2.877.888 ,78.630 ,0 ,155.250 ,0 ,2.327.061 ,121.624 ,33.529 ,0 ,161.793 ,1.050.367 ,1.050.367 ,67.601 ,0 ,51.327 ,468.048 ,0 ,0 ,0 ,463.391 ,0 ,726.903 
102.,MUTA,1.586.388 ,261.521 ,61.830 ,8.884 ,177.195 ,34.756 ,17.522 ,16.541 ,480 ,3.222 ,37.544 ,146 ,0 ,1.744 ,65.240 ,10.983 ,3.585 ,0 ,7.399 ,0 ,2.629 ,790.982 ,22.742 ,0 ,22.742 ,201.869 ,0 ,0 ,0 ,0 ,5.871 ,195.998 ,72.822 ,72.822 ,493.549 ,0 ,0 ,2.116 ,491.433 ,0 ,449.604 ,449.604 ,18.311 ,0 ,3.380 ,0 ,354.887 ,6.335 ,31.401 ,0 ,35.290 ,84.281 ,84.281 ,0 ,0 ,15.210 ,0 ,0 ,0 ,9.669 ,59.402 ,0 ,32.056 
103.,NAKLO,2.531.935 ,623.080 ,91.053 ,12.873 ,501.636 ,102.424 ,31.581 ,34.752 ,3.113 ,5.512 ,195.030 ,24.599 ,7.570 ,3.860 ,93.194 ,0 ,0 ,0 ,0 ,0 ,17.518 ,613.900 ,12.485 ,0 ,12.485 ,337.982 ,0 ,4.799 ,0 ,0 ,835 ,332.349 ,134.752 ,134.752 ,128.681 ,0 ,16.441 ,0 ,112.239 ,0 ,1.201.773 ,1.201.773 ,0 ,0 ,6.389 ,926 ,652.646 ,196.804 ,320.694 ,0 ,24.316 ,93.181 ,93.181 ,0 ,0 ,13.353 ,44.033 ,0 ,0 ,0 ,35.795 ,0 ,-155.800 
104.,NAZARJE,1.130.103 ,328.113 ,67.222 ,9.881 ,206.401 ,46.128 ,0 ,26.698 ,843 ,509 ,70.209 ,21.052 ,0 ,3.234 ,37.727 ,41.963 ,41.963 ,0 ,0 ,0 ,2.646 ,391.425 ,8.438 ,0 ,8.438 ,74.374 ,0 ,0 ,7.432 ,0 ,0 ,66.942 ,29.419 ,29.419 ,279.194 ,12.502 ,8.826 ,1.540 ,256.326 ,0 ,328.484 ,328.484 ,0 ,0 ,6.159 ,0 ,263.479 ,37.235 ,7.732 ,0 ,13.879 ,82.081 ,82.081 ,0 ,0 ,6.259 ,68.257 ,0 ,0 ,0 ,7.566 ,0 ,63.241 
105.,MESTNA OBČINA NOVA GORICA,25.397.308 ,5.510.566 ,1.436.225 ,210.766 ,3.747.112 ,582.962 ,78.334 ,1.193.853 ,54.014 ,17.288 ,760.791 ,36.989 ,19.471 ,78.839 ,924.570 ,0 ,0 ,0 ,0 ,0 ,116.462 ,8.338.466 ,557.386 ,240.995 ,316.391 ,918.991 ,0 ,0 ,0 ,0 ,28.751 ,890.240 ,1.165.836 ,1.165.836 ,5.696.253 ,428.063 ,146.052 ,172.763 ,4.949.374 ,0 ,5.327.412 ,5.327.412 ,43.098 ,12.661 ,136.697 ,910 ,3.053.885 ,405.191 ,960.349 ,0 ,714.622 ,6.220.865 ,6.220.865 ,603.718 ,438.157 ,378.630 ,2.876.269 ,0 ,0 ,0 ,1.924.090 ,0 ,-613.633 
106.,MESTNA OBČINA NOVO MESTO,27.421.962 ,6.428.847 ,1.298.030 ,192.635 ,4.456.656 ,361.630 ,18.753 ,707.157 ,15.690 ,18.849 ,839.714 ,123.882 ,32.837 ,0 ,2.338.145 ,439.797 ,439.797 ,0 ,0 ,0 ,41.729 ,8.533.734 ,803.464 ,572.634 ,230.830 ,1.344.767 ,5.116 ,0 ,324.032 ,0 ,6.506 ,1.009.114 ,113.913 ,113.913 ,6.271.591 ,7.853 ,0 ,261.880 ,6.001.857 ,0 ,12.448.948 ,12.448.948 ,0 ,0 ,377.270 ,8.346 ,9.230.938 ,1.844.187 ,557.557 ,0 ,430.650 ,10.432 ,10.432 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.432 ,0 ,-1.187.423 
