26.,DOBREPOLJE,2.853.205 ,1.509.802 ,1.143.257 ,823.327 ,823.327 ,173.965 ,134.535 ,113 ,3.747 ,35.570 ,145.965 ,1.640 ,0 ,144.325 ,0 ,0 ,366.546 ,140.523 ,0 ,30.396 ,110.128 ,7.011 ,7.011 ,1.999 ,1.999 ,1.995 ,1.995 ,215.018 ,215.018 ,34.806 ,0 ,0 ,0 ,0 ,0 ,0 ,34.806 ,0 ,34.806 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.308.596 ,1.308.596 ,1.308.596 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
27.,DOBRNA,1.513.808 ,780.383 ,637.702 ,449.320 ,449.320 ,52.833 ,41.379 ,0 ,2.896 ,8.559 ,135.549 ,309 ,0 ,135.240 ,0 ,0 ,142.681 ,31.351 ,63 ,3.530 ,27.758 ,1.740 ,1.740 ,906 ,906 ,38.683 ,38.683 ,70.001 ,70.001 ,179.928 ,25.246 ,25.246 ,0 ,0 ,0 ,0 ,154.682 ,0 ,154.682 ,0 ,835 ,835 ,835 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,552.662 ,546.403 ,546.403 ,0 ,0 ,0 ,0 ,6.259 ,0 ,0 ,6.259 ,0 ,0 ,0 ,0 ,0 
28.,DOBROVA - POLHOV GRADEC,5.361.597 ,3.080.903 ,2.592.122 ,2.168.767 ,2.168.767 ,338.625 ,177.464 ,0 ,31.331 ,129.830 ,84.729 ,12.287 ,0 ,72.443 ,0 ,0 ,488.782 ,75.042 ,0 ,46.873 ,28.168 ,4.772 ,4.772 ,12.206 ,12.206 ,118.622 ,118.622 ,278.141 ,278.141 ,20.382 ,0 ,0 ,0 ,0 ,0 ,0 ,20.382 ,17.508 ,2.874 ,0 ,4.670 ,4.670 ,4.670 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.255.642 ,2.255.642 ,935.365 ,1.320.278 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
29.,DOBROVNIK,1.665.738 ,494.583 ,289.448 ,221.520 ,221.520 ,26.456 ,18.532 ,0 ,1.041 ,6.883 ,41.471 ,70 ,0 ,41.401 ,0 ,0 ,205.136 ,26.079 ,0 ,1.780 ,24.299 ,1.785 ,1.785 ,376 ,376 ,707 ,707 ,176.189 ,176.189 ,308.327 ,0 ,0 ,0 ,0 ,0 ,0 ,308.327 ,0 ,0 ,308.327 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,862.828 ,862.828 ,815.964 ,0 ,0 ,46.864 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
30.,DOL PRI LJUBLJANI,3.689.150 ,2.878.956 ,2.253.359 ,1.683.054 ,1.683.054 ,433.162 ,305.078 ,46 ,6.969 ,121.069 ,137.143 ,3.034 ,0 ,134.110 ,0 ,0 ,625.597 ,46.240 ,0 ,16.955 ,29.286 ,2.863 ,2.863 ,380 ,380 ,4.064 ,4.064 ,572.050 ,572.050 ,384.218 ,0 ,0 ,0 ,0 ,0 ,0 ,384.218 ,0 ,384.218 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,425.976 ,425.976 ,57.361 ,367.572 ,0 ,1.043 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
31.,DOLENJSKE TOPLICE,2.603.860 ,1.615.131 ,1.263.716 ,948.836 ,948.836 ,146.495 ,97.329 ,0 ,4.861 ,44.304 ,168.386 ,451 ,0 ,167.935 ,0 ,0 ,351.415 ,44.116 ,100 ,4.490 ,39.526 ,2.199 ,2.199 ,5.225 ,5.225 ,6.689 ,6.689 ,293.186 ,293.186 ,275.776 ,83.784 ,83.784 ,0 ,0 ,0 ,9.894 ,182.098 ,0 ,132.094 ,50.004 ,3.468 ,3.468 ,3.468 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,709.485 ,709.485 ,682.111 ,27.374 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
32.,DOMŽALE,19.500.991 ,18.487.667 ,16.258.346 ,11.908.137 ,11.908.137 ,3.414.875 ,2.158.987 ,1.149 ,238.709 ,1.016.030 ,935.333 ,15.599 ,0 ,919.734 ,0 ,0 ,2.229.321 ,978.406 ,219 ,135.726 ,842.460 ,47.750 ,47.750 ,49.670 ,49.670 ,30.118 ,30.118 ,1.123.378 ,1.123.378 ,253.062 ,145.501 ,145.501 ,0 ,0 ,0 ,0 ,107.561 ,0 ,107.561 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,760.262 ,760.262 ,760.262 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
33.,DORNAVA,1.756.623 ,731.996 ,574.861 ,450.571 ,450.571 ,54.587 ,40.629 ,0 ,717 ,13.241 ,69.703 ,512 ,0 ,69.191 ,0 ,0 ,157.135 ,34.877 ,948 ,3.835 ,30.094 ,2.802 ,2.802 ,1.930 ,1.930 ,0 ,0 ,117.526 ,117.526 ,152.709 ,152.709 ,152.709 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,871.918 ,871.918 ,705.398 ,0 ,0 ,0 ,166.520 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
34.,DRAVOGRAD,7.099.047 ,4.367.232 ,3.130.606 ,2.015.648 ,2.015.648 ,719.037 ,600.402 ,0 ,4.953 ,113.681 ,395.921 ,2.975 ,0 ,392.946 ,0 ,0 ,1.236.626 ,741.414 ,7.077 ,8.124 ,726.213 ,7.978 ,7.978 ,4.742 ,4.742 ,3.384 ,3.384 ,479.107 ,479.107 ,372.638 ,263.540 ,263.540 ,0 ,0 ,0 ,0 ,109.097 ,44.683 ,64.414 ,0 ,4.110 ,4.110 ,4.110 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.355.067 ,1.944.972 ,1.944.972 ,0 ,0 ,0 ,0 ,410.095 ,0 ,0 ,0 ,410.095 ,0 ,0 ,0 ,0 
35.,DUPLEK,3.663.232 ,2.034.589 ,1.630.608 ,1.234.368 ,1.234.368 ,242.526 ,163.967 ,0 ,8.930 ,69.629 ,153.714 ,1.235 ,0 ,152.479 ,0 ,0 ,403.981 ,79.052 ,9.727 ,13.933 ,55.391 ,8.801 ,8.801 ,5.846 ,5.846 ,447 ,447 ,309.836 ,309.836 ,689 ,0 ,0 ,0 ,0 ,0 ,0 ,689 ,0 ,689 ,0 ,2.629 ,2.629 ,2.629 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.625.325 ,1.625.325 ,1.403.739 ,0 ,0 ,221.587 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
36.,GORENJA VAS - POLJANE,6.164.358 ,2.483.486 ,1.841.538 ,1.458.395 ,1.458.395 ,298.432 ,235.417 ,0 ,17.790 ,45.225 ,84.711 ,1.457 ,0 ,83.254 ,0 ,0 ,641.947 ,199.347 ,11.546 ,47.153 ,140.648 ,10.038 ,10.038 ,2.725 ,2.725 ,10.794 ,10.794 ,419.044 ,419.044 ,554.354 ,5.100 ,0 ,0 ,28 ,5.072 ,0 ,549.254 ,0 ,549.254 ,0 ,443.610 ,443.610 ,443.610 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.682.909 ,2.682.909 ,2.650.460 ,32.449 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
37.,GORIŠNICA,4.284.657 ,2.228.344 ,1.517.566 ,981.467 ,981.467 ,374.822 ,338.178 ,0 ,2.239 ,34.405 ,161.276 ,9.316 ,0 ,151.960 ,0 ,0 ,710.778 ,330.932 ,16.081 ,19.902 ,294.950 ,12.288 ,12.288 ,2.760 ,2.760 ,0 ,0 ,364.798 ,364.798 ,175.754 ,41.629 ,41.629 ,0 ,0 ,0 ,0 ,134.124 ,9.557 ,124.567 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.880.559 ,1.880.559 ,1.877.465 ,3.094 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
38.,GORNJA RADGONA,8.055.024 ,4.308.709 ,3.212.356 ,2.232.774 ,2.232.774 ,583.225 ,496.294 ,0 ,3.789 ,83.141 ,396.357 ,17.919 ,0 ,378.438 ,0 ,0 ,1.096.353 ,603.025 ,0 ,12.598 ,590.427 ,9.744 ,9.744 ,9.723 ,9.723 ,106.105 ,106.105 ,367.756 ,367.756 ,112.707 ,0 ,0 ,0 ,0 ,0 ,0 ,112.707 ,0 ,112.707 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.633.609 ,3.633.609 ,3.596.908 ,25.655 ,0 ,11.046 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
39.,GORNJI GRAD,1.774.366 ,672.638 ,572.421 ,426.719 ,426.719 ,71.582 ,55.913 ,0 ,309 ,15.361 ,74.120 ,739 ,0 ,73.381 ,0 ,0 ,100.217 ,77.946 ,19.654 ,109 ,58.183 ,4.119 ,4.119 ,363 ,363 ,0 ,0 ,17.789 ,17.789 ,45.990 ,4.544 ,4.544 ,0 ,0 ,0 ,0 ,41.446 ,125 ,41.320 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.055.738 ,1.055.738 ,1.055.738 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40.,GORNJI PETROVCI,2.060.841 ,413.975 ,378.059 ,288.040 ,288.040 ,73.385 ,55.621 ,0 ,1.264 ,16.500 ,16.633 ,1.519 ,0 ,15.114 ,0 ,0 ,35.916 ,3.447 ,0 ,288 ,3.159 ,1.623 ,1.623 ,789 ,789 ,0 ,0 ,30.058 ,30.058 ,772 ,0 ,0 ,0 ,0 ,0 ,0 ,772 ,0 ,772 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.646.094 ,1.646.094 ,1.646.094 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
41.,GRAD,1.521.207 ,429.768 ,280.335 ,205.205 ,205.205 ,65.990 ,62.348 ,0 ,3.385 ,257 ,9.141 ,541 ,0 ,8.600 ,0 ,0 ,149.432 ,13.814 ,927 ,419 ,12.468 ,5.779 ,5.779 ,0 ,0 ,31.307 ,31.307 ,98.533 ,98.533 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.955 ,2.955 ,2.955 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.088.484 ,1.088.484 ,1.048.581 ,0 ,0 ,39.904 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
42.,GROSUPLJE,11.464.263 ,10.361.697 ,8.454.590 ,6.019.333 ,6.019.333 ,1.221.057 ,810.887 ,396 ,-21.599 ,431.372 ,1.214.200 ,27.504 ,0 ,1.186.697 ,0 ,0 ,1.907.106 ,1.105.416 ,17 ,86.930 ,1.018.469 ,41.208 ,41.208 ,6.101 ,6.101 ,37.940 ,37.940 ,716.441 ,716.441 ,121.061 ,0 ,0 ,0 ,0 ,0 ,0 ,121.061 ,492 ,120.568 ,0 ,22.868 ,22.868 ,20.781 ,2.086 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,958.638 ,958.638 ,922.730 ,35.908 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
43.,HAJDINA,2.837.314 ,1.961.720 ,1.644.239 ,865.373 ,865.373 ,661.743 ,616.780 ,0 ,5.259 ,39.704 ,117.124 ,1.087 ,0 ,116.036 ,0 ,0 ,317.481 ,163.821 ,2.904 ,1.579 ,159.337 ,5.484 ,5.484 ,886 ,886 ,459 ,459 ,146.832 ,146.832 ,364.934 ,0 ,0 ,0 ,0 ,0 ,0 ,364.934 ,0 ,364.934 ,0 ,876 ,876 ,876 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,509.783 ,509.783 ,509.783 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
44.,HOČE - SLIVNICA,6.099.032 ,4.938.353 ,3.734.189 ,2.685.862 ,2.685.862 ,686.672 ,418.169 ,154 ,15.415 ,252.934 ,361.655 ,2.746 ,0 ,358.909 ,0 ,0 ,1.204.165 ,156.335 ,29.035 ,21.228 ,106.072 ,6.389 ,6.389 ,11.647 ,11.647 ,120.351 ,120.351 ,909.443 ,909.443 ,135.929 ,122.450 ,0 ,0 ,0 ,122.450 ,0 ,13.479 ,0 ,13.479 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.024.750 ,1.024.750 ,1.024.750 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
45.,HODOŠ,681.805 ,91.348 ,61.377 ,31.374 ,31.374 ,20.138 ,16.325 ,0 ,2.459 ,1.354 ,9.865 ,0 ,0 ,9.865 ,0 ,0 ,29.971 ,780 ,0 ,278 ,502 ,937 ,937 ,0 ,0 ,0 ,0 ,28.254 ,28.254 ,417 ,417 ,417 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.765 ,9.765 ,9.180 ,584 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,580.275 ,428.029 ,404.576 ,0 ,0 ,23.452 ,0 ,152.246 ,0 ,0 ,152.246 ,0 ,0 ,0 ,0 ,0 
46.,HORJUL,2.475.932 ,1.235.116 ,929.693 ,785.676 ,785.676 ,88.679 ,52.669 ,0 ,1.261 ,34.749 ,55.338 ,261 ,0 ,55.076 ,0 ,0 ,305.423 ,161.268 ,0 ,104.044 ,57.224 ,2.436 ,2.436 ,1.922 ,1.922 ,0 ,0 ,139.798 ,139.798 ,51.802 ,1.182 ,0 ,1.182 ,0 ,0 ,0 ,50.620 ,0 ,50.620 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.189.014 ,1.189.014 ,561.132 ,627.882 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
47.,HRASTNIK,7.027.967 ,4.729.778 ,3.905.350 ,2.456.810 ,2.456.810 ,849.403 ,786.121 ,0 ,6.201 ,57.081 ,599.136 ,39.897 ,0 ,559.239 ,0 ,0 ,824.428 ,602.583 ,12.197 ,21.411 ,568.974 ,15.661 ,15.661 ,530 ,530 ,1.335 ,1.335 ,204.319 ,204.319 ,299.612 ,137.331 ,137.331 ,0 ,0 ,0 ,0 ,162.281 ,0 ,162.281 ,0 ,99.316 ,99.316 ,99.316 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.899.261 ,1.618.887 ,1.618.887 ,0 ,0 ,0 ,0 ,280.375 ,0 ,0 ,280.375 ,0 ,0 ,0 ,0 ,0 
48.,HRPELJE - KOZINA,4.239.634 ,2.362.223 ,1.662.894 ,1.123.915 ,1.123.915 ,384.731 ,158.500 ,309 ,65.807 ,160.115 ,154.248 ,643 ,0 ,153.605 ,0 ,0 ,699.328 ,683.354 ,6.923 ,37.832 ,638.600 ,4.544 ,4.544 ,472 ,472 ,0 ,0 ,10.958 ,10.958 ,1.046.098 ,5.542 ,5.542 ,0 ,0 ,0 ,0 ,1.040.557 ,0 ,1.040.557 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,831.314 ,831.314 ,831.314 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
49.,IDRIJA,8.890.164 ,6.842.902 ,5.793.319 ,4.581.026 ,4.581.026 ,871.194 ,709.639 ,0 ,81.243 ,80.312 ,341.099 ,17.689 ,0 ,323.410 ,0 ,0 ,1.049.583 ,953.547 ,2.913 ,34.635 ,915.999 ,13.875 ,13.875 ,9.343 ,9.343 ,29.014 ,29.014 ,43.803 ,43.803 ,264.280 ,232.499 ,222.722 ,576 ,2.107 ,7.094 ,0 ,31.781 ,4.991 ,26.790 ,0 ,249.783 ,236.672 ,188.837 ,47.834 ,13.111 ,0 ,13.111 ,0 ,0 ,0 ,0 ,1.533.200 ,1.499.090 ,1.436.142 ,0 ,0 ,62.949 ,0 ,34.110 ,34.110 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
50.,IG,4.962.655 ,3.061.401 ,2.578.565 ,1.944.736 ,1.944.736 ,434.809 ,180.267 ,32 ,56.195 ,198.314 ,199.019 ,22.716 ,0 ,176.303 ,0 ,0 ,482.837 ,111.400 ,0 ,59.234 ,52.166 ,3.609 ,3.609 ,4.511 ,4.511 ,27.349 ,27.349 ,335.967 ,335.967 ,1.628.849 ,32.095 ,0 ,0 ,32.095 ,0 ,0 ,1.596.754 ,0 ,1.596.754 ,0 ,11.141 ,11.141 ,6.968 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,261.264 ,261.264 ,237.861 ,23.403 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
51.,ILIRSKA BISTRICA,8.839.430 ,5.179.995 ,4.543.378 ,3.558.133 ,3.558.133 ,594.801 ,416.729 ,13 ,67.643 ,110.416 ,390.444 ,2.074 ,0 ,388.370 ,0 ,0 ,636.617 ,351.932 ,0 ,55.162 ,296.770 ,14.184 ,14.184 ,8.363 ,8.363 ,1.790 ,1.790 ,260.349 ,260.349 ,111.997 ,76.719 ,76.719 ,0 ,0 ,0 ,0 ,35.278 ,2.917 ,32.361 ,0 ,851 ,851 ,851 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.546.587 ,3.546.587 ,3.538.954 ,7.632 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
52.,IVANČNA GORICA,8.790.110 ,6.222.471 ,4.926.427 ,3.919.600 ,3.919.600 ,537.406 ,123.139 ,275 ,103.301 ,310.691 ,469.421 ,5.646 ,0 ,463.775 ,0 ,0 ,1.296.044 ,452.929 ,113 ,160.015 ,292.802 ,30.078 ,30.078 ,3.948 ,3.948 ,24.837 ,24.837 ,784.251 ,784.251 ,320.869 ,217.693 ,217.693 ,0 ,0 ,0 ,0 ,103.176 ,1.761 ,101.415 ,0 ,7.094 ,7.094 ,4.006 ,3.088 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.239.676 ,2.239.676 ,2.221.783 ,17.894 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
53.,IZOLA,15.748.252 ,10.958.300 ,8.213.904 ,5.039.117 ,5.039.117 ,1.850.346 ,1.160.115 ,2.278 ,36.042 ,651.911 ,1.324.441 ,26.210 ,0 ,1.298.231 ,0 ,0 ,2.744.396 ,1.178.818 ,1.148 ,45.744 ,1.131.927 ,40.636 ,40.636 ,193.795 ,193.795 ,156.393 ,156.393 ,1.174.754 ,1.174.754 ,3.623.481 ,426.932 ,426.932 ,0 ,0 ,0 ,0 ,3.196.549 ,0 ,3.196.549 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.166.471 ,1.166.471 ,783.734 ,382.737 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
54.,JESENICE,14.052.923 ,9.758.515 ,7.474.766 ,5.201.022 ,5.201.022 ,1.872.538 ,1.510.779 ,8 ,44.241 ,317.510 ,401.206 ,34.247 ,0 ,366.959 ,0 ,0 ,2.283.749 ,1.459.690 ,39.881 ,111.079 ,1.308.730 ,24.558 ,24.558 ,13.111 ,13.111 ,209.339 ,209.339 ,577.051 ,577.051 ,149.040 ,89.334 ,89.021 ,138 ,175 ,0 ,0 ,59.706 ,0 ,59.706 ,0 ,8.738 ,8.738 ,8.304 ,434 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.136.630 ,3.400.711 ,3.376.529 ,24.182 ,0 ,0 ,0 ,735.918 ,0 ,0 ,735.918 ,0 ,0 ,0 ,0 ,0 
55.,JEZERSKO,610.436 ,282.319 ,257.657 ,203.948 ,203.948 ,24.453 ,23.965 ,0 ,0 ,488 ,29.256 ,275 ,0 ,28.981 ,0 ,0 ,24.662 ,13.061 ,3.585 ,2.408 ,7.069 ,513 ,513 ,334 ,334 ,1.143 ,1.143 ,9.610 ,9.610 ,41.262 ,41.262 ,41.262 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,286.855 ,284.005 ,284.005 ,0 ,0 ,0 ,0 ,2.850 ,0 ,0 ,0 ,0 ,0 ,0 ,2.850 ,0 
56.,JURŠINCI,1.418.828 ,378.743 ,327.783 ,228.418 ,228.418 ,45.610 ,34.635 ,0 ,2.750 ,8.225 ,53.756 ,317 ,0 ,53.438 ,0 ,0 ,50.960 ,15.043 ,522 ,739 ,13.783 ,3.923 ,3.923 ,2.007 ,2.007 ,860 ,860 ,29.127 ,29.127 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.523 ,1.523 ,1.168 ,355 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.038.562 ,1.038.562 ,1.026.394 ,12.168 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
57.,KAMNIK,19.355.780 ,16.041.679 ,10.743.799 ,8.302.308 ,8.302.308 ,1.934.118 ,1.129.803 ,33 ,100.739 ,703.543 ,507.374 ,23.790 ,0 ,483.584 ,0 ,0 ,5.297.880 ,753.676 ,0 ,114.701 ,638.975 ,41.216 ,41.216 ,38.149 ,38.149 ,96.190 ,96.190 ,4.368.649 ,4.368.649 ,810.232 ,58.546 ,57.916 ,0 ,630 ,0 ,0 ,751.686 ,338 ,751.348 ,0 ,1.168 ,1.168 ,1.168 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.502.700 ,2.502.700 ,2.427.679 ,75.021 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
58.,KANAL,5.234.564 ,3.859.126 ,2.274.290 ,1.544.995 ,1.544.995 ,527.559 ,479.090 ,0 ,16.694 ,31.774 ,201.735 ,2.727 ,0 ,199.008 ,0 ,0 ,1.584.836 ,982.574 ,6.025 ,10.148 ,966.401 ,6.146 ,6.146 ,2.259 ,2.259 ,122.061 ,122.061 ,471.797 ,471.797 ,65.333 ,56.100 ,56.100 ,0 ,0 ,0 ,0 ,9.233 ,1.789 ,7.443 ,0 ,137.010 ,137.010 ,137.010 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.173.095 ,1.161.064 ,1.152.446 ,0 ,0 ,8.618 ,0 ,12.031 ,12.031 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
59.,KIDRIČEVO,4.987.289 ,2.406.531 ,2.203.292 ,1.446.470 ,1.446.470 ,547.818 ,494.304 ,0 ,3.322 ,50.192 ,209.005 ,2.758 ,0 ,206.247 ,0 ,0 ,203.238 ,108.154 ,10.341 ,7.607 ,90.206 ,11.814 ,11.814 ,3.551 ,3.551 ,159 ,159 ,79.561 ,79.561 ,656.915 ,154.515 ,154.515 ,0 ,0 ,0 ,0 ,502.399 ,0 ,502.399 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.923.844 ,1.923.844 ,1.889.380 ,34.464 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
60.,KOBARID,4.484.477 ,2.091.804 ,1.461.146 ,1.121.407 ,1.121.407 ,159.139 ,94.350 ,0 ,20.639 ,44.150 ,180.600 ,242 ,0 ,180.358 ,0 ,0 ,630.658 ,586.067 ,3.543 ,1.410 ,581.113 ,3.802 ,3.802 ,718 ,718 ,16.946 ,16.946 ,23.126 ,23.126 ,29.006 ,8.116 ,8.116 ,0 ,0 ,0 ,0 ,20.890 ,0 ,20.890 ,0 ,8.246 ,8.246 ,8.246 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.355.421 ,2.355.421 ,2.355.421 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
61.,KOBILJE,629.692 ,138.687 ,93.500 ,77.863 ,77.863 ,9.020 ,7.422 ,0 ,67 ,1.531 ,6.617 ,76 ,0 ,6.541 ,0 ,0 ,45.187 ,16.327 ,0 ,491 ,15.836 ,501 ,501 ,0 ,0 ,0 ,0 ,28.359 ,28.359 ,8.427 ,1.931 ,1.931 ,0 ,0 ,0 ,0 ,6.496 ,6.079 ,417 ,0 ,1.953 ,1.953 ,0 ,1.953 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,480.625 ,480.625 ,456.477 ,0 ,0 ,24.148 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
62.,KOČEVJE,12.897.525 ,6.689.468 ,4.979.736 ,3.898.886 ,3.898.886 ,553.514 ,361.192 ,351 ,15.244 ,176.728 ,527.337 ,10.328 ,0 ,517.009 ,0 ,0 ,1.709.731 ,819.909 ,225 ,53.059 ,766.625 ,21.787 ,21.787 ,0 ,0 ,80.800 ,80.800 ,787.235 ,787.235 ,1.195.164 ,161.910 ,153.355 ,0 ,0 ,8.555 ,0 ,1.033.254 ,0 ,1.033.254 ,0 ,5.008 ,5.008 ,5.008 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.007.887 ,5.007.887 ,5.000.100 ,0 ,0 ,7.787 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
63.,KOMEN,2.795.752 ,1.955.750 ,1.394.483 ,1.143.995 ,1.143.995 ,144.429 ,79.052 ,0 ,19.863 ,45.514 ,106.059 ,117 ,0 ,105.942 ,0 ,0 ,561.267 ,531.935 ,2.829 ,1.899 ,527.207 ,6.501 ,6.501 ,0 ,0 ,22.559 ,22.559 ,271 ,271 ,102.696 ,28.163 ,28.163 ,0 ,0 ,0 ,0 ,74.533 ,0 ,74.533 ,0 ,71.862 ,5.771 ,5.771 ,0 ,66.091 ,66.091 ,0 ,0 ,0 ,0 ,0 ,665.444 ,633.258 ,574.403 ,58.855 ,0 ,0 ,0 ,32.186 ,32.186 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
64.,KOMENDA,13.459.948 ,2.730.617 ,2.158.696 ,1.554.407 ,1.554.407 ,343.653 ,205.508 ,13 ,1.164 ,136.968 ,260.637 ,1.097 ,0 ,259.539 ,0 ,0 ,571.920 ,61.864 ,0 ,2.583 ,59.281 ,19.659 ,19.659 ,363 ,363 ,168.156 ,168.156 ,321.879 ,321.879 ,10.490.369 ,0 ,0 ,0 ,0 ,0 ,0 ,10.490.369 ,0 ,10.490.369 ,0 ,417 ,417 ,417 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,238.545 ,238.545 ,238.545 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
