,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,FI
,,,,,,,,,,,,,,,,STANJE SREDSTEV NA RAČUNIH OB KONCU PRETEKLEGA LETA,- OD TEGA PRESEŽEK FINANČNE IZRAVNAVE IZ PRETEKLEGA LETA
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO FINANCIRANJE,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VI.+VII.-VIII.-IX.=-III),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,
56.,JURŠINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,75.275 ,-75.275 ,35.649 ,0 
57.,KAMNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,490.886 ,-487.861 ,1.414.651 ,0 
58.,KANAL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,389.975 ,-389.975 ,239.196 ,0 
59.,KIDRIČEVO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-552.529 ,550.134 ,872.112 ,0 
60.,KOBARID,292.105 ,292.105 ,292.105 ,0 ,0 ,0 ,214.488 ,214.488 ,214.488 ,0 ,0 ,0 ,-2.195 ,82.332 ,4.670 ,0 
61.,KOBILJE,10.717 ,10.717 ,10.717 ,0 ,0 ,0 ,10.717 ,10.717 ,10.717 ,0 ,0 ,0 ,16.665 ,-16.665 ,0 ,0 
62.,KOČEVJE,913.153 ,913.153 ,0 ,0 ,913.153 ,0 ,691.370 ,691.370 ,125.939 ,0 ,565.431 ,0 ,272.217 ,-50.434 ,138.090 ,0 
63.,KOMEN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,107.449 ,-77.445 ,2.988 ,0 
64.,KOMENDA,0 ,0 ,0 ,0 ,0 ,0 ,39.643 ,39.643 ,39.643 ,0 ,0 ,0 ,-148.619 ,108.976 ,3.359 ,0 
65.,MESTNA OBČINA KOPER,0 ,0 ,0 ,0 ,0 ,0 ,401.782 ,401.782 ,136.805 ,0 ,264.977 ,0 ,795.452 ,-979.686 ,3.751.511 ,0 
66.,KOSTEL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.140 ,-4.140 ,0 ,0 
67.,KOZJE,0 ,0 ,0 ,0 ,0 ,0 ,11.037 ,11.037 ,0 ,0 ,11.037 ,0 ,1.661 ,-12.698 ,23.448 ,0 
68.,MESTNA OBČINA KRANJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.049.491 ,-601.778 ,231.405 ,0 
69.,KRANJSKA GORA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,134.944 ,-139.117 ,44.008 ,0 
70.,KRIŽEVCI,0 ,0 ,0 ,0 ,0 ,0 ,5.395 ,5.395 ,0 ,0 ,5.395 ,0 ,104.659 ,-108.625 ,339.772 ,0 
71.,KRŠKO,989.868 ,989.868 ,817.894 ,0 ,171.975 ,0 ,306.485 ,306.485 ,304.765 ,0 ,1.719 ,0 ,-67.076 ,773.068 ,187.723 ,0 
72.,KUNGOTA,247.801 ,247.801 ,112.402 ,0 ,135.399 ,0 ,122.404 ,122.404 ,104.135 ,4.277 ,13.992 ,0 ,110.749 ,14.647 ,31.435 ,0 
73.,KUZMA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38.508 ,-36.910 ,0 ,0 
74.,LAŠKO,173.802 ,173.802 ,0 ,0 ,173.802 ,0 ,114.338 ,114.338 ,114.338 ,0 ,0 ,0 ,31.393 ,47.066 ,179.035 ,0 
75.,LENART,331.748 ,331.748 ,331.748 ,0 ,0 ,0 ,73.310 ,73.310 ,53.272 ,0 ,20.038 ,0 ,-68.490 ,326.928 ,0 ,0 
