49.,IDRIJA,8.608.968 ,1.986.313 ,419.362 ,69.054 ,33.283 ,26.661 ,225 ,376 ,8.509 ,1.446.670 ,832.161 ,0 ,79.319 ,15.369 ,3.948 ,336.300 ,275 ,14.509 ,25.593 ,139.196 ,7.086 ,4.198 ,0 ,2.888 ,0 ,44.141 ,9.443 ,16.350 ,18.348 ,3.140.903 ,58.701 ,0 ,58.701 ,1.175.171 ,0 ,0 ,0 ,0 ,2.028 ,1.173.143 ,443.302 ,443.302 ,1.463.729 ,599.921 ,41.984 ,12.085 ,809.740 ,0 ,0 ,0 ,2.840.235 ,2.840.235 ,117.055 ,0 ,54.382 ,835 ,2.255.162 ,250.221 ,5.362 ,0 ,157.219 ,641.516 ,167.681 ,53.343 ,0 ,0 ,114.338 ,473.836 ,82.202 ,366.128 ,0 ,7.236 ,18.269 ,0 ,0 ,-952.141 
50.,IG,3.540.507 ,1.055.087 ,174.570 ,28.005 ,13.637 ,10.925 ,92 ,154 ,3.196 ,852.195 ,161.939 ,9.089 ,60.683 ,4.899 ,3.100 ,323.673 ,605 ,0 ,7.140 ,281.067 ,0 ,0 ,0 ,0 ,0 ,317 ,0 ,0 ,317 ,1.155.533 ,26.486 ,0 ,26.486 ,529.878 ,292 ,1.369 ,71.749 ,0 ,0 ,456.468 ,139.096 ,139.096 ,460.073 ,0 ,47.225 ,0 ,412.848 ,0 ,0 ,0 ,604.853 ,604.853 ,0 ,0 ,34.652 ,0 ,385.228 ,17.472 ,104.586 ,0 ,62.915 ,725.033 ,43.415 ,0 ,0 ,947 ,42.468 ,681.618 ,51.573 ,630.045 ,0 ,0 ,0 ,0 ,0 ,-544.170 
51.,ILIRSKA BISTRICA,7.636.951 ,1.863.712 ,395.485 ,68.716 ,31.239 ,25.814 ,213 ,355 ,11.096 ,1.376.419 ,174.462 ,92 ,240.728 ,8.112 ,2.283 ,728.601 ,36.163 ,5.884 ,17.681 ,162.414 ,8.488 ,2.070 ,0 ,6.418 ,0 ,14.605 ,0 ,14.605 ,0 ,3.027.929 ,27.788 ,0 ,27.788 ,1.375.121 ,0 ,23.748 ,0 ,0 ,60.691 ,1.290.682 ,507.691 ,507.691 ,1.117.330 ,183.475 ,100.058 ,12.135 ,721.670 ,99.992 ,0 ,0 ,2.256.009 ,2.256.009 ,464.180 ,0 ,260.954 ,129 ,1.248.398 ,29.765 ,32.883 ,0 ,219.700 ,489.301 ,196.816 ,188.170 ,0 ,0 ,8.646 ,292.485 ,88.875 ,198.706 ,0 ,0 ,4.903 ,0 ,0 ,-538.245 
52.,IVANČNA GORICA,7.633.283 ,1.306.239 ,297.584 ,50.342 ,24.003 ,19.246 ,163 ,271 ,6.660 ,958.020 ,92.397 ,129 ,38.378 ,8.129 ,1.327 ,556.485 ,8.162 ,885 ,14.180 ,237.949 ,292 ,0 ,0 ,292 ,0 ,0 ,0 ,0 ,0 ,2.715.982 ,0 ,0 ,0 ,1.531.397 ,0 ,0 ,13.579 ,0 ,0 ,1.517.818 ,458.751 ,458.751 ,725.835 ,178.868 ,88.641 ,0 ,458.325 ,0 ,0 ,0 ,2.711.158 ,2.711.158 ,149.432 ,0 ,312.135 ,1.052 ,1.851.435 ,274.612 ,5.971 ,0 ,116.521 ,899.904 ,188.792 ,78.196 ,0 ,0 ,110.595 ,711.113 ,120.088 ,591.024 ,0 ,0 ,0 ,0 ,0 ,-325.655 
53.,IZOLA,13.659.114 ,4.160.265 ,1.071.098 ,182.036 ,85.407 ,68.649 ,580 ,968 ,26.431 ,2.846.019 ,639.000 ,14.438 ,1.132.269 ,40.248 ,23.469 ,327.988 ,21.470 ,7.741 ,55.763 ,583.634 ,19.383 ,0 ,0 ,19.383 ,0 ,41.729 ,0 ,41.729 ,0 ,3.728.589 ,75.759 ,0 ,75.759 ,1.263.399 ,7.887 ,0 ,54.236 ,0 ,6.259 ,1.195.018 ,561.163 ,561.163 ,1.828.267 ,37.402 ,177.938 ,45.314 ,1.567.614 ,0 ,0 ,0 ,3.479.081 ,3.479.081 ,55.592 ,11.317 ,390.494 ,48.635 ,1.284.114 ,941.813 ,355.880 ,0 ,391.237 ,2.291.178 ,1.050.376 ,237.590 ,0 ,0 ,812.786 ,1.240.803 ,26.177 ,1.067.852 ,0 ,81.864 ,64.910 ,0 ,0 ,-1.056.614 
54.,JESENICE,11.409.322 ,3.713.378 ,884.268 ,148.973 ,68.962 ,54.999 ,467 ,776 ,23.769 ,2.666.946 ,359.289 ,5.512 ,229.190 ,17.560 ,9.139 ,1.337.239 ,35.399 ,11.167 ,39.614 ,622.838 ,13.191 ,0 ,0 ,13.191 ,0 ,0 ,0 ,0 ,0 ,4.770.272 ,98.544 ,0 ,98.544 ,1.893.974 ,17.151 ,0 ,120.280 ,0 ,12.293 ,1.744.250 ,549.399 ,549.399 ,2.228.355 ,43.094 ,177.984 ,27.646 ,1.977.545 ,2.086 ,0 ,0 ,2.202.967 ,2.202.967 ,225.526 ,18.098 ,55.604 ,1.627 ,442.243 ,636.693 ,511.125 ,0 ,312.051 ,722.705 ,324.900 ,15.790 ,0 ,0 ,309.110 ,397.805 ,3.451 ,346.286 ,0 ,0 ,36.880 ,11.188 ,0 ,403.468 
55.,JEZERSKO,461.997 ,195.122 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,191.429 ,32.979 ,793 ,16.241 ,39.480 ,0 ,30.976 ,0 ,0 ,0 ,70.961 ,0 ,0 ,0 ,0 ,0 ,3.693 ,1.974 ,1.719 ,0 ,119.312 ,6.322 ,0 ,6.322 ,51.669 ,0 ,1.002 ,0 ,0 ,0 ,50.668 ,16.592 ,16.592 ,44.730 ,0 ,3.209 ,0 ,41.521 ,0 ,0 ,0 ,131.643 ,131.643 ,0 ,0 ,10.829 ,868 ,25.801 ,25.497 ,0 ,17.539 ,51.110 ,15.920 ,413 ,0 ,0 ,0 ,413 ,15.507 ,12.519 ,2.988 ,0 ,0 ,0 ,0 ,0 ,-25.138 
56.,JURŠINCI,1.233.338 ,243.273 ,55.041 ,9.527 ,4.198 ,3.363 ,29 ,46 ,1.890 ,178.706 ,17.339 ,3.317 ,18.695 ,0 ,3.034 ,88.070 ,67 ,0 ,1.594 ,46.591 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,393.766 ,25.204 ,0 ,25.204 ,201.035 ,0 ,0 ,0 ,0 ,0 ,201.035 ,36.859 ,36.859 ,130.667 ,12.089 ,38.721 ,0 ,79.857 ,0 ,0 ,0 ,556.143 ,556.143 ,0 ,0 ,83.008 ,0 ,462.260 ,0 ,0 ,0 ,10.875 ,40.156 ,35.983 ,6.906 ,0 ,0 ,29.077 ,4.173 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,-65.815 
57.,KAMNIK,14.195.931 ,2.033.988 ,805.154 ,136.592 ,64.138 ,51.356 ,434 ,726 ,19.938 ,1.050.117 ,292.568 ,207.974 ,115.344 ,7.628 ,7.770 ,137.081 ,21.186 ,0 ,40.957 ,219.609 ,0 ,0 ,0 ,0 ,0 ,42.126 ,0 ,42.076 ,50 ,6.888.963 ,235.896 ,0 ,235.896 ,2.520.973 ,0 ,0 ,0 ,0 ,0 ,2.520.973 ,861.342 ,861.342 ,3.270.752 ,47.225 ,238.983 ,20.748 ,1.446.933 ,1.516.863 ,0 ,0 ,4.687.994 ,4.687.994 ,147.012 ,0 ,268.632 ,0 ,3.198.556 ,196.249 ,200.835 ,0 ,676.711 ,584.986 ,473.903 ,29.461 ,0 ,0 ,444.442 ,111.083 ,109.205 ,0 ,0 ,0 ,1.878 ,0 ,0 ,600.655 
58.,KANAL,5.027.028 ,1.055.842 ,239.906 ,41.768 ,19.444 ,14.959 ,127 ,218 ,7.021 ,774.168 ,42.335 ,5.988 ,101.830 ,6.562 ,4.526 ,337.255 ,3.295 ,4.959 ,11.151 ,256.268 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.551.967 ,47.881 ,0 ,47.881 ,310.941 ,0 ,0 ,0 ,0 ,4.148 ,306.793 ,335.304 ,335.304 ,857.841 ,59.591 ,46.459 ,63.043 ,688.748 ,0 ,0 ,0 ,2.315.027 ,2.315.027 ,169.268 ,10.168 ,12.594 ,0 ,1.922.182 ,70.341 ,21.610 ,0 ,108.864 ,104.192 ,53.555 ,0 ,0 ,0 ,53.555 ,50.637 ,50.637 ,0 ,0 ,0 ,0 ,0 ,0 ,198.028 
59.,KIDRIČEVO,4.609.272 ,1.088.733 ,197.776 ,33.559 ,15.936 ,12.690 ,109 ,179 ,4.644 ,855.312 ,74.257 ,1.410 ,191.471 ,2.278 ,6.940 ,372.868 ,14.109 ,2.800 ,12.101 ,177.078 ,0 ,0 ,0 ,0 ,0 ,2.086 ,0 ,2.086 ,0 ,1.221.724 ,112.006 ,0 ,112.006 ,625.759 ,0 ,0 ,0 ,0 ,0 ,625.759 ,172.308 ,172.308 ,311.651 ,451 ,65.323 ,1.561 ,234.552 ,9.765 ,0 ,0 ,1.996.849 ,1.996.849 ,47.517 ,0 ,256.276 ,2.904 ,1.537.402 ,49.783 ,6.259 ,0 ,96.708 ,301.965 ,89.271 ,38.608 ,0 ,0 ,50.664 ,212.694 ,97.083 ,115.611 ,0 ,0 ,0 ,0 ,0 ,-716.178 
60.,KOBARID,3.455.300 ,852.737 ,261.434 ,44.337 ,19.367 ,16.466 ,225 ,225 ,8.054 ,509.089 ,97.663 ,0 ,163.274 ,4.110 ,3.764 ,106.092 ,36.880 ,668 ,12.277 ,84.360 ,35.386 ,35.386 ,0 ,0 ,0 ,2.491 ,2.491 ,0 ,0 ,1.172.571 ,5.800 ,0 ,5.800 ,658.333 ,0 ,1.168 ,7.232 ,0 ,0 ,649.933 ,82.599 ,82.599 ,425.839 ,17.939 ,32.282 ,388 ,367.280 ,7.949 ,0 ,0 ,848.252 ,848.252 ,13.879 ,0 ,29.536 ,0 ,415.444 ,326.139 ,0 ,20.827 ,42.426 ,581.739 ,100.242 ,0 ,0 ,0 ,100.242 ,481.497 ,0 ,481.497 ,0 ,0 ,0 ,0 ,0 ,-217.071 
61.,KOBILJE,421.767 ,138.267 ,40.889 ,6.467 ,6.467 ,0 ,0 ,0 ,0 ,85.583 ,9.308 ,4.073 ,22.304 ,2.310 ,3.577 ,20.258 ,1.895 ,0 ,0 ,21.859 ,5.327 ,5.237 ,90 ,0 ,0 ,0 ,0 ,0 ,0 ,127.335 ,0 ,0 ,0 ,16.374 ,0 ,1.043 ,0 ,0 ,2.009 ,13.321 ,14.583 ,14.583 ,96.378 ,2.788 ,5.483 ,398 ,87.710 ,0 ,0 ,0 ,136.970 ,136.970 ,22.259 ,48.817 ,7.367 ,0 ,36.066 ,8.289 ,0 ,0 ,14.171 ,19.196 ,19.196 ,2.980 ,0 ,0 ,16.216 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.818 
62.,KOČEVJE,8.974.554 ,2.177.466 ,511.776 ,88.825 ,41.220 ,33.025 ,280 ,467 ,13.833 ,1.525.417 ,235.311 ,97.288 ,196.299 ,10.416 ,3.038 ,727.604 ,6.122 ,5.992 ,27.349 ,215.999 ,51.448 ,51.448 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.054.344 ,8.755 ,0 ,8.755 ,1.829.503 ,0 ,24.099 ,0 ,0 ,6.259 ,1.799.145 ,253.142 ,253.142 ,962.323 ,2.086 ,154.899 ,41.329 ,764.009 ,0 ,0 ,622 ,3.432.987 ,3.432.987 ,0 ,10.683 ,446.553 ,0 ,2.418.920 ,295.397 ,32.478 ,0 ,228.956 ,309.756 ,84.051 ,0 ,0 ,0 ,84.051 ,225.705 ,113.086 ,112.619 ,0 ,0 ,0 ,0 ,0 ,642.397 
63.,KOMEN,2.392.985 ,984.585 ,113.078 ,18.181 ,8.496 ,6.806 ,58 ,96 ,2.725 ,839.513 ,114.956 ,18.528 ,115.532 ,0 ,6.906 ,87.064 ,172.171 ,0 ,5.600 ,318.757 ,0 ,0 ,0 ,0 ,0 ,13.812 ,0 ,13.812 ,0 ,844.575 ,2.554 ,2.554 ,0 ,389.255 ,0 ,0 ,0 ,0 ,0 ,389.255 ,94.095 ,94.095 ,358.671 ,34.748 ,19.796 ,0 ,304.127 ,0 ,0 ,0 ,321.549 ,321.549 ,0 ,0 ,20.401 ,0 ,13.921 ,167.693 ,25.939 ,0 ,93.595 ,242.276 ,210.804 ,0 ,0 ,186.843 ,23.961 ,31.472 ,0 ,31.472 ,0 ,0 ,0 ,0 ,0 ,-62.869 
64.,KOMENDA,7.800.655 ,730.512 ,207.553 ,33.446 ,16.433 ,12.878 ,109 ,184 ,3.843 ,431.643 ,86.722 ,14.760 ,59.239 ,5.103 ,3.259 ,13.362 ,6.764 ,2.662 ,10.929 ,228.843 ,676 ,676 ,0 ,0 ,0 ,57.194 ,8.392 ,48.802 ,0 ,1.071.887 ,61.918 ,0 ,61.918 ,401.899 ,0 ,0 ,0 ,0 ,0 ,401.899 ,143.649 ,143.649 ,464.422 ,0 ,35.800 ,0 ,200.797 ,227.825 ,0 ,0 ,5.893.065 ,5.893.065 ,71.224 ,0 ,50.659 ,0 ,1.647.905 ,359.518 ,3.317.322 ,0 ,446.436 ,105.191 ,31.022 ,0 ,0 ,0 ,31.022 ,74.170 ,74.170 ,0 ,0 ,0 ,0 ,0 ,0 ,1.913.049 
65.,MESTNA OBČINA KOPER,37.562.606 ,5.988.712 ,2.225.906 ,372.538 ,175.171 ,140.331 ,1.189 ,1.978 ,53.868 ,3.056.205 ,375.117 ,25.701 ,224.441 ,75.522 ,18.290 ,379.210 ,43.486 ,0 ,114.981 ,1.799.458 ,30.875 ,12.794 ,0 ,18.081 ,0 ,303.188 ,261.459 ,41.729 ,0 ,18.078.564 ,1.109.335 ,0 ,1.109.335 ,6.960.833 ,0 ,0 ,0 ,0 ,0 ,6.960.833 ,1.959.861 ,1.959.861 ,8.048.535 ,550.597 ,583.659 ,0 ,4.183.095 ,2.597.429 ,133.755 ,0 ,9.513.074 ,9.513.074 ,73.965 ,33.934 ,460.174 ,51.385 ,3.325.872 ,2.127.525 ,2.668.503 ,103.751 ,667.964 ,3.982.257 ,993.528 ,199.111 ,333.834 ,0 ,460.583 ,2.988.729 ,209.485 ,2.696.086 ,0 ,4.210 ,78.948 ,0 ,0 ,5.671.349 
66.,KOSTEL,1.202.637 ,229.031 ,92.059 ,10.211 ,4.736 ,3.789 ,33 ,54 ,1.598 ,121.378 ,46.804 ,21 ,33.033 ,0 ,2.036 ,26.803 ,4.373 ,0 ,2.007 ,6.301 ,5.383 ,0 ,1.803 ,3.580 ,0 ,0 ,0 ,0 ,0 ,173.001 ,0 ,0 ,0 ,109.076 ,0 ,0 ,15.486 ,0 ,0 ,93.590 ,20.093 ,20.093 ,43.832 ,376 ,0 ,1.402 ,42.055 ,0 ,0 ,0 ,796.641 ,796.641 ,6.243 ,0 ,7.111 ,16.037 ,569.855 ,127.162 ,0 ,0 ,70.235 ,3.964 ,3.964 ,0 ,0 ,0 ,3.964 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-70.447 
67.,KOZJE,1.856.047 ,503.255 ,112.652 ,18.678 ,9.093 ,7.286 ,63 ,104 ,2.132 ,364.814 ,43.085 ,0 ,22.154 ,0 ,5.913 ,220.468 ,1.285 ,1.486 ,6.927 ,63.495 ,2.262 ,0 ,0 ,2.262 ,0 ,4.849 ,0 ,4.849 ,0 ,864.134 ,39.372 ,0 ,39.372 ,442.334 ,0 ,0 ,0 ,0 ,0 ,442.334 ,71.712 ,71.712 ,310.716 ,64.488 ,38.011 ,0 ,208.216 ,0 ,0 ,0 ,389.388 ,389.388 ,4.081 ,0 ,41.592 ,0 ,289.630 ,38.203 ,0 ,0 ,15.882 ,99.270 ,56.635 ,0 ,0 ,0 ,56.635 ,42.635 ,5.842 ,36.793 ,0 ,0 ,0 ,0 ,0 ,21.632 
68.,MESTNA OBČINA KRANJ,29.940.632 ,7.840.611 ,1.537.093 ,264.159 ,121.061 ,96.983 ,822 ,1.369 ,43.924 ,4.365.548 ,645.118 ,37.924 ,490.048 ,26.310 ,4.807 ,2.132.219 ,18.181 ,374.929 ,78.977 ,557.036 ,0 ,0 ,0 ,0 ,0 ,1.673.811 ,0 ,41.729 ,1.632.081 ,12.948.660 ,790.064 ,0 ,790.064 ,4.508.150 ,0 ,0 ,26.010 ,0 ,20.401 ,4.461.738 ,806.105 ,806.105 ,6.844.342 ,372.004 ,354.907 ,0 ,6.117.430 ,0 ,0 ,0 ,5.316.688 ,5.316.688 ,226.456 ,0 ,309.427 ,0 ,2.213.049 ,1.642.923 ,406.635 ,0 ,518.198 ,3.834.673 ,1.637.807 ,403.764 ,0 ,180.738 ,1.053.305 ,2.196.866 ,276.799 ,1.920.068 ,0 ,0 ,0 ,0 ,0 ,2.173.686 
69.,KRANJSKA GORA,5.361.951 ,2.340.306 ,374.770 ,62.690 ,29.569 ,23.690 ,200 ,334 ,8.897 ,1.875.221 ,92.001 ,989.639 ,50.722 ,6.076 ,2.182 ,585.499 ,29.094 ,1.252 ,22.046 ,96.712 ,0 ,0 ,0 ,0 ,0 ,27.625 ,6.760 ,20.865 ,0 ,1.595.585 ,39.259 ,0 ,39.259 ,537.732 ,6.710 ,0 ,0 ,0 ,0 ,531.022 ,308.162 ,308.162 ,710.432 ,17.989 ,41.984 ,0 ,650.459 ,0 ,0 ,0 ,1.006.714 ,1.006.714 ,0 ,0 ,24.140 ,0 ,897.217 ,31.013 ,13.366 ,0 ,40.978 ,419.346 ,78.668 ,0 ,0 ,0 ,78.668 ,340.678 ,115.498 ,82.223 ,0 ,0 ,843 ,142.113 ,0 ,1.037.694 
70.,KRIŽEVCI,1.627.681 ,233.310 ,90.873 ,15.405 ,7.138 ,5.718 ,48 ,81 ,2.421 ,121.388 ,20.809 ,3.859 ,24.754 ,2.816 ,479 ,20.625 ,0 ,0 ,3.845 ,44.201 ,1.625 ,0 ,0 ,1.625 ,0 ,4.018 ,897 ,3.121 ,0 ,725.244 ,58.864 ,0 ,58.864 ,369.625 ,0 ,0 ,0 ,0 ,2.700 ,366.925 ,44.887 ,44.887 ,251.868 ,0 ,18.305 ,302 ,175.902 ,57.358 ,0 ,0 ,119.775 ,119.775 ,0 ,0 ,17.554 ,0 ,51.102 ,0 ,6.602 ,0 ,44.518 ,549.352 ,79.693 ,23.953 ,0 ,0 ,55.741 ,469.659 ,54.480 ,0 ,0 ,0 ,5.775 ,409.404 ,0 ,62.984 
71.,KRŠKO,21.178.009 ,5.518.094 ,1.061.471 ,181.176 ,83.926 ,67.389 ,568 ,947 ,28.347 ,3.914.726 ,317.877 ,52.362 ,403.472 ,35.503 ,9.594 ,1.740.185 ,58.947 ,1.573 ,51.707 ,1.243.507 ,191.133 ,191.078 ,0 ,54 ,0 ,169.588 ,62.302 ,107.286 ,0 ,7.876.160 ,409.577 ,18.031 ,391.546 ,3.836.163 ,0 ,0 ,8.742 ,0 ,0 ,3.827.420 ,895.477 ,895.477 ,2.734.944 ,477.854 ,282.036 ,14.276 ,1.960.779 ,0 ,0 ,0 ,3.186.559 ,3.186.559 ,18.686 ,33.621 ,190.886 ,0 ,2.002.733 ,317.772 ,205.199 ,6.890 ,410.770 ,4.597.196 ,2.664.347 ,299.432 ,0 ,344.538 ,2.020.376 ,1.932.849 ,99.203 ,0 ,0 ,32.194 ,99.407 ,1.695.514 ,6.531 ,326.982 
72.,KUNGOTA,2.755.166 ,251.732 ,105.404 ,17.059 ,8.087 ,5.996 ,538 ,92 ,2.345 ,122.684 ,30.496 ,0 ,13.504 ,3.438 ,2.157 ,0 ,0 ,0 ,4.215 ,68.874 ,6.585 ,6.585 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.102.650 ,0 ,0 ,0 ,464.317 ,122.763 ,8.642 ,0 ,0 ,0 ,332.912 ,72.934 ,72.934 ,565.398 ,29.624 ,84.898 ,74.624 ,376.252 ,0 ,0 ,0 ,421.374 ,421.374 ,0 ,0 ,18.115 ,0 ,2.195 ,336.930 ,7.682 ,0 ,56.451 ,979.411 ,0 ,0 ,0 ,0 ,0 ,979.411 ,4.553 ,828.618 ,0 ,29.248 ,116.992 ,0 ,0 ,818 
73.,KUZMA,1.119.629 ,430.985 ,95.402 ,30.449 ,19.409 ,10.721 ,159 ,159 ,0 ,234.415 ,50.602 ,4.372 ,30.390 ,10.811 ,2.785 ,79.581 ,23.404 ,0 ,0 ,32.469 ,0 ,0 ,0 ,0 ,0 ,70.720 ,0 ,12.299 ,58.421 ,305.334 ,1.043 ,0 ,1.043 ,151.676 ,0 ,0 ,29.602 ,0 ,0 ,122.074 ,80.215 ,80.215 ,72.400 ,0 ,0 ,451 ,71.949 ,0 ,0 ,0 ,369.882 ,369.882 ,0 ,0 ,14.150 ,987 ,183.829 ,124.604 ,10.239 ,0 ,36.074 ,13.427 ,13.427 ,0 ,0 ,0 ,13.427 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.072 
74.,LAŠKO,7.469.617 ,1.489.564 ,559.231 ,91.287 ,42.618 ,34.072 ,288 ,480 ,13.829 ,740.715 ,102.875 ,0 ,105.220 ,25.309 ,9.022 ,61.425 ,154.273 ,0 ,25.734 ,256.856 ,44.016 ,44.016 ,0 ,0 ,0 ,54.315 ,18.870 ,35.445 ,0 ,3.500.413 ,0 ,0 ,0 ,1.639.918 ,0 ,0 ,0 ,0 ,0 ,1.639.918 ,239.639 ,239.639 ,1.620.856 ,180.567 ,135.941 ,74.946 ,1.229.402 ,0 ,0 ,0 ,2.056.197 ,2.056.197 ,0 ,0 ,60.061 ,951 ,1.585.090 ,83.788 ,90.160 ,0 ,236.146 ,423.444 ,87.147 ,0 ,0 ,16.053 ,71.094 ,336.296 ,17.735 ,318.561 ,0 ,0 ,0 ,0 ,0 ,167.192 
75.,LENART,5.810.090 ,1.424.245 ,322.784 ,54.594 ,25.451 ,20.389 ,171 ,288 ,8.296 ,1.001.711 ,79.761 ,3.960 ,285.061 ,12.773 ,6.710 ,418.803 ,9.819 ,0 ,15.361 ,169.463 ,28.288 ,0 ,0 ,28.288 ,0 ,16.867 ,9.915 ,6.952 ,0 ,2.146.708 ,39.159 ,0 ,39.159 ,1.375.672 ,59.485 ,0 ,0 ,0 ,0 ,1.316.187 ,242.856 ,242.856 ,489.021 ,104.590 ,63.591 ,0 ,320.840 ,0 ,0 ,0 ,1.587.531 ,1.587.531 ,100.079 ,0 ,26.435 ,0 ,1.093.866 ,231.543 ,39.380 ,0 ,96.228 ,651.607 ,180.951 ,0 ,0 ,0 ,180.951 ,470.656 ,65.828 ,0 ,0 ,0 ,24.462 ,380.366 ,0 ,453.964 
76.,LENDAVA,9.591.823 ,1.589.531 ,614.644 ,105.375 ,49.007 ,39.261 ,332 ,554 ,16.221 ,850.421 ,117.031 ,35.739 ,124.903 ,19.894 ,15.200 ,319.510 ,19.645 ,13.890 ,29.815 ,154.795 ,14.918 ,0 ,0 ,14.918 ,0 ,4.173 ,0 ,4.173 ,0 ,2.870.294 ,174.546 ,0 ,174.546 ,1.078.779 ,0 ,0 ,27.442 ,0 ,14.430 ,1.036.907 ,230.227 ,230.227 ,1.386.742 ,133.490 ,186.033 ,83.041 ,761.343 ,222.834 ,0 ,0 ,4.912.614 ,4.912.614 ,36.179 ,0 ,64.401 ,1.849 ,4.492.974 ,243.550 ,5.118 ,0 ,68.542 ,219.384 ,119.592 ,95.564 ,0 ,0 ,24.028 ,99.793 ,0 ,38.242 ,0 ,0 ,0 ,61.551 ,0 ,235.409 
77.,LITIJA,6.978.635 ,1.775.826 ,428.401 ,69.901 ,33.141 ,26.552 ,225 ,376 ,9.606 ,1.195.456 ,95.168 ,110.307 ,126.594 ,3.731 ,3.839 ,559.727 ,7.945 ,5.008 ,21.090 ,262.047 ,15.302 ,11.142 ,0 ,4.160 ,0 ,66.767 ,0 ,66.767 ,0 ,3.085.591 ,70.218 ,0 ,70.218 ,1.786.985 ,0 ,28.885 ,0 ,0 ,0 ,1.758.100 ,312.586 ,312.586 ,915.803 ,156.735 ,152.637 ,11.814 ,594.617 ,0 ,0 ,0 ,1.058.016 ,1.058.016 ,0 ,0 ,14.238 ,1.106 ,924.796 ,42.977 ,1.586 ,0 ,73.314 ,1.059.201 ,953.176 ,293.832 ,0 ,0 ,659.343 ,106.026 ,57.169 ,48.857 ,0 ,0 ,0 ,0 ,0 ,973.973 
78.,MESTNA OBČINA LJUBLJANA,209.706.047 ,54.030.704 ,10.132.161 ,1.722.283 ,797.818 ,639.155 ,5.408 ,9.018 ,270.885 ,40.159.493 ,2.509.606 ,1.471.649 ,3.442.902 ,164.497 ,219.713 ,22.959.347 ,216.575 ,415.119 ,541.679 ,8.218.407 ,1.177.224 ,1.177.224 ,0 ,0 ,0 ,839.543 ,0 ,839.543 ,0 ,89.180.254 ,4.508.901 ,4.256.005 ,252.896 ,30.012.197 ,0 ,0 ,71.516 ,6.410 ,302.337 ,29.631.935 ,10.766.016 ,10.766.016 ,43.893.140 ,3.546.987 ,2.969.926 ,3.459.427 ,32.942.401 ,974.399 ,0 ,0 ,28.487.548 ,28.487.548 ,1.743.920 ,0 ,1.817.318 ,55.492 ,14.051.394 ,3.891.462 ,2.693.570 ,0 ,4.234.393 ,38.007.540 ,20.440.886 ,0 ,7.758.959 ,0 ,12.681.927 ,17.566.654 ,1.261.805 ,15.916.612 ,0 ,101.244 ,286.993 ,0 ,0 ,-4.150.830 
79.,LJUBNO,1.658.851 ,499.145 ,87.707 ,15.340 ,6.890 ,5.521 ,46 ,79 ,2.804 ,389.088 ,29.586 ,2.157 ,50.467 ,104 ,3.772 ,196.766 ,0 ,0 ,3.660 ,102.575 ,0 ,0 ,0 ,0 ,0 ,7.011 ,4.173 ,2.671 ,167 ,563.796 ,49.595 ,2.053 ,47.542 ,151.661 ,0 ,3.343 ,3.985 ,0 ,0 ,144.333 ,78.960 ,78.960 ,283.580 ,0 ,20.022 ,743 ,262.815 ,0 ,0 ,0 ,581.723 ,581.723 ,2.500 ,0 ,1.402 ,0 ,342.768 ,0 ,13.687 ,0 ,221.365 ,14.188 ,14.188 ,0 ,0 ,14.188 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,47.179 
80.,LJUTOMER,7.502.493 ,1.627.520 ,544.014 ,91.497 ,44.192 ,33.166 ,281 ,499 ,13.360 ,940.124 ,107.734 ,14.727 ,93.325 ,5.912 ,5.001 ,505.519 ,12.029 ,2.028 ,22.263 ,171.585 ,25.987 ,25.987 ,0 ,0 ,0 ,25.898 ,0 ,25.898 ,0 ,2.917.404 ,102.241 ,0 ,102.241 ,1.455.299 ,0 ,0 ,10.358 ,0 ,13.202 ,1.431.738 ,220.644 ,220.644 ,1.139.220 ,185.303 ,144.881 ,0 ,809.037 ,0 ,0 ,0 ,2.191.565 ,2.191.565 ,0 ,0 ,48.547 ,0 ,1.954.583 ,14.144 ,60.061 ,0 ,114.230 ,766.003 ,246.657 ,86.930 ,105.087 ,54.640 ,0 ,519.346 ,34.234 ,0 ,0 ,0 ,41.820 ,443.291 ,0 ,412.049 
