81,LOGATEC,3.987.381 ,2.537.339 ,2.104.953 ,1.661.492 ,1.661.492 ,278.292 ,82.611 ,3.998 ,17.505 ,174.178 ,165.169 ,12.160 ,0 ,0 ,153.009 ,0 ,0 ,432.386 ,150.204 ,0 ,0 ,13.174 ,137.031 ,1.143 ,1.143 ,956 ,956 ,22.492 ,22.492 ,257.591 ,257.591 ,351.544 ,36.425 ,34.965 ,1.461 ,0 ,0 ,0 ,0 ,0 ,315.119 ,0 ,315.119 ,0 ,5.884 ,5.884 ,0 ,5.884 ,0 ,0 ,0 ,1.092.614 ,1.092.614 ,1.027.278 ,0 ,0 ,65.336 
82,LOŠKA DOLINA,1.447.334 ,972.200 ,895.806 ,706.940 ,706.940 ,118.761 ,107.136 ,0 ,2.237 ,9.389 ,70.105 ,167 ,0 ,0 ,69.938 ,0 ,0 ,76.394 ,41.713 ,0 ,0 ,3.518 ,38.195 ,113 ,113 ,0 ,0 ,1.118 ,1.118 ,33.450 ,33.450 ,1.773 ,1.773 ,1.607 ,0 ,167 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.692 ,16.692 ,0 ,16.692 ,0 ,0 ,0 ,456.668 ,456.668 ,456.668 ,0 ,0 ,0 
83,LOŠKI POTOK,937.652 ,202.779 ,198.519 ,164.138 ,164.138 ,1.765 ,58 ,0 ,88 ,1.619 ,32.616 ,142 ,0 ,0 ,32.474 ,0 ,0 ,4.261 ,568 ,0 ,0 ,568 ,0 ,129 ,129 ,0 ,0 ,2.324 ,2.324 ,1.239 ,1.239 ,40.557 ,40.064 ,40.064 ,0 ,0 ,0 ,0 ,0 ,0 ,492 ,0 ,492 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,694.316 ,694.316 ,643.440 ,50.876 ,0 ,0 
84,LOVRENC NA POHORJU,1.156.426 ,598.181 ,525.505 ,336.759 ,336.759 ,144.404 ,136.576 ,0 ,1.014 ,6.814 ,44.342 ,0 ,0 ,0 ,44.342 ,0 ,0 ,72.676 ,19.550 ,0 ,3.710 ,225 ,15.615 ,0 ,0 ,0 ,0 ,45.527 ,45.527 ,7.599 ,7.599 ,3.743 ,2.950 ,2.950 ,0 ,0 ,0 ,0 ,0 ,0 ,793 ,0 ,793 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,554.503 ,554.503 ,554.503 ,0 ,0 ,0 
85,LUČE,717.843 ,176.269 ,143.657 ,111.350 ,111.350 ,9.335 ,5.884 ,0 ,2.007 ,1.444 ,22.972 ,63 ,0 ,0 ,22.909 ,0 ,0 ,32.611 ,9.468 ,0 ,0 ,401 ,9.068 ,0 ,0 ,46 ,46 ,0 ,0 ,23.097 ,23.097 ,5.754 ,5.754 ,5.754 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,417 ,417 ,417 ,0 ,0 ,0 ,0 ,535.403 ,535.403 ,531.222 ,0 ,0 ,4.181 
86,LUKOVICA,2.103.459 ,1.166.183 ,964.167 ,624.115 ,624.115 ,91.900 ,37.414 ,0 ,24.470 ,30.016 ,248.151 ,1.940 ,0 ,0 ,246.211 ,0 ,0 ,202.016 ,98.978 ,4.361 ,0 ,78.192 ,16.425 ,0 ,0 ,655 ,655 ,19.195 ,19.195 ,83.187 ,83.187 ,28.201 ,5.913 ,3.159 ,2.754 ,0 ,0 ,0 ,0 ,0 ,22.288 ,0 ,22.288 ,0 ,11.697 ,11.697 ,9.610 ,2.086 ,0 ,0 ,0 ,897.379 ,897.379 ,752.195 ,144.567 ,0 ,618 
87,MAJŠPERK,1.579.544 ,669.479 ,370.902 ,337.581 ,337.581 ,20.126 ,11.150 ,0 ,1.607 ,7.369 ,11.438 ,1.410 ,0 ,810 ,9.218 ,1.757 ,1.757 ,298.577 ,88.604 ,0 ,0 ,24.503 ,64.100 ,0 ,0 ,25 ,25 ,13.479 ,13.479 ,196.470 ,196.470 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,910.065 ,910.065 ,856.272 ,0 ,0 ,53.793 
88,MARIBOR (M),48.815.861 ,41.550.067 ,31.544.433 ,20.681.714 ,20.681.714 ,8.438.712 ,6.089.668 ,822 ,75.217 ,2.273.005 ,2.424.007 ,410.478 ,0 ,989 ,2.012.540 ,0 ,0 ,10.005.633 ,6.464.434 ,68.206 ,425.501 ,403.998 ,5.566.729 ,192 ,192 ,148.882 ,148.882 ,117.288 ,117.288 ,3.274.837 ,3.274.837 ,4.412.498 ,1.282.482 ,1.282.482 ,0 ,0 ,0 ,0 ,0 ,0 ,3.130.016 ,0 ,3.130.016 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.853.297 ,2.853.297 ,2.768.315 ,84.982 ,0 ,0 
89,MARKOVCI,1.757.169 ,1.757.169 ,1.695.898 ,341.158 ,341.158 ,1.343.661 ,1.339.213 ,0 ,522 ,3.927 ,11.079 ,4.256 ,0 ,1.006 ,5.817 ,0 ,0 ,61.271 ,13.178 ,0 ,0 ,11.851 ,1.327 ,0 ,0 ,0 ,0 ,701 ,701 ,47.392 ,47.392 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
90,MEDVODE,4.477.808 ,4.386.488 ,3.916.103 ,2.860.182 ,2.860.182 ,911.743 ,690.753 ,0 ,196 ,220.794 ,144.179 ,3.910 ,0 ,0 ,140.269 ,0 ,0 ,470.385 ,30.270 ,0 ,0 ,8.016 ,22.254 ,0 ,0 ,2.141 ,2.141 ,0 ,0 ,437.974 ,437.974 ,9.614 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.614 ,6.126 ,3.489 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,81.706 ,81.706 ,81.706 ,0 ,0 ,0 
91,MENGEŠ,2.091.370 ,2.024.387 ,1.696.657 ,1.292.197 ,1.292.197 ,370.130 ,238.729 ,0 ,2.262 ,129.140 ,34.331 ,8.004 ,0 ,0 ,26.327 ,0 ,0 ,327.729 ,93.887 ,1.356 ,5.041 ,40.227 ,47.263 ,0 ,0 ,0 ,0 ,10.946 ,10.946 ,222.897 ,222.897 ,28.626 ,24.591 ,24.591 ,0 ,0 ,0 ,0 ,0 ,0 ,4.035 ,0 ,4.035 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38.358 ,38.358 ,38.358 ,0 ,0 ,0 
92,METLIKA,2.914.050 ,1.446.390 ,1.245.426 ,935.783 ,935.783 ,187.344 ,138.712 ,0 ,3.509 ,45.122 ,122.300 ,15.089 ,0 ,196 ,107.015 ,0 ,0 ,200.964 ,99.599 ,0 ,0 ,20.981 ,78.618 ,43.941 ,43.941 ,426 ,426 ,0 ,0 ,56.998 ,56.998 ,151.715 ,128.109 ,128.109 ,0 ,0 ,0 ,0 ,0 ,0 ,23.606 ,0 ,23.606 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.315.945 ,1.315.945 ,1.309.685 ,6.259 ,0 ,0 
93,MEŽICA,1.345.001 ,887.848 ,653.534 ,581.067 ,581.067 ,61.889 ,37.197 ,0 ,396 ,24.295 ,10.578 ,1.698 ,0 ,0 ,8.880 ,0 ,0 ,234.314 ,68.707 ,0 ,334 ,154 ,68.219 ,0 ,0 ,0 ,0 ,114.839 ,114.839 ,50.768 ,50.768 ,7.678 ,4.745 ,4.745 ,0 ,0 ,0 ,0 ,0 ,0 ,2.934 ,0 ,2.934 ,0 ,2.712 ,2.712 ,0 ,2.712 ,0 ,0 ,0 ,446.762 ,446.762 ,409.205 ,0 ,0 ,37.556 
94,MIKLAVŽ NA DRAVSKEM POLJU,1.512.060 ,1.301.523 ,1.244.876 ,747.308 ,747.308 ,456.468 ,436.642 ,0 ,1.027 ,18.799 ,41.099 ,1.686 ,0 ,0 ,39.413 ,0 ,0 ,56.647 ,23.836 ,0 ,0 ,10.249 ,13.587 ,0 ,0 ,505 ,505 ,1.569 ,1.569 ,30.738 ,30.738 ,125 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,125 ,125 ,0 ,0 ,21 ,21 ,21 ,0 ,0 ,0 ,0 ,210.391 ,210.391 ,201.077 ,9.314 ,0 ,0 
95,MIREN - KOSTANJEVICA,1.494.446 ,1.219.913 ,1.197.308 ,855.479 ,855.479 ,130.825 ,70.869 ,0 ,-1.202 ,61.158 ,211.004 ,144.642 ,0 ,129 ,66.233 ,0 ,0 ,22.605 ,11.617 ,1.506 ,0 ,4.578 ,5.533 ,0 ,0 ,280 ,280 ,0 ,0 ,10.708 ,10.708 ,16.087 ,3.401 ,0 ,3.401 ,0 ,0 ,0 ,0 ,0 ,12.686 ,0 ,12.686 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,258.446 ,258.446 ,114.505 ,142.301 ,0 ,1.640 
96,MIRNA PEČ,896.966 ,440.068 ,318.102 ,294.796 ,294.796 ,15.719 ,7.908 ,0 ,1.285 ,6.526 ,7.586 ,117 ,0 ,0 ,7.470 ,0 ,0 ,121.966 ,10.015 ,0 ,0 ,459 ,9.556 ,17 ,17 ,0 ,0 ,9.786 ,9.786 ,102.149 ,102.149 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,24.295 ,24.295 ,0 ,24.295 ,0 ,0 ,0 ,432.603 ,432.603 ,432.603 ,0 ,0 ,0 
97,MISLINJA,1.870.518 ,951.252 ,729.056 ,632.908 ,632.908 ,41.608 ,28.914 ,0 ,1.828 ,10.866 ,54.540 ,12.364 ,0 ,0 ,42.176 ,0 ,0 ,222.196 ,107.157 ,0 ,1.390 ,20.764 ,85.003 ,0 ,0 ,175 ,175 ,1.148 ,1.148 ,113.716 ,113.716 ,25.618 ,22.601 ,22.601 ,0 ,0 ,0 ,0 ,0 ,0 ,3.017 ,2.086 ,931 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,893.649 ,893.649 ,754.261 ,94.863 ,0 ,44.525 
98,MORAVČE,1.584.477 ,776.027 ,636.430 ,521.249 ,521.249 ,53.426 ,33.129 ,0 ,2.262 ,18.035 ,61.755 ,1.586 ,0 ,0 ,60.169 ,0 ,0 ,139.597 ,34.276 ,0 ,4.319 ,17.556 ,12.402 ,0 ,0 ,1.014 ,1.014 ,6.067 ,6.067 ,98.239 ,98.239 ,14.221 ,1.703 ,1.703 ,0 ,0 ,0 ,0 ,0 ,0 ,12.519 ,0 ,12.519 ,0 ,192 ,192 ,192 ,0 ,0 ,0 ,0 ,794.037 ,794.037 ,665.523 ,128.514 ,0 ,0 
99,MORAVSKE TOPLICE,3.000.968 ,1.320.865 ,904.761 ,559.435 ,559.435 ,168.962 ,98.201 ,117 ,1.970 ,68.674 ,176.365 ,3.543 ,0 ,0 ,172.822 ,0 ,0 ,416.103 ,45.209 ,0 ,0 ,18.782 ,26.427 ,559 ,559 ,0 ,0 ,13.266 ,13.266 ,357.069 ,357.069 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,325.342 ,325.342 ,0 ,325.342 ,0 ,0 ,0 ,1.354.761 ,1.354.761 ,1.348.089 ,6.673 ,0 ,0 
100,MOZIRJE,2.422.784 ,1.214.380 ,918.778 ,789.609 ,789.609 ,96.945 ,49.616 ,0 ,2.888 ,44.442 ,32.223 ,4.448 ,0 ,0 ,27.775 ,0 ,0 ,295.602 ,88.704 ,0 ,0 ,2.466 ,86.238 ,0 ,0 ,54 ,54 ,17 ,17 ,206.827 ,206.827 ,84.723 ,46.403 ,46.249 ,0 ,154 ,0 ,0 ,0 ,0 ,38.320 ,33.383 ,4.937 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.123.681 ,1.123.681 ,1.020.239 ,103.443 ,0 ,0 
101,MURSKA SOBOTA (M),10.613.750 ,8.612.106 ,7.085.541 ,4.007.253 ,4.007.253 ,969.258 ,558.559 ,0 ,8.104 ,402.596 ,2.109.030 ,76.490 ,0 ,0 ,2.032.540 ,0 ,0 ,1.526.565 ,194.488 ,0 ,0 ,19.625 ,174.862 ,0 ,0 ,23.544 ,23.544 ,38.625 ,38.625 ,1.269.909 ,1.269.909 ,228.802 ,103.272 ,102.270 ,835 ,167 ,0 ,0 ,0 ,0 ,125.530 ,0 ,125.530 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.772.843 ,1.772.843 ,1.237.164 ,365.298 ,0 ,170.381 
102,MUTA,1.287.001 ,702.066 ,582.286 ,361.096 ,361.096 ,209.802 ,199.533 ,0 ,951 ,9.318 ,11.388 ,1.365 ,0 ,472 ,9.552 ,0 ,0 ,119.780 ,85.057 ,0 ,0 ,338 ,84.719 ,0 ,0 ,79 ,79 ,993 ,993 ,33.650 ,33.650 ,37.448 ,37.448 ,37.448 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,547.488 ,547.488 ,547.283 ,0 ,0 ,204 
103,NAKLO,1.626.548 ,1.313.800 ,1.071.703 ,850.705 ,850.705 ,201.561 ,175.588 ,0 ,346 ,25.626 ,19.437 ,835 ,0 ,0 ,18.603 ,0 ,0 ,242.096 ,57.603 ,830 ,1.177 ,11.876 ,43.720 ,0 ,0 ,196 ,196 ,19.980 ,19.980 ,164.317 ,164.317 ,230 ,230 ,0 ,230 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,63 ,63 ,63 ,0 ,0 ,0 ,0 ,312.456 ,312.456 ,312.456 ,0 ,0 ,0 
104,NAZARJE,1.180.045 ,505.725 ,424.478 ,280.563 ,280.563 ,124.190 ,100.029 ,0 ,6.414 ,17.747 ,19.725 ,163 ,0 ,0 ,19.563 ,0 ,0 ,81.247 ,26.536 ,0 ,0 ,280 ,26.256 ,0 ,0 ,0 ,0 ,0 ,0 ,54.711 ,54.711 ,2.233 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.233 ,0 ,2.233 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,672.087 ,672.087 ,659.840 ,9.598 ,0 ,2.650 
105,NOVA GORICA (M),20.275.818 ,19.440.991 ,15.733.922 ,8.947.509 ,8.947.509 ,3.485.775 ,2.625.701 ,0 ,54.611 ,805.462 ,3.300.638 ,1.106.794 ,0 ,1.949 ,2.191.896 ,0 ,0 ,3.707.069 ,2.838.570 ,0 ,295.431 ,148.919 ,2.394.221 ,0 ,0 ,15.256 ,15.256 ,47.738 ,47.738 ,805.504 ,805.504 ,508.004 ,458.258 ,458.116 ,0 ,142 ,0 ,0 ,0 ,0 ,49.745 ,0 ,49.745 ,0 ,1.256 ,1.256 ,1.256 ,0 ,0 ,0 ,0 ,325.568 ,325.568 ,164.472 ,161.096 ,0 ,0 
106,NOVO MESTO (M),14.391.679 ,12.524.883 ,11.307.236 ,8.620.026 ,8.620.026 ,2.325.780 ,1.711.375 ,88 ,41.254 ,573.064 ,361.430 ,92.839 ,0 ,0 ,268.590 ,0 ,0 ,1.217.647 ,376.602 ,0 ,0 ,85.599 ,291.003 ,33 ,33 ,15.870 ,15.870 ,44.104 ,44.104 ,781.038 ,781.038 ,693.361 ,142.418 ,142.418 ,0 ,0 ,0 ,0 ,0 ,0 ,550.943 ,0 ,550.943 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.173.435 ,1.173.435 ,1.173.435 ,0 ,0 ,0 
107,ODRANCI,659.606 ,255.759 ,106.927 ,99.524 ,99.524 ,4.594 ,2.704 ,0 ,484 ,1.406 ,2.808 ,676 ,0 ,0 ,2.132 ,0 ,0 ,148.832 ,1.068 ,0 ,0 ,1.068 ,0 ,0 ,0 ,50 ,50 ,417 ,417 ,147.296 ,147.296 ,20.439 ,20.439 ,20.439 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,383.408 ,383.408 ,383.408 ,0 ,0 ,0 
108,OPLOTNICA,1.306.226 ,501.936 ,365.290 ,339.121 ,339.121 ,22.071 ,18.615 ,0 ,1.319 ,2.137 ,4.098 ,154 ,0 ,0 ,3.943 ,0 ,0 ,136.647 ,5.846 ,0 ,0 ,2.717 ,3.130 ,0 ,0 ,0 ,0 ,3.706 ,3.706 ,127.095 ,127.095 ,3.075 ,3.075 ,3.075 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,801 ,801 ,0 ,801 ,0 ,0 ,0 ,800.413 ,800.413 ,739.184 ,49.241 ,0 ,11.989 
109,ORMOŽ,7.042.681 ,3.480.391 ,2.341.504 ,1.652.925 ,1.652.925 ,445.969 ,400.772 ,0 ,6.481 ,38.716 ,242.610 ,46.870 ,0 ,8.183 ,187.556 ,0 ,0 ,1.138.888 ,239.714 ,0 ,0 ,30.308 ,209.406 ,0 ,0 ,455 ,455 ,5.996 ,5.996 ,892.722 ,892.722 ,18.745 ,5.613 ,0 ,5.613 ,0 ,0 ,0 ,0 ,0 ,13.132 ,3.338 ,9.794 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.543.544 ,3.543.544 ,3.201.031 ,210.149 ,0 ,132.365 
110,OSILNICA,272.496 ,56.126 ,38.800 ,33.897 ,33.897 ,1.723 ,371 ,4 ,0 ,1.348 ,3.180 ,88 ,0 ,0 ,3.092 ,0 ,0 ,17.326 ,12.047 ,0 ,0 ,647 ,11.400 ,0 ,0 ,104 ,104 ,0 ,0 ,5.174 ,5.174 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.106 ,1.106 ,1.106 ,0 ,0 ,0 ,0 ,215.265 ,215.265 ,206.614 ,8.650 ,0 ,0 
111,PESNICA,2.294.179 ,1.304.411 ,1.026.440 ,652.491 ,652.491 ,355.020 ,315.795 ,113 ,2.061 ,37.051 ,18.928 ,4.949 ,0 ,50 ,13.929 ,0 ,0 ,277.971 ,70.376 ,0 ,0 ,28.159 ,42.217 ,935 ,935 ,209 ,209 ,872 ,872 ,205.579 ,205.579 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,90.498 ,90.498 ,51.494 ,39.004 ,0 ,0 ,0 ,899.270 ,899.270 ,899.270 ,0 ,0 ,0 
112,PIRAN,9.358.212 ,7.647.008 ,6.107.582 ,3.872.697 ,3.872.697 ,1.280.504 ,724.115 ,901 ,22.463 ,533.025 ,954.382 ,120.727 ,0 ,0 ,833.655 ,0 ,0 ,1.539.426 ,574.846 ,797 ,0 ,41.779 ,532.269 ,25 ,25 ,18.140 ,18.140 ,29.853 ,29.853 ,916.562 ,916.562 ,1.196.453 ,1.020.815 ,1.020.815 ,0 ,0 ,0 ,0 ,0 ,0 ,175.638 ,0 ,175.638 ,0 ,1.043 ,1.043 ,1.043 ,0 ,0 ,0 ,0 ,513.708 ,513.708 ,366.057 ,0 ,0 ,147.651 
113,PIVKA,2.361.726 ,1.205.291 ,1.045.360 ,847.392 ,847.392 ,146.132 ,105.792 ,21 ,9.272 ,31.047 ,51.836 ,6.768 ,0 ,0 ,45.068 ,0 ,0 ,159.932 ,40.502 ,0 ,0 ,1.498 ,39.004 ,0 ,0 ,58 ,58 ,24.708 ,24.708 ,94.663 ,94.663 ,10.962 ,10.962 ,10.946 ,0 ,0 ,17 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.145.472 ,1.145.472 ,782.611 ,0 ,3.247 ,359.614 
114,PODČETRTEK,1.407.315 ,662.907 ,497.208 ,280.905 ,280.905 ,63.378 ,32.286 ,0 ,4.052 ,27.041 ,152.925 ,1.690 ,0 ,0 ,151.235 ,0 ,0 ,165.699 ,8.225 ,0 ,0 ,338 ,7.887 ,8 ,8 ,1.398 ,1.398 ,0 ,0 ,156.067 ,156.067 ,363 ,363 ,363 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,744.045 ,744.045 ,744.045 ,0 ,0 ,0 
115,PODLEHNIK,885.912 ,266.141 ,135.603 ,127.583 ,127.583 ,3.292 ,447 ,0 ,167 ,2.679 ,4.728 ,0 ,0 ,655 ,4.073 ,0 ,0 ,130.537 ,901 ,0 ,0 ,588 ,313 ,122.897 ,122.897 ,0 ,0 ,0 ,0 ,6.739 ,6.739 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,78.192 ,78.192 ,0 ,78.192 ,0 ,0 ,0 ,541.579 ,541.579 ,541.579 ,0 ,0 ,0 
116,PODVELKA,1.113.737 ,549.232 ,443.499 ,225.196 ,225.196 ,193.816 ,188.787 ,1.711 ,0 ,3.317 ,24.487 ,922 ,0 ,492 ,23.072 ,0 ,0 ,105.734 ,45.531 ,0 ,88 ,860 ,44.584 ,0 ,0 ,0 ,0 ,0 ,0 ,60.203 ,60.203 ,1.552 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.552 ,1.552 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,562.953 ,562.953 ,562.953 ,0 ,0 ,0 
117,POLZELA,1.424.178 ,823.135 ,766.592 ,641.170 ,641.170 ,68.006 ,53.643 ,0 ,901 ,13.462 ,57.415 ,234 ,0 ,0 ,57.182 ,0 ,0 ,56.543 ,10.495 ,0 ,0 ,459 ,10.036 ,0 ,0 ,150 ,150 ,5.216 ,5.216 ,40.682 ,40.682 ,150 ,150 ,0 ,0 ,150 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23.193 ,23.193 ,0 ,23.193 ,0 ,0 ,0 ,577.700 ,577.700 ,520.105 ,57.595 ,0 ,0 
118,POSTOJNA,5.216.504 ,3.883.020 ,3.409.752 ,2.583.922 ,2.583.922 ,472.663 ,372.091 ,25 ,18.244 ,82.303 ,353.167 ,128.230 ,0 ,0 ,224.937 ,0 ,0 ,473.268 ,223.072 ,0 ,3.021 ,1.298 ,218.753 ,0 ,0 ,154 ,154 ,2.237 ,2.237 ,247.805 ,247.805 ,278.789 ,143.353 ,139.180 ,4.173 ,0 ,0 ,0 ,0 ,0 ,135.436 ,0 ,135.436 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.054.695 ,1.054.695 ,986.346 ,19.367 ,0 ,48.982 
119,PREBOLD,1.404.265 ,756.543 ,668.010 ,578.284 ,578.284 ,78.484 ,67.201 ,0 ,1.323 ,9.961 ,11.242 ,92 ,0 ,0 ,11.150 ,0 ,0 ,88.533 ,7.828 ,0 ,0 ,3.977 ,3.852 ,0 ,0 ,113 ,113 ,45.485 ,45.485 ,35.107 ,35.107 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,647.722 ,647.722 ,523.535 ,124.186 ,0 ,0 
120,PREDDVOR,1.028.593 ,661.647 ,571.474 ,478.630 ,478.630 ,77.621 ,36.396 ,0 ,14.943 ,26.281 ,15.223 ,0 ,0 ,0 ,15.223 ,0 ,0 ,90.173 ,14.789 ,0 ,1.344 ,555 ,12.890 ,985 ,985 ,267 ,267 ,8.363 ,8.363 ,65.769 ,65.769 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.074 ,16.074 ,14.109 ,1.965 ,0 ,0 ,0 ,350.872 ,350.872 ,325.697 ,24.587 ,0 ,588 
121,PREVALJE,2.125.626 ,1.206.710 ,1.066.671 ,792.510 ,792.510 ,200.263 ,166.796 ,0 ,1.719 ,31.748 ,73.898 ,27.725 ,0 ,488 ,45.685 ,0 ,0 ,140.039 ,92.159 ,0 ,0 ,255 ,91.905 ,0 ,0 ,0 ,0 ,5.976 ,5.976 ,41.905 ,41.905 ,5.554 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.554 ,0 ,5.554 ,0 ,101.289 ,101.289 ,0 ,101.289 ,0 ,0 ,0 ,812.072 ,812.072 ,755.028 ,57.044 ,0 ,0 
122,PTUJ (M),11.567.547 ,9.116.946 ,5.981.022 ,3.779.945 ,3.779.945 ,1.825.764 ,1.528.501 ,0 ,7.837 ,289.426 ,375.313 ,100.204 ,0 ,8.129 ,266.980 ,0 ,0 ,3.135.925 ,1.960.107 ,38.783 ,0 ,159.118 ,1.762.206 ,0 ,0 ,19.617 ,19.617 ,12.419 ,12.419 ,1.143.782 ,1.143.782 ,179.048 ,53.968 ,53.968 ,0 ,0 ,0 ,0 ,0 ,0 ,125.079 ,0 ,125.079 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.271.553 ,2.271.553 ,2.169.617 ,33.083 ,0 ,68.853 
123,PUCONCI,3.313.120 ,1.022.071 ,539.530 ,508.705 ,508.705 ,8.884 ,476 ,225 ,914 ,7.269 ,21.941 ,4.653 ,0 ,0 ,17.288 ,0 ,0 ,482.540 ,18.882 ,0 ,0 ,7.090 ,11.793 ,613 ,613 ,0 ,0 ,0 ,0 ,463.045 ,463.045 ,19.675 ,19.650 ,19.650 ,0 ,0 ,0 ,0 ,0 ,0 ,25 ,25 ,0 ,0 ,10.015 ,10.015 ,2.921 ,7.094 ,0 ,0 ,0 ,2.261.359 ,2.261.359 ,1.432.106 ,299.332 ,0 ,529.920 
124,RAČE - FRAM,1.916.850 ,1.341.212 ,1.133.525 ,775.705 ,775.705 ,316.967 ,276.127 ,0 ,4.281 ,36.559 ,40.853 ,3.138 ,0 ,129 ,37.586 ,0 ,0 ,207.687 ,30.003 ,12.448 ,0 ,5.742 ,11.814 ,747 ,747 ,609 ,609 ,0 ,0 ,176.327 ,176.327 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,575.638 ,575.638 ,575.638 ,0 ,0 ,0 
125,RADEČE,1.822.717 ,1.291.345 ,989.380 ,701.189 ,701.189 ,274.462 ,252.917 ,0 ,2.495 ,19.049 ,13.729 ,2.220 ,0 ,0 ,11.509 ,0 ,0 ,301.965 ,240.298 ,0 ,75 ,16.829 ,223.393 ,0 ,0 ,71 ,71 ,33.997 ,33.997 ,27.600 ,27.600 ,44.500 ,44.037 ,44.037 ,0 ,0 ,0 ,0 ,0 ,0 ,463 ,0 ,463 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,486.872 ,486.872 ,486.872 ,0 ,0 ,0 
126,RADENCI,1.703.864 ,1.285.103 ,1.048.565 ,829.056 ,829.056 ,79.419 ,58.959 ,0 ,3.743 ,16.717 ,140.089 ,1.974 ,0 ,96 ,138.020 ,0 ,0 ,236.538 ,101.465 ,0 ,0 ,8.287 ,93.177 ,167 ,167 ,1.314 ,1.314 ,0 ,0 ,133.592 ,133.592 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,418.761 ,418.761 ,397.889 ,0 ,0 ,20.873 
