15,CELJE (M),20.859.089 ,17.588.696 ,12.473.965 ,9.072.859 ,9.072.859 ,3.119.663 ,2.346.340 ,1.448 ,81.172 ,690.703 ,281.372 ,157.023 ,0 ,2.053 ,122.296 ,71 ,71 ,5.114.730 ,482.566 ,68.549 ,0 ,22.388 ,391.629 ,861.329 ,861.329 ,27.654 ,27.654 ,134.422 ,134.422 ,3.608.759 ,3.608.759 ,1.304.699 ,903.393 ,902.954 ,438 ,0 ,0 ,0 ,0 ,0 ,401.306 ,0 ,401.306 ,0 ,24.942 ,5.008 ,5.008 ,0 ,19.934 ,19.934 ,0 ,1.940.753 ,1.940.753 ,1.774.028 ,0 ,56.577 ,110.149 
16,CERKLJE NA GORENJSKEM,2.635.737 ,1.482.495 ,1.104.248 ,894.917 ,894.917 ,177.379 ,113.641 ,0 ,13.792 ,49.946 ,31.952 ,847 ,0 ,0 ,31.105 ,0 ,0 ,378.247 ,119.830 ,2.212 ,0 ,99.549 ,18.069 ,0 ,0 ,1.502 ,1.502 ,13.967 ,13.967 ,242.948 ,242.948 ,358.667 ,5.183 ,4.932 ,250 ,0 ,0 ,0 ,0 ,0 ,353.484 ,19.650 ,333.834 ,0 ,8.467 ,8.467 ,0 ,8.467 ,0 ,0 ,0 ,786.108 ,786.108 ,589.781 ,0 ,0 ,196.328 
17,CERKNICA,3.961.847 ,2.420.823 ,2.028.347 ,1.509.856 ,1.509.856 ,391.675 ,313.191 ,0 ,17.585 ,60.900 ,126.815 ,9.110 ,0 ,0 ,117.706 ,0 ,0 ,392.476 ,245.890 ,0 ,0 ,897 ,244.992 ,13 ,13 ,109 ,109 ,0 ,0 ,146.466 ,146.466 ,4.311 ,4.311 ,4.311 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.086 ,2.086 ,2.086 ,0 ,0 ,0 ,0 ,1.534.627 ,1.534.627 ,1.508.847 ,0 ,0 ,25.780 
18,CERKNO,2.216.191 ,1.320.698 ,1.142.860 ,892.843 ,892.843 ,105.775 ,88.846 ,0 ,2.291 ,14.639 ,144.241 ,108.913 ,0 ,0 ,35.328 ,0 ,0 ,177.838 ,40.907 ,0 ,25 ,5.145 ,35.737 ,104 ,104 ,46 ,46 ,18.332 ,18.332 ,118.449 ,118.449 ,71.207 ,13.349 ,13.349 ,0 ,0 ,0 ,0 ,0 ,0 ,57.858 ,56.539 ,1.319 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,824.286 ,824.286 ,824.286 ,0 ,0 ,0 
19,CERKVENJAK,714.079 ,228.430 ,104.665 ,89.359 ,89.359 ,2.199 ,8 ,0 ,92 ,2.099 ,13.107 ,709 ,0 ,0 ,12.398 ,0 ,0 ,123.765 ,4.261 ,0 ,0 ,851 ,3.409 ,0 ,0 ,33 ,33 ,40.298 ,40.298 ,79.173 ,79.173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,485.649 ,485.649 ,485.649 ,0 ,0 ,0 
20,ČRENŠOVCI,2.006.965 ,739.017 ,362.106 ,314.426 ,314.426 ,12.565 ,11.789 ,0 ,0 ,776 ,35.115 ,12.661 ,0 ,0 ,22.455 ,0 ,0 ,376.911 ,8.104 ,0 ,0 ,1.077 ,7.027 ,188 ,188 ,171 ,171 ,0 ,0 ,368.449 ,368.449 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.267.948 ,1.267.948 ,977.224 ,290.724 ,0 ,0 
21,ČRNA NA KOROŠKEM,1.749.065 ,762.677 ,536.834 ,413.954 ,413.954 ,83.709 ,78.393 ,0 ,951 ,4.365 ,39.171 ,1.978 ,0 ,0 ,37.193 ,0 ,0 ,225.843 ,92.180 ,0 ,0 ,509 ,91.671 ,0 ,0 ,146 ,146 ,129.169 ,129.169 ,4.348 ,4.348 ,2.892 ,1.018 ,1.018 ,0 ,0 ,0 ,0 ,0 ,0 ,1.874 ,0 ,1.874 ,0 ,36.930 ,36.930 ,209 ,36.722 ,0 ,0 ,0 ,946.566 ,946.566 ,833.897 ,0 ,0 ,112.669 
22,ČRNOMELJ,5.642.126 ,2.257.933 ,2.148.051 ,1.726.682 ,1.726.682 ,183.847 ,117.777 ,0 ,8.471 ,57.599 ,237.523 ,11.884 ,0 ,1.047 ,224.591 ,0 ,0 ,109.881 ,63.512 ,7.866 ,0 ,1.135 ,54.511 ,1.239 ,1.239 ,968 ,968 ,33.842 ,33.842 ,10.320 ,10.320 ,54.373 ,52.462 ,52.462 ,0 ,0 ,0 ,0 ,0 ,0 ,1.911 ,993 ,918 ,0 ,122.187 ,122.187 ,16.279 ,105.909 ,0 ,0 ,0 ,3.207.632 ,3.207.632 ,3.207.632 ,0 ,0 ,0 
23,DESTRNIK,1.489.359 ,385.361 ,225.146 ,169.888 ,169.888 ,6.410 ,363 ,0 ,472 ,5.575 ,48.848 ,480 ,0 ,292 ,48.076 ,0 ,0 ,160.215 ,18.720 ,0 ,0 ,2.929 ,15.790 ,0 ,0 ,13 ,13 ,0 ,0 ,141.483 ,141.483 ,1.899 ,1.899 ,0 ,1.899 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.102.099 ,1.102.099 ,1.102.099 ,0 ,0 ,0 
24,DIVAČA,1.287.089 ,950.714 ,887.535 ,699.946 ,699.946 ,147.233 ,133.242 ,0 ,3.151 ,10.841 ,40.356 ,11.000 ,0 ,0 ,29.357 ,0 ,0 ,63.178 ,43.978 ,3.368 ,0 ,21.499 ,19.112 ,0 ,0 ,100 ,100 ,505 ,505 ,18.595 ,18.595 ,50.755 ,47.851 ,47.851 ,0 ,0 ,0 ,0 ,0 ,0 ,2.904 ,0 ,2.904 ,0 ,67 ,67 ,0 ,67 ,0 ,0 ,0 ,285.553 ,285.553 ,285.553 ,0 ,0 ,0 
