,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,XII.,9009,FI
129.,RAVNE NA KOROŠKEM,288.892 ,288.892 ,288.892 ,0 ,0 ,0 ,6.259 ,6.259 ,6.259 ,0 ,0 ,0 ,648.498 ,282.632 ,-365.865 ,182.991 ,182.991 ,54.928 
130.,RAZKRIŽJE,0 ,0 ,0 ,0 ,0 ,0 ,6.155 ,6.155 ,0 ,0 ,6.155 ,0 ,20.648 ,-6.155 ,-26.803 ,0 ,0 ,0 
131.,RIBNICA,0 ,0 ,0 ,0 ,0 ,0 ,102.470 ,102.470 ,102.470 ,0 ,0 ,0 ,1.953 ,-102.470 ,-104.423 ,10.741 ,10.741 ,0 
132.,RIBNICA NA POHORJU,25.200 ,25.200 ,0 ,0 ,25.200 ,0 ,263 ,263 ,263 ,0 ,0 ,0 ,46.841 ,24.937 ,-21.904 ,34.756 ,34.756 ,0 
133.,ROGAŠKA SLATINA,0 ,0 ,0 ,0 ,0 ,0 ,22.630 ,22.630 ,0 ,0 ,22.630 ,0 ,1.163.837 ,-22.630 ,-1.186.467 ,637.281 ,637.281 ,124.641 
134.,ROGAŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,11.213 ,11.213 ,0 ,0 ,11.213 ,0 ,126.802 ,-11.213 ,-126.511 ,48.101 ,48.101 ,0 
135.,ROGATEC,0 ,0 ,0 ,0 ,0 ,0 ,14.622 ,14.622 ,0 ,0 ,14.622 ,0 ,262.331 ,-14.622 ,-276.953 ,131.560 ,131.560 ,4.532 
136.,RUŠE,0 ,0 ,0 ,0 ,0 ,0 ,29.636 ,29.636 ,0 ,0 ,29.636 ,0 ,-35.040 ,-29.636 ,5.404 ,399.057 ,399.057 ,22.630 
137.,SELNICA OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,31.297 ,31.297 ,31.297 ,0 ,0 ,0 ,72.050 ,-31.297 ,-103.347 ,117.042 ,117.042 ,0 
138.,SEMIČ,0 ,0 ,0 ,0 ,0 ,0 ,79.949 ,79.949 ,45.994 ,0 ,33.955 ,0 ,11.567 ,-79.949 ,-89.004 ,19.454 ,19.454 ,0 
139.,SEVNICA,0 ,0 ,0 ,0 ,0 ,0 ,149.992 ,149.992 ,138.241 ,11.751 ,0 ,0 ,46.061 ,-149.992 ,-197.175 ,264.918 ,264.918 ,0 
140.,SEŽANA,0 ,0 ,0 ,0 ,0 ,0 ,101.690 ,101.690 ,41.704 ,0 ,59.986 ,0 ,1.214.159 ,-101.690 ,-1.297.959 ,534.368 ,534.368 ,0 
141.,MESTNA OBČINA SLOVENJ GRADEC,202.621 ,202.621 ,0 ,0 ,202.621 ,0 ,18.265 ,18.265 ,7.019 ,0 ,11.246 ,0 ,-1.387.410 ,184.356 ,1.542.948 ,3.845.264 ,3.845.264 ,159.669 
142.,SLOVENSKA BISTRICA,1.251.878 ,1.251.878 ,1.251.878 ,0 ,0 ,0 ,129.720 ,129.720 ,129.720 ,0 ,0 ,0 ,-278.985 ,1.122.158 ,1.401.143 ,223.093 ,223.093 ,0 
143.,SLOVENSKE KONJICE,0 ,0 ,0 ,0 ,0 ,0 ,17.426 ,17.426 ,17.426 ,0 ,0 ,0 ,76.736 ,-17.426 ,-71.169 ,344.408 ,344.408 ,55.542 
144.,SODRAŽICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,918 ,0 ,-918 ,0 ,0 ,0 
145.,SOLČAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-39.772 ,0 ,39.772 ,0 ,0 ,1.223 
146.,STARŠE,2.883 ,2.883 ,0 ,0 ,2.883 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,346.724 ,2.883 ,-343.841 ,1.009.247 ,1.009.247 ,15.653 
147.,SVETA ANA,31.586 ,31.586 ,0 ,0 ,31.586 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,397.968 ,31.586 ,-361.017 ,218.507 ,218.507 ,2.362 
148.,SVETI ANDRAŽ V SLOVENSKIH GORICAH,125.334 ,125.334 ,125.334 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,77.433 ,125.334 ,47.901 ,131.368 ,131.368 ,0 
149.,SVETI JURIJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,351.334 ,0 ,-350.226 ,58.321 ,58.321 ,0 
150.,ŠALOVCI,41.729 ,41.729 ,41.729 ,0 ,0 ,0 ,9.462 ,9.462 ,0 ,0 ,9.462 ,0 ,7.342 ,32.268 ,49.963 ,7.837 ,7.837 ,0 
151.,ŠEMPETER - VRTOJBA,0 ,0 ,0 ,0 ,0 ,0 ,338 ,338 ,0 ,0 ,338 ,0 ,1.152.287 ,-338 ,-1.126.381 ,1.386.288 ,1.386.288 ,0 
152.,ŠENČUR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-109.765 ,0 ,165.799 ,965.127 ,965.127 ,0 
153.,ŠENTILJ,1.374.979 ,1.374.979 ,1.374.979 ,0 ,0 ,0 ,23.665 ,23.665 ,23.665 ,0 ,0 ,0 ,-2.424 ,1.351.314 ,1.395.564 ,205.254 ,205.254 ,0 
154.,ŠENTJERNEJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,602.825 ,0 ,-554.782 ,145.326 ,145.326 ,23.869 
155.,ŠENTJUR,380.037 ,380.037 ,0 ,0 ,380.037 ,0 ,52.107 ,52.107 ,0 ,0 ,52.107 ,0 ,-13.303 ,327.929 ,399.132 ,148.293 ,148.293 ,77.854 
156.,ŠKOCJAN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-832.553 ,0 ,835.136 ,873.126 ,873.126 ,0 
157.,ŠKOFJA LOKA,500.751 ,500.751 ,500.751 ,0 ,0 ,0 ,54.607 ,54.607 ,0 ,0 ,54.607 ,0 ,167.042 ,446.144 ,281.689 ,94.033 ,94.033 ,162.778 
158.,ŠKOFLJICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,473.494 ,0 ,-473.494 ,2.363.988 ,2.363.988 ,0 
159.,ŠMARJE PRI JELŠAH,116.208 ,116.208 ,116.208 ,0 ,0 ,0 ,46.182 ,46.182 ,30.379 ,0 ,15.803 ,0 ,519.579 ,70.026 ,-442.322 ,194.145 ,194.145 ,39.793 
160.,ŠMARTNO OB PAKI,0 ,0 ,0 ,0 ,0 ,0 ,88.287 ,88.287 ,88.287 ,0 ,0 ,0 ,4.465 ,-88.287 ,-92.752 ,6.255 ,6.255 ,0 
161.,ŠMARTNO PRI LITIJI,0 ,0 ,0 ,0 ,0 ,0 ,13.272 ,13.272 ,2.233 ,0 ,11.039 ,0 ,817.730 ,-13.272 ,-777.437 ,50.664 ,50.664 ,22.179 
162.,ŠOŠTANJ,0 ,0 ,0 ,0 ,0 ,0 ,76.327 ,76.327 ,33.358 ,0 ,42.969 ,0 ,-1.026.335 ,-76.327 ,950.008 ,0 ,0 ,0 
163.,ŠTORE,292.105 ,292.105 ,0 ,0 ,292.105 ,0 ,255.525 ,255.525 ,153.530 ,0 ,101.995 ,0 ,142.505 ,36.580 ,43.315 ,25.317 ,25.317 ,14.401 
164.,TABOR,75.083 ,75.083 ,42.472 ,0 ,32.611 ,0 ,17.852 ,17.852 ,11.325 ,0 ,6.526 ,0 ,-160.274 ,57.232 ,217.505 ,0 ,0 ,0 
165.,TIŠINA,364.943 ,364.943 ,0 ,0 ,364.943 ,0 ,8.043 ,8.043 ,0 ,0 ,8.043 ,0 ,368.716 ,356.900 ,-60 ,-100.325 ,-100.325 ,0 
166.,TOLMIN,0 ,0 ,0 ,0 ,0 ,0 ,151.715 ,151.715 ,29.628 ,0 ,122.087 ,0 ,446.595 ,-151.715 ,-629.261 ,120.422 ,120.422 ,49.278 
167.,TRBOVLJE,0 ,0 ,0 ,0 ,0 ,0 ,13.015 ,13.015 ,0 ,0 ,13.015 ,0 ,360.470 ,-13.015 ,-230.775 ,420.339 ,420.339 ,92.322 
168.,TREBNJE,6.677 ,6.677 ,6.677 ,0 ,0 ,0 ,44.170 ,44.170 ,42.894 ,0 ,1.277 ,0 ,1.096.804 ,-37.494 ,-1.134.297 ,2.278.772 ,2.278.772 ,101.832 
169.,TRNOVSKA VAS,75.113 ,75.113 ,75.113 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,68.340 ,75.113 ,6.773 ,87.248 ,87.248 ,1.260 
170.,TRZIN,0 ,0 ,0 ,0 ,0 ,0 ,14.016 ,14.016 ,14.016 ,0 ,0 ,0 ,886.261 ,-14.016 ,-900.277 ,0 ,0 ,0 
171.,TRŽIČ,0 ,0 ,0 ,0 ,0 ,0 ,149.145 ,149.145 ,149.145 ,0 ,0 ,0 ,379.643 ,-149.145 ,-401.365 ,-765.060 ,-765.060 ,0 
172.,TURNIŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22.245 ,0 ,-22.245 ,0 ,0 ,9.468 
173.,MESTNA OBČINA VELENJE,116.122 ,116.122 ,0 ,0 ,116.122 ,0 ,110.977 ,110.977 ,0 ,0 ,110.977 ,0 ,804.830 ,5.144 ,-751.965 ,-1.847.064 ,-1.847.064 ,0 
174.,VELIKA POLANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-25.521 ,0 ,25.521 ,0 ,0 ,0 
175.,VELIKE LAŠČE,0 ,0 ,0 ,0 ,0 ,0 ,12.890 ,12.890 ,0 ,0 ,12.890 ,0 ,-62.944 ,-12.890 ,50.054 ,252.295 ,252.295 ,0 
176.,VERŽEJ,81.977 ,81.977 ,81.977 ,0 ,0 ,0 ,11.313 ,11.313 ,0 ,11.313 ,0 ,0 ,122.185 ,70.664 ,-51.520 ,37.869 ,37.869 ,0 
177.,VIDEM,0 ,0 ,0 ,0 ,0 ,0 ,141.045 ,141.045 ,141.045 ,0 ,0 ,0 ,195.168 ,-141.045 ,-336.213 ,136.709 ,136.709 ,14.280 
178.,VIPAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,516.875 ,0 ,-515.135 ,306.526 ,306.526 ,23.961 
179.,VITANJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,126.106 ,0 ,-125.163 ,0 ,0 ,0 
180.,VODICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-497.863 ,0 ,497.863 ,913.837 ,913.837 ,0 
181.,VOJNIK,328.572 ,328.572 ,328.572 ,0 ,0 ,0 ,14.296 ,14.296 ,14.296 ,0 ,0 ,0 ,-45.114 ,314.276 ,400.396 ,158.479 ,158.479 ,62.318 
182.,VRANSKO,539.768 ,539.768 ,483.358 ,0 ,56.410 ,0 ,28.096 ,28.096 ,16.625 ,0 ,11.471 ,0 ,327.846 ,511.672 ,183.826 ,0 ,0 ,0 
183.,VRHNIKA,0 ,0 ,0 ,0 ,0 ,0 ,71.566 ,71.566 ,71.566 ,0 ,0 ,0 ,37.277 ,-71.566 ,-108.842 ,278.714 ,278.714 ,0 
184.,VUZENICA,0 ,0 ,0 ,0 ,0 ,0 ,27.821 ,27.821 ,27.821 ,0 ,0 ,0 ,-16.571 ,-27.821 ,-11.212 ,125.522 ,125.522 ,8.621 
185.,ZAGORJE OB SAVI,0 ,0 ,0 ,0 ,0 ,0 ,33.742 ,33.742 ,32.824 ,0 ,918 ,0 ,-79.816 ,-33.742 ,181.047 ,134.214 ,134.214 ,0 
186.,ZAVRČ,156.485 ,156.485 ,156.485 ,0 ,0 ,0 ,12.018 ,12.018 ,0 ,0 ,12.018 ,0 ,166.546 ,144.467 ,-22.079 ,1.527 ,1.527 ,409 
187.,ZREČE,471.541 ,471.541 ,433.984 ,0 ,37.556 ,0 ,168.152 ,168.152 ,146.052 ,0 ,22.100 ,0 ,1.548 ,303.388 ,280.976 ,50.225 ,50.225 ,0 
188.,ŽALEC,0 ,0 ,0 ,0 ,0 ,0 ,138.804 ,138.804 ,115.173 ,0 ,23.631 ,0 ,161.017 ,-138.804 ,-246.219 ,629.152 ,629.152 ,101.068 
189.,ŽELEZNIKI,166.917 ,166.917 ,166.917 ,0 ,0 ,0 ,58.545 ,58.545 ,58.545 ,0 ,0 ,0 ,39.912 ,108.372 ,30.243 ,317.122 ,317.122 ,0 
190.,ŽETALE,967.103 ,967.103 ,646.804 ,0 ,320.299 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25.518 ,967.103 ,941.584 ,3.843 ,3.843 ,0 
191.,ŽIRI,0 ,0 ,0 ,0 ,0 ,0 ,32.690 ,32.690 ,0 ,0 ,32.690 ,0 ,27.667 ,-32.690 ,-67.034 ,582.725 ,582.725 ,24.474 
192.,ŽIROVNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,487.057 ,0 ,-486.754 ,-336.357 ,-336.357 ,0 
193.,ŽUŽEMBERK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-32.019 ,0 ,32.399 ,247.843 ,247.843 ,12.761 
,SKUPAJ,22.314.913 ,22.314.913 ,13.913.702 ,486.012 ,7.915.199 ,0 ,13.280.042 ,13.280.042 ,8.755.083 ,1.414.850 ,3.110.110 ,0 ,75.674.373 ,9.034.871 ,-52.855.182 ,94.541.268 ,94.541.268 ,3.749.958 
