15.,MESTNA OBČINA CELJE,40.043.874 ,28.515.160 ,23.460.391 ,15.324.704 ,15.324.704 ,6.650.284 ,5.430.880 ,63 ,92.155 ,1.127.187 ,1.485.403 ,35.357 ,0 ,1.450.046 ,0 ,0 ,5.054.770 ,2.117.347 ,163.983 ,28.347 ,1.925.017 ,61.375 ,61.375 ,105.041 ,105.041 ,64.484 ,64.484 ,2.706.522 ,2.706.522 ,6.766.178 ,870.393 ,870.393 ,0 ,0 ,0 ,0 ,5.895.785 ,0 ,5.895.785 ,0 ,5.734 ,5.734 ,0 ,5.734 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.756.802 ,4.756.802 ,4.756.802 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
16.,CERKLJE NA GORENJSKEM,4.084.289 ,3.078.739 ,2.446.198 ,1.689.730 ,1.689.730 ,480.225 ,183.918 ,0 ,2.992 ,293.315 ,276.244 ,21.445 ,0 ,254.799 ,0 ,0 ,632.540 ,250.659 ,39.313 ,49.474 ,161.872 ,18.290 ,18.290 ,5.487 ,5.487 ,6.097 ,6.097 ,352.007 ,352.007 ,281.464 ,1.202 ,1.135 ,0 ,67 ,0 ,0 ,280.262 ,0 ,280.262 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,724.086 ,724.086 ,724.086 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
17.,CERKNICA,12.215.110 ,4.595.872 ,3.953.447 ,2.697.812 ,2.697.812 ,684.669 ,503.753 ,20 ,25.875 ,155.020 ,570.967 ,246.163 ,0 ,324.804 ,0 ,0 ,642.425 ,315.553 ,168 ,69.993 ,245.391 ,22.830 ,22.830 ,2.839 ,2.839 ,0 ,0 ,301.203 ,301.203 ,4.937.966 ,154.917 ,154.917 ,0 ,0 ,0 ,0 ,4.783.050 ,0 ,4.783.050 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.681.272 ,2.681.272 ,2.681.272 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
18.,CERKNO,3.636.097 ,2.372.518 ,1.721.827 ,1.476.357 ,1.476.357 ,171.042 ,143.619 ,0 ,4.488 ,22.936 ,74.428 ,914 ,0 ,73.513 ,0 ,0 ,650.691 ,554.245 ,435 ,4.281 ,549.529 ,4.093 ,4.093 ,0 ,0 ,7.972 ,7.972 ,84.381 ,84.381 ,13.948 ,11.014 ,10.191 ,0 ,281 ,542 ,0 ,2.934 ,146 ,2.788 ,0 ,763 ,763 ,104 ,659 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.248.868 ,1.248.868 ,1.248.868 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
19.,CERKVENJAK,1.112.922 ,376.637 ,265.752 ,216.263 ,216.263 ,20.637 ,13.295 ,0 ,407 ,6.935 ,28.852 ,384 ,0 ,28.469 ,0 ,0 ,110.884 ,14.787 ,0 ,3.687 ,11.100 ,1.651 ,1.651 ,317 ,317 ,32.355 ,32.355 ,61.775 ,61.775 ,841 ,0 ,0 ,0 ,0 ,0 ,0 ,841 ,347 ,494 ,0 ,174 ,174 ,174 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,735.271 ,735.271 ,735.271 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
20.,ČRENŠOVCI,2.169.404 ,803.814 ,667.063 ,561.705 ,561.705 ,66.183 ,58.421 ,0 ,2.241 ,5.521 ,39.175 ,3.651 ,0 ,35.524 ,0 ,0 ,136.751 ,17.460 ,0 ,8.817 ,8.642 ,3.105 ,3.105 ,1.106 ,1.106 ,0 ,0 ,115.081 ,115.081 ,864 ,0 ,0 ,0 ,0 ,0 ,0 ,864 ,0 ,864 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.364.726 ,1.286.451 ,1.215.511 ,70.940 ,0 ,0 ,0 ,78.276 ,0 ,0 ,78.276 ,0 ,0 ,0 ,0 ,0 
21.,ČRNA NA KOROŠKEM,2.697.484 ,1.539.130 ,1.062.064 ,779.699 ,779.699 ,164.998 ,145.201 ,0 ,505 ,19.291 ,117.368 ,1.636 ,0 ,115.732 ,0 ,0 ,477.066 ,164.797 ,935 ,1.577 ,162.285 ,5.350 ,5.350 ,597 ,597 ,274.474 ,274.474 ,31.848 ,31.848 ,115.160 ,50.985 ,50.985 ,0 ,0 ,0 ,0 ,64.175 ,0 ,64.175 ,0 ,5.008 ,5.008 ,5.008 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.038.186 ,1.038.186 ,1.004.432 ,0 ,0 ,33.755 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
22.,ČRNOMELJ,9.702.904 ,4.264.751 ,3.768.778 ,3.100.351 ,3.100.351 ,408.984 ,304.678 ,0 ,22.738 ,81.568 ,259.443 ,6.264 ,0 ,253.180 ,0 ,0 ,495.973 ,156.464 ,14.009 ,32.874 ,109.581 ,22.496 ,22.496 ,3.251 ,3.251 ,8.763 ,8.763 ,304.999 ,304.999 ,74.086 ,16.333 ,16.333 ,0 ,0 ,0 ,0 ,57.753 ,20.635 ,37.118 ,0 ,311.985 ,311.985 ,311.985 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.052.082 ,4.835.023 ,4.496.148 ,338.875 ,0 ,0 ,0 ,217.059 ,0 ,0 ,0 ,217.059 ,0 ,0 ,0 ,0 
23.,DESTRNIK,1.616.637 ,760.603 ,521.244 ,394.467 ,394.467 ,55.671 ,44.296 ,0 ,2.737 ,8.638 ,71.107 ,288 ,0 ,70.819 ,0 ,0 ,239.359 ,31.877 ,451 ,2.566 ,28.860 ,6.284 ,6.284 ,1.327 ,1.327 ,0 ,0 ,199.871 ,199.871 ,24.762 ,24.762 ,24.762 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.519 ,12.519 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,818.753 ,802.053 ,789.735 ,12.318 ,0 ,0 ,0 ,16.700 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.700 
24.,DIVAČA,3.015.214 ,2.163.107 ,1.456.172 ,1.157.440 ,1.157.440 ,195.122 ,115.431 ,0 ,21.562 ,58.129 ,103.610 ,1.740 ,0 ,101.869 ,0 ,0 ,706.935 ,611.317 ,6.577 ,21.599 ,583.141 ,3.434 ,3.434 ,0 ,0 ,981 ,981 ,91.203 ,91.203 ,274.470 ,24.203 ,24.203 ,0 ,0 ,0 ,0 ,250.267 ,1.002 ,249.266 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,577.637 ,577.637 ,564.789 ,0 ,0 ,0 ,12.848 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
