64.,KOMENDA,8.378.117 ,2.449.019 ,2.044.133 ,1.370.819 ,1.370.819 ,501.744 ,187.999 ,313 ,10.653 ,302.779 ,171.570 ,4.206 ,0 ,167.364 ,0 ,0 ,404.887 ,108.363 ,0 ,54.532 ,53.831 ,10.194 ,10.194 ,2.729 ,2.729 ,163.796 ,163.796 ,119.805 ,119.805 ,4.510.532 ,0 ,0 ,0 ,0 ,0 ,0 ,4.510.532 ,0 ,4.510.532 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.418.565 ,324.528 ,324.195 ,0 ,0 ,334 ,0 ,1.094.037 ,0 ,0 ,1.094.037 ,0 ,0 ,0 ,0 ,0 
65.,MESTNA OBČINA KOPER,49.353.977 ,37.382.182 ,28.394.266 ,16.279.720 ,16.279.720 ,10.245.414 ,8.448.393 ,0 ,128.718 ,1.668.302 ,1.869.133 ,60.249 ,0 ,1.808.884 ,0 ,0 ,8.987.915 ,2.931.739 ,949.808 ,529.686 ,1.452.245 ,127.182 ,127.182 ,98.035 ,98.035 ,401 ,401 ,5.830.558 ,5.830.558 ,10.484.068 ,503.484 ,495.994 ,7.490 ,0 ,0 ,0 ,9.980.583 ,0 ,9.878.989 ,101.594 ,115.970 ,1.252 ,1.252 ,0 ,114.718 ,114.718 ,0 ,0 ,0 ,0 ,0 ,1.371.758 ,1.371.758 ,1.364.038 ,7.720 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
66.,KOSTEL,1.068.962 ,303.789 ,177.358 ,137.828 ,137.828 ,20.093 ,9.510 ,0 ,743 ,9.840 ,19.437 ,0 ,0 ,19.437 ,0 ,0 ,126.431 ,15.419 ,0 ,63 ,15.356 ,906 ,906 ,0 ,0 ,204 ,204 ,109.902 ,109.902 ,450.300 ,0 ,0 ,0 ,0 ,0 ,0 ,450.300 ,63.600 ,386.701 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,314.872 ,314.872 ,314.872 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
67.,KOZJE,2.252.758 ,800.705 ,647.672 ,453.868 ,453.868 ,81.781 ,69.179 ,0 ,947 ,11.655 ,112.022 ,1.961 ,0 ,110.061 ,0 ,0 ,153.034 ,67.126 ,0 ,2.057 ,65.068 ,5.809 ,5.809 ,3.856 ,3.856 ,0 ,0 ,76.244 ,76.244 ,16.229 ,0 ,0 ,0 ,0 ,0 ,0 ,16.229 ,1.394 ,14.835 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.435.825 ,1.435.825 ,1.421.887 ,13.938 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
68.,MESTNA OBČINA KRANJ,34.087.815 ,29.889.605 ,24.767.806 ,17.881.205 ,17.881.205 ,5.568.787 ,4.198.314 ,1.085 ,123.076 ,1.246.311 ,1.317.814 ,27.045 ,0 ,1.290.769 ,0 ,0 ,5.121.799 ,2.261.584 ,57.620 ,270.539 ,1.933.425 ,82.566 ,82.566 ,190.573 ,190.573 ,158.283 ,158.283 ,2.428.793 ,2.428.793 ,2.811.488 ,2.362.986 ,2.361.772 ,0 ,92 ,1.123 ,0 ,448.502 ,0 ,448.502 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.386.722 ,1.386.722 ,1.293.127 ,93.595 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
69.,KRANJSKA GORA,6.056.573 ,5.632.314 ,3.115.204 ,1.688.007 ,1.688.007 ,869.988 ,590.250 ,51 ,6.236 ,273.452 ,557.210 ,5.695 ,0 ,551.515 ,0 ,0 ,2.517.110 ,1.824.078 ,23.072 ,33.373 ,1.767.633 ,17.878 ,17.878 ,5.436 ,5.436 ,276.720 ,276.720 ,392.999 ,392.999 ,117.650 ,49.572 ,49.572 ,0 ,0 ,0 ,0 ,68.078 ,0 ,68.078 ,0 ,417 ,417 ,417 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,306.192 ,306.192 ,306.192 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
70.,KRIŽEVCI,1.981.581 ,1.183.307 ,981.979 ,625.145 ,625.145 ,66.514 ,24.352 ,0 ,2.514 ,39.648 ,290.320 ,420 ,0 ,289.899 ,0 ,0 ,201.329 ,55.909 ,0 ,15.451 ,40.458 ,7.192 ,7.192 ,776 ,776 ,4.940 ,4.940 ,132.513 ,132.513 ,3.956 ,3.881 ,964 ,0 ,2.917 ,0 ,0 ,75 ,0 ,75 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,794.318 ,794.318 ,764.351 ,29.967 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
71.,KRŠKO,23.380.600 ,16.679.077 ,9.866.287 ,6.472.325 ,6.472.325 ,2.257.123 ,1.936.146 ,21 ,49.887 ,271.069 ,1.136.834 ,27.504 ,0 ,1.109.331 ,4 ,4 ,6.812.790 ,703.647 ,22.580 ,11.375 ,669.692 ,50.772 ,50.772 ,10.153 ,10.153 ,30.421 ,30.421 ,6.017.798 ,6.017.798 ,1.246.603 ,640.214 ,633.517 ,6.698 ,0 ,0 ,0 ,606.389 ,41.062 ,565.327 ,0 ,939 ,939 ,939 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.453.981 ,5.292.510 ,4.807.837 ,3.522 ,0 ,481.151 ,0 ,161.471 ,0 ,0 ,0 ,161.471 ,0 ,0 ,0 ,0 
72.,KUNGOTA,2.431.330 ,1.272.413 ,1.118.770 ,877.737 ,877.737 ,104.423 ,57.323 ,154 ,1.160 ,45.785 ,136.609 ,718 ,0 ,135.891 ,0 ,0 ,153.643 ,60.203 ,2.258 ,2.383 ,55.563 ,10.220 ,10.220 ,5.383 ,5.383 ,0 ,0 ,77.838 ,77.838 ,206.906 ,32.136 ,32.136 ,0 ,0 ,0 ,0 ,174.770 ,0 ,174.770 ,0 ,45.798 ,45.798 ,42.889 ,2.909 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,906.213 ,906.213 ,887.535 ,0 ,0 ,18.678 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
73.,KUZMA,3.397.853 ,680.858 ,172.157 ,120.531 ,120.531 ,44.160 ,37.516 ,0 ,1.996 ,4.647 ,7.467 ,417 ,0 ,7.050 ,0 ,0 ,508.701 ,346.705 ,703 ,3.610 ,342.391 ,9.402 ,9.402 ,318 ,318 ,0 ,0 ,152.276 ,152.276 ,942.428 ,917.652 ,917.652 ,0 ,0 ,0 ,0 ,24.776 ,5.903 ,18.873 ,0 ,2.328 ,2.328 ,2.328 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.772.238 ,820.827 ,680.279 ,0 ,0 ,140.548 ,0 ,951.410 ,197.513 ,0 ,0 ,753.898 ,0 ,0 ,0 ,0 
74.,LAŠKO,8.391.779 ,5.304.761 ,4.683.951 ,3.204.728 ,3.204.728 ,713.666 ,611.722 ,117 ,14.872 ,86.955 ,765.557 ,2.929 ,0 ,762.627 ,0 ,0 ,620.810 ,140.406 ,497 ,15.494 ,124.416 ,10.240 ,10.240 ,12.235 ,12.235 ,57.257 ,57.257 ,400.672 ,400.672 ,144.346 ,20.773 ,20.773 ,0 ,0 ,0 ,0 ,123.573 ,0 ,123.573 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.942.672 ,2.942.672 ,2.942.672 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
75.,LENART,7.869.346 ,4.103.017 ,3.268.732 ,2.273.364 ,2.273.364 ,575.388 ,468.085 ,0 ,4.682 ,102.621 ,419.980 ,3.939 ,0 ,416.041 ,0 ,0 ,834.285 ,177.450 ,14.075 ,1.452 ,161.922 ,9.222 ,9.222 ,4.202 ,4.202 ,0 ,0 ,643.411 ,643.411 ,783.797 ,120.568 ,120.568 ,0 ,0 ,0 ,0 ,663.228 ,0 ,663.228 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.982.532 ,2.982.532 ,2.854.415 ,0 ,0 ,128.117 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
76.,LENDAVA,8.092.683 ,4.736.671 ,4.005.826 ,2.391.006 ,2.391.006 ,153.770 ,40.631 ,0 ,17.730 ,95.409 ,1.461.050 ,3.910 ,0 ,1.457.140 ,0 ,0 ,730.845 ,257.845 ,409 ,163.149 ,94.288 ,12.713 ,12.713 ,15.979 ,15.979 ,21.252 ,21.252 ,423.055 ,423.055 ,352.568 ,0 ,0 ,0 ,0 ,0 ,668 ,351.900 ,0 ,351.900 ,0 ,50.075 ,50.075 ,50.075 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.953.370 ,2.420.340 ,2.417.245 ,3.096 ,0 ,0 ,0 ,533.029 ,533.029 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
77.,LITIJA,8.404.039 ,5.039.918 ,4.690.340 ,3.470.593 ,3.470.593 ,889.576 ,657.094 ,142 ,23.189 ,209.151 ,330.170 ,8.433 ,0 ,321.737 ,0 ,0 ,349.579 ,113.320 ,8 ,77.333 ,35.979 ,21.591 ,21.591 ,5.617 ,5.617 ,2.650 ,2.650 ,206.401 ,206.401 ,116.441 ,79.231 ,77.675 ,1.390 ,167 ,0 ,0 ,37.210 ,2.249 ,34.961 ,0 ,179.131 ,179.131 ,179.131 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.068.549 ,3.068.549 ,3.029.795 ,27.900 ,0 ,10.854 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
78.,MESTNA OBČINA LJUBLJANA,219.566.696 ,205.729.357 ,182.507.661 ,125.573.398 ,125.573.398 ,41.540.636 ,28.821.995 ,11.563 ,1.458.212 ,11.248.865 ,15.393.628 ,777.270 ,0 ,14.616.358 ,0 ,0 ,23.221.695 ,10.639.993 ,3.340.298 ,547.396 ,6.752.299 ,1.120.080 ,1.120.080 ,1.747.087 ,1.747.087 ,644.621 ,644.621 ,9.069.913 ,9.069.913 ,7.050.534 ,3.844.546 ,3.830.412 ,14.134 ,0 ,0 ,0 ,3.205.988 ,0 ,3.205.988 ,0 ,235.207 ,39.059 ,35.278 ,3.781 ,196.148 ,196.148 ,0 ,0 ,0 ,0 ,0 ,6.551.598 ,6.551.598 ,6.314.034 ,237.565 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
79.,LJUBNO,1.782.753 ,596.941 ,537.778 ,406.577 ,406.577 ,66.596 ,37.076 ,0 ,10.286 ,19.233 ,64.605 ,238 ,0 ,64.367 ,0 ,0 ,59.164 ,42.935 ,138 ,5.033 ,37.765 ,5.550 ,5.550 ,1.473 ,1.473 ,4.348 ,4.348 ,4.857 ,4.857 ,1.982 ,1.982 ,1.982 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21.123 ,21.123 ,0 ,21.123 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.162.707 ,1.162.707 ,1.149.094 ,13.612 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
80.,LJUTOMER,8.329.628 ,3.976.543 ,3.121.891 ,2.135.527 ,2.135.527 ,547.912 ,465.338 ,0 ,13.238 ,69.336 ,438.451 ,13.625 ,0 ,424.827 ,0 ,0 ,854.652 ,313.545 ,12.627 ,17.963 ,282.955 ,22.687 ,22.687 ,12.304 ,12.304 ,67.028 ,67.028 ,439.088 ,439.088 ,180.420 ,0 ,0 ,0 ,0 ,0 ,0 ,180.420 ,0 ,180.420 ,0 ,4.173 ,4.173 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.168.492 ,4.039.720 ,3.091.950 ,364.508 ,64.054 ,498.330 ,20.878 ,128.772 ,0 ,0 ,0 ,0 ,0 ,0 ,128.772 ,0 
81.,LOGATEC,9.000.049 ,5.650.389 ,4.201.245 ,3.142.449 ,3.142.449 ,712.871 ,416.440 ,240 ,45.327 ,250.865 ,345.925 ,2.575 ,0 ,343.350 ,0 ,0 ,1.449.144 ,907.738 ,112 ,10.851 ,896.774 ,18.444 ,18.444 ,1.538 ,1.538 ,24.798 ,24.798 ,496.627 ,496.627 ,1.679.341 ,100.563 ,100.563 ,0 ,0 ,0 ,0 ,1.578.778 ,0 ,1.578.778 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.670.319 ,1.670.319 ,1.670.319 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
82.,LOŠKA DOLINA,2.405.485 ,1.529.562 ,1.425.981 ,1.039.794 ,1.039.794 ,270.814 ,247.429 ,0 ,10.804 ,12.581 ,115.373 ,841 ,0 ,114.532 ,0 ,0 ,103.581 ,83.209 ,2.385 ,808 ,80.015 ,3.373 ,3.373 ,107 ,107 ,2.238 ,2.238 ,14.653 ,14.653 ,1.136 ,209 ,0 ,209 ,0 ,0 ,0 ,927 ,0 ,927 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,874.787 ,874.787 ,874.787 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
83.,LOŠKI POTOK,1.489.380 ,452.112 ,414.484 ,313.725 ,313.725 ,43.565 ,27.959 ,0 ,7.616 ,7.991 ,57.194 ,442 ,0 ,56.752 ,0 ,0 ,37.627 ,8.087 ,0 ,2.762 ,5.325 ,3.484 ,3.484 ,0 ,0 ,1.193 ,1.193 ,24.862 ,24.862 ,43.173 ,38.625 ,38.625 ,0 ,0 ,0 ,0 ,4.548 ,1.277 ,3.272 ,0 ,3.338 ,3.338 ,3.338 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,990.757 ,990.757 ,990.757 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
84.,LOVRENC NA POHORJU,2.402.850 ,1.329.824 ,783.613 ,596.887 ,596.887 ,95.635 ,81.497 ,0 ,1.323 ,12.815 ,91.091 ,447 ,0 ,90.644 ,0 ,0 ,546.211 ,433.955 ,5.346 ,14.317 ,414.292 ,3.100 ,3.100 ,931 ,931 ,65.231 ,65.231 ,42.994 ,42.994 ,76.511 ,43.219 ,42.697 ,0 ,0 ,522 ,0 ,33.292 ,0 ,33.292 ,0 ,3.923 ,3.923 ,3.923 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,992.593 ,992.593 ,991.087 ,1.269 ,0 ,238 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
85.,LUČE,1.071.666 ,287.398 ,227.132 ,192.618 ,192.618 ,18.119 ,7.190 ,0 ,3.747 ,7.182 ,16.395 ,626 ,0 ,15.769 ,0 ,0 ,60.265 ,37.811 ,0 ,3.259 ,34.552 ,2.504 ,2.504 ,488 ,488 ,0 ,0 ,19.463 ,19.463 ,3.601 ,1.377 ,1.377 ,0 ,0 ,0 ,0 ,2.224 ,2.224 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,780.667 ,780.667 ,780.667 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
86.,LUKOVICA,3.680.408 ,1.926.440 ,1.648.101 ,1.119.963 ,1.119.963 ,368.423 ,184.665 ,0 ,8.859 ,174.900 ,159.715 ,1.473 ,0 ,158.242 ,0 ,0 ,278.338 ,81.264 ,21.453 ,16.375 ,43.436 ,3.810 ,3.810 ,2.616 ,2.616 ,76.181 ,76.181 ,114.468 ,114.468 ,7.653 ,7.027 ,2.157 ,4.870 ,0 ,0 ,0 ,626 ,0 ,626 ,0 ,912.047 ,12.218 ,0 ,12.218 ,899.829 ,0 ,0 ,899.829 ,0 ,0 ,0 ,834.268 ,834.268 ,782.106 ,52.162 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
87.,MAJŠPERK,4.850.221 ,1.201.790 ,856.042 ,684.539 ,684.539 ,72.613 ,41.859 ,0 ,1.027 ,29.728 ,98.890 ,780 ,0 ,98.110 ,0 ,0 ,345.748 ,159.523 ,2.016 ,41.441 ,116.066 ,3.351 ,3.351 ,2.020 ,2.020 ,17.610 ,17.610 ,163.245 ,163.245 ,72.855 ,67.013 ,67.013 ,0 ,0 ,0 ,0 ,5.842 ,0 ,5.842 ,0 ,24.741 ,24.741 ,8.709 ,16.032 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.550.835 ,3.301.156 ,2.555.124 ,208.404 ,0 ,0 ,537.627 ,249.679 ,0 ,0 ,0 ,249.679 ,0 ,0 ,0 ,0 
88.,MESTNA OBČINA MARIBOR,76.767.288 ,63.596.653 ,49.898.005 ,33.927.954 ,33.927.954 ,13.118.085 ,9.511.930 ,2.950 ,147.813 ,3.455.391 ,2.851.965 ,187.502 ,0 ,2.664.463 ,0 ,0 ,13.698.648 ,7.483.121 ,993.198 ,281.956 ,6.207.966 ,190.644 ,190.644 ,368.261 ,368.261 ,87.823 ,87.823 ,5.568.799 ,5.568.799 ,8.824.791 ,806.714 ,806.643 ,71 ,0 ,0 ,0 ,8.018.077 ,0 ,8.018.077 ,0 ,153.743 ,24.362 ,22.692 ,1.669 ,129.382 ,129.382 ,0 ,0 ,0 ,0 ,0 ,4.192.101 ,4.136.538 ,4.010.282 ,126.256 ,0 ,0 ,0 ,55.563 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,55.563 
89.,MARKOVCI,2.703.130 ,2.292.051 ,1.100.822 ,685.770 ,685.770 ,286.138 ,258.308 ,0 ,376 ,27.454 ,128.914 ,138 ,0 ,128.777 ,0 ,0 ,1.191.229 ,1.167.626 ,2.512 ,131.647 ,1.033.467 ,7.453 ,7.453 ,1.218 ,1.218 ,3.797 ,3.797 ,11.133 ,11.133 ,263.800 ,15.749 ,15.749 ,0 ,0 ,0 ,0 ,248.051 ,0 ,248.051 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,147.279 ,147.279 ,139.100 ,0 ,8.179 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
90.,MEDVODE,9.833.083 ,8.060.023 ,7.084.786 ,5.362.172 ,5.362.172 ,1.325.355 ,939.200 ,67 ,39.747 ,346.340 ,397.258 ,5.721 ,0 ,391.537 ,0 ,0 ,975.238 ,377.266 ,153.660 ,14.580 ,209.026 ,19.467 ,19.467 ,8.429 ,8.429 ,2.925 ,2.925 ,567.151 ,567.151 ,84.890 ,38.829 ,38.808 ,0 ,21 ,0 ,0 ,46.061 ,0 ,46.061 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.688.170 ,1.688.170 ,563.007 ,1.125.163 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
91.,MENGEŠ,3.860.580 ,3.710.456 ,3.014.609 ,2.237.604 ,2.237.604 ,575.456 ,388.552 ,9 ,67.492 ,119.402 ,201.550 ,4.505 ,0 ,197.044 ,0 ,0 ,695.847 ,165.855 ,20.481 ,24.798 ,120.576 ,4.902 ,4.902 ,372 ,372 ,4.844 ,4.844 ,519.875 ,519.875 ,13.170 ,10.047 ,10.047 ,0 ,0 ,0 ,0 ,3.123 ,0 ,3.123 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,136.954 ,136.954 ,136.954 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
92.,METLIKA,5.256.764 ,2.402.833 ,2.153.539 ,1.676.473 ,1.676.473 ,268.386 ,214.522 ,0 ,3.751 ,50.113 ,208.680 ,4.115 ,0 ,204.565 ,0 ,0 ,249.295 ,149.220 ,0 ,6.535 ,142.685 ,16.320 ,16.320 ,3.785 ,3.785 ,0 ,0 ,79.970 ,79.970 ,37.652 ,609 ,609 ,0 ,0 ,0 ,0 ,37.043 ,0 ,37.043 ,0 ,89.509 ,835 ,835 ,0 ,88.675 ,88.675 ,0 ,0 ,0 ,0 ,0 ,2.726.769 ,2.597.379 ,2.108.016 ,161.509 ,0 ,0 ,327.854 ,129.390 ,0 ,0 ,0 ,0 ,0 ,0 ,129.390 ,0 
93.,MEŽICA,2.112.552 ,1.321.261 ,1.153.622 ,987.890 ,987.890 ,87.327 ,61.980 ,0 ,2.258 ,23.089 ,78.405 ,1.014 ,0 ,77.391 ,0 ,0 ,167.639 ,144.212 ,1.544 ,14.768 ,127.900 ,3.597 ,3.597 ,2.358 ,2.358 ,67 ,67 ,17.405 ,17.405 ,208.888 ,117.101 ,106.877 ,10.224 ,0 ,0 ,0 ,91.788 ,0 ,91.788 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,582.403 ,582.403 ,582.403 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
94.,MIKLAVŽ NA DRAVSKEM POLJU,3.681.819 ,2.425.826 ,2.063.804 ,1.461.363 ,1.461.363 ,432.273 ,303.785 ,0 ,3.710 ,124.779 ,170.168 ,2.591 ,0 ,167.576 ,0 ,0 ,362.022 ,194.988 ,20.406 ,33.546 ,141.037 ,4.298 ,4.298 ,3.322 ,3.322 ,1.252 ,1.252 ,158.162 ,158.162 ,518.745 ,0 ,0 ,0 ,0 ,0 ,0 ,518.745 ,0 ,518.745 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,737.248 ,737.248 ,695.518 ,0 ,0 ,41.729 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
95.,MIREN - KOSTANJEVICA,2.970.589 ,2.411.580 ,1.751.114 ,1.429.069 ,1.429.069 ,171.390 ,123.948 ,0 ,12.857 ,34.585 ,150.655 ,4.177 ,0 ,146.478 ,0 ,0 ,660.466 ,621.478 ,5.446 ,1.869 ,614.163 ,4.081 ,4.081 ,1.072 ,1.072 ,0 ,0 ,33.834 ,33.834 ,34.727 ,0 ,0 ,0 ,0 ,0 ,0 ,34.727 ,0 ,34.727 ,0 ,51.264 ,51.264 ,31.985 ,19.279 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,473.018 ,473.018 ,473.018 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
96.,MIRNA PEČ,1.416.604 ,758.542 ,676.652 ,553.635 ,553.635 ,61.138 ,39.200 ,0 ,6.931 ,15.006 ,61.880 ,630 ,0 ,61.250 ,0 ,0 ,81.890 ,36.100 ,0 ,20.026 ,16.074 ,1.915 ,1.915 ,5.475 ,5.475 ,0 ,0 ,38.399 ,38.399 ,3.109 ,0 ,0 ,0 ,0 ,0 ,0 ,3.109 ,0 ,3.109 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,654.953 ,654.953 ,654.953 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
97.,MISLINJA,2.650.981 ,1.542.981 ,1.315.027 ,1.113.036 ,1.113.036 ,96.895 ,76.373 ,0 ,5.800 ,14.722 ,105.095 ,1.323 ,0 ,103.772 ,0 ,0 ,227.954 ,167.497 ,5.058 ,21.474 ,140.966 ,7.670 ,7.670 ,1.193 ,1.193 ,1.252 ,1.252 ,50.342 ,50.342 ,55.788 ,8.901 ,8.567 ,0 ,334 ,0 ,0 ,46.887 ,0 ,46.887 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.052.212 ,1.052.212 ,1.018.198 ,14.359 ,0 ,19.654 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
98.,MORAVČE,2.462.790 ,1.503.756 ,1.286.955 ,989.042 ,989.042 ,151.022 ,80.187 ,0 ,24.958 ,45.877 ,146.891 ,1.953 ,0 ,144.938 ,0 ,0 ,216.800 ,85.553 ,17.551 ,2.608 ,65.394 ,8.888 ,8.888 ,1.202 ,1.202 ,13.120 ,13.120 ,108.037 ,108.037 ,906 ,906 ,906 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,179 ,0 ,0 ,0 ,179 ,179 ,0 ,0 ,0 ,0 ,0 ,957.949 ,957.949 ,955.446 ,0 ,0 ,2.504 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
99.,MORAVSKE TOPLICE,4.965.043 ,2.192.113 ,1.721.787 ,951.557 ,951.557 ,334.347 ,271.082 ,13 ,2.742 ,60.512 ,435.883 ,1.281 ,0 ,434.602 ,0 ,0 ,470.326 ,78.242 ,5.391 ,24.871 ,47.980 ,20.881 ,20.881 ,38.721 ,38.721 ,11.096 ,11.096 ,321.386 ,321.386 ,110.207 ,61.384 ,60.758 ,626 ,0 ,0 ,0 ,48.823 ,30.404 ,18.419 ,0 ,47.025 ,47.025 ,22.951 ,24.074 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.615.699 ,2.615.699 ,2.560.048 ,55.650 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
100.,MOZIRJE,3.613.633 ,1.980.805 ,1.749.549 ,1.459.631 ,1.459.631 ,153.159 ,105.567 ,0 ,5.208 ,42.384 ,136.759 ,3.868 ,0 ,132.891 ,0 ,0 ,231.255 ,98.101 ,125 ,1.398 ,96.578 ,11.300 ,11.300 ,4.311 ,4.311 ,0 ,0 ,117.543 ,117.543 ,145.547 ,132.515 ,132.461 ,0 ,54 ,0 ,0 ,13.032 ,7.899 ,5.133 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.487.281 ,1.438.554 ,1.375.313 ,63.241 ,0 ,0 ,0 ,48.727 ,0 ,48.727 ,0 ,0 ,0 ,0 ,0 ,0 
101.,MESTNA OBČINA MURSKA SOBOTA,12.393.040 ,10.031.810 ,8.129.603 ,6.140.148 ,6.140.148 ,1.504.765 ,1.043.866 ,71 ,54.999 ,405.830 ,484.690 ,29.920 ,0 ,454.770 ,0 ,0 ,1.902.207 ,467.493 ,50.638 ,21.349 ,395.506 ,16.671 ,16.671 ,100.755 ,100.755 ,73.982 ,73.982 ,1.243.307 ,1.243.307 ,705.412 ,23.535 ,23.035 ,0 ,0 ,501 ,0 ,681.877 ,0 ,681.877 ,0 ,2.212 ,2.212 ,2.212 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.653.605 ,1.653.605 ,1.653.605 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
