22.,ČRNOMELJ,11.138 ,11.138 ,11.138 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.138 ,79.753 
23.,DESTRNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42.309 
24.,DIVAČA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42.451 
25.,DOBJE,88.716 ,88.716 ,0 ,0 ,88.716 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,102.291 ,102.237 ,0 ,0 ,0 ,102.237 ,0 ,0 ,54 ,0 ,0 ,54 ,0 ,0 ,-13.575 ,401 
26.,DOBREPOLJE,6.168 ,6.168 ,5.233 ,0 ,935 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.519 ,12.519 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6.351 ,-36.171 
27.,DOBRNA,92.147 ,41.850 ,0 ,0 ,41.850 ,0 ,0 ,0 ,50.296 ,0 ,0 ,50.296 ,50.125 ,50.075 ,0 ,0 ,0 ,50.075 ,0 ,0 ,50 ,0 ,0 ,50 ,0 ,0 ,42.021 ,-44.784 
28.,DOBROVA - POLHOV GRADEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27.737 
29.,DOBROVNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.095 
30.,DOL PRI LJUBLJANI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,472.905 
31.,DOLENJSKE TOPLICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,74.604 
32.,DOMŽALE,86.709 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,86.709 ,0 ,0 ,86.709 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,86.709 ,120.414 
33.,DORNAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.412 
34.,DRAVOGRAD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,112.823 
35.,DUPLEK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,61.960 
36.,GORENJA VAS - POLJANE,17.305 ,17.305 ,0 ,0 ,12.890 ,4.415 ,0 ,0 ,0 ,0 ,0 ,0 ,17.735 ,16.692 ,0 ,0 ,0 ,0 ,16.692 ,0 ,1.043 ,1.043 ,0 ,0 ,0 ,0 ,-430 ,530.262 
37.,GORIŠNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,90.048 
