5.,BLED,7.510.349 ,6.726.915 ,5.253.672 ,3.314.680 ,3.314.680 ,1.037.702 ,754.678 ,13 ,47.246 ,235.766 ,901.289 ,2.533 ,0 ,0 ,898.756 ,0 ,0 ,1.473.243 ,486.672 ,189.484 ,0 ,17.176 ,280.012 ,25.922 ,25.922 ,63.800 ,63.800 ,124.687 ,124.687 ,772.162 ,772.162 ,404.286 ,402.157 ,400.292 ,1.740 ,125 ,0 ,0 ,2.128 ,0 ,2.128 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,379.148 ,379.148 ,379.148 ,0 ,0 ,0 
6.,BLOKE,1.227.550 ,550.467 ,466.792 ,308.976 ,308.976 ,84.940 ,68.761 ,0 ,3.134 ,13.045 ,72.876 ,384 ,0 ,0 ,72.492 ,0 ,0 ,83.676 ,11.530 ,0 ,568 ,4.574 ,6.389 ,2.938 ,2.938 ,505 ,505 ,33.742 ,33.742 ,34.961 ,34.961 ,5.074 ,739 ,739 ,0 ,0 ,0 ,0 ,4.336 ,0 ,4.336 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,672.008 ,672.008 ,509.631 ,0 ,0 ,162.377 
7.,BOHINJ,3.601.949 ,3.202.416 ,1.928.059 ,1.076.006 ,1.076.006 ,500.184 ,259.548 ,0 ,14.935 ,225.701 ,351.869 ,1.799 ,0 ,0 ,350.071 ,0 ,0 ,1.274.357 ,522.880 ,0 ,3.013 ,28.802 ,491.066 ,11.446 ,11.446 ,36.663 ,36.663 ,663.842 ,663.842 ,39.526 ,39.526 ,26.252 ,26.072 ,25.947 ,125 ,0 ,0 ,0 ,179 ,0 ,179 ,0 ,10.048 ,10.048 ,10.048 ,0 ,0 ,0 ,0 ,363.232 ,363.232 ,344.137 ,0 ,19.095 ,0 
8.,BOROVNICA ,1.668.361 ,1.258.525 ,1.181.718 ,944.471 ,944.471 ,115.553 ,70.368 ,0 ,20.326 ,24.858 ,121.695 ,1.181 ,0 ,0 ,120.514 ,0 ,0 ,76.807 ,42.092 ,0 ,0 ,19.062 ,23.030 ,5.358 ,5.358 ,922 ,922 ,0 ,0 ,28.434 ,28.434 ,17.268 ,0 ,0 ,0 ,0 ,0 ,0 ,17.268 ,0 ,17.268 ,0 ,53.952 ,53.952 ,0 ,53.952 ,0 ,0 ,0 ,338.616 ,338.616 ,338.616 ,0 ,0 ,0 
9.,BOVEC,2.957.407 ,1.628.968 ,1.159.994 ,726.277 ,726.277 ,173.176 ,108.788 ,0 ,5.479 ,58.909 ,260.541 ,334 ,0 ,0 ,260.207 ,0 ,0 ,468.974 ,401.415 ,0 ,88 ,2.270 ,399.057 ,11.113 ,11.113 ,2.767 ,2.767 ,40.961 ,40.961 ,12.719 ,12.719 ,146.612 ,122.350 ,122.350 ,0 ,0 ,0 ,0 ,24.261 ,1.198 ,23.064 ,0 ,7.870 ,7.870 ,4.619 ,3.251 ,0 ,0 ,0 ,1.173.957 ,1.173.957 ,1.143.995 ,8.237 ,0 ,21.724 
10.,BRASLOVČE,2.314.643 ,1.429.240 ,1.322.505 ,1.061.046 ,1.061.046 ,82.248 ,45.923 ,109 ,4.069 ,32.148 ,179.210 ,5.800 ,0 ,0 ,173.410 ,0 ,0 ,106.735 ,66.562 ,13.124 ,3.401 ,13.716 ,36.321 ,6.092 ,6.092 ,455 ,455 ,4.411 ,4.411 ,29.215 ,29.215 ,26.202 ,26.202 ,19.767 ,6.435 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,859.201 ,859.201 ,805.158 ,47.079 ,0 ,6.965 
11.,BRDA,2.924.624 ,2.402.621 ,1.818.048 ,1.379.319 ,1.379.319 ,236.204 ,178.455 ,0 ,16.779 ,40.970 ,202.525 ,885 ,0 ,0 ,201.640 ,0 ,0 ,584.573 ,465.002 ,12.552 ,0 ,3.718 ,448.731 ,9.018 ,9.018 ,1.594 ,1.594 ,16.220 ,16.220 ,92.739 ,92.739 ,23.832 ,23.201 ,23.126 ,0 ,75 ,0 ,0 ,630 ,0 ,630 ,0 ,1.252 ,1.252 ,1.252 ,0 ,0 ,0 ,0 ,496.920 ,496.920 ,358.045 ,113.733 ,0 ,25.142 
12.,BREZOVICA,4.334.890 ,3.788.479 ,3.191.875 ,2.699.816 ,2.699.816 ,361.004 ,214.981 ,225 ,15.406 ,130.391 ,131.055 ,5.537 ,0 ,0 ,125.517 ,0 ,0 ,596.603 ,59.948 ,0 ,0 ,35.962 ,23.986 ,12.097 ,12.097 ,3.935 ,3.935 ,13.249 ,13.249 ,507.374 ,507.374 ,140.365 ,124.716 ,124.716 ,0 ,0 ,0 ,0 ,15.648 ,0 ,15.648 ,0 ,2.028 ,2.028 ,2.028 ,0 ,0 ,0 ,0 ,404.019 ,404.019 ,389.263 ,0 ,0 ,14.755 
13.,BREŽICE,13.075.638 ,7.891.283 ,6.981.393 ,4.567.606 ,4.567.606 ,712.694 ,491.621 ,0 ,35.541 ,185.532 ,1.701.093 ,22.442 ,0 ,0 ,1.678.651 ,0 ,0 ,909.890 ,332.086 ,0 ,167 ,64.426 ,267.493 ,420.164 ,420.164 ,11.789 ,11.789 ,44.654 ,44.654 ,101.198 ,101.198 ,427.016 ,349.232 ,349.232 ,0 ,0 ,0 ,0 ,77.783 ,60.349 ,17.434 ,0 ,4.173 ,4.173 ,4.173 ,0 ,0 ,0 ,0 ,4.753.167 ,4.753.167 ,4.753.167 ,0 ,0 ,0 
14.,CANKOVA,1.975.533 ,344.157 ,278.262 ,225.930 ,225.930 ,36.186 ,32.804 ,0 ,392 ,2.990 ,16.145 ,215 ,0 ,0 ,15.930 ,0 ,0 ,65.895 ,6.316 ,0 ,0 ,996 ,5.320 ,4.005 ,4.005 ,0 ,0 ,0 ,0 ,55.573 ,55.573 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.631.376 ,1.631.376 ,1.625.804 ,2.504 ,0 ,3.069 
15.,MESTNA OBČINA CELJE,39.169.262 ,28.041.575 ,22.476.294 ,14.004.590 ,14.004.590 ,5.600.063 ,4.563.645 ,451 ,152.800 ,883.166 ,2.871.641 ,83.542 ,0 ,0 ,2.788.099 ,0 ,0 ,5.565.281 ,1.494.241 ,0 ,88 ,32.399 ,1.461.755 ,95.093 ,95.093 ,88.161 ,88.161 ,46.011 ,46.011 ,3.841.775 ,3.841.775 ,6.194.826 ,3.811.647 ,3.811.567 ,0 ,79 ,0 ,0 ,2.383.179 ,0 ,2.383.179 ,0 ,626 ,626 ,626 ,0 ,0 ,0 ,0 ,4.932.236 ,4.932.236 ,4.513.842 ,0 ,0 ,418.394 
16.,CERKLJE NA GORENJSKEM,3.414.259 ,2.347.596 ,1.936.638 ,1.421.094 ,1.421.094 ,246.353 ,150.413 ,0 ,9.869 ,86.071 ,269.191 ,2.270 ,0 ,0 ,266.921 ,0 ,0 ,410.958 ,190.895 ,0 ,2.846 ,61.079 ,126.970 ,14.071 ,14.071 ,3.630 ,3.630 ,52.328 ,52.328 ,150.033 ,150.033 ,36.555 ,2.583 ,2.583 ,0 ,0 ,0 ,0 ,33.972 ,23.147 ,10.825 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.030.108 ,1.030.108 ,1.030.108 ,0 ,0 ,0 
17.,CERKNICA,6.022.618 ,3.640.696 ,3.253.242 ,2.370.722 ,2.370.722 ,541.336 ,434.304 ,0 ,29.110 ,77.921 ,341.185 ,12.652 ,0 ,0 ,328.533 ,0 ,0 ,387.454 ,153.129 ,119 ,0 ,561 ,152.449 ,18.630 ,18.630 ,-1.078 ,-1.078 ,0 ,0 ,216.772 ,216.772 ,736.813 ,290.335 ,290.335 ,0 ,0 ,0 ,0 ,446.478 ,0 ,446.478 ,0 ,1.502 ,1.502 ,1.502 ,0 ,0 ,0 ,0 ,1.643.607 ,1.643.607 ,1.643.152 ,0 ,0 ,455 
18.,CERKNO,2.763.971 ,2.036.968 ,1.560.921 ,1.322.571 ,1.322.571 ,131.314 ,118.173 ,0 ,2.420 ,10.720 ,107.036 ,5.279 ,0 ,0 ,101.757 ,0 ,0 ,476.047 ,441.788 ,0 ,259 ,4.256 ,437.273 ,7.895 ,7.895 ,1.899 ,1.899 ,2.504 ,2.504 ,21.962 ,21.962 ,65.298 ,30.212 ,28.927 ,0 ,0 ,1.285 ,0 ,35.086 ,1.911 ,33.175 ,0 ,1.177 ,1.177 ,1.177 ,0 ,0 ,0 ,0 ,660.528 ,660.528 ,660.528 ,0 ,0 ,0 
19.,CERKVENJAK,1.114.628 ,391.017 ,281.221 ,171.769 ,171.769 ,69.029 ,66.057 ,0 ,454 ,2.518 ,40.423 ,795 ,0 ,0 ,39.629 ,0 ,0 ,109.795 ,5.090 ,0 ,0 ,1.131 ,3.959 ,3.544 ,3.544 ,435 ,435 ,28.174 ,28.174 ,72.553 ,72.553 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,626 ,626 ,626 ,0 ,0 ,0 ,0 ,722.986 ,722.986 ,715.474 ,0 ,0 ,7.511 
20.,ČRENŠOVCI,2.097.597 ,789.113 ,583.135 ,500.863 ,500.863 ,15.512 ,9.234 ,0 ,2.021 ,4.256 ,66.760 ,16.321 ,0 ,0 ,50.440 ,0 ,0 ,205.978 ,31.243 ,945 ,0 ,21.495 ,8.803 ,8.144 ,8.144 ,672 ,672 ,20.197 ,20.197 ,145.722 ,145.722 ,9.049 ,0 ,0 ,0 ,0 ,0 ,0 ,9.049 ,0 ,9.049 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.299.435 ,1.299.435 ,1.091.832 ,207.603 ,0 ,0 
21.,ČRNA NA KOROŠKEM,2.208.667 ,1.373.794 ,1.021.958 ,677.792 ,677.792 ,161.580 ,153.038 ,0 ,38 ,8.504 ,182.586 ,5.212 ,0 ,0 ,177.374 ,0 ,0 ,351.836 ,125.438 ,0 ,1.398 ,417 ,123.623 ,7.532 ,7.532 ,234 ,234 ,193.219 ,193.219 ,25.413 ,25.413 ,54.832 ,7.703 ,7.703 ,0 ,0 ,0 ,0 ,47.129 ,0 ,47.129 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,780.041 ,780.041 ,764.601 ,0 ,0 ,15.440 
22.,ČRNOMELJ,8.016.704 ,3.617.827 ,3.333.705 ,2.750.367 ,2.750.367 ,240.048 ,167.864 ,0 ,10.211 ,61.972 ,343.290 ,10.161 ,0 ,0 ,333.129 ,0 ,0 ,284.122 ,131.718 ,9.932 ,75 ,4.715 ,116.996 ,23.414 ,23.414 ,2.157 ,2.157 ,7.065 ,7.065 ,119.767 ,119.767 ,115.340 ,38.449 ,38.449 ,0 ,0 ,0 ,0 ,76.890 ,12.031 ,57.795 ,7.065 ,258.317 ,258.317 ,417 ,257.899 ,0 ,0 ,0 ,4.025.221 ,4.025.221 ,3.869.016 ,156.205 ,0 ,0 
23.,DESTRNIK,1.542.109 ,570.214 ,404.657 ,308.972 ,308.972 ,44.934 ,33.125 ,0 ,622 ,11.188 ,50.751 ,463 ,0 ,0 ,50.288 ,0 ,0 ,165.557 ,19.684 ,0 ,0 ,3.438 ,16.245 ,4.102 ,4.102 ,534 ,534 ,0 ,0 ,141.237 ,141.237 ,70.677 ,70.677 ,70.677 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,901.218 ,901.218 ,899.299 ,1.920 ,0 ,0 
24.,DIVAČA,2.012.256 ,1.814.614 ,1.301.448 ,1.048.151 ,1.048.151 ,130.329 ,94.300 ,17 ,11.993 ,24.019 ,122.968 ,12.544 ,0 ,0 ,110.424 ,0 ,0 ,513.166 ,499.149 ,3.430 ,0 ,40.699 ,455.020 ,6.372 ,6.372 ,388 ,388 ,367 ,367 ,6.890 ,6.890 ,123.089 ,13.575 ,13.575 ,0 ,0 ,0 ,0 ,109.514 ,0 ,109.514 ,0 ,83 ,83 ,83 ,0 ,0 ,0 ,0 ,74.470 ,74.470 ,74.470 ,0 ,0 ,0 
25.,DOBJE,428.580 ,175.734 ,126.031 ,116.575 ,116.575 ,5.951 ,330 ,0 ,8 ,5.613 ,3.505 ,238 ,0 ,0 ,3.267 ,0 ,0 ,49.704 ,27.558 ,0 ,0 ,3.993 ,23.565 ,1.602 ,1.602 ,0 ,0 ,0 ,0 ,20.543 ,20.543 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,542 ,542 ,0 ,542 ,0 ,0 ,0 ,252.303 ,252.303 ,240.882 ,0 ,0 ,11.421 
26.,DOBREPOLJE,1.988.700 ,1.107.365 ,872.050 ,614.347 ,614.347 ,122.112 ,99.195 ,0 ,2.278 ,20.639 ,135.591 ,426 ,0 ,0 ,135.165 ,0 ,0 ,235.315 ,74.641 ,0 ,0 ,40.461 ,34.180 ,6.931 ,6.931 ,743 ,743 ,2.829 ,2.829 ,150.171 ,150.171 ,8.876 ,0 ,0 ,0 ,0 ,0 ,0 ,8.876 ,0 ,8.876 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,872.459 ,872.459 ,872.459 ,0 ,0 ,0 
27.,DOBRNA,1.294.375 ,895.143 ,514.117 ,332.699 ,332.699 ,42.551 ,35.428 ,0 ,63 ,7.061 ,138.867 ,59.168 ,0 ,0 ,79.699 ,0 ,0 ,381.026 ,50.033 ,0 ,0 ,7.445 ,42.589 ,3.455 ,3.455 ,284 ,284 ,26.607 ,26.607 ,300.647 ,300.647 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,689 ,689 ,689 ,0 ,0 ,0 ,0 ,398.544 ,398.544 ,394.922 ,3.622 ,0 ,0 
28.,DOBROVA - POLHOV GRADEC,3.112.227 ,2.172.058 ,2.011.997 ,1.668.686 ,1.668.686 ,273.448 ,206.627 ,359 ,7.949 ,58.513 ,69.863 ,776 ,0 ,0 ,69.087 ,0 ,0 ,160.061 ,16.099 ,0 ,0 ,517 ,15.582 ,9.260 ,9.260 ,9.097 ,9.097 ,271 ,271 ,125.334 ,125.334 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,940.169 ,940.169 ,757.136 ,161.505 ,0 ,21.528 
29.,DOBROVNIK,1.927.963 ,368.896 ,252.531 ,174.349 ,174.349 ,14.615 ,8.217 ,0 ,88 ,6.309 ,63.567 ,348 ,0 ,0 ,63.219 ,0 ,0 ,116.365 ,8.648 ,313 ,0 ,3.359 ,4.976 ,2.692 ,2.692 ,75 ,75 ,33 ,33 ,104.918 ,104.918 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.937 ,6.937 ,3 ,6.935 ,0 ,0 ,0 ,1.552.129 ,1.552.129 ,1.481.141 ,0 ,0 ,70.988 
30.,DOL PRI LJUBLJANI,2.801.865 ,2.638.011 ,1.880.216 ,1.211.150 ,1.211.150 ,533.884 ,466.892 ,21 ,2.671 ,64.301 ,135.182 ,280 ,0 ,0 ,134.902 ,0 ,0 ,757.795 ,38.470 ,0 ,3.993 ,8.062 ,26.415 ,7.006 ,7.006 ,2.157 ,2.157 ,0 ,0 ,710.161 ,710.161 ,159.422 ,0 ,0 ,0 ,0 ,0 ,0 ,159.422 ,0 ,159.422 ,0 ,209 ,209 ,209 ,0 ,0 ,0 ,0 ,4.223 ,4.223 ,4.223 ,0 ,0 ,0 
31.,DOLENJSKE TOPLICE,2.106.272 ,988.107 ,922.838 ,729.373 ,729.373 ,56.518 ,38.153 ,0 ,255 ,18.111 ,136.947 ,163 ,0 ,0 ,136.784 ,0 ,0 ,65.269 ,33.738 ,0 ,0 ,7.774 ,25.964 ,5.442 ,5.442 ,1.164 ,1.164 ,15.899 ,15.899 ,9.026 ,9.026 ,232.866 ,0 ,0 ,0 ,0 ,0 ,0 ,232.866 ,309 ,232.557 ,0 ,2.099 ,2.099 ,2.099 ,0 ,0 ,0 ,0 ,883.200 ,883.200 ,600.542 ,112.402 ,0 ,170.255 
32.,DOMŽALE,15.162.581 ,14.964.858 ,12.562.935 ,9.226.522 ,9.226.522 ,2.347.205 ,1.610.507 ,460 ,107.456 ,628.782 ,989.207 ,106.102 ,0 ,0 ,883.105 ,0 ,0 ,2.401.923 ,1.524.078 ,417.293 ,60.396 ,357.428 ,688.961 ,42.496 ,42.496 ,34.912 ,34.912 ,27.772 ,27.772 ,772.665 ,772.665 ,150.144 ,110.342 ,107.963 ,2.379 ,0 ,0 ,0 ,39.802 ,0 ,39.802 ,0 ,6.267 ,0 ,0 ,0 ,6.267 ,0 ,6.267 ,41.313 ,41.313 ,13.509 ,27.804 ,0 ,0 
33.,DORNAVA,1.497.238 ,505.425 ,447.238 ,336.830 ,336.830 ,55.308 ,39.113 ,0 ,492 ,15.703 ,55.099 ,209 ,0 ,0 ,54.891 ,0 ,0 ,58.187 ,16.216 ,0 ,0 ,476 ,15.740 ,5.988 ,5.988 ,626 ,626 ,0 ,0 ,35.357 ,35.357 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,991.813 ,991.813 ,991.813 ,0 ,0 ,0 
34.,DRAVOGRAD,4.474.863 ,2.932.234 ,2.576.657 ,1.706.342 ,1.706.342 ,556.275 ,512.215 ,5 ,14.196 ,29.858 ,313.974 ,16.388 ,0 ,0 ,297.586 ,66 ,66 ,355.578 ,202.952 ,0 ,5.594 ,17.757 ,179.601 ,16.554 ,16.554 ,863 ,863 ,0 ,0 ,135.209 ,135.209 ,47.942 ,47.942 ,47.837 ,104 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,334 ,334 ,334 ,0 ,0 ,0 ,0 ,1.494.354 ,1.494.354 ,1.302.554 ,0 ,0 ,191.799 
