90,MEDVODE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-16.287 
91,MENGEŠ,15.018 ,15.018 ,15.018 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15.018 ,100.747 
92,METLIKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,114.818 
93,MEŽICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.002 ,835 ,0 ,0 ,835 ,0 ,0 ,0 ,167 ,0 ,167 ,0 ,0 ,0 ,-1.002 ,15.590 
94,MIKLAVŽ NA DRAVSKEM POLJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,444.392 
95,MIREN - KOSTANJEVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2.783 
96,MIRNA PEČ,9.523 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.523 ,0 ,9.523 ,0 ,835 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,835 ,0 ,0 ,0 ,835 ,0 ,8.688 ,86.601 
97,MISLINJA,693 ,693 ,693 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,618 ,618 ,618 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,75 ,-47.167 
98,MORAVČE,10.866 ,10.866 ,10.866 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.866 ,-197.563 
99,MORAVSKE TOPLICE,50.847 ,50.847 ,50.847 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,80.199 ,68.958 ,27.124 ,0 ,0 ,0 ,41.834 ,0 ,11.242 ,0 ,0 ,0 ,11.242 ,0 ,-29.352 ,-610.595 
100,MOZIRJE,22.137 ,21.645 ,0 ,0 ,21.182 ,463 ,0 ,0 ,492 ,0 ,0 ,492 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22.137 ,87.281 
101,MURSKA SOBOTA (M),33.880 ,8.542 ,7.303 ,0 ,1.239 ,0 ,0 ,0 ,25.338 ,25.338 ,0 ,0 ,58.171 ,58.171 ,58.171 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-24.291 ,921.453 
102,MUTA,5.087 ,1.728 ,221 ,0 ,0 ,1.506 ,0 ,0 ,3.359 ,3.359 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.087 ,52.883 
103,NAKLO,15.982 ,15.982 ,7.695 ,0 ,0 ,8.287 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15.982 ,24.491 
104,NAZARJE,18.019 ,18.019 ,6.134 ,0 ,0 ,11.884 ,0 ,0 ,0 ,0 ,0 ,0 ,23.990 ,23.990 ,0 ,0 ,0 ,0 ,23.990 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.971 ,39.063 
105,NOVA GORICA (M),35.937 ,35.937 ,0 ,0 ,0 ,35.937 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,35.937 ,909.464 
106,NOVO MESTO (M),470.026 ,310.691 ,217.919 ,0 ,0 ,92.772 ,0 ,0 ,159.335 ,0 ,159.335 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,470.026 ,-16.521 
107,ODRANCI,2.833 ,2.833 ,2.833 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.833 ,35.336 
108,OPLOTNICA,5.658 ,5.658 ,0 ,0 ,0 ,5.658 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.658 ,40.185 
109,ORMOŽ,52.162 ,52.162 ,0 ,0 ,52.162 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,62.594 ,62.594 ,0 ,0 ,0 ,62.594 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10.432 ,-299.215 
110,OSILNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-47.872 
111,PESNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-124.524 
112,PIRAN,83.459 ,83.459 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83.459 ,450.113 
113,PIVKA,25 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25 ,0 ,25 ,0 ,20.865 ,20.865 ,0 ,0 ,20.865 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-20.840 ,-33.567 
114,PODČETRTEK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-75.242 
115,PODLEHNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,127.266 
116,PODVELKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,292 ,292 ,292 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-292 ,4.256 
117,POLZELA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,78.017 
118,POSTOJNA,257.190 ,251.661 ,4.682 ,13.541 ,85.186 ,141.879 ,0 ,6.372 ,5.529 ,0 ,5.529 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,257.190 ,-261.868 
119,PREBOLD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,177.537 
120,PREDDVOR,13.437 ,13.437 ,12.594 ,0 ,0 ,843 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.437 ,39.860 
121,PREVALJE,1.523 ,1.523 ,0 ,0 ,0 ,1.523 ,0 ,0 ,0 ,0 ,0 ,0 ,664 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,664 ,0 ,0 ,664 ,0 ,0 ,860 ,28.923 
122,PTUJ (M),44.967 ,44.967 ,0 ,6.718 ,0 ,38.249 ,0 ,0 ,0 ,0 ,0 ,0 ,211.847 ,211.847 ,128.388 ,0 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-166.879 ,-314.280 
123,PUCONCI,9.139 ,7.720 ,0 ,7.720 ,0 ,0 ,0 ,0 ,1.419 ,0 ,1.419 ,0 ,22.843 ,3.338 ,0 ,3.338 ,0 ,0 ,0 ,0 ,19.504 ,10.599 ,0 ,0 ,8.905 ,0 ,-13.704 ,287.056 
124,RAČE - FRAM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37.473 
125,RADEČE,21.032 ,21.032 ,0 ,0 ,0 ,21.032 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21.032 ,-20.819 
126,RADENCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-246.094 
127,RADLJE OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.595 
128,RADOVLJICA,108.104 ,108.104 ,108.104 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,108.104 ,178.860 
129,RAVNE NA KOROŠKEM,5.003 ,5.003 ,5.003 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.003 ,65.995 
130,RAZKRIŽJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,34.696 
131,RIBNICA,48.126 ,48.126 ,0 ,0 ,0 ,48.126 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,48.126 ,119.901 
132,RIBNICA NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,77.278 
133,ROGAŠKA SLATINA,3.159 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.159 ,0 ,3.159 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.159 ,154.294 
134,ROGAŠOVCI,12.732 ,12.732 ,12.732 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.732 ,-62.531 
135,ROGATEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,79.386 
136,RUŠE,20.618 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.618 ,20.618 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.618 ,363.908 
137,SELNICA OB DRAVI,13.166 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.166 ,13.166 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.166 ,31.652 
138,SEMIČ,11.446 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.446 ,0 ,11.446 ,0 ,1.586 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.586 ,0 ,0 ,0 ,1.586 ,0 ,9.861 ,-1.206 
139,SEVNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,114.155 
140,SEŽANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,141.350 
141,SLOVENJ GRADEC (M),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.227 ,12.227 ,0 ,6.259 ,5.967 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-12.227 ,113.437 
142,SLOVENSKA BISTRICA,42.747 ,42.747 ,0 ,0 ,0 ,42.747 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42.747 ,-771.962 
143,SLOVENSKE KONJICE,734 ,734 ,734 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.026 ,7.853 ,7.853 ,0 ,0 ,0 ,0 ,0 ,4.173 ,4.173 ,0 ,0 ,0 ,0 ,-11.292 ,295.264 
144,SODRAŽICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,43.440 
145,SOLČAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32.332 
146,STARŠE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,195.702 
147,SVETA ANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,191.254 
148,SVETI ANDRAŽ V SLOV. GORICAH,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41.007 
149,SVETI JURIJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,68.983 
150,ŠALOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36.017 
151,ŠEMPETER - VRTOJBA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.047.948 
152,ŠENČUR,74.190 ,74.190 ,71.774 ,0 ,0 ,2.416 ,0 ,0 ,0 ,0 ,0 ,0 ,63.929 ,63.929 ,63.929 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.261 ,44.300 
153,ŠENTILJ,34.890 ,34.890 ,0 ,0 ,0 ,0 ,34.890 ,0 ,0 ,0 ,0 ,0 ,41.729 ,41.729 ,0 ,0 ,0 ,0 ,41.729 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6.839 ,321.849 
154,ŠENTJERNEJ,2.984 ,2.984 ,2.984 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.984 ,6.364 
155,ŠENTJUR PRI CELJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,103.639 
156,ŠKOCJAN,563 ,563 ,563 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.252 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.252 ,0 ,0 ,1.252 ,0 ,0 ,-689 ,154.110 
157,ŠKOFJA LOKA,10.445 ,10.445 ,413 ,0 ,0 ,10.032 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.445 ,-14.872 
158,ŠKOFLJICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-79.215 
159,ŠMARJE PRI JELŠAH,32.641 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32.641 ,0 ,32.641 ,0 ,4.173 ,3.338 ,0 ,3.338 ,0 ,0 ,0 ,0 ,835 ,0 ,0 ,0 ,835 ,0 ,28.468 ,194.150 
160,ŠMARTNO OB PAKI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.259 ,6.259 ,0 ,0 ,6.259 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6.259 ,-28.393 
161,ŠOŠTANJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.886.183 
162,ŠTORE,3.756 ,3.756 ,0 ,0 ,0 ,3.756 ,0 ,0 ,0 ,0 ,0 ,0 ,4.590 ,4.590 ,0 ,0 ,0 ,835 ,3.756 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-835 ,-240.899 
163,TABOR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.845 
164,TIŠINA,19.947 ,19.947 ,19.947 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.076 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.076 ,1.152 ,4.924 ,0 ,0 ,0 ,13.871 ,13.888 
165,TOLMIN,74.666 ,74.666 ,57.991 ,16.675 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.891 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.891 ,10.891 ,0 ,0 ,0 ,0 ,63.775 ,32.787 
166,TRBOVLJE,13.387 ,13.387 ,0 ,0 ,1.398 ,11.989 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.387 ,-156.476 
167,TREBNJE,126.231 ,126.231 ,0 ,83.459 ,0 ,0 ,42.772 ,0 ,0 ,0 ,0 ,0 ,139.793 ,139.793 ,0 ,0 ,83.459 ,0 ,0 ,56.335 ,0 ,0 ,0 ,0 ,0 ,0 ,-13.562 ,204.653 
168,TRNOVSKA VAS,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,54.523 
169,TRZIN,1.043 ,1.043 ,0 ,0 ,0 ,1.043 ,0 ,0 ,0 ,0 ,0 ,0 ,1.185 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.185 ,1.185 ,0 ,0 ,0 ,0 ,-142 ,140.982 
170,TRŽIČ,8.918 ,8.918 ,8.918 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.918 ,10.622 
171,TURNIŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,434.844 
172,VELENJE (M),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-321.023 
173,VELIKA POLANA,906 ,906 ,906 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,906 ,59.197 
174,VELIKE LAŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.101 
175,VERŽEJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.360 
176,VIDEM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,113.420 
177,VIPAVA,3.952 ,3.952 ,3.952 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.952 ,682.265 
178,VITANJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-104.569 
179,VODICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,264.409 
180,VOJNIK,17.735 ,5.216 ,0 ,0 ,5.216 ,0 ,0 ,0 ,12.519 ,0 ,0 ,12.519 ,20.030 ,20.030 ,1.252 ,0 ,0 ,18.778 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2.295 ,-1.385 
181,VRANSKO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.089 
182,VRHNIKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.301 
183,VUZENICA,5.279 ,2.337 ,0 ,0 ,2.337 ,0 ,0 ,0 ,2.942 ,2.942 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.279 ,121.962 
184,ZAGORJE OB SAVI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,20.865 ,0 ,20.865 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-20.865 ,160.653 
185,ZAVRČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,29.528 
186,ZREČE,22.062 ,22.062 ,0 ,0 ,20.326 ,1.736 ,0 ,0 ,0 ,0 ,0 ,0 ,1.252 ,1.252 ,1.252 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.810 ,179.770 
187,ŽALEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-276.415 
188,ŽELEZNIKI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.735 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.735 ,0 ,0 ,9.735 ,0 ,0 ,-9.735 ,184.944 
189,ŽETALE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,126.177 
190,ŽIRI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.001.502 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.001.502 ,0 ,0 ,1.001.502 ,0 ,0 ,-1.001.502 ,-925.204 
191,ŽIROVNICA,7.532 ,7.532 ,0 ,0 ,0 ,7.532 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.532 ,178.522 
192,ŽUŽEMBERK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,379.945 
,SKUPAJ,6.055.355 ,3.484.524 ,1.951.762 ,152.495 ,579.995 ,677.808 ,116.091 ,6.372 ,2.570.831 ,102.274 ,270.898 ,2.197.659 ,5.969.696 ,3.285.032 ,1.004.824 ,86.225 ,492.948 ,1.131.063 ,469.179 ,100.793 ,2.684.665 ,56.597 ,501.152 ,1.639.067 ,487.848 ,0 ,85.659 ,10.391.707 
